date,open,high,low,close,volume,barCount,average
20210421  09:30:00,132.39,133.05,132.08,132.11,26418,8349,132.566
20210421  09:35:00,132.11,132.25,131.79,131.81,17022,8208,132.019
20210421  09:40:00,131.81,131.81,131.3,131.62,20217,10129,131.518
20210421  09:45:00,131.58,132.13,131.52,132.1,13553,5803,131.88
20210421  09:50:00,132.1,132.38,132.07,132.27,16709,7147,132.241
20210421  09:55:00,132.28,132.66,132.27,132.62,11814,5343,132.451
20210421  10:00:00,132.62,132.66,132.22,132.32,11411,5542,132.436
20210421  10:05:00,132.32,132.32,132.07,132.13,9461,4149,132.18
20210421  10:10:00,132.14,132.35,132.03,132.1,9249,3925,132.213
20210421  10:15:00,132.1,132.34,132.02,132.1,8962,4468,132.165
20210421  10:20:00,132.09,132.29,131.91,132.29,9570,4227,132.084
20210421  10:25:00,132.3,132.61,132.28,132.53,8770,3815,132.456
20210421  10:30:00,132.52,132.52,132.19,132.22,7576,3793,132.334
20210421  10:35:00,132.22,132.39,132.06,132.16,8205,3370,132.228
20210421  10:40:00,132.16,132.3,132.06,132.23,7133,3428,132.191
20210421  10:45:00,132.23,132.32,132.06,132.21,7627,3165,132.18
20210421  10:50:00,132.21,132.22,132.01,132.07,6370,2576,132.108
20210421  10:55:00,132.07,132.24,131.94,132.17,7948,2986,132.07
20210421  11:00:00,132.17,132.44,132.09,132.38,6811,2668,132.312
20210421  11:05:00,132.37,132.51,132.29,132.47,6896,2820,132.415
20210421  11:10:00,132.48,132.86,132.36,132.8,8088,3480,132.626
20210421  11:15:00,132.79,133.02,132.77,133.01,10442,4420,132.903
20210421  11:20:00,133.01,133.31,133.0,133.12,11265,4691,133.173
20210421  11:25:00,133.12,133.31,133.07,133.26,9923,4349,133.195
20210421  11:30:00,133.25,133.44,133.15,133.4,8530,3402,133.252
20210421  11:35:00,133.39,133.41,133.11,133.22,8479,3583,133.264
20210421  11:40:00,133.22,133.35,133.18,133.26,6342,2405,133.255
20210421  11:45:00,133.27,133.28,133.08,133.16,5388,2092,133.172
20210421  11:50:00,133.16,133.3,133.11,133.26,4989,1994,133.191
20210421  11:55:00,133.27,133.5,133.27,133.43,7983,3254,133.425
20210421  12:00:00,133.43,133.44,133.23,133.24,4661,2029,133.34
20210421  12:05:00,133.23,133.27,133.15,133.18,4665,1669,133.207
20210421  12:10:00,133.18,133.23,133.08,133.19,5095,1962,133.157
20210421  12:15:00,133.19,133.25,133.1,133.22,4450,1869,133.184
20210421  12:20:00,133.23,133.28,133.14,133.16,5302,2266,133.207
20210421  12:25:00,133.16,133.16,132.94,132.99,7670,3289,133.036
20210421  12:30:00,133.0,133.08,132.87,132.91,6429,2543,132.979
20210421  12:35:00,132.91,133.01,132.86,132.92,5290,2068,132.924
20210421  12:40:00,132.93,133.03,132.87,133.02,4516,1677,132.968
20210421  12:45:00,133.03,133.03,132.79,132.81,4704,1901,132.901
20210421  12:50:00,132.8,133.03,132.8,132.94,3784,1547,132.936
20210421  12:55:00,132.94,133.01,132.75,132.84,4898,1966,132.838
20210421  13:00:00,132.84,132.97,132.82,132.95,4203,1429,132.88
20210421  13:05:00,132.94,133.16,132.92,133.02,7001,2424,133.044
20210421  13:10:00,133.02,133.16,133.0,133.11,4141,1560,133.094
20210421  13:15:00,133.12,133.26,133.11,133.23,3674,1460,133.187
20210421  13:20:00,133.24,133.26,133.11,133.22,4311,1523,133.172
20210421  13:25:00,133.21,133.24,133.08,133.09,3310,1368,133.144
20210421  13:30:00,133.09,133.25,133.09,133.16,3364,1227,133.192
20210421  13:35:00,133.15,133.23,133.11,133.12,3135,1334,133.148
20210421  13:40:00,133.12,133.17,133.09,133.13,2797,1106,133.122
20210421  13:45:00,133.12,133.13,133.07,133.09,2200,1015,133.102
20210421  13:50:00,133.09,133.14,133.01,133.03,4131,1834,133.068
20210421  13:55:00,133.02,133.12,133.02,133.06,3777,1502,133.078
20210421  14:00:00,133.07,133.25,133.06,133.21,5285,2039,133.183
20210421  14:05:00,133.21,133.34,133.19,133.34,4306,1772,133.275
20210421  14:10:00,133.34,133.4,133.29,133.37,4077,1841,133.345
20210421  14:15:00,133.36,133.43,133.19,133.21,4639,2044,133.305
20210421  14:20:00,133.21,133.24,133.07,133.08,4987,2080,133.169
20210421  14:25:00,133.07,133.17,133.05,133.14,3740,1588,133.127
20210421  14:30:00,133.14,133.22,133.1,133.21,3299,1383,133.171
20210421  14:35:00,133.21,133.25,133.12,133.16,4792,1741,133.19
20210421  14:40:00,133.16,133.2,133.08,133.1,3704,1591,133.134
20210421  14:45:00,133.09,133.15,133.06,133.14,3740,1729,133.102
20210421  14:50:00,133.14,133.21,133.09,133.21,3174,1326,133.15
20210421  14:55:00,133.2,133.22,133.11,133.21,2499,1042,133.184
20210421  15:00:00,133.21,133.24,133.13,133.19,2146,1158,133.188
20210421  15:05:00,133.19,133.22,133.09,133.13,2829,1238,133.145
20210421  15:10:00,133.13,133.36,133.09,133.31,5231,2142,133.251
20210421  15:15:00,133.31,133.4,133.24,133.39,4332,1973,133.318
20210421  15:20:00,133.4,133.42,133.33,133.35,3753,1747,133.371
20210421  15:25:00,133.36,133.46,133.35,133.4,5296,2474,133.4
20210421  15:30:00,133.4,133.62,133.39,133.59,9661,4378,133.508
20210421  15:35:00,133.59,133.67,133.46,133.47,7532,3502,133.58
20210421  15:40:00,133.47,133.68,133.47,133.66,7197,3352,133.564
20210421  15:45:00,133.65,133.68,133.57,133.65,6500,3226,133.626
20210421  15:50:00,133.65,133.75,133.5,133.55,11522,6835,133.617
20210421  15:55:00,133.55,133.63,133.43,133.49,20038,10148,133.533
