date,open,high,low,close,volume,barCount,average
20210413  09:30:00,108.03,108.11,107.63,107.98,2765,888,107.938
20210413  09:35:00,107.98,108.12,107.75,108.07,1055,735,107.897
20210413  09:40:00,108.04,108.2,107.85,107.86,647,437,108.014
20210413  09:45:00,107.85,108.01,107.79,107.91,647,413,107.878
20210413  09:50:00,107.92,108.16,107.89,107.95,568,350,108.041
20210413  09:55:00,107.95,108.09,107.91,108.09,416,274,108.013
20210413  10:00:00,108.08,108.15,108.0,108.13,531,346,108.097
20210413  10:05:00,108.1,108.14,107.86,107.92,537,352,108.003
20210413  10:10:00,107.94,107.97,107.58,107.58,1068,604,107.718
20210413  10:15:00,107.58,107.83,107.52,107.75,562,354,107.698
20210413  10:20:00,107.73,107.83,107.71,107.76,791,259,107.784
20210413  10:25:00,107.73,107.73,107.23,107.35,1298,530,107.463
20210413  10:30:00,107.35,107.45,107.31,107.36,547,229,107.365
20210413  10:35:00,107.32,107.36,107.18,107.24,528,262,107.28
20210413  10:40:00,107.24,107.32,107.13,107.29,678,412,107.209
20210413  10:45:00,107.27,107.31,107.08,107.11,683,374,107.185
20210413  10:50:00,107.12,107.23,107.04,107.07,530,334,107.114
20210413  10:55:00,107.06,107.24,107.03,107.17,517,333,107.137
20210413  11:00:00,107.16,107.18,107.06,107.17,404,311,107.119
20210413  11:05:00,107.16,107.28,107.11,107.25,448,277,107.202
20210413  11:10:00,107.25,107.29,107.16,107.16,347,235,107.23
20210413  11:15:00,107.15,107.21,107.09,107.19,359,255,107.167
20210413  11:20:00,107.18,107.36,107.14,107.35,369,227,107.256
20210413  11:25:00,107.34,107.5,107.34,107.43,361,203,107.427
20210413  11:30:00,107.44,107.6,107.42,107.53,234,153,107.514
20210413  11:35:00,107.52,107.6,107.43,107.51,307,162,107.519
20210413  11:40:00,107.51,107.51,107.37,107.38,177,128,107.438
20210413  11:45:00,107.39,107.44,107.29,107.32,757,177,107.357
20210413  11:50:00,107.32,107.33,107.24,107.29,162,115,107.279
20210413  11:55:00,107.27,107.36,107.23,107.31,240,148,107.294
20210413  12:00:00,107.33,107.4,107.28,107.32,229,141,107.345
20210413  12:05:00,107.3,107.31,107.24,107.26,164,116,107.272
20210413  12:10:00,107.26,107.27,107.19,107.19,220,155,107.237
20210413  12:15:00,107.21,107.22,107.1,107.17,302,158,107.149
20210413  12:20:00,107.14,107.26,107.13,107.25,456,200,107.195
20210413  12:25:00,107.24,107.26,107.19,107.23,195,127,107.23
20210413  12:30:00,107.23,107.46,107.23,107.4,246,156,107.356
20210413  12:35:00,107.43,107.53,107.42,107.49,249,123,107.48
20210413  12:40:00,107.49,107.59,107.46,107.53,326,214,107.52
20210413  12:45:00,107.55,107.57,107.43,107.43,163,108,107.491
20210413  12:50:00,107.43,107.48,107.37,107.45,187,101,107.431
20210413  12:55:00,107.46,107.59,107.41,107.54,255,157,107.508
20210413  13:00:00,107.55,107.57,107.45,107.51,187,113,107.517
20210413  13:05:00,107.51,107.58,107.49,107.54,205,122,107.528
20210413  13:10:00,107.54,107.54,107.44,107.53,220,118,107.483
20210413  13:15:00,107.52,107.67,107.51,107.63,220,113,107.574
20210413  13:20:00,107.65,107.71,107.6,107.7,324,156,107.655
20210413  13:25:00,107.69,107.74,107.66,107.72,239,123,107.7
20210413  13:30:00,107.72,107.84,107.71,107.74,323,133,107.769
20210413  13:35:00,107.73,107.73,107.65,107.67,117,79,107.69
20210413  13:40:00,107.67,107.72,107.64,107.7,295,200,107.679
20210413  13:45:00,107.7,107.76,107.65,107.67,220,140,107.703
20210413  13:50:00,107.67,107.67,107.58,107.62,218,161,107.629
20210413  13:55:00,107.62,107.63,107.55,107.6,393,213,107.594
20210413  14:00:00,107.59,107.77,107.58,107.77,251,151,107.689
20210413  14:05:00,107.76,107.78,107.72,107.78,175,142,107.751
20210413  14:10:00,107.79,107.89,107.75,107.83,395,208,107.818
20210413  14:15:00,107.83,107.9,107.82,107.86,162,137,107.856
20210413  14:20:00,107.87,107.88,107.82,107.85,300,118,107.839
20210413  14:25:00,107.86,107.9,107.81,107.9,176,112,107.847
20210413  14:30:00,107.89,107.93,107.88,107.93,257,127,107.906
20210413  14:35:00,107.92,107.95,107.89,107.9,261,156,107.919
20210413  14:40:00,107.91,107.92,107.85,107.9,192,145,107.881
20210413  14:45:00,107.9,108.04,107.89,108.01,407,219,107.985
20210413  14:50:00,108.02,108.03,107.95,107.96,145,103,107.989
20210413  14:55:00,107.97,108.0,107.94,107.97,298,199,107.976
20210413  15:00:00,107.97,108.05,107.96,108.02,294,188,108.015
20210413  15:05:00,108.02,108.09,107.97,108.09,411,159,108.042
20210413  15:10:00,108.09,108.1,108.01,108.03,405,227,108.071
20210413  15:15:00,108.03,108.16,108.03,108.13,547,300,108.111
20210413  15:20:00,108.13,108.17,108.12,108.14,513,260,108.146
20210413  15:25:00,108.14,108.17,108.11,108.13,335,249,108.15
20210413  15:30:00,108.13,108.25,108.13,108.24,397,224,108.181
20210413  15:35:00,108.24,108.31,108.19,108.25,892,432,108.264
20210413  15:40:00,108.26,108.36,108.25,108.3,546,399,108.309
20210413  15:45:00,108.3,108.35,108.27,108.27,577,388,108.314
20210413  15:50:00,108.28,108.3,108.1,108.22,1273,908,108.189
20210413  15:55:00,108.23,108.28,108.16,108.22,2450,1537,108.22
