date,open,high,low,close,volume,barCount,average
20210427  09:30:00,122.0,122.55,121.47,121.93,1274,194,121.919
20210427  09:35:00,121.92,121.99,121.38,121.58,364,288,121.563
20210427  09:40:00,121.56,121.66,121.38,121.54,268,191,121.526
20210427  09:45:00,121.5,121.75,121.0,121.14,516,356,121.427
20210427  09:50:00,121.09,121.36,121.03,121.2,384,276,121.187
20210427  09:55:00,121.23,121.56,121.16,121.18,296,241,121.352
20210427  10:00:00,121.26,121.58,121.16,121.53,184,125,121.398
20210427  10:05:00,121.52,121.89,121.47,121.86,206,146,121.676
20210427  10:10:00,121.85,121.85,121.5,121.57,111,90,121.601
20210427  10:15:00,121.58,121.79,121.4,121.79,231,160,121.553
20210427  10:20:00,121.8,121.8,121.42,121.47,211,99,121.51
20210427  10:25:00,121.46,121.76,121.42,121.75,232,150,121.61
20210427  10:30:00,121.75,121.78,121.66,121.72,113,100,121.712
20210427  10:35:00,121.7,121.87,121.68,121.78,143,114,121.758
20210427  10:40:00,121.77,121.82,121.67,121.78,156,113,121.749
20210427  10:45:00,121.78,121.85,121.63,121.64,170,114,121.722
20210427  10:50:00,121.65,121.73,121.6,121.73,152,104,121.661
20210427  10:55:00,121.76,121.76,121.62,121.66,163,122,121.676
20210427  11:00:00,121.65,121.77,121.63,121.7,258,123,121.674
20210427  11:05:00,121.7,121.79,121.55,121.59,134,125,121.689
20210427  11:10:00,121.6,121.84,121.58,121.81,146,93,121.699
20210427  11:15:00,121.8,121.9,121.75,121.78,142,82,121.806
20210427  11:20:00,121.78,121.81,121.7,121.78,101,82,121.764
20210427  11:25:00,121.77,121.82,121.74,121.8,112,82,121.777
20210427  11:30:00,121.82,121.99,121.82,121.98,89,82,121.898
20210427  11:35:00,121.97,121.99,121.87,121.97,98,86,121.92
20210427  11:40:00,121.94,121.96,121.86,121.87,108,68,121.909
20210427  11:45:00,121.89,121.91,121.81,121.83,73,53,121.859
20210427  11:50:00,121.82,121.97,121.8,121.97,102,71,121.88
20210427  11:55:00,121.99,121.99,121.89,121.94,124,89,121.944
20210427  12:00:00,121.94,122.04,121.77,121.78,510,314,121.851
20210427  12:05:00,121.78,121.88,121.77,121.85,94,70,121.845
20210427  12:10:00,121.85,121.88,121.73,121.87,188,113,121.809
20210427  12:15:00,121.87,121.87,121.77,121.77,124,111,121.82
20210427  12:20:00,121.78,121.85,121.74,121.77,239,196,121.791
20210427  12:25:00,121.77,121.87,121.76,121.78,93,69,121.81
20210427  12:30:00,121.78,121.83,121.77,121.77,191,126,121.793
20210427  12:35:00,121.75,121.81,121.72,121.76,115,85,121.757
20210427  12:40:00,121.79,121.92,121.79,121.85,216,114,121.849
20210427  12:45:00,121.84,122.06,121.84,122.02,354,207,121.991
20210427  12:50:00,122.01,122.02,121.88,121.93,179,124,121.948
20210427  12:55:00,121.94,122.01,121.91,122.0,117,90,121.962
20210427  13:00:00,122.0,122.13,122.0,122.1,296,150,122.078
20210427  13:05:00,122.1,122.18,121.96,121.96,276,118,122.087
20210427  13:10:00,121.94,122.02,121.91,122.0,89,81,121.964
20210427  13:15:00,121.98,122.01,121.95,121.98,85,70,121.986
20210427  13:20:00,122.0,122.04,121.95,122.01,209,92,121.986
20210427  13:25:00,122.01,122.03,121.94,121.95,92,81,122.004
20210427  13:30:00,121.95,122.01,121.93,121.99,85,71,121.973
20210427  13:35:00,122.0,122.09,121.97,122.04,99,85,122.042
20210427  13:40:00,122.03,122.03,121.79,121.85,444,199,121.888
20210427  13:45:00,121.88,121.88,121.77,121.83,173,133,121.812
20210427  13:50:00,121.84,122.01,121.84,121.89,183,128,121.92
20210427  13:55:00,121.89,122.01,121.89,121.98,123,94,121.94
20210427  14:00:00,121.99,122.01,121.87,121.9,171,122,121.944
20210427  14:05:00,121.91,121.95,121.87,121.94,177,141,121.909
20210427  14:10:00,121.96,121.97,121.77,121.82,145,114,121.855
20210427  14:15:00,121.8,121.99,121.79,121.93,140,112,121.863
20210427  14:20:00,121.94,122.0,121.73,121.77,524,163,121.884
20210427  14:25:00,121.77,121.79,121.74,121.77,271,129,121.764
20210427  14:30:00,121.77,121.92,121.77,121.89,168,131,121.841
20210427  14:35:00,121.89,121.9,121.79,121.82,165,145,121.85
20210427  14:40:00,121.8,121.88,121.77,121.86,170,143,121.825
20210427  14:45:00,121.86,121.86,121.78,121.83,149,108,121.821
20210427  14:50:00,121.84,121.84,121.74,121.75,207,138,121.779
20210427  14:55:00,121.74,121.89,121.74,121.89,168,128,121.826
20210427  15:00:00,121.87,121.96,121.85,121.94,107,90,121.909
20210427  15:05:00,121.94,121.95,121.87,121.88,145,129,121.919
20210427  15:10:00,121.88,121.94,121.83,121.92,159,135,121.884
20210427  15:15:00,121.9,121.95,121.87,121.92,194,156,121.911
20210427  15:20:00,121.91,121.96,121.88,121.94,192,153,121.914
20210427  15:25:00,121.93,122.04,121.92,122.04,162,136,121.982
20210427  15:30:00,122.04,122.14,122.01,122.1,262,208,122.073
20210427  15:35:00,122.11,122.18,122.0,122.0,441,190,122.123
20210427  15:40:00,122.0,122.05,121.96,122.02,446,266,122.006
20210427  15:45:00,122.02,122.03,121.87,121.94,458,295,121.928
20210427  15:50:00,121.94,121.99,121.78,121.8,934,593,121.857
20210427  15:55:00,121.8,121.89,121.66,121.68,2361,1228,121.797
