date,open,high,low,close,volume,barCount,average
20210303  09:30:00,118.28,119.85,118.2,119.09,2152,572,118.664
20210303  09:35:00,119.03,119.1,118.36,118.82,785,542,118.826
20210303  09:40:00,118.83,119.29,118.36,118.81,583,413,118.857
20210303  09:45:00,118.68,118.83,118.32,118.51,482,326,118.532
20210303  09:50:00,118.53,119.36,118.39,119.19,755,537,118.937
20210303  09:55:00,119.13,119.27,118.17,118.7,1336,713,118.98
20210303  10:00:00,118.69,118.97,118.25,118.44,571,370,118.532
20210303  10:05:00,118.35,118.6,118.05,118.54,675,266,118.437
20210303  10:10:00,118.5,118.52,117.16,117.21,499,306,117.603
20210303  10:15:00,117.3,117.4,116.88,117.14,628,346,117.131
20210303  10:20:00,117.18,117.49,116.72,117.31,1270,510,117.186
20210303  10:25:00,117.32,117.95,117.15,117.15,419,236,117.682
20210303  10:30:00,117.15,117.77,116.92,117.67,611,234,117.236
20210303  10:35:00,117.64,117.84,117.48,117.81,443,265,117.622
20210303  10:40:00,117.81,117.81,117.27,117.3,319,220,117.479
20210303  10:45:00,117.32,118.37,117.25,118.1,446,311,117.94
20210303  10:50:00,118.06,118.28,117.85,118.06,291,204,118.022
20210303  10:55:00,118.02,118.57,117.64,118.45,274,218,118.212
20210303  11:00:00,118.5,118.78,118.39,118.55,482,217,118.604
20210303  11:05:00,118.61,118.79,118.4,118.61,693,316,118.593
20210303  11:10:00,118.6,118.87,118.51,118.69,249,167,118.695
20210303  11:15:00,118.64,119.17,118.52,119.14,1371,507,118.943
20210303  11:20:00,119.13,119.46,119.05,119.26,697,347,119.285
20210303  11:25:00,119.22,119.53,119.19,119.49,310,220,119.357
20210303  11:30:00,119.46,119.78,119.37,119.43,1153,484,119.567
20210303  11:35:00,119.46,119.5,119.12,119.21,352,203,119.343
20210303  11:40:00,119.23,119.4,119.0,119.08,807,421,119.202
20210303  11:45:00,119.04,119.06,118.44,118.75,702,344,118.747
20210303  11:50:00,118.74,119.25,118.7,119.06,497,257,118.995
20210303  11:55:00,118.99,119.0,118.45,118.52,637,339,118.705
20210303  12:00:00,118.49,118.59,118.27,118.45,506,254,118.453
20210303  12:05:00,118.44,118.48,118.12,118.36,408,152,118.253
20210303  12:10:00,118.32,118.56,118.05,118.52,437,151,118.283
20210303  12:15:00,118.55,118.59,118.16,118.27,181,111,118.366
20210303  12:20:00,118.22,118.23,118.06,118.16,120,90,118.121
20210303  12:25:00,118.15,118.28,118.08,118.15,378,286,118.166
20210303  12:30:00,118.13,118.21,117.93,117.98,316,222,118.039
20210303  12:35:00,117.98,118.11,117.89,118.0,419,282,117.995
20210303  12:40:00,117.98,118.22,117.86,117.97,445,309,117.977
20210303  12:45:00,117.95,118.14,117.9,118.08,636,373,118.052
20210303  12:50:00,118.14,118.18,117.81,117.81,279,216,118.05
20210303  12:55:00,117.8,117.83,117.49,117.5,258,177,117.659
20210303  13:00:00,117.44,117.7,117.34,117.49,279,194,117.524
20210303  13:05:00,117.54,117.56,117.29,117.41,259,155,117.427
20210303  13:10:00,117.39,117.74,117.33,117.44,195,132,117.474
20210303  13:15:00,117.4,118.05,117.3,118.02,239,189,117.803
20210303  13:20:00,118.03,118.05,117.84,117.87,265,208,117.964
20210303  13:25:00,117.85,118.05,117.74,117.8,313,236,117.941
20210303  13:30:00,117.76,117.77,117.28,117.42,289,174,117.48
20210303  13:35:00,117.41,117.74,117.4,117.52,423,218,117.574
20210303  13:40:00,117.52,117.56,117.32,117.42,427,270,117.445
20210303  13:45:00,117.44,117.49,116.88,116.96,441,295,117.124
20210303  13:50:00,116.95,117.14,116.87,116.89,243,154,117.005
20210303  13:55:00,116.9,116.92,116.52,116.67,327,177,116.73
20210303  14:00:00,116.63,116.7,116.06,116.15,558,306,116.367
20210303  14:05:00,116.16,116.44,116.12,116.4,468,258,116.281
20210303  14:10:00,116.44,116.66,116.16,116.54,326,164,116.501
20210303  14:15:00,116.57,116.57,116.03,116.21,255,187,116.172
20210303  14:20:00,116.26,116.27,115.7,115.89,980,585,115.918
20210303  14:25:00,115.87,115.95,115.44,115.56,413,294,115.693
20210303  14:30:00,115.6,115.73,115.1,115.17,668,366,115.315
20210303  14:35:00,115.15,116.09,115.15,115.9,441,293,115.745
20210303  14:40:00,115.9,116.23,115.9,116.19,362,248,116.07
20210303  14:45:00,116.14,116.14,115.55,115.64,360,228,115.767
20210303  14:50:00,115.7,116.62,115.69,116.48,416,234,116.279
20210303  14:55:00,116.45,116.67,116.29,116.52,453,237,116.472
20210303  15:00:00,116.52,116.64,116.18,116.51,460,273,116.407
20210303  15:05:00,116.48,116.51,116.0,116.19,473,318,116.255
20210303  15:10:00,116.21,116.52,116.09,116.3,982,486,116.255
20210303  15:15:00,116.32,116.59,116.08,116.45,417,313,116.296
20210303  15:20:00,116.48,116.51,115.94,116.05,824,425,116.324
20210303  15:25:00,116.09,116.24,115.78,116.16,403,265,116.011
20210303  15:30:00,116.14,116.46,115.93,116.44,473,321,116.213
20210303  15:35:00,116.4,116.6,116.26,116.57,992,426,116.436
20210303  15:40:00,116.6,116.7,116.4,116.53,1157,605,116.535
20210303  15:45:00,116.49,116.82,116.35,116.72,1132,598,116.563
20210303  15:50:00,116.7,116.7,115.88,115.99,3440,1221,116.21
20210303  15:55:00,116.01,116.01,115.21,115.46,4314,2246,115.561
