date,open,high,low,close,volume,barCount,average
20190912  09:30:00,7.52,7.53,7.47,7.53,1759,246,7.502
20190912  09:35:00,7.53,7.53,7.51,7.53,495,138,7.522
20190912  09:40:00,7.53,7.53,7.46,7.47,1354,254,7.497
20190912  09:45:00,7.46,7.47,7.4,7.41,833,262,7.434
20190912  09:50:00,7.4,7.44,7.38,7.43,521,212,7.409
20190912  09:55:00,7.43,7.45,7.4,7.41,662,180,7.424
20190912  10:00:00,7.41,7.44,7.39,7.43,415,152,7.409
20190912  10:05:00,7.42,7.45,7.42,7.44,396,99,7.439
20190912  10:10:00,7.43,7.5,7.42,7.49,724,283,7.472
20190912  10:15:00,7.49,7.53,7.49,7.52,538,166,7.513
20190912  10:20:00,7.52,7.52,7.5,7.5,507,169,7.511
20190912  10:25:00,7.51,7.51,7.48,7.49,436,172,7.495
20190912  10:30:00,7.49,7.49,7.44,7.44,396,173,7.463
20190912  10:35:00,7.44,7.45,7.42,7.44,520,173,7.438
20190912  10:40:00,7.44,7.45,7.41,7.42,289,133,7.425
20190912  10:45:00,7.42,7.44,7.4,7.43,309,126,7.413
20190912  10:50:00,7.42,7.43,7.37,7.39,875,268,7.389
20190912  10:55:00,7.38,7.39,7.36,7.37,444,133,7.374
20190912  11:00:00,7.37,7.37,7.33,7.35,562,155,7.347
20190912  11:05:00,7.35,7.39,7.34,7.39,755,147,7.359
20190912  11:10:00,7.39,7.4,7.37,7.4,418,153,7.386
20190912  11:15:00,7.41,7.42,7.39,7.4,212,83,7.403
20190912  11:20:00,7.4,7.4,7.38,7.39,235,121,7.387
20190912  11:25:00,7.39,7.41,7.37,7.41,771,197,7.383
20190912  11:30:00,7.41,7.42,7.39,7.4,244,89,7.405
20190912  11:35:00,7.4,7.4,7.38,7.39,158,61,7.387
20190912  11:40:00,7.39,7.41,7.38,7.41,282,76,7.396
20190912  11:45:00,7.41,7.43,7.4,7.43,208,58,7.42
20190912  11:50:00,7.43,7.43,7.42,7.43,483,141,7.422
20190912  11:55:00,7.42,7.42,7.36,7.37,2115,443,7.394
20190912  12:00:00,7.37,7.38,7.35,7.36,522,128,7.366
20190912  12:05:00,7.36,7.38,7.35,7.35,386,116,7.36
20190912  12:10:00,7.36,7.36,7.34,7.35,634,173,7.352
20190912  12:15:00,7.36,7.36,7.35,7.36,394,121,7.358
20190912  12:20:00,7.36,7.38,7.36,7.36,434,121,7.369
20190912  12:25:00,7.36,7.37,7.35,7.36,397,156,7.361
20190912  12:30:00,7.36,7.37,7.35,7.36,329,103,7.36
20190912  12:35:00,7.36,7.37,7.35,7.36,273,114,7.359
20190912  12:40:00,7.36,7.36,7.35,7.36,65,45,7.357
20190912  12:45:00,7.36,7.37,7.35,7.37,318,103,7.362
20190912  12:50:00,7.37,7.38,7.36,7.38,176,93,7.369
20190912  12:55:00,7.38,7.4,7.37,7.39,634,167,7.384
20190912  13:00:00,7.39,7.39,7.36,7.38,804,207,7.376
20190912  13:05:00,7.38,7.39,7.37,7.39,626,203,7.382
20190912  13:10:00,7.39,7.39,7.37,7.38,276,80,7.379
20190912  13:15:00,7.38,7.38,7.37,7.38,62,47,7.377
20190912  13:20:00,7.38,7.39,7.37,7.38,861,226,7.38
20190912  13:25:00,7.38,7.39,7.37,7.39,284,95,7.383
20190912  13:30:00,7.39,7.39,7.38,7.39,133,57,7.386
20190912  13:35:00,7.39,7.39,7.36,7.37,281,142,7.376
20190912  13:40:00,7.37,7.39,7.36,7.39,228,113,7.373
20190912  13:45:00,7.39,7.39,7.37,7.38,491,153,7.381
20190912  13:50:00,7.38,7.38,7.37,7.38,127,43,7.378
20190912  13:55:00,7.38,7.39,7.37,7.38,376,126,7.38
20190912  14:00:00,7.38,7.39,7.37,7.37,303,88,7.376
20190912  14:05:00,7.37,7.38,7.36,7.38,399,171,7.37
20190912  14:10:00,7.38,7.39,7.37,7.39,479,126,7.38
20190912  14:15:00,7.38,7.39,7.37,7.38,235,93,7.379
20190912  14:20:00,7.39,7.39,7.37,7.38,531,91,7.379
20190912  14:25:00,7.38,7.39,7.37,7.39,222,86,7.38
20190912  14:30:00,7.39,7.39,7.37,7.38,526,238,7.379
20190912  14:35:00,7.38,7.4,7.37,7.39,346,124,7.383
20190912  14:40:00,7.4,7.41,7.39,7.41,401,118,7.399
20190912  14:45:00,7.4,7.41,7.4,7.41,130,47,7.401
20190912  14:50:00,7.4,7.43,7.4,7.43,904,153,7.418
20190912  14:55:00,7.42,7.43,7.41,7.42,380,108,7.421
20190912  15:00:00,7.43,7.43,7.41,7.42,241,97,7.418
20190912  15:05:00,7.41,7.43,7.4,7.42,499,148,7.412
20190912  15:10:00,7.43,7.44,7.42,7.44,357,116,7.426
20190912  15:15:00,7.44,7.44,7.43,7.43,212,89,7.436
20190912  15:20:00,7.44,7.44,7.42,7.43,364,134,7.432
20190912  15:25:00,7.44,7.44,7.42,7.42,563,196,7.428
20190912  15:30:00,7.42,7.43,7.42,7.42,116,69,7.425
20190912  15:35:00,7.42,7.43,7.42,7.42,118,73,7.424
20190912  15:40:00,7.43,7.43,7.42,7.43,759,250,7.427
20190912  15:45:00,7.43,7.43,7.42,7.43,396,188,7.423
20190912  15:50:00,7.43,7.43,7.42,7.43,939,312,7.425
20190912  15:55:00,7.43,7.43,7.4,7.41,2163,730,7.411
