date,open,high,low,close,volume,barCount,average
20210305  09:30:00,210.01,212.35,208.77,212.26,7881,3096,210.405
20210305  09:35:00,212.26,212.35,210.04,210.62,3548,2184,210.834
20210305  09:40:00,210.62,210.86,207.56,208.76,1596,1026,209.014
20210305  09:45:00,208.79,209.45,208.31,208.46,2029,733,208.71
20210305  09:50:00,208.43,209.44,207.87,208.23,1554,922,208.78
20210305  09:55:00,208.23,208.37,206.76,208.12,1821,1061,207.505
20210305  10:00:00,208.11,208.77,207.42,208.43,1181,869,208.119
20210305  10:05:00,208.61,209.73,208.33,208.55,1334,975,209.147
20210305  10:10:00,208.7,209.31,207.91,208.11,1304,1074,208.569
20210305  10:15:00,208.19,208.96,207.87,208.6,1174,819,208.297
20210305  10:20:00,208.49,208.74,206.3,206.35,1655,985,207.303
20210305  10:25:00,206.55,207.69,206.09,206.25,934,680,206.71
20210305  10:30:00,206.35,206.76,205.65,206.1,954,667,205.998
20210305  10:35:00,206.1,206.76,205.43,205.64,763,557,206.1
20210305  10:40:00,205.81,206.66,205.44,205.67,513,410,205.971
20210305  10:45:00,205.61,205.91,205.23,205.31,730,580,205.515
20210305  10:50:00,205.34,206.6,205.15,206.48,527,377,206.09
20210305  10:55:00,206.41,206.54,205.61,205.76,622,469,206.134
20210305  11:00:00,205.89,206.17,205.29,205.64,669,511,205.619
20210305  11:05:00,205.59,205.96,205.01,205.11,645,486,205.442
20210305  11:10:00,205.05,205.42,203.91,204.11,1227,847,204.694
20210305  11:15:00,204.14,204.52,203.65,204.31,963,607,204.092
20210305  11:20:00,204.33,204.6,203.71,203.79,873,639,204.093
20210305  11:25:00,203.79,203.89,203.22,203.73,874,662,203.536
20210305  11:30:00,203.87,204.65,203.81,204.33,964,511,204.262
20210305  11:35:00,204.29,205.0,204.29,204.78,590,465,204.743
20210305  11:40:00,204.81,204.82,203.8,204.66,810,635,204.354
20210305  11:45:00,204.68,204.75,204.2,204.42,548,387,204.538
20210305  11:50:00,204.35,204.41,203.38,203.56,761,556,203.911
20210305  11:55:00,203.55,205.01,203.46,204.94,763,607,204.318
20210305  12:00:00,204.83,205.77,204.78,205.54,592,467,205.374
20210305  12:05:00,205.5,205.83,204.87,205.02,646,543,205.334
20210305  12:10:00,205.01,205.5,204.69,205.28,496,370,205.115
20210305  12:15:00,205.22,206.12,205.18,206.04,619,444,205.696
20210305  12:20:00,206.01,206.77,205.82,206.64,808,586,206.19
20210305  12:25:00,206.6,206.91,206.23,206.57,1164,835,206.606
20210305  12:30:00,206.56,207.1,206.43,206.76,754,517,206.789
20210305  12:35:00,206.71,207.2,206.17,207.19,715,426,206.735
20210305  12:40:00,207.19,208.0,207.06,207.8,1378,713,207.434
20210305  12:45:00,207.78,208.15,207.64,207.7,1024,589,207.891
20210305  12:50:00,207.75,208.19,207.6,207.67,583,437,207.863
20210305  12:55:00,207.66,208.25,207.66,207.99,413,269,207.937
20210305  13:00:00,207.96,208.54,207.43,207.66,855,557,208.071
20210305  13:05:00,207.72,208.95,207.66,208.57,577,444,208.356
20210305  13:10:00,208.56,209.04,208.33,208.9,421,305,208.643
20210305  13:15:00,208.92,209.69,208.78,209.69,508,424,209.33
20210305  13:20:00,209.62,209.73,209.19,209.55,559,394,209.481
20210305  13:25:00,209.57,209.86,209.36,209.8,793,400,209.556
20210305  13:30:00,209.83,209.94,209.36,209.76,567,464,209.728
20210305  13:35:00,209.8,210.18,209.55,210.11,794,469,209.891
20210305  13:40:00,210.15,210.5,209.85,210.0,776,606,210.245
20210305  13:45:00,210.04,210.18,209.76,210.05,369,293,209.995
20210305  13:50:00,210.12,210.35,209.11,209.27,562,433,209.707
20210305  13:55:00,209.36,209.83,209.27,209.83,612,432,209.614
20210305  14:00:00,209.92,210.3,209.32,209.36,949,540,209.864
20210305  14:05:00,209.32,209.7,208.9,209.51,1663,1002,209.366
20210305  14:10:00,209.51,209.51,208.92,209.23,726,519,209.202
20210305  14:15:00,209.27,209.57,208.59,208.73,783,563,209.131
20210305  14:20:00,208.72,209.19,208.62,209.07,681,463,208.891
20210305  14:25:00,209.07,209.45,208.87,209.23,598,480,209.149
20210305  14:30:00,209.27,210.05,209.23,209.84,794,485,209.6
20210305  14:35:00,209.87,210.26,209.81,209.85,962,525,210.096
20210305  14:40:00,209.89,210.0,209.12,209.25,401,336,209.533
20210305  14:45:00,209.22,209.84,209.14,209.83,761,436,209.385
20210305  14:50:00,209.78,210.06,209.73,210.06,497,396,209.873
20210305  14:55:00,210.05,210.5,209.93,210.33,558,408,210.264
20210305  15:00:00,210.35,210.62,210.2,210.42,493,385,210.457
20210305  15:05:00,210.44,210.56,209.91,210.11,579,384,210.255
20210305  15:10:00,210.1,210.1,209.56,209.74,530,380,209.906
20210305  15:15:00,209.75,210.33,209.63,209.98,519,407,209.978
20210305  15:20:00,209.95,210.29,209.86,210.0,674,513,210.064
20210305  15:25:00,209.99,210.57,209.79,210.49,841,636,210.196
20210305  15:30:00,210.48,210.74,210.21,210.37,1108,710,210.456
20210305  15:35:00,210.4,210.7,210.29,210.59,1161,949,210.491
20210305  15:40:00,210.59,210.59,209.99,210.41,855,684,210.348
20210305  15:45:00,210.42,210.78,209.89,210.77,1391,1003,210.43
20210305  15:50:00,210.88,211.05,210.54,210.84,1931,1499,210.837
20210305  15:55:00,210.85,211.17,210.55,210.76,3260,2157,210.854
