date,open,high,low,close,volume,barCount,average
20210311  09:30:00,111.65,111.87,111.23,111.37,4881,1556,111.577
20210311  09:35:00,111.37,112.0,111.37,111.88,2255,1293,111.775
20210311  09:40:00,111.91,112.11,111.63,111.84,2656,1472,111.924
20210311  09:45:00,111.79,111.91,111.6,111.7,1394,755,111.745
20210311  09:50:00,111.72,112.3,111.69,112.19,1679,817,112.098
20210311  09:55:00,112.19,112.45,112.09,112.13,2184,1051,112.301
20210311  10:00:00,112.12,112.13,111.77,111.92,1338,612,111.932
20210311  10:05:00,111.9,112.12,111.82,111.93,1128,559,111.985
20210311  10:10:00,111.91,112.07,111.79,111.95,822,453,111.941
20210311  10:15:00,111.95,112.03,111.75,111.92,985,479,111.904
20210311  10:20:00,111.91,112.27,111.91,112.26,1410,625,112.146
20210311  10:25:00,112.26,112.34,111.96,112.01,1164,600,112.116
20210311  10:30:00,112.02,112.37,111.96,112.11,1456,664,112.136
20210311  10:35:00,112.13,112.39,112.05,112.11,939,481,112.199
20210311  10:40:00,112.11,112.38,112.11,112.34,1139,615,112.279
20210311  10:45:00,112.34,112.48,112.27,112.39,1419,739,112.39
20210311  10:50:00,112.39,112.42,112.26,112.31,1257,661,112.332
20210311  10:55:00,112.31,112.55,112.31,112.37,1415,733,112.463
20210311  11:00:00,112.38,112.38,112.19,112.27,1282,717,112.281
20210311  11:05:00,112.27,112.33,112.12,112.26,958,554,112.196
20210311  11:10:00,112.24,112.27,112.03,112.12,796,482,112.191
20210311  11:15:00,112.12,112.13,112.02,112.13,863,463,112.092
20210311  11:20:00,112.13,112.18,111.9,111.92,927,527,112.049
20210311  11:25:00,111.93,111.99,111.83,111.85,896,503,111.912
20210311  11:30:00,111.87,111.89,111.67,111.72,879,545,111.774
20210311  11:35:00,111.75,111.8,111.44,111.49,999,599,111.607
20210311  11:40:00,111.48,111.66,111.46,111.66,933,452,111.531
20210311  11:45:00,111.66,111.76,111.61,111.71,958,432,111.702
20210311  11:50:00,111.73,111.92,111.72,111.85,922,467,111.854
20210311  11:55:00,111.84,111.97,111.59,111.6,1410,665,111.835
20210311  12:00:00,111.6,111.87,111.6,111.69,906,481,111.765
20210311  12:05:00,111.68,111.85,111.64,111.85,924,407,111.742
20210311  12:10:00,111.84,111.84,111.72,111.79,1067,532,111.793
20210311  12:15:00,111.79,111.88,111.73,111.76,1128,509,111.813
20210311  12:20:00,111.76,111.84,111.66,111.83,1456,562,111.731
20210311  12:25:00,111.82,111.95,111.81,111.94,956,455,111.863
20210311  12:30:00,111.95,112.04,111.91,111.99,522,313,111.981
20210311  12:35:00,111.99,112.04,111.88,112.01,384,247,111.979
20210311  12:40:00,112.0,112.11,111.88,111.89,799,406,112.028
20210311  12:45:00,111.9,112.06,111.79,111.82,552,322,111.948
20210311  12:50:00,111.85,111.85,111.69,111.74,485,232,111.735
20210311  12:55:00,111.72,111.85,111.64,111.85,289,198,111.728
20210311  13:00:00,111.87,111.97,111.86,111.87,508,281,111.92
20210311  13:05:00,111.86,111.95,111.79,111.84,376,262,111.841
20210311  13:10:00,111.83,111.86,111.67,111.74,482,255,111.756
20210311  13:15:00,111.76,111.9,111.75,111.81,659,293,111.814
20210311  13:20:00,111.82,111.85,111.74,111.75,326,225,111.783
20210311  13:25:00,111.75,111.77,111.65,111.69,603,316,111.715
20210311  13:30:00,111.69,111.76,111.65,111.68,561,349,111.707
20210311  13:35:00,111.67,111.74,111.64,111.66,535,260,111.678
20210311  13:40:00,111.66,111.71,111.57,111.59,409,220,111.636
20210311  13:45:00,111.59,111.61,111.3,111.3,663,373,111.46
20210311  13:50:00,111.32,111.34,111.11,111.13,927,502,111.232
20210311  13:55:00,111.12,111.22,111.04,111.15,700,383,111.13
20210311  14:00:00,111.15,111.45,111.15,111.29,852,501,111.31
20210311  14:05:00,111.3,111.31,111.14,111.31,735,448,111.231
20210311  14:10:00,111.32,111.5,111.27,111.48,824,492,111.411
20210311  14:15:00,111.49,111.62,111.44,111.58,1000,621,111.524
20210311  14:20:00,111.59,111.74,111.55,111.73,607,415,111.633
20210311  14:25:00,111.74,111.75,111.62,111.7,709,471,111.67
20210311  14:30:00,111.69,111.73,111.65,111.67,557,384,111.683
20210311  14:35:00,111.67,111.83,111.56,111.79,1404,550,111.637
20210311  14:40:00,111.79,111.79,111.63,111.68,972,528,111.711
20210311  14:45:00,111.68,111.73,111.57,111.59,816,517,111.663
20210311  14:50:00,111.58,111.8,111.58,111.79,2292,735,111.738
20210311  14:55:00,111.78,111.78,111.62,111.63,1360,749,111.729
20210311  15:00:00,111.63,111.81,111.62,111.7,677,417,111.713
20210311  15:05:00,111.71,111.73,111.5,111.54,601,342,111.597
20210311  15:10:00,111.53,111.55,111.21,111.24,760,424,111.363
20210311  15:15:00,111.23,111.24,111.11,111.15,624,348,111.154
20210311  15:20:00,111.16,111.21,111.08,111.17,875,423,111.147
20210311  15:25:00,111.18,111.18,110.93,111.11,1490,741,111.037
20210311  15:30:00,111.1,111.13,110.96,111.03,787,483,111.046
20210311  15:35:00,111.04,111.16,111.04,111.08,760,503,111.112
20210311  15:40:00,111.09,111.1,110.89,110.97,951,606,110.964
20210311  15:45:00,110.97,111.21,110.96,111.13,1024,663,111.127
20210311  15:50:00,111.12,111.24,111.03,111.14,2008,1192,111.128
20210311  15:55:00,111.13,111.24,110.95,111.15,3311,1699,111.073
