date,open,high,low,close,volume,barCount,average
20210521  09:30:00,172.22,172.38,171.93,171.93,3830,530,172.326
20210521  09:35:00,171.98,172.33,171.77,172.14,1448,788,172.079
20210521  09:40:00,172.15,172.56,172.1,172.41,933,507,172.315
20210521  09:45:00,172.39,172.69,172.3,172.65,873,547,172.538
20210521  09:50:00,172.61,172.73,172.38,172.65,892,470,172.58
20210521  09:55:00,172.62,172.95,172.52,172.91,967,488,172.774
20210521  10:00:00,172.9,172.93,172.69,172.83,777,499,172.834
20210521  10:05:00,172.85,172.9,172.42,172.61,550,363,172.624
20210521  10:10:00,172.59,172.71,172.47,172.56,501,291,172.565
20210521  10:15:00,172.57,172.57,172.12,172.26,750,399,172.32
20210521  10:20:00,172.25,172.41,172.18,172.39,454,280,172.278
20210521  10:25:00,172.41,172.65,172.32,172.41,672,393,172.47
20210521  10:30:00,172.38,172.75,172.38,172.66,418,295,172.621
20210521  10:35:00,172.68,172.79,172.45,172.68,791,482,172.585
20210521  10:40:00,172.68,172.75,172.46,172.49,558,338,172.614
20210521  10:45:00,172.49,172.52,172.1,172.28,394,240,172.278
20210521  10:50:00,172.31,172.4,172.15,172.19,391,263,172.275
20210521  10:55:00,172.22,172.55,172.2,172.47,585,329,172.348
20210521  11:00:00,172.47,172.51,172.03,172.1,923,609,172.147
20210521  11:05:00,172.11,172.42,172.11,172.2,759,476,172.292
20210521  11:10:00,172.2,172.23,171.87,171.9,954,644,172.04
20210521  11:15:00,171.88,172.04,171.82,171.85,702,498,171.906
20210521  11:20:00,171.85,171.98,171.68,171.68,524,373,171.827
20210521  11:25:00,171.68,171.89,171.52,171.55,488,320,171.689
20210521  11:30:00,171.55,171.74,171.52,171.68,254,184,171.632
20210521  11:35:00,171.68,171.93,171.67,171.9,478,280,171.808
20210521  11:40:00,171.9,172.1,171.9,172.0,851,443,172.0
20210521  11:45:00,172.01,172.11,171.84,172.02,295,224,171.997
20210521  11:50:00,172.03,172.27,172.03,172.09,251,181,172.162
20210521  11:55:00,172.13,172.22,172.0,172.2,444,266,172.081
20210521  12:00:00,172.14,172.33,172.14,172.25,443,265,172.241
20210521  12:05:00,172.29,172.38,171.99,172.01,941,563,172.26
20210521  12:10:00,171.99,172.37,171.99,172.22,379,209,172.214
20210521  12:15:00,172.21,172.39,172.17,172.33,439,210,172.298
20210521  12:20:00,172.32,172.54,172.3,172.5,323,188,172.458
20210521  12:25:00,172.52,172.74,172.47,172.73,515,280,172.598
20210521  12:30:00,172.72,172.89,172.72,172.81,897,368,172.809
20210521  12:35:00,172.81,172.87,172.72,172.85,375,207,172.799
20210521  12:40:00,172.86,172.96,172.82,172.84,492,274,172.888
20210521  12:45:00,172.85,172.88,172.6,172.68,401,272,172.723
20210521  12:50:00,172.7,172.7,172.55,172.56,585,330,172.619
20210521  12:55:00,172.56,172.73,172.47,172.69,719,377,172.603
20210521  13:00:00,172.67,172.75,172.58,172.72,653,387,172.678
20210521  13:05:00,172.69,172.78,172.67,172.7,230,159,172.728
20210521  13:10:00,172.69,172.8,172.66,172.71,470,276,172.731
20210521  13:15:00,172.72,172.85,172.68,172.78,653,377,172.753
20210521  13:20:00,172.8,172.86,172.7,172.74,619,360,172.788
20210521  13:25:00,172.73,172.81,172.71,172.78,286,220,172.757
20210521  13:30:00,172.76,172.89,172.75,172.84,352,224,172.819
20210521  13:35:00,172.85,172.86,172.6,172.81,288,180,172.693
20210521  13:40:00,172.78,172.98,172.78,172.93,534,368,172.897
20210521  13:45:00,172.93,172.96,172.78,172.8,324,175,172.859
20210521  13:50:00,172.8,172.87,172.7,172.75,284,188,172.792
20210521  13:55:00,172.74,172.82,172.74,172.77,253,166,172.783
20210521  14:00:00,172.8,172.86,172.62,172.7,402,297,172.755
20210521  14:05:00,172.7,172.71,172.53,172.59,314,229,172.627
20210521  14:10:00,172.58,172.7,172.52,172.52,357,253,172.609
20210521  14:15:00,172.54,172.61,172.5,172.56,308,252,172.547
20210521  14:20:00,172.55,172.8,172.54,172.71,613,390,172.703
20210521  14:25:00,172.71,172.74,172.54,172.69,704,410,172.677
20210521  14:30:00,172.7,172.8,172.57,172.61,563,391,172.73
20210521  14:35:00,172.61,172.7,172.41,172.44,485,288,172.565
20210521  14:40:00,172.46,172.53,172.4,172.5,382,264,172.465
20210521  14:45:00,172.5,172.6,172.43,172.44,375,195,172.513
20210521  14:50:00,172.44,172.64,172.44,172.64,384,266,172.555
20210521  14:55:00,172.65,172.85,172.64,172.78,708,443,172.744
20210521  15:00:00,172.78,172.8,172.61,172.73,513,327,172.703
20210521  15:05:00,172.73,172.79,172.65,172.74,606,365,172.722
20210521  15:10:00,172.72,172.98,172.7,172.79,679,400,172.849
20210521  15:15:00,172.8,173.06,172.8,173.02,1050,648,172.965
20210521  15:20:00,173.01,173.12,172.91,173.07,577,361,173.026
20210521  15:25:00,173.07,173.09,172.9,172.92,583,362,172.999
20210521  15:30:00,172.92,172.93,172.78,172.83,472,369,172.867
20210521  15:35:00,172.82,172.9,172.69,172.76,645,391,172.804
20210521  15:40:00,172.73,172.8,172.55,172.55,913,576,172.693
20210521  15:45:00,172.55,172.65,172.4,172.65,879,595,172.501
20210521  15:50:00,172.67,172.87,172.54,172.72,1861,1163,172.717
20210521  15:55:00,172.73,172.86,172.22,172.46,3913,2186,172.446
