date,open,high,low,close,volume,barCount,average
20210430  09:30:00,326.18,328.43,325.9,327.7,12313,4314,327.202
20210430  09:35:00,327.67,329.82,327.5,329.48,8163,4106,328.812
20210430  09:40:00,329.52,329.73,328.35,328.43,4926,2738,328.984
20210430  09:45:00,328.44,329.3,327.66,328.16,4845,2719,328.313
20210430  09:50:00,328.16,328.39,327.37,327.72,4579,2541,327.978
20210430  09:55:00,327.74,329.13,327.4,328.91,3516,1699,328.335
20210430  10:00:00,328.91,329.0,328.27,328.32,2810,1574,328.691
20210430  10:05:00,328.35,328.61,327.58,327.67,2949,1444,328.01
20210430  10:10:00,327.66,327.66,326.61,326.81,4346,2133,327.123
20210430  10:15:00,326.86,327.34,326.59,327.07,2818,1483,327.004
20210430  10:20:00,327.06,327.88,326.94,327.82,2962,1291,327.451
20210430  10:25:00,327.82,327.96,327.3,327.67,2452,1109,327.656
20210430  10:30:00,327.69,327.9,327.01,327.33,2638,1150,327.44
20210430  10:35:00,327.34,327.83,326.69,326.78,1771,1033,327.221
20210430  10:40:00,326.75,326.79,326.08,326.63,2289,1324,326.381
20210430  10:45:00,326.71,326.72,326.18,326.41,1351,730,326.426
20210430  10:50:00,326.44,326.79,325.95,326.34,2495,1163,326.266
20210430  10:55:00,326.38,326.49,325.61,325.66,2276,1129,326.097
20210430  11:00:00,325.67,326.13,325.24,326.04,2950,1396,325.699
20210430  11:05:00,326.01,326.27,325.71,326.23,2190,955,325.995
20210430  11:10:00,326.23,327.25,326.02,326.98,2313,1134,326.718
20210430  11:15:00,326.96,327.07,326.0,326.02,2171,1055,326.537
20210430  11:20:00,326.01,326.56,325.84,325.95,1940,875,326.225
20210430  11:25:00,325.94,326.04,325.46,325.74,1870,893,325.699
20210430  11:30:00,325.71,326.12,325.35,326.04,1686,770,325.732
20210430  11:35:00,326.04,326.05,325.35,325.37,1380,656,325.653
20210430  11:40:00,325.37,325.96,325.24,325.79,1531,863,325.718
20210430  11:45:00,325.76,326.47,325.75,326.36,1745,841,326.162
20210430  11:50:00,326.38,326.53,325.91,326.44,1617,890,326.338
20210430  11:55:00,326.43,326.46,325.57,325.64,1678,846,325.987
20210430  12:00:00,325.72,325.92,325.51,325.63,1206,565,325.706
20210430  12:05:00,325.66,326.5,325.62,326.1,3192,1283,326.078
20210430  12:10:00,326.12,326.24,325.55,325.56,1571,791,325.909
20210430  12:15:00,325.6,325.66,324.72,325.0,3385,1449,325.08
20210430  12:20:00,325.05,325.14,324.76,324.77,1426,676,324.965
20210430  12:25:00,324.85,325.2,324.55,325.09,1910,1027,324.88
20210430  12:30:00,325.08,325.29,324.67,324.77,1498,787,324.925
20210430  12:35:00,324.74,325.25,324.7,325.18,1251,553,324.942
20210430  12:40:00,325.17,325.18,324.9,325.07,750,513,325.045
20210430  12:45:00,325.07,325.25,324.71,324.77,1109,651,324.913
20210430  12:50:00,324.77,325.25,324.74,325.18,965,514,325.057
20210430  12:55:00,325.18,325.63,324.91,325.51,1022,496,325.242
20210430  13:00:00,325.53,325.71,325.23,325.39,1699,662,325.439
20210430  13:05:00,325.38,325.91,325.3,325.87,1028,456,325.615
20210430  13:10:00,325.89,325.95,325.36,325.47,1222,618,325.59
20210430  13:15:00,325.47,325.7,325.29,325.44,1030,467,325.473
20210430  13:20:00,325.46,325.99,325.46,325.99,1876,806,325.725
20210430  13:25:00,325.95,326.16,325.89,325.99,1373,654,326.05
20210430  13:30:00,325.99,326.13,325.63,326.01,1125,534,325.908
20210430  13:35:00,326.02,326.15,325.8,326.1,900,436,326.023
20210430  13:40:00,326.09,326.14,325.8,325.94,1144,490,326.008
20210430  13:45:00,325.93,325.99,325.4,325.84,803,450,325.691
20210430  13:50:00,325.8,325.92,325.22,325.37,837,459,325.542
20210430  13:55:00,325.35,325.59,325.11,325.59,653,387,325.256
20210430  14:00:00,325.58,326.09,325.43,326.02,1166,643,325.852
20210430  14:05:00,326.06,326.33,326.01,326.14,1439,720,326.18
20210430  14:10:00,326.09,326.37,325.96,325.96,982,549,326.14
20210430  14:15:00,325.97,325.97,325.59,325.69,959,457,325.747
20210430  14:20:00,325.69,325.83,325.34,325.42,713,440,325.574
20210430  14:25:00,325.49,326.16,325.39,326.09,1260,615,325.948
20210430  14:30:00,326.08,326.1,325.78,325.93,608,451,325.967
20210430  14:35:00,325.97,326.18,325.87,325.99,669,404,326.043
20210430  14:40:00,325.98,326.63,325.91,326.56,1761,870,326.316
20210430  14:45:00,326.55,326.56,326.05,326.22,1312,674,326.215
20210430  14:50:00,326.21,326.21,325.8,325.96,850,407,326.007
20210430  14:55:00,325.97,326.27,325.93,326.01,1015,558,326.076
20210430  15:00:00,326.0,326.31,325.66,325.87,1526,866,326.013
20210430  15:05:00,325.91,326.03,325.58,325.62,948,599,325.844
20210430  15:10:00,325.62,325.83,325.37,325.41,1064,678,325.628
20210430  15:15:00,325.38,325.38,325.1,325.3,1237,774,325.245
20210430  15:20:00,325.29,325.83,325.1,325.83,1999,1085,325.436
20210430  15:25:00,325.83,326.3,325.77,326.3,1865,1004,326.079
20210430  15:30:00,326.28,326.35,325.88,326.14,2865,1601,326.155
20210430  15:35:00,326.14,326.34,325.95,325.98,2805,1666,326.104
20210430  15:40:00,325.97,326.04,325.8,326.01,2171,1482,325.944
20210430  15:45:00,326.0,326.07,325.6,325.96,3239,1928,325.861
20210430  15:50:00,325.89,325.9,324.5,324.62,5187,3518,325.322
20210430  15:55:00,324.64,325.31,324.51,325.08,11133,6736,324.878
