date,open,high,low,close,volume,barCount,average
20201222  09:30:00,21.29,21.8,21.25,21.55,16979,3778,21.504
20201222  09:35:00,21.56,21.69,21.25,21.41,12731,3018,21.45
20201222  09:40:00,21.41,21.49,21.21,21.23,7139,1675,21.386
20201222  09:45:00,21.23,21.44,21.01,21.44,9639,2423,21.198
20201222  09:50:00,21.44,21.53,21.35,21.44,6926,2101,21.453
20201222  09:55:00,21.45,21.55,21.41,21.47,4465,1635,21.494
20201222  10:00:00,21.49,21.65,21.45,21.58,5696,2159,21.565
20201222  10:05:00,21.59,21.6,21.31,21.38,5951,1851,21.431
20201222  10:10:00,21.38,21.41,21.17,21.23,4471,1261,21.285
20201222  10:15:00,21.23,21.31,21.13,21.3,4727,1288,21.239
20201222  10:20:00,21.3,21.52,21.27,21.52,3842,1130,21.376
20201222  10:25:00,21.52,22.08,21.51,22.08,11531,2984,21.872
20201222  10:30:00,22.07,22.19,21.92,22.13,7586,2188,22.048
20201222  10:35:00,22.14,22.19,21.91,21.94,5540,1775,22.03
20201222  10:40:00,21.93,21.93,21.62,21.71,5714,2157,21.748
20201222  10:45:00,21.71,21.97,21.69,21.95,4300,904,21.868
20201222  10:50:00,21.94,22.11,21.81,22.03,3783,902,21.955
20201222  10:55:00,22.03,22.37,22.03,22.15,7114,2110,22.223
20201222  11:00:00,22.16,22.17,21.97,22.0,4946,1616,22.061
20201222  11:05:00,22.0,22.03,21.86,21.9,4196,1271,21.937
20201222  11:10:00,21.91,22.11,21.88,21.99,4531,1581,22.016
20201222  11:15:00,22.0,22.07,21.9,22.07,5978,1708,22.013
20201222  11:20:00,22.06,22.38,22.05,22.38,6448,1465,22.157
20201222  11:25:00,22.38,22.7,22.37,22.62,8393,2145,22.536
20201222  11:30:00,22.63,22.67,22.42,22.48,7184,2291,22.553
20201222  11:35:00,22.48,22.48,22.26,22.29,5402,1438,22.366
20201222  11:40:00,22.3,22.3,21.87,21.88,5874,1802,22.07
20201222  11:45:00,21.89,22.1,21.76,22.02,6576,1635,21.961
20201222  11:50:00,22.03,22.2,22.02,22.17,4053,1033,22.128
20201222  11:55:00,22.16,22.24,22.12,22.24,3828,779,22.176
20201222  12:00:00,22.24,22.28,22.13,22.14,2885,637,22.222
20201222  12:05:00,22.14,22.15,21.94,21.96,3466,917,22.039
20201222  12:10:00,21.96,21.97,21.83,21.91,2267,823,21.911
20201222  12:15:00,21.91,21.95,21.79,21.91,3088,841,21.882
20201222  12:20:00,21.92,22.01,21.83,21.86,2404,679,21.923
20201222  12:25:00,21.87,21.89,21.8,21.86,2166,732,21.839
20201222  12:30:00,21.86,22.03,21.85,21.93,2177,624,21.942
20201222  12:35:00,21.93,21.94,21.77,21.79,2181,744,21.86
20201222  12:40:00,21.79,21.86,21.73,21.86,2383,882,21.782
20201222  12:45:00,21.85,21.9,21.79,21.85,1502,516,21.851
20201222  12:50:00,21.84,21.91,21.83,21.87,1286,417,21.879
20201222  12:55:00,21.87,22.04,21.81,22.0,3218,795,21.925
20201222  13:00:00,22.0,22.06,21.95,21.98,1531,524,21.993
20201222  13:05:00,21.97,21.97,21.82,21.85,3354,788,21.888
20201222  13:10:00,21.86,21.88,21.81,21.82,1632,615,21.837
20201222  13:15:00,21.82,21.88,21.78,21.87,1898,718,21.816
20201222  13:20:00,21.87,21.89,21.79,21.87,2380,514,21.847
20201222  13:25:00,21.87,21.87,21.8,21.85,797,291,21.832
20201222  13:30:00,21.85,21.9,21.82,21.86,1411,389,21.868
20201222  13:35:00,21.86,21.88,21.79,21.86,1751,596,21.84
20201222  13:40:00,21.86,21.9,21.82,21.87,2013,373,21.861
20201222  13:45:00,21.87,21.9,21.82,21.86,1672,521,21.866
20201222  13:50:00,21.85,21.87,21.69,21.69,1992,709,21.768
20201222  13:55:00,21.69,21.75,21.68,21.7,1311,417,21.714
20201222  14:00:00,21.71,21.79,21.71,21.79,1117,376,21.762
20201222  14:05:00,21.79,21.87,21.76,21.8,2020,905,21.808
20201222  14:10:00,21.8,21.88,21.8,21.88,851,280,21.857
20201222  14:15:00,21.88,21.88,21.82,21.83,1564,621,21.853
20201222  14:20:00,21.82,21.87,21.76,21.87,1723,559,21.803
20201222  14:25:00,21.88,21.98,21.86,21.86,2964,1061,21.904
20201222  14:30:00,21.86,21.9,21.81,21.86,1592,478,21.855
20201222  14:35:00,21.86,21.87,21.83,21.86,612,318,21.85
20201222  14:40:00,21.86,21.88,21.82,21.86,1080,401,21.85
20201222  14:45:00,21.87,21.92,21.84,21.88,2689,625,21.871
20201222  14:50:00,21.88,21.9,21.85,21.88,2188,611,21.868
20201222  14:55:00,21.88,21.94,21.85,21.92,2366,787,21.886
20201222  15:00:00,21.92,21.99,21.89,21.98,5337,1518,21.951
20201222  15:05:00,21.98,21.99,21.92,21.93,4506,1268,21.953
20201222  15:10:00,21.93,22.06,21.9,22.05,3503,997,21.956
20201222  15:15:00,22.06,22.25,22.05,22.23,3274,1081,22.158
20201222  15:20:00,22.24,22.43,22.23,22.39,4653,1420,22.331
20201222  15:25:00,22.39,22.41,22.32,22.4,3087,1066,22.356
20201222  15:30:00,22.39,22.53,22.38,22.53,9602,2416,22.443
20201222  15:35:00,22.54,22.55,22.39,22.43,6929,1900,22.472
20201222  15:40:00,22.43,22.45,22.37,22.42,3804,1144,22.421
20201222  15:45:00,22.41,22.45,22.28,22.28,3668,1482,22.394
20201222  15:50:00,22.28,22.37,22.24,22.31,5948,2266,22.309
20201222  15:55:00,22.31,22.43,22.25,22.43,13493,4319,22.342
