date,open,high,low,close,volume,barCount,average
20210602  09:30:00,13.31,13.45,13.25,13.44,2723,637,13.353
20210602  09:35:00,13.45,13.48,13.32,13.45,1979,635,13.421
20210602  09:40:00,13.46,13.6,13.43,13.6,1787,631,13.523
20210602  09:45:00,13.6,13.68,13.53,13.65,2060,749,13.624
20210602  09:50:00,13.66,13.88,13.61,13.85,3203,1222,13.754
20210602  09:55:00,13.84,14.12,13.81,13.9,7893,2576,13.96
20210602  10:00:00,13.9,13.96,13.81,13.84,2499,927,13.877
20210602  10:05:00,13.84,14.01,13.84,13.97,2608,850,13.962
20210602  10:10:00,13.96,13.97,13.81,13.85,1924,761,13.887
20210602  10:15:00,13.84,14.02,13.83,14.0,2318,804,13.947
20210602  10:20:00,14.0,14.02,13.9,13.91,1266,446,13.957
20210602  10:25:00,13.91,13.91,13.82,13.83,1516,604,13.864
20210602  10:30:00,13.83,13.95,13.81,13.82,1310,560,13.874
20210602  10:35:00,13.81,13.85,13.76,13.83,1312,455,13.788
20210602  10:40:00,13.84,13.92,13.82,13.87,1110,427,13.892
20210602  10:45:00,13.87,13.92,13.83,13.9,1226,561,13.866
20210602  10:50:00,13.9,13.9,13.79,13.84,1147,632,13.846
20210602  10:55:00,13.85,13.89,13.83,13.89,1018,445,13.863
20210602  11:00:00,13.88,13.9,13.83,13.86,1343,598,13.864
20210602  11:05:00,13.86,13.86,13.74,13.77,1636,648,13.794
20210602  11:10:00,13.76,13.8,13.75,13.76,830,364,13.773
20210602  11:15:00,13.77,13.8,13.75,13.77,706,368,13.774
20210602  11:20:00,13.77,13.81,13.74,13.81,1075,428,13.764
20210602  11:25:00,13.81,13.88,13.79,13.88,764,275,13.842
20210602  11:30:00,13.88,13.94,13.87,13.9,937,337,13.91
20210602  11:35:00,13.89,13.96,13.89,13.96,1137,311,13.938
20210602  11:40:00,13.96,14.0,13.95,13.99,2173,665,13.987
20210602  11:45:00,14.0,14.01,13.94,13.98,1225,591,13.978
20210602  11:50:00,13.98,14.02,13.97,14.01,1845,649,13.999
20210602  11:55:00,14.0,14.02,13.97,13.98,1694,746,13.999
20210602  12:00:00,13.99,14.01,13.95,13.98,1306,606,13.983
20210602  12:05:00,13.97,14.01,13.96,14.0,2020,937,13.994
20210602  12:10:00,13.99,14.11,13.99,14.1,3433,1271,14.062
20210602  12:15:00,14.09,14.11,14.05,14.05,1989,797,14.089
20210602  12:20:00,14.05,14.16,14.05,14.16,2101,789,14.121
20210602  12:25:00,14.16,14.22,14.12,14.21,2550,1058,14.161
20210602  12:30:00,14.21,14.26,14.07,14.07,3302,1265,14.191
20210602  12:35:00,14.07,14.15,14.0,14.15,1836,736,14.08
20210602  12:40:00,14.15,14.3,14.14,14.29,1417,619,14.246
20210602  12:45:00,14.29,14.4,14.26,14.38,3540,1389,14.352
20210602  12:50:00,14.39,14.45,14.36,14.45,2698,995,14.406
20210602  12:55:00,14.44,14.46,14.34,14.43,2011,915,14.399
20210602  13:00:00,14.44,14.5,14.41,14.47,1778,709,14.461
20210602  13:05:00,14.47,14.53,14.44,14.52,2663,830,14.481
20210602  13:10:00,14.53,14.61,14.51,14.53,2915,961,14.557
20210602  13:15:00,14.54,14.6,14.53,14.56,2049,796,14.566
20210602  13:20:00,14.56,14.59,14.43,14.44,3492,1056,14.487
20210602  13:25:00,14.44,14.5,14.43,14.46,2742,949,14.47
20210602  13:30:00,14.46,14.57,14.43,14.56,1442,627,14.51
20210602  13:35:00,14.55,14.59,14.54,14.54,1092,463,14.562
20210602  13:40:00,14.54,14.55,14.46,14.51,1130,500,14.497
20210602  13:45:00,14.5,14.52,14.39,14.4,2192,963,14.465
20210602  13:50:00,14.4,14.5,14.37,14.48,1323,551,14.442
20210602  13:55:00,14.49,14.5,14.44,14.46,809,472,14.483
20210602  14:00:00,14.46,14.55,14.46,14.53,866,421,14.513
20210602  14:05:00,14.53,14.54,14.49,14.52,903,496,14.514
20210602  14:10:00,14.51,14.53,14.47,14.5,579,351,14.493
20210602  14:15:00,14.49,14.55,14.44,14.54,1678,612,14.48
20210602  14:20:00,14.54,14.6,14.54,14.6,1474,629,14.577
20210602  14:25:00,14.6,14.68,14.58,14.67,1283,530,14.634
20210602  14:30:00,14.68,14.71,14.65,14.66,1493,556,14.68
20210602  14:35:00,14.66,14.67,14.64,14.67,967,388,14.659
20210602  14:40:00,14.67,14.74,14.66,14.71,963,463,14.71
20210602  14:45:00,14.72,14.73,14.67,14.69,1506,449,14.704
20210602  14:50:00,14.68,14.71,14.64,14.67,1054,504,14.683
20210602  14:55:00,14.68,14.68,14.63,14.66,909,439,14.651
20210602  15:00:00,14.65,14.7,14.65,14.69,554,320,14.675
20210602  15:05:00,14.7,14.75,14.69,14.71,775,390,14.725
20210602  15:10:00,14.71,14.78,14.71,14.78,1257,427,14.755
20210602  15:15:00,14.78,14.8,14.75,14.78,1265,538,14.776
20210602  15:20:00,14.77,14.78,14.68,14.7,2276,938,14.737
20210602  15:25:00,14.71,14.72,14.68,14.71,1066,524,14.7
20210602  15:30:00,14.71,14.77,14.7,14.76,1143,459,14.737
20210602  15:35:00,14.77,14.79,14.72,14.74,2117,746,14.751
20210602  15:40:00,14.75,14.75,14.72,14.75,3070,784,14.737
20210602  15:45:00,14.75,14.76,14.73,14.76,1921,842,14.745
20210602  15:50:00,14.75,14.78,14.74,14.75,2530,1065,14.754
20210602  15:55:00,14.76,14.77,14.69,14.7,6497,1938,14.724
