date,open,high,low,close,volume,barCount,average
20210521  09:30:00,144.28,145.07,144.28,145.07,2189,386,144.413
20210521  09:35:00,145.08,145.19,144.67,145.06,742,457,144.991
20210521  09:40:00,145.09,145.15,144.57,144.7,358,233,144.786
20210521  09:45:00,144.73,145.0,144.73,144.98,406,225,144.858
20210521  09:50:00,144.99,145.1,144.82,144.87,399,245,144.967
20210521  09:55:00,144.86,144.86,144.68,144.69,249,200,144.777
20210521  10:00:00,144.67,144.71,144.52,144.7,255,176,144.6
20210521  10:05:00,144.67,145.13,144.66,145.06,330,220,144.918
20210521  10:10:00,145.09,145.21,145.05,145.14,245,146,145.145
20210521  10:15:00,145.18,145.42,145.18,145.23,396,297,145.311
20210521  10:20:00,145.23,145.26,144.96,145.03,475,308,145.1
20210521  10:25:00,145.01,145.1,144.94,144.99,204,148,145.021
20210521  10:30:00,144.95,145.07,144.91,145.02,224,150,145.001
20210521  10:35:00,145.02,145.07,144.75,144.76,182,151,144.914
20210521  10:40:00,144.8,144.88,144.75,144.85,163,135,144.816
20210521  10:45:00,144.82,145.03,144.78,145.03,169,137,144.874
20210521  10:50:00,145.03,145.08,144.9,144.92,240,150,144.979
20210521  10:55:00,144.91,144.94,144.81,144.88,154,117,144.883
20210521  11:00:00,144.87,145.0,144.84,145.0,153,114,144.912
20210521  11:05:00,145.0,145.12,144.96,145.03,592,458,145.056
20210521  11:10:00,145.03,145.15,144.97,145.04,420,325,145.069
20210521  11:15:00,145.05,145.23,145.04,145.22,428,278,145.164
20210521  11:20:00,145.22,145.46,145.22,145.45,431,296,145.388
20210521  11:25:00,145.46,145.47,145.21,145.24,637,376,145.343
20210521  11:30:00,145.24,145.54,145.22,145.54,574,346,145.414
20210521  11:35:00,145.56,145.61,145.5,145.56,467,336,145.549
20210521  11:40:00,145.55,145.7,145.55,145.6,683,480,145.615
20210521  11:45:00,145.61,145.7,145.52,145.68,426,292,145.614
20210521  11:50:00,145.69,145.69,145.56,145.58,546,381,145.627
20210521  11:55:00,145.59,145.62,145.47,145.55,475,286,145.542
20210521  12:00:00,145.54,145.69,145.47,145.65,419,272,145.558
20210521  12:05:00,145.65,145.68,145.25,145.26,641,453,145.529
20210521  12:10:00,145.27,145.65,145.27,145.47,792,565,145.465
20210521  12:15:00,145.47,145.5,145.3,145.36,332,244,145.403
20210521  12:20:00,145.34,145.52,145.34,145.45,468,333,145.449
20210521  12:25:00,145.46,145.51,145.35,145.38,379,265,145.442
20210521  12:30:00,145.38,145.5,145.28,145.28,303,196,145.427
20210521  12:35:00,145.28,145.28,144.98,145.02,243,194,145.116
20210521  12:40:00,145.03,145.22,145.02,145.08,264,158,145.14
20210521  12:45:00,145.07,145.07,144.9,144.93,217,176,144.956
20210521  12:50:00,144.92,144.94,144.76,144.76,127,88,144.829
20210521  12:55:00,144.77,144.77,144.62,144.65,148,122,144.679
20210521  13:00:00,144.66,144.68,144.55,144.67,330,206,144.603
20210521  13:05:00,144.7,144.75,144.65,144.66,112,86,144.706
20210521  13:10:00,144.66,144.68,144.57,144.58,128,96,144.637
20210521  13:15:00,144.57,144.62,144.53,144.6,134,115,144.576
20210521  13:20:00,144.59,144.72,144.56,144.66,119,97,144.637
20210521  13:25:00,144.68,144.74,144.66,144.72,93,81,144.693
20210521  13:30:00,144.7,144.87,144.69,144.86,94,75,144.785
20210521  13:35:00,144.88,144.98,144.85,144.94,139,101,144.925
20210521  13:40:00,144.93,144.95,144.79,144.81,155,115,144.855
20210521  13:45:00,144.82,144.83,144.76,144.83,67,54,144.796
20210521  13:50:00,144.82,144.84,144.79,144.84,106,80,144.812
20210521  13:55:00,144.83,145.02,144.83,145.0,177,120,144.9
20210521  14:00:00,145.02,145.04,144.85,144.93,246,196,144.974
20210521  14:05:00,144.92,145.03,144.9,145.02,90,77,144.963
20210521  14:10:00,145.0,145.05,144.95,145.01,88,71,145.007
20210521  14:15:00,145.03,145.05,144.92,144.96,103,80,144.973
20210521  14:20:00,144.97,144.97,144.86,144.89,109,84,144.911
20210521  14:25:00,144.89,144.91,144.71,144.73,127,101,144.785
20210521  14:30:00,144.75,144.88,144.73,144.84,150,111,144.798
20210521  14:35:00,144.82,144.89,144.75,144.76,238,155,144.813
20210521  14:40:00,144.78,144.83,144.76,144.81,209,95,144.797
20210521  14:45:00,144.82,144.92,144.81,144.88,147,93,144.884
20210521  14:50:00,144.89,144.98,144.89,144.97,138,101,144.932
20210521  14:55:00,144.96,145.03,144.95,144.97,193,115,144.984
20210521  15:00:00,144.97,144.97,144.8,144.84,271,167,144.89
20210521  15:05:00,144.85,144.94,144.83,144.84,107,81,144.878
20210521  15:10:00,144.83,144.93,144.83,144.91,153,127,144.889
20210521  15:15:00,144.91,145.0,144.9,144.98,200,155,144.951
20210521  15:20:00,144.98,145.06,144.97,145.03,150,125,145.01
20210521  15:25:00,145.03,145.04,144.87,144.9,245,199,144.936
20210521  15:30:00,144.9,144.91,144.69,144.7,439,313,144.762
20210521  15:35:00,144.7,144.82,144.69,144.75,365,270,144.755
20210521  15:40:00,144.74,144.8,144.66,144.67,395,298,144.733
20210521  15:45:00,144.68,144.86,144.61,144.86,582,425,144.677
20210521  15:50:00,144.87,144.9,144.73,144.79,793,597,144.81
20210521  15:55:00,144.79,144.81,144.55,144.77,2011,1278,144.672
