date,open,high,low,close,volume,barCount,average
20210301  09:30:00,161.45,161.53,160.45,160.55,8174,1875,161.107
20210301  09:35:00,160.53,160.59,160.12,160.45,3507,1715,160.326
20210301  09:40:00,160.5,161.05,160.23,160.97,1782,1040,160.591
20210301  09:45:00,160.99,161.09,160.57,160.97,1187,684,160.837
20210301  09:50:00,160.98,161.3,160.81,160.95,1350,677,161.036
20210301  09:55:00,160.98,161.03,160.41,160.48,1481,739,160.755
20210301  10:00:00,160.48,161.04,160.31,161.0,1385,680,160.697
20210301  10:05:00,161.0,161.08,160.62,160.67,818,407,160.866
20210301  10:10:00,160.62,160.76,160.37,160.58,740,366,160.589
20210301  10:15:00,160.6,160.92,160.53,160.59,1025,513,160.724
20210301  10:20:00,160.59,160.6,160.28,160.37,892,506,160.445
20210301  10:25:00,160.4,160.5,160.26,160.33,739,423,160.369
20210301  10:30:00,160.32,160.56,160.16,160.47,1761,609,160.324
20210301  10:35:00,160.45,160.65,160.38,160.58,1552,759,160.466
20210301  10:40:00,160.59,160.61,160.11,160.23,759,476,160.33
20210301  10:45:00,160.22,160.64,160.21,160.6,640,380,160.514
20210301  10:50:00,160.6,160.62,160.19,160.22,714,446,160.463
20210301  10:55:00,160.21,160.28,160.01,160.14,1061,566,160.135
20210301  11:00:00,160.13,160.38,160.11,160.17,1094,662,160.266
20210301  11:05:00,160.17,160.37,160.08,160.35,760,408,160.181
20210301  11:10:00,160.37,160.38,160.18,160.23,787,438,160.26
20210301  11:15:00,160.23,160.23,160.11,160.16,503,283,160.177
20210301  11:20:00,160.15,160.15,159.96,159.99,1367,558,160.021
20210301  11:25:00,160.01,160.03,159.71,159.8,908,442,159.848
20210301  11:30:00,159.81,160.1,159.79,160.04,763,400,159.923
20210301  11:35:00,160.04,160.21,159.95,159.99,646,371,160.063
20210301  11:40:00,159.99,160.2,159.98,160.08,479,289,160.098
20210301  11:45:00,160.04,160.04,159.81,159.82,455,234,159.935
20210301  11:50:00,159.81,160.15,159.76,160.09,621,330,160.011
20210301  11:55:00,160.11,160.18,160.01,160.15,543,327,160.097
20210301  12:00:00,160.18,160.53,160.18,160.5,2924,563,160.421
20210301  12:05:00,160.51,160.6,160.31,160.59,509,277,160.491
20210301  12:10:00,160.55,160.58,160.32,160.37,527,248,160.412
20210301  12:15:00,160.37,160.38,160.04,160.04,501,335,160.228
20210301  12:20:00,160.06,160.23,159.93,160.13,562,296,160.039
20210301  12:25:00,160.11,160.13,159.85,159.9,430,242,159.982
20210301  12:30:00,159.93,160.07,159.84,160.05,357,225,159.985
20210301  12:35:00,160.05,160.07,159.9,159.94,296,189,159.962
20210301  12:40:00,159.94,159.99,159.87,159.91,379,216,159.917
20210301  12:45:00,159.92,159.97,159.85,159.95,410,215,159.901
20210301  12:50:00,159.95,159.95,159.69,159.74,409,232,159.773
20210301  12:55:00,159.73,159.75,159.45,159.52,749,378,159.581
20210301  13:00:00,159.53,159.57,159.34,159.48,413,307,159.473
20210301  13:05:00,159.47,159.62,159.43,159.5,481,290,159.522
20210301  13:10:00,159.49,159.56,159.31,159.42,873,404,159.445
20210301  13:15:00,159.42,159.56,159.35,159.56,303,193,159.436
20210301  13:20:00,159.56,159.65,159.54,159.63,269,138,159.595
20210301  13:25:00,159.61,159.81,159.59,159.81,385,228,159.688
20210301  13:30:00,159.83,160.04,159.82,159.94,749,347,159.956
20210301  13:35:00,159.95,160.16,159.94,160.12,667,362,160.07
20210301  13:40:00,160.12,160.27,160.12,160.21,324,222,160.206
20210301  13:45:00,160.2,160.2,159.98,160.02,481,221,160.054
20210301  13:50:00,160.01,160.09,159.91,159.94,372,199,160.0
20210301  13:55:00,159.93,159.96,159.66,159.77,500,345,159.805
20210301  14:00:00,159.76,159.93,159.72,159.93,451,274,159.83
20210301  14:05:00,159.92,160.26,159.86,160.12,662,402,160.052
20210301  14:10:00,160.11,160.11,159.92,159.98,454,253,160.006
20210301  14:15:00,159.98,160.12,159.97,160.03,291,177,160.059
20210301  14:20:00,160.03,160.05,159.87,159.89,441,268,159.945
20210301  14:25:00,159.87,159.96,159.85,159.86,300,195,159.891
20210301  14:30:00,159.87,159.92,159.82,159.86,304,209,159.873
20210301  14:35:00,159.84,159.9,159.76,159.81,362,217,159.841
20210301  14:40:00,159.78,159.9,159.73,159.84,752,512,159.83
20210301  14:45:00,159.83,159.88,159.72,159.77,576,276,159.803
20210301  14:50:00,159.77,159.78,159.65,159.7,432,300,159.72
20210301  14:55:00,159.69,159.71,159.59,159.59,456,282,159.647
20210301  15:00:00,159.6,159.71,159.57,159.65,659,449,159.628
20210301  15:05:00,159.64,159.69,159.48,159.5,1244,613,159.598
20210301  15:10:00,159.5,159.53,159.36,159.43,860,472,159.454
20210301  15:15:00,159.42,159.56,159.36,159.51,555,360,159.466
20210301  15:20:00,159.53,159.75,159.48,159.63,627,328,159.621
20210301  15:25:00,159.6,159.68,159.52,159.55,443,288,159.602
20210301  15:30:00,159.56,159.58,159.46,159.52,629,430,159.52
20210301  15:35:00,159.51,159.55,159.27,159.31,728,477,159.42
20210301  15:40:00,159.32,159.51,159.31,159.4,704,535,159.433
20210301  15:45:00,159.39,159.4,159.22,159.24,1039,586,159.29
20210301  15:50:00,159.23,159.3,159.17,159.21,1532,865,159.243
20210301  15:55:00,159.21,159.37,159.09,159.34,3351,1964,159.244
