date,open,high,low,close,volume,barCount,average
20210513  09:30:00,158.18,159.31,157.68,159.28,7862,2915,158.363
20210513  09:35:00,159.32,159.56,158.67,158.74,2552,1895,159.125
20210513  09:40:00,158.75,159.36,158.74,159.28,1337,906,159.132
20210513  09:45:00,159.36,159.98,159.33,159.6,1541,1047,159.619
20210513  09:50:00,159.58,160.21,159.58,160.08,3987,2352,160.016
20210513  09:55:00,160.08,160.49,159.96,160.4,1765,1065,160.236
20210513  10:00:00,160.43,160.5,160.18,160.3,1401,882,160.353
20210513  10:05:00,160.32,160.64,160.0,160.0,1398,1016,160.303
20210513  10:10:00,159.97,160.57,159.93,160.34,1275,893,160.302
20210513  10:15:00,160.36,160.6,160.27,160.33,1133,717,160.411
20210513  10:20:00,160.29,160.92,160.21,160.85,1509,955,160.589
20210513  10:25:00,160.85,161.12,160.74,160.98,2105,1290,160.963
20210513  10:30:00,161.0,161.27,160.88,161.12,1367,856,161.131
20210513  10:35:00,161.11,161.27,161.05,161.14,1700,1137,161.188
20210513  10:40:00,161.14,161.21,160.84,160.86,807,585,160.988
20210513  10:45:00,160.87,161.3,160.86,161.27,1119,781,161.074
20210513  10:50:00,161.26,161.48,161.04,161.47,1017,650,161.284
20210513  10:55:00,161.48,161.71,161.35,161.68,1223,697,161.529
20210513  11:00:00,161.68,161.71,161.28,161.44,1615,815,161.509
20210513  11:05:00,161.45,161.5,161.24,161.39,869,576,161.397
20210513  11:10:00,161.39,161.4,161.04,161.06,814,591,161.208
20210513  11:15:00,161.04,161.43,160.9,161.4,1046,625,161.133
20210513  11:20:00,161.41,161.48,161.15,161.3,750,525,161.297
20210513  11:25:00,161.3,161.3,160.75,160.8,1284,930,160.931
20210513  11:30:00,160.8,160.85,160.62,160.63,1464,964,160.719
20210513  11:35:00,160.63,161.19,160.59,161.19,911,636,160.89
20210513  11:40:00,161.18,161.19,160.59,160.69,703,511,160.899
20210513  11:45:00,160.69,161.0,160.64,160.95,856,606,160.841
20210513  11:50:00,160.92,161.1,160.8,160.97,760,534,160.951
20210513  11:55:00,161.0,161.0,160.52,160.64,601,425,160.735
20210513  12:00:00,160.66,160.96,160.6,160.8,892,663,160.8
20210513  12:05:00,160.8,161.04,160.7,161.0,1132,633,160.958
20210513  12:10:00,161.01,161.36,161.01,161.23,857,548,161.25
20210513  12:15:00,161.24,161.37,161.13,161.27,700,425,161.272
20210513  12:20:00,161.27,161.27,160.93,161.03,632,313,161.01
20210513  12:25:00,161.01,161.3,160.98,161.23,778,463,161.171
20210513  12:30:00,161.21,161.54,161.19,161.53,1963,762,161.316
20210513  12:35:00,161.53,161.62,161.31,161.32,982,632,161.511
20210513  12:40:00,161.33,161.38,161.1,161.22,1059,706,161.222
20210513  12:45:00,161.25,161.4,161.19,161.39,625,389,161.322
20210513  12:50:00,161.39,161.52,161.29,161.52,825,500,161.407
20210513  12:55:00,161.51,161.52,160.98,161.29,838,554,161.182
20210513  13:00:00,161.3,161.32,161.0,161.24,901,712,161.151
20210513  13:05:00,161.25,161.31,160.93,161.22,899,537,161.159
20210513  13:10:00,161.21,161.57,161.18,161.57,849,577,161.351
20210513  13:15:00,161.55,161.71,161.37,161.39,835,581,161.584
20210513  13:20:00,161.4,161.43,160.84,160.96,934,645,161.083
20210513  13:25:00,160.98,161.08,160.74,160.93,745,590,160.913
20210513  13:30:00,160.92,161.09,160.62,160.63,955,713,160.83
20210513  13:35:00,160.62,160.72,160.36,160.43,1254,673,160.573
20210513  13:40:00,160.43,160.84,160.43,160.83,673,468,160.631
20210513  13:45:00,160.82,160.93,160.33,160.48,899,633,160.575
20210513  13:50:00,160.5,160.81,160.46,160.75,1094,732,160.711
20210513  13:55:00,160.74,160.9,160.73,160.87,758,513,160.82
20210513  14:00:00,160.86,161.28,160.84,161.21,1432,940,161.061
20210513  14:05:00,161.21,161.46,161.19,161.23,1213,814,161.332
20210513  14:10:00,161.25,161.55,161.22,161.42,1168,775,161.38
20210513  14:15:00,161.43,161.46,161.24,161.32,542,374,161.372
20210513  14:20:00,161.32,161.67,161.31,161.59,745,508,161.553
20210513  14:25:00,161.6,161.81,161.54,161.81,1093,690,161.672
20210513  14:30:00,161.81,161.83,161.54,161.7,984,627,161.676
20210513  14:35:00,161.72,161.92,161.57,161.58,1461,1000,161.77
20210513  14:40:00,161.59,161.78,161.52,161.66,1308,933,161.656
20210513  14:45:00,161.66,161.68,161.42,161.56,882,618,161.533
20210513  14:50:00,161.55,161.69,161.35,161.67,811,524,161.534
20210513  14:55:00,161.69,161.71,161.46,161.52,671,484,161.586
20210513  15:00:00,161.53,161.95,161.53,161.79,982,662,161.803
20210513  15:05:00,161.82,161.99,161.65,161.99,960,673,161.851
20210513  15:10:00,161.99,161.99,161.64,161.76,855,620,161.809
20210513  15:15:00,161.77,161.93,161.71,161.76,906,632,161.821
20210513  15:20:00,161.75,161.91,161.65,161.82,1090,585,161.785
20210513  15:25:00,161.82,162.15,161.82,162.11,1593,943,162.017
20210513  15:30:00,162.13,162.13,161.93,161.98,2463,1321,162.027
20210513  15:35:00,161.97,162.27,161.82,162.13,2339,1328,161.997
20210513  15:40:00,162.12,162.38,161.98,162.38,2509,1272,162.127
20210513  15:45:00,162.37,162.45,162.22,162.31,1775,1186,162.354
20210513  15:50:00,162.31,162.32,161.88,161.95,3121,2096,162.043
20210513  15:55:00,161.95,162.05,161.39,161.44,5453,3303,161.722
