date,open,high,low,close,volume,barCount,average
20210524  09:30:00,162.88,163.83,161.16,161.35,1577,438,162.157
20210524  09:35:00,161.48,163.4,161.01,163.0,750,406,162.296
20210524  09:40:00,163.01,165.25,163.01,164.76,1104,467,164.46
20210524  09:45:00,164.98,165.14,164.19,164.75,817,278,164.744
20210524  09:50:00,164.88,165.65,164.85,165.5,981,387,165.261
20210524  09:55:00,165.51,165.7,164.45,164.88,541,297,165.032
20210524  10:00:00,164.95,165.51,164.4,164.76,826,399,164.989
20210524  10:05:00,164.8,165.28,164.58,164.9,656,373,164.907
20210524  10:10:00,164.98,165.58,164.88,165.0,521,278,165.225
20210524  10:15:00,165.0,165.36,164.72,164.89,415,220,165.027
20210524  10:20:00,164.89,165.42,164.86,164.99,456,269,165.175
20210524  10:25:00,165.0,165.2,163.76,164.24,637,335,164.33
20210524  10:30:00,164.26,164.59,163.12,163.6,631,368,163.719
20210524  10:35:00,163.56,164.0,163.28,163.98,384,146,163.602
20210524  10:40:00,163.91,164.0,163.43,163.77,196,118,163.702
20210524  10:45:00,163.82,164.1,162.74,162.81,296,160,163.436
20210524  10:50:00,162.8,163.26,162.7,163.26,323,148,163.013
20210524  10:55:00,163.29,163.62,162.96,163.13,329,125,163.245
20210524  11:00:00,163.07,163.63,163.07,163.59,306,156,163.391
20210524  11:05:00,163.57,163.93,163.25,163.76,257,139,163.555
20210524  11:10:00,163.68,164.2,163.66,164.2,270,147,163.973
20210524  11:15:00,164.22,164.64,163.94,164.27,438,213,164.293
20210524  11:20:00,164.33,164.45,163.92,164.09,322,129,164.134
20210524  11:25:00,164.08,164.29,163.85,164.22,226,142,164.096
20210524  11:30:00,164.21,164.44,164.04,164.07,261,152,164.249
20210524  11:35:00,164.05,164.34,163.5,163.81,352,186,163.9
20210524  11:40:00,163.79,164.27,163.7,164.07,235,130,163.991
20210524  11:45:00,164.09,164.76,164.06,164.66,240,106,164.442
20210524  11:50:00,164.68,164.74,164.34,164.59,214,102,164.521
20210524  11:55:00,164.6,164.95,164.41,164.91,131,89,164.725
20210524  12:00:00,164.91,164.99,164.69,164.77,209,107,164.855
20210524  12:05:00,164.73,164.75,164.2,164.44,281,136,164.486
20210524  12:10:00,164.42,164.51,164.26,164.49,125,76,164.407
20210524  12:15:00,164.55,165.05,164.5,164.88,308,176,164.854
20210524  12:20:00,164.98,165.22,164.62,164.67,327,167,165.009
20210524  12:25:00,164.64,165.0,164.55,164.98,103,62,164.763
20210524  12:30:00,165.0,165.09,164.49,164.5,253,126,164.808
20210524  12:35:00,164.49,164.84,164.49,164.84,206,109,164.658
20210524  12:40:00,164.84,165.0,164.69,165.0,194,123,164.868
20210524  12:45:00,165.04,165.37,165.03,165.36,359,206,165.219
20210524  12:50:00,165.35,165.35,165.06,165.1,235,132,165.187
20210524  12:55:00,165.13,165.19,165.0,165.09,251,189,165.09
20210524  13:00:00,165.13,165.65,165.05,165.6,384,221,165.409
20210524  13:05:00,165.6,165.87,165.58,165.64,306,142,165.693
20210524  13:10:00,165.64,165.93,165.31,165.42,360,184,165.616
20210524  13:15:00,165.47,165.5,165.02,165.21,348,191,165.224
20210524  13:20:00,165.2,165.92,165.12,165.69,267,163,165.442
20210524  13:25:00,165.75,166.64,165.75,166.22,931,401,166.227
20210524  13:30:00,166.18,166.3,165.98,166.27,741,224,166.207
20210524  13:35:00,166.17,166.5,165.66,165.9,577,178,166.153
20210524  13:40:00,165.95,166.3,165.93,166.3,198,97,166.087
20210524  13:45:00,166.34,166.51,166.25,166.44,264,118,166.417
20210524  13:50:00,166.44,166.6,166.2,166.22,323,179,166.41
20210524  13:55:00,166.24,166.29,165.98,166.25,164,104,166.118
20210524  14:00:00,166.24,166.27,166.06,166.07,140,88,166.145
20210524  14:05:00,166.07,166.2,165.74,165.92,239,127,165.981
20210524  14:10:00,165.96,166.25,165.77,165.97,531,261,166.008
20210524  14:15:00,165.95,166.19,165.85,166.1,233,124,166.011
20210524  14:20:00,166.12,166.19,165.92,166.06,481,125,166.051
20210524  14:25:00,166.1,166.1,165.86,165.98,165,115,165.953
20210524  14:30:00,166.03,166.8,165.93,166.5,817,372,166.364
20210524  14:35:00,166.52,166.67,166.22,166.22,221,127,166.464
20210524  14:40:00,166.22,166.36,166.08,166.11,143,100,166.231
20210524  14:45:00,166.14,166.4,166.08,166.13,141,94,166.231
20210524  14:50:00,166.08,166.24,165.82,165.9,355,209,166.049
20210524  14:55:00,165.91,165.91,165.53,165.53,219,141,165.74
20210524  15:00:00,165.58,165.9,165.57,165.65,233,123,165.723
20210524  15:05:00,165.64,165.88,165.59,165.8,221,155,165.742
20210524  15:10:00,165.75,166.21,165.72,166.09,353,192,165.993
20210524  15:15:00,166.08,166.1,165.85,165.95,210,130,165.995
20210524  15:20:00,165.91,166.2,165.91,166.06,207,122,166.07
20210524  15:25:00,166.09,166.25,165.73,165.74,271,179,166.043
20210524  15:30:00,165.75,165.75,165.26,165.31,338,194,165.496
20210524  15:35:00,165.37,165.61,165.2,165.37,303,175,165.417
20210524  15:40:00,165.3,165.36,164.53,164.8,518,349,164.937
20210524  15:45:00,164.75,164.95,164.7,164.86,324,203,164.809
20210524  15:50:00,164.8,164.97,164.43,164.58,847,484,164.684
20210524  15:55:00,164.55,164.6,164.01,164.15,1140,639,164.181
