date,open,high,low,close,volume,barCount,average
20210309  09:30:00,232.88,232.97,231.67,232.56,11987,4050,232.661
20210309  09:35:00,232.59,233.07,232.28,233.05,5561,3145,232.707
20210309  09:40:00,233.05,233.49,232.18,232.5,4471,2703,232.76
20210309  09:45:00,232.5,233.25,232.19,233.22,6023,2671,232.87
20210309  09:50:00,233.25,233.78,232.85,233.78,3945,2096,233.269
20210309  09:55:00,233.77,234.09,233.64,233.74,4833,2957,233.858
20210309  10:00:00,233.74,234.35,233.46,234.13,4243,2283,234.033
20210309  10:05:00,234.14,234.46,233.9,233.99,3880,2469,234.181
20210309  10:10:00,233.98,233.99,233.55,233.65,3735,2146,233.726
20210309  10:15:00,233.67,234.67,233.4,234.38,4729,3137,234.304
20210309  10:20:00,234.39,234.57,234.03,234.31,3114,2052,234.333
20210309  10:25:00,234.36,234.41,233.83,233.88,2558,1700,234.142
20210309  10:30:00,233.87,234.0,233.39,233.66,2677,1881,233.69
20210309  10:35:00,233.67,233.95,233.38,233.94,3546,1984,233.659
20210309  10:40:00,233.93,234.34,233.88,234.0,2582,1721,234.136
20210309  10:45:00,234.01,234.23,233.66,233.92,3140,2177,234.014
20210309  10:50:00,233.93,233.96,233.48,233.52,3470,1420,233.682
20210309  10:55:00,233.5,233.71,233.35,233.47,1835,1151,233.488
20210309  11:00:00,233.46,233.79,232.9,233.77,2734,1743,233.292
20210309  11:05:00,233.77,233.92,233.38,233.63,1581,986,233.697
20210309  11:10:00,233.61,233.81,233.3,233.71,1615,1018,233.561
20210309  11:15:00,233.74,233.79,233.47,233.61,1420,925,233.605
20210309  11:20:00,233.65,233.88,233.59,233.68,1460,785,233.707
20210309  11:25:00,233.66,233.79,233.49,233.51,1431,955,233.618
20210309  11:30:00,233.51,233.81,233.05,233.32,1980,1116,233.406
20210309  11:35:00,233.31,233.39,232.94,233.02,2225,1188,233.082
20210309  11:40:00,233.03,233.25,232.8,232.82,1539,968,233.049
20210309  11:45:00,232.81,232.89,232.56,232.79,1534,918,232.724
20210309  11:50:00,232.76,232.94,232.63,232.86,1824,1054,232.775
20210309  11:55:00,232.88,233.02,232.76,232.92,1526,852,232.906
20210309  12:00:00,232.92,233.25,232.84,233.17,1502,802,233.072
20210309  12:05:00,233.18,233.66,233.16,233.6,1521,802,233.486
20210309  12:10:00,233.6,233.79,233.58,233.69,1324,710,233.674
20210309  12:15:00,233.69,234.06,233.59,233.87,1864,1037,233.871
20210309  12:20:00,233.87,234.23,233.87,234.22,1391,972,234.096
20210309  12:25:00,234.22,234.33,234.08,234.21,1305,899,234.206
20210309  12:30:00,234.22,234.39,234.16,234.39,1849,1050,234.3
20210309  12:35:00,234.4,234.42,234.12,234.18,1616,984,234.28
20210309  12:40:00,234.18,234.21,233.98,234.12,1521,850,234.116
20210309  12:45:00,234.13,234.17,233.98,234.13,1015,734,234.092
20210309  12:50:00,234.13,234.16,233.9,234.02,1280,865,234.022
20210309  12:55:00,234.02,234.04,233.79,233.82,1586,944,233.9
20210309  13:00:00,233.85,234.74,233.85,234.73,2693,1469,234.364
20210309  13:05:00,234.74,234.77,234.53,234.69,1327,855,234.683
20210309  13:10:00,234.71,234.71,234.32,234.68,2046,1322,234.518
20210309  13:15:00,234.69,234.8,234.53,234.77,1431,1048,234.679
20210309  13:20:00,234.74,234.78,234.56,234.66,1179,870,234.664
20210309  13:25:00,234.65,234.73,234.42,234.5,1658,1120,234.569
20210309  13:30:00,234.54,234.83,234.47,234.75,2660,1366,234.715
20210309  13:35:00,234.74,234.79,234.6,234.75,1436,917,234.702
20210309  13:40:00,234.74,234.89,234.65,234.86,1794,1265,234.754
20210309  13:45:00,234.86,235.11,234.8,234.98,3646,2044,234.978
20210309  13:50:00,234.98,234.99,234.65,234.87,959,714,234.764
20210309  13:55:00,234.86,234.89,234.74,234.84,1411,804,234.819
20210309  14:00:00,234.84,234.86,234.69,234.77,1405,953,234.784
20210309  14:05:00,234.76,234.76,234.56,234.7,1566,1033,234.658
20210309  14:10:00,234.7,234.85,234.56,234.74,1177,789,234.709
20210309  14:15:00,234.74,234.81,234.68,234.76,1664,990,234.748
20210309  14:20:00,234.75,234.82,234.6,234.77,1445,784,234.729
20210309  14:25:00,234.77,234.85,234.31,234.36,2333,1377,234.564
20210309  14:30:00,234.36,234.56,234.1,234.25,2306,1206,234.343
20210309  14:35:00,234.25,234.44,234.15,234.43,1684,871,234.303
20210309  14:40:00,234.46,234.72,234.44,234.66,1234,777,234.638
20210309  14:45:00,234.68,234.74,234.43,234.5,1476,954,234.612
20210309  14:50:00,234.51,234.68,234.48,234.57,1261,860,234.599
20210309  14:55:00,234.58,234.69,234.31,234.51,2633,1196,234.497
20210309  15:00:00,234.51,234.86,234.46,234.8,1311,933,234.685
20210309  15:05:00,234.8,235.22,234.8,235.15,2180,1270,234.992
20210309  15:10:00,235.16,235.39,235.12,235.29,1873,1153,235.274
20210309  15:15:00,235.3,235.31,235.02,235.07,2319,1291,235.137
20210309  15:20:00,235.08,235.35,234.91,235.15,2336,1617,235.197
20210309  15:25:00,235.15,235.25,235.08,235.11,1684,1182,235.153
20210309  15:30:00,235.13,235.25,234.86,235.24,1659,1148,235.041
20210309  15:35:00,235.24,235.25,234.72,235.0,2466,1723,234.966
20210309  15:40:00,234.99,235.14,234.45,234.52,2817,1845,234.71
20210309  15:45:00,234.52,234.7,234.33,234.49,2700,1730,234.5
20210309  15:50:00,234.5,234.63,233.77,234.61,6601,4133,234.099
20210309  15:55:00,234.61,234.66,233.36,233.68,10908,7169,233.833
