date,open,high,low,close,volume,barCount,average
20210330  09:30:00,11.96,11.99,11.75,11.895,2969,873,11.87956
20210330  09:35:00,11.89,11.89,11.58,11.675,2616,1140,11.67599
20210330  09:40:00,11.65,11.79,11.46,11.46,2618,792,11.58672
20210330  09:45:00,11.465,11.61,11.36,11.43,2586,1011,11.47726
20210330  09:50:00,11.415,11.59,11.33,11.481,2015,789,11.47104
20210330  09:55:00,11.49,11.6,11.413,11.565,2791,681,11.49297
20210330  10:00:00,11.5799,11.62,11.47,11.56,1262,512,11.53983
20210330  10:05:00,11.56,11.74,11.525,11.6701,1396,563,11.6006
20210330  10:10:00,11.6918,11.94,11.65,11.9267,1798,562,11.81969
20210330  10:15:00,11.9136,11.94,11.7501,11.76,894,415,11.8575
20210330  10:20:00,11.755,11.77,11.65,11.755,1041,427,11.70607
20210330  10:25:00,11.75,12.03,11.75,12.0,1489,436,11.91116
20210330  10:30:00,12.0,12.14,12.0,12.0867,1297,506,12.0605
20210330  10:35:00,12.0867,12.11,11.9547,12.01,1375,411,12.03771
20210330  10:40:00,12.02,12.22,11.92,12.2,1257,512,12.09577
20210330  10:45:00,12.2,12.34,12.1301,12.3266,2104,625,12.22963
20210330  10:50:00,12.32,12.37,12.13,12.16,2253,570,12.28258
20210330  10:55:00,12.1769,12.4379,12.1501,12.43,1132,376,12.27205
20210330  11:00:00,12.43,12.54,12.37,12.54,1435,498,12.45181
20210330  11:05:00,12.5365,12.54,12.35,12.54,1415,440,12.4601
20210330  11:10:00,12.55,12.62,12.49,12.5501,1668,511,12.55313
20210330  11:15:00,12.5799,12.59,12.41,12.49,1201,472,12.50225
20210330  11:20:00,12.5,12.5,12.26,12.35,1014,384,12.32518
20210330  11:25:00,12.32,12.48,12.25,12.3686,1053,334,12.34679
20210330  11:30:00,12.365,12.52,12.3,12.44,846,307,12.40478
20210330  11:35:00,12.44,12.58,12.415,12.4654,1032,262,12.50179
20210330  11:40:00,12.4592,12.5,12.4001,12.45,374,184,12.45039
20210330  11:45:00,12.47,12.47,12.29,12.31,995,320,12.36184
20210330  11:50:00,12.32,12.32,12.2225,12.24,983,265,12.26174
20210330  11:55:00,12.24,12.3,12.18,12.3,1145,280,12.24653
20210330  12:00:00,12.26,12.3198,12.17,12.26,661,199,12.25568
20210330  12:05:00,12.25,12.2776,12.1844,12.25,698,322,12.23328
20210330  12:10:00,12.26,12.26,12.1401,12.205,786,313,12.1803
