date,open,high,low,close,volume,barCount,average
20210303  09:30:00,137.09,137.41,136.67,136.91,1438,332,137.083
20210303  09:35:00,136.86,136.98,136.6,136.64,450,372,136.855
20210303  09:40:00,136.6,136.97,136.44,136.68,305,261,136.734
20210303  09:45:00,136.65,136.88,136.43,136.85,431,350,136.681
20210303  09:50:00,136.85,137.0,136.63,136.66,580,414,136.859
20210303  09:55:00,136.67,136.68,136.02,136.15,379,287,136.355
20210303  10:00:00,136.1,136.27,135.9,136.11,1111,306,136.036
20210303  10:05:00,136.14,136.61,135.96,136.61,310,233,136.206
20210303  10:10:00,136.57,136.6,136.03,136.17,283,209,136.306
20210303  10:15:00,136.21,136.35,136.11,136.31,223,178,136.244
20210303  10:20:00,136.28,136.61,136.28,136.57,338,250,136.46
20210303  10:25:00,136.57,136.81,136.54,136.79,213,175,136.691
20210303  10:30:00,136.73,136.83,136.43,136.64,325,211,136.628
20210303  10:35:00,136.64,136.65,136.28,136.44,227,165,136.421
20210303  10:40:00,136.36,136.41,135.95,135.99,492,249,136.173
20210303  10:45:00,136.0,136.46,135.96,136.31,351,247,136.268
20210303  10:50:00,136.3,136.52,136.21,136.43,317,234,136.37
20210303  10:55:00,136.42,136.67,136.35,136.55,540,356,136.49
20210303  11:00:00,136.48,136.64,136.43,136.49,293,223,136.524
20210303  11:05:00,136.51,136.78,136.48,136.63,199,169,136.643
20210303  11:10:00,136.66,136.72,136.52,136.59,343,200,136.623
20210303  11:15:00,136.64,136.74,136.39,136.73,308,183,136.556
20210303  11:20:00,136.73,137.11,136.73,137.06,226,160,136.901
20210303  11:25:00,137.02,137.04,136.82,136.94,174,137,136.921
20210303  11:30:00,136.92,136.94,136.7,136.73,259,123,136.828
20210303  11:35:00,136.72,136.79,136.42,136.44,221,160,136.612
20210303  11:40:00,136.43,136.46,136.08,136.17,257,215,136.242
20210303  11:45:00,136.15,136.45,136.09,136.43,311,257,136.302
20210303  11:50:00,136.44,136.81,136.4,136.77,534,401,136.614
20210303  11:55:00,136.73,136.73,136.4,136.44,116,103,136.587
20210303  12:00:00,136.41,136.54,136.38,136.46,155,132,136.447
20210303  12:05:00,136.45,136.54,136.24,136.28,86,66,136.375
20210303  12:10:00,136.28,136.29,136.08,136.18,231,128,136.192
20210303  12:15:00,136.15,136.25,136.0,136.13,226,127,136.136
20210303  12:20:00,136.11,136.12,135.99,136.0,122,105,136.049
20210303  12:25:00,135.97,135.98,135.82,135.92,262,128,135.916
20210303  12:30:00,135.87,135.94,135.64,135.66,223,189,135.763
20210303  12:35:00,135.64,135.71,135.51,135.52,485,310,135.63
20210303  12:40:00,135.52,135.59,135.41,135.47,295,228,135.507
20210303  12:45:00,135.47,135.68,135.39,135.64,163,143,135.507
20210303  12:50:00,135.65,135.78,135.51,135.53,175,138,135.65
20210303  12:55:00,135.53,135.57,135.27,135.28,218,158,135.446
20210303  13:00:00,135.26,135.3,135.12,135.13,271,173,135.236
20210303  13:05:00,135.16,135.28,135.09,135.19,164,143,135.187
20210303  13:10:00,135.17,135.31,135.12,135.16,182,151,135.226
20210303  13:15:00,135.17,135.51,135.13,135.5,148,122,135.277
20210303  13:20:00,135.54,135.65,135.44,135.57,124,101,135.554
20210303  13:25:00,135.57,135.59,135.47,135.52,146,84,135.543
20210303  13:30:00,135.53,135.54,135.28,135.36,145,124,135.38
20210303  13:35:00,135.38,135.42,135.28,135.3,177,154,135.36
20210303  13:40:00,135.31,135.35,135.21,135.3,114,84,135.27
20210303  13:45:00,135.32,135.36,135.2,135.25,103,89,135.277
20210303  13:50:00,135.26,135.4,135.24,135.27,161,124,135.308
20210303  13:55:00,135.25,135.31,135.2,135.3,93,77,135.263
20210303  14:00:00,135.31,135.51,135.26,135.32,142,108,135.396
20210303  14:05:00,135.34,135.39,135.24,135.33,147,117,135.31
20210303  14:10:00,135.34,135.5,135.26,135.46,148,109,135.388
20210303  14:15:00,135.46,135.53,135.22,135.51,549,301,135.411
20210303  14:20:00,135.54,135.6,135.38,135.46,151,124,135.492
20210303  14:25:00,135.43,135.66,135.4,135.58,171,138,135.547
20210303  14:30:00,135.58,135.66,135.25,135.35,261,186,135.355
20210303  14:35:00,135.34,135.99,135.34,135.97,344,289,135.678
20210303  14:40:00,135.99,136.08,135.8,136.02,357,286,135.964
20210303  14:45:00,136.03,136.1,135.6,135.6,326,268,135.96
20210303  14:50:00,135.65,135.79,135.6,135.72,430,282,135.737
20210303  14:55:00,135.72,135.78,135.64,135.74,269,215,135.726
20210303  15:00:00,135.71,135.79,135.48,135.48,223,190,135.648
20210303  15:05:00,135.48,135.49,135.28,135.32,186,165,135.361
20210303  15:10:00,135.37,135.47,135.32,135.36,266,225,135.393
20210303  15:15:00,135.36,135.39,135.1,135.2,376,201,135.269
20210303  15:20:00,135.21,135.22,134.96,135.03,355,272,135.057
20210303  15:25:00,135.03,135.03,134.86,134.89,262,236,134.973
20210303  15:30:00,134.87,134.95,134.65,134.67,535,407,134.746
20210303  15:35:00,134.64,134.77,134.51,134.62,484,381,134.65
20210303  15:40:00,134.62,134.92,134.62,134.81,425,340,134.758
20210303  15:45:00,134.79,134.91,134.66,134.74,500,324,134.787
20210303  15:50:00,134.79,134.79,134.36,134.48,1118,667,134.499
20210303  15:55:00,134.48,134.76,134.15,134.27,1870,1147,134.455
