date,open,high,low,close,volume,barCount,average
20210602  09:30:00,15.66,15.9,15.46,15.87,3767,1199,15.658
20210602  09:35:00,15.87,16.13,15.85,16.07,6265,2145,15.995
20210602  09:40:00,16.07,16.16,15.82,16.0,4017,1579,16.02
20210602  09:45:00,16.0,16.06,15.94,16.03,1663,733,16.0
20210602  09:50:00,16.04,16.27,16.02,16.27,3510,1054,16.151
20210602  09:55:00,16.26,16.3,15.92,15.97,2978,1104,16.101
20210602  10:00:00,15.98,16.01,15.87,16.0,1612,650,15.942
20210602  10:05:00,16.01,16.2,15.98,16.1,2356,897,16.083
20210602  10:10:00,16.09,16.17,16.06,16.15,1319,550,16.103
20210602  10:15:00,16.14,16.4,16.1,16.38,4178,1162,16.291
20210602  10:20:00,16.38,16.44,16.27,16.38,2691,987,16.344
20210602  10:25:00,16.38,16.49,16.34,16.48,2834,1082,16.4
20210602  10:30:00,16.48,16.58,16.48,16.54,4445,1599,16.521
20210602  10:35:00,16.53,16.57,16.38,16.39,2288,687,16.451
20210602  10:40:00,16.39,16.45,16.29,16.43,1472,697,16.374
20210602  10:45:00,16.43,16.53,16.42,16.49,1790,740,16.482
20210602  10:50:00,16.48,16.5,16.42,16.48,1299,541,16.464
20210602  10:55:00,16.47,16.48,16.3,16.37,1570,547,16.384
20210602  11:00:00,16.38,16.43,16.31,16.38,884,439,16.385
20210602  11:05:00,16.38,16.4,16.3,16.31,709,251,16.334
20210602  11:10:00,16.31,16.33,16.26,16.33,803,347,16.293
20210602  11:15:00,16.33,16.37,16.26,16.28,1105,521,16.322
20210602  11:20:00,16.29,16.48,16.21,16.47,1584,550,16.342
20210602  11:25:00,16.46,16.5,16.42,16.46,1054,444,16.471
20210602  11:30:00,16.46,16.55,16.4,16.55,1636,597,16.479
20210602  11:35:00,16.55,16.65,16.49,16.65,3453,648,16.582
20210602  11:40:00,16.64,16.73,16.61,16.66,3142,936,16.674
20210602  11:45:00,16.67,16.76,16.63,16.64,2140,748,16.715
20210602  11:50:00,16.64,16.85,16.63,16.84,2247,829,16.764
20210602  11:55:00,16.84,17.0,16.84,16.97,4936,1760,16.944
20210602  12:00:00,16.97,17.0,16.92,16.94,3050,1173,16.967
20210602  12:05:00,16.93,17.26,16.89,17.23,7328,2001,17.088
20210602  12:10:00,17.23,17.51,17.23,17.48,6278,2194,17.417
20210602  12:15:00,17.48,17.75,17.46,17.73,6244,2256,17.605
20210602  12:20:00,17.73,17.78,17.42,17.49,6327,2369,17.612
20210602  12:25:00,17.5,17.65,17.49,17.63,4053,1659,17.576
20210602  12:30:00,17.64,17.7,17.23,17.25,4950,2007,17.489
20210602  12:35:00,17.23,17.45,17.01,17.37,4777,1505,17.233
20210602  12:40:00,17.35,17.59,17.35,17.51,4332,1155,17.486
20210602  12:45:00,17.51,17.66,17.45,17.65,3109,1151,17.581
20210602  12:50:00,17.64,17.68,17.56,17.62,1992,690,17.619
20210602  12:55:00,17.61,17.72,17.58,17.65,4034,906,17.655
20210602  13:00:00,17.65,17.77,17.63,17.73,2211,835,17.723
20210602  13:05:00,17.73,18.03,17.68,18.02,7390,2193,17.902
20210602  13:10:00,18.03,18.25,17.88,17.92,10234,3135,18.102
20210602  13:15:00,17.92,18.12,17.91,17.99,4026,1488,18.006
20210602  13:20:00,17.98,17.99,17.53,17.7,5540,2166,17.731
20210602  13:25:00,17.69,17.84,17.46,17.75,5999,1260,17.705
20210602  13:30:00,17.74,17.85,17.67,17.69,2920,900,17.758
20210602  13:35:00,17.69,17.74,17.33,17.45,2498,984,17.526
20210602  13:40:00,17.42,17.46,17.2,17.43,4618,1412,17.326
20210602  13:45:00,17.43,17.55,17.36,17.48,2109,727,17.469
20210602  13:50:00,17.48,17.5,17.44,17.47,1297,514,17.468
20210602  13:55:00,17.47,17.56,17.43,17.54,1604,614,17.505
20210602  14:00:00,17.54,17.63,17.53,17.58,2363,798,17.574
20210602  14:05:00,17.58,17.62,17.36,17.44,3245,1180,17.486
20210602  14:10:00,17.44,17.46,17.31,17.41,1654,602,17.371
20210602  14:15:00,17.4,17.46,17.35,17.37,1644,644,17.402
20210602  14:20:00,17.37,17.42,17.36,17.41,1546,599,17.397
20210602  14:25:00,17.41,17.5,17.38,17.5,1592,583,17.43
20210602  14:30:00,17.5,17.62,17.49,17.6,1491,507,17.559
20210602  14:35:00,17.59,17.66,17.55,17.63,1938,678,17.591
20210602  14:40:00,17.63,17.73,17.62,17.69,2795,921,17.684
20210602  14:45:00,17.69,17.74,17.61,17.72,1704,660,17.697
20210602  14:50:00,17.71,17.72,17.45,17.5,1709,780,17.564
20210602  14:55:00,17.5,17.62,17.47,17.58,1805,796,17.558
20210602  15:00:00,17.59,17.61,17.55,17.61,938,451,17.59
20210602  15:05:00,17.6,17.63,17.55,17.59,956,502,17.591
20210602  15:10:00,17.59,17.6,17.56,17.59,1606,506,17.58
20210602  15:15:00,17.58,17.61,17.56,17.6,1383,678,17.589
20210602  15:20:00,17.6,17.79,17.58,17.79,2824,1214,17.688
20210602  15:25:00,17.79,17.92,17.78,17.9,2777,1328,17.856
20210602  15:30:00,17.9,18.04,17.9,18.03,6260,2291,17.993
20210602  15:35:00,18.03,18.17,18.02,18.16,5393,2261,18.092
20210602  15:40:00,18.14,18.17,18.08,18.11,4855,2163,18.118
20210602  15:45:00,18.11,18.16,18.1,18.13,4449,1801,18.127
20210602  15:50:00,18.14,18.18,17.95,18.16,9491,3480,18.102
20210602  15:55:00,18.16,18.4,18.16,18.36,15343,5291,18.298
