date,open,high,low,close,volume,barCount,average
20210524  09:30:00,608.12,613.49,607.04,612.6,7012,2841,610.351
20210524  09:35:00,612.31,615.6,611.67,615.15,2516,1410,613.974
20210524  09:40:00,615.14,616.68,614.4,615.94,2745,1323,615.636
20210524  09:45:00,615.82,617.5,614.09,616.5,3319,1314,615.972
20210524  09:50:00,616.5,617.7,614.65,615.62,2162,890,616.179
20210524  09:55:00,615.62,617.4,614.75,616.12,1846,897,616.299
20210524  10:00:00,616.29,618.29,616.0,617.37,1594,908,617.288
20210524  10:05:00,617.37,618.1,616.43,617.85,969,500,617.315
20210524  10:10:00,617.89,619.96,617.74,619.86,1833,961,619.059
20210524  10:15:00,619.84,620.55,619.23,619.93,1809,1054,619.985
20210524  10:20:00,619.67,621.68,619.36,621.51,2226,1164,620.883
20210524  10:25:00,621.54,622.84,621.01,621.4,1824,925,621.732
20210524  10:30:00,621.38,623.34,621.0,622.55,1894,909,622.119
20210524  10:35:00,622.53,624.33,621.95,624.28,2454,1155,622.908
20210524  10:40:00,624.27,624.74,622.79,623.48,2265,1090,623.759
20210524  10:45:00,623.43,624.21,622.32,622.51,1413,612,623.424
20210524  10:50:00,622.52,624.16,622.17,623.55,1478,524,623.205
20210524  10:55:00,623.45,624.43,622.0,622.09,875,508,623.14
20210524  11:00:00,622.08,623.21,621.95,622.79,1262,511,622.444
20210524  11:05:00,622.63,622.9,622.0,622.15,521,314,622.351
20210524  11:10:00,622.18,623.86,622.01,623.76,731,330,623.052
20210524  11:15:00,623.74,624.62,623.36,624.5,740,407,623.957
20210524  11:20:00,624.57,625.25,623.5,623.68,1380,590,624.308
20210524  11:25:00,623.71,625.4,623.71,625.04,675,347,624.65
20210524  11:30:00,625.17,626.36,624.76,625.78,922,510,625.586
20210524  11:35:00,625.79,626.48,625.2,625.54,776,389,625.85
20210524  11:40:00,625.38,625.48,624.26,625.12,707,386,624.829
20210524  11:45:00,625.07,625.11,624.6,624.83,392,234,624.792
20210524  11:50:00,624.66,624.8,623.82,624.24,455,240,624.351
20210524  11:55:00,624.25,625.96,624.1,624.94,416,244,625.117
20210524  12:00:00,625.0,626.7,625.0,626.38,831,398,626.001
20210524  12:05:00,626.55,626.62,625.92,626.08,509,268,626.285
20210524  12:10:00,626.1,626.33,624.61,625.39,685,361,625.375
20210524  12:15:00,625.37,625.88,625.0,625.88,269,153,625.46
20210524  12:20:00,625.87,626.19,625.2,625.2,252,153,625.685
20210524  12:25:00,625.27,625.85,624.91,625.61,324,164,625.389
20210524  12:30:00,625.74,626.62,625.69,626.16,661,328,626.288
20210524  12:35:00,626.19,626.44,625.66,626.01,321,220,625.988
20210524  12:40:00,626.05,626.27,625.02,625.24,502,255,625.469
20210524  12:45:00,625.38,626.0,625.04,625.7,233,137,625.51
20210524  12:50:00,625.53,626.03,625.32,625.57,161,106,625.631
20210524  12:55:00,625.62,625.62,624.94,625.41,495,219,625.264
20210524  13:00:00,625.62,626.69,625.62,626.5,562,229,626.127
20210524  13:05:00,626.6,626.61,625.75,626.03,283,144,626.125
20210524  13:10:00,626.03,626.3,625.89,626.2,389,147,626.091
20210524  13:15:00,626.29,627.3,625.95,627.25,823,367,626.72
20210524  13:20:00,627.2,627.44,626.75,627.05,702,257,627.101
20210524  13:25:00,627.0,627.84,626.85,627.78,405,215,627.411
20210524  13:30:00,627.76,628.74,627.43,628.66,1053,467,628.065
20210524  13:35:00,628.5,629.35,628.18,629.09,867,363,628.68
20210524  13:40:00,629.08,629.4,628.66,629.16,822,395,629.1
20210524  13:45:00,629.18,629.7,628.51,629.62,1133,484,629.163
20210524  13:50:00,629.68,629.8,629.33,629.5,535,236,629.569
20210524  13:55:00,629.45,629.6,628.71,628.95,637,308,629.195
20210524  14:00:00,629.0,629.09,627.61,627.91,873,411,628.201
20210524  14:05:00,627.85,628.43,627.37,628.14,797,347,627.956
20210524  14:10:00,628.2,628.5,627.41,627.59,711,243,627.911
20210524  14:15:00,627.57,628.6,627.35,628.57,851,325,628.207
20210524  14:20:00,628.62,629.05,627.6,628.81,1001,339,628.52
20210524  14:25:00,628.84,628.95,628.04,628.33,830,268,628.588
20210524  14:30:00,628.39,629.0,628.06,628.78,477,126,628.618
20210524  14:35:00,628.73,629.51,628.73,629.03,610,235,629.045
20210524  14:40:00,629.08,629.25,628.72,628.88,480,146,628.996
20210524  14:45:00,628.95,629.76,628.37,628.38,906,297,629.06
20210524  14:50:00,628.41,628.78,627.94,628.0,445,194,628.369
20210524  14:55:00,627.9,629.0,627.69,627.93,441,188,628.248
20210524  15:00:00,627.85,628.49,627.73,628.07,615,236,628.208
20210524  15:05:00,628.02,628.02,627.21,627.7,940,348,627.64
20210524  15:10:00,627.65,628.4,627.53,627.77,678,288,627.934
20210524  15:15:00,627.77,628.01,627.25,627.27,361,210,627.488
20210524  15:20:00,627.31,627.47,626.36,626.49,774,391,627.017
20210524  15:25:00,626.42,626.78,626.25,626.57,790,292,626.51
20210524  15:30:00,626.48,626.72,625.25,625.37,1051,458,625.846
20210524  15:35:00,625.36,627.3,625.35,627.07,1063,528,626.406
20210524  15:40:00,627.1,627.47,625.65,625.78,754,446,626.639
20210524  15:45:00,625.66,626.57,625.3,626.0,1076,524,626.048
20210524  15:50:00,625.98,626.0,624.12,625.1,1702,1031,625.087
20210524  15:55:00,625.18,625.18,623.8,624.48,2250,1516,624.254
