date,open,high,low,close,volume,barCount,average
20210311  09:30:00,133.34,133.62,133.19,133.36,1359,340,133.437
20210311  09:35:00,133.31,133.61,133.24,133.32,453,373,133.416
20210311  09:40:00,133.34,133.93,133.21,133.87,558,426,133.506
20210311  09:45:00,133.84,134.1,133.82,133.98,506,373,133.977
20210311  09:50:00,133.93,133.93,133.3,133.45,628,502,133.553
20210311  09:55:00,133.42,133.88,133.37,133.68,424,357,133.677
20210311  10:00:00,133.7,133.93,133.54,133.9,539,320,133.668
20210311  10:05:00,133.85,133.92,133.69,133.72,282,236,133.788
20210311  10:10:00,133.68,133.76,133.6,133.62,261,210,133.673
20210311  10:15:00,133.63,133.76,133.54,133.67,404,316,133.628
20210311  10:20:00,133.65,133.69,133.43,133.61,234,195,133.561
20210311  10:25:00,133.58,133.81,133.46,133.81,243,173,133.625
20210311  10:30:00,133.8,133.98,133.73,133.85,246,197,133.847
20210311  10:35:00,133.86,133.86,133.73,133.78,389,279,133.786
20210311  10:40:00,133.78,133.81,133.61,133.78,359,255,133.715
20210311  10:45:00,133.75,134.01,133.75,133.94,444,341,133.959
20210311  10:50:00,133.92,134.28,133.9,134.28,432,293,134.118
20210311  10:55:00,134.25,134.25,133.97,134.1,356,283,134.116
20210311  11:00:00,134.09,134.23,133.86,133.94,318,243,134.098
20210311  11:05:00,133.95,133.95,133.77,133.78,270,193,133.875
20210311  11:10:00,133.8,133.94,133.79,133.91,263,169,133.872
20210311  11:15:00,133.92,134.2,133.92,134.12,265,189,134.089
20210311  11:20:00,134.13,134.16,134.0,134.02,306,196,134.079
20210311  11:25:00,134.03,134.08,133.92,134.01,256,143,134.0
20210311  11:30:00,134.03,134.16,133.97,134.16,220,161,134.047
20210311  11:35:00,134.16,134.19,134.06,134.13,191,111,134.12
20210311  11:40:00,134.09,134.16,133.99,134.1,216,166,134.077
20210311  11:45:00,134.1,134.18,134.0,134.15,229,181,134.075
20210311  11:50:00,134.14,134.28,134.14,134.23,235,167,134.201
20210311  11:55:00,134.21,134.31,134.07,134.1,290,211,134.177
20210311  12:00:00,134.11,134.22,134.11,134.17,529,339,134.166
20210311  12:05:00,134.13,134.18,134.06,134.12,336,227,134.111
20210311  12:10:00,134.1,134.24,134.1,134.14,221,181,134.151
20210311  12:15:00,134.14,134.17,134.03,134.05,149,114,134.094
20210311  12:20:00,134.04,134.09,133.95,134.05,151,120,134.015
20210311  12:25:00,134.06,134.16,134.06,134.12,168,124,134.116
20210311  12:30:00,134.15,134.23,134.14,134.18,123,91,134.186
20210311  12:35:00,134.19,134.26,134.1,134.1,194,114,134.194
20210311  12:40:00,134.1,134.24,134.09,134.21,176,111,134.169
20210311  12:45:00,134.2,134.29,134.16,134.18,107,81,134.227
20210311  12:50:00,134.17,134.23,134.14,134.22,110,92,134.168
20210311  12:55:00,134.24,134.33,134.2,134.33,134,96,134.256
20210311  13:00:00,134.32,134.42,134.3,134.42,217,159,134.364
20210311  13:05:00,134.43,134.58,134.43,134.5,382,207,134.517
20210311  13:10:00,134.5,134.57,134.48,134.5,230,146,134.518
20210311  13:15:00,134.5,134.51,134.39,134.4,240,163,134.439
20210311  13:20:00,134.4,134.4,134.3,134.32,215,163,134.35
20210311  13:25:00,134.31,134.35,134.23,134.24,130,82,134.285
20210311  13:30:00,134.23,134.3,134.13,134.16,173,134,134.22
20210311  13:35:00,134.14,134.14,134.03,134.11,146,110,134.081
20210311  13:40:00,134.13,134.17,134.07,134.12,171,111,134.131
20210311  13:45:00,134.1,134.11,133.97,134.02,142,98,134.057
20210311  13:50:00,134.03,134.14,133.96,134.1,314,135,134.042
20210311  13:55:00,134.15,134.35,134.13,134.25,370,155,134.207
20210311  14:00:00,134.26,134.38,134.25,134.38,308,186,134.314
20210311  14:05:00,134.37,134.39,134.24,134.27,278,178,134.317
20210311  14:10:00,134.26,134.27,134.19,134.22,192,153,134.231
20210311  14:15:00,134.22,134.27,134.16,134.2,272,189,134.209
20210311  14:20:00,134.21,134.32,134.19,134.31,175,138,134.261
20210311  14:25:00,134.31,134.36,134.24,134.24,201,177,134.291
20210311  14:30:00,134.23,134.25,134.18,134.2,280,184,134.215
20210311  14:35:00,134.2,134.2,133.92,133.95,428,285,134.045
20210311  14:40:00,133.97,133.98,133.83,133.85,255,203,133.87
20210311  14:45:00,133.86,133.88,133.76,133.76,219,187,133.814
20210311  14:50:00,133.75,133.76,133.61,133.72,281,165,133.682
20210311  14:55:00,133.72,133.78,133.67,133.71,246,176,133.717
20210311  15:00:00,133.71,133.74,133.66,133.7,332,210,133.707
20210311  15:05:00,133.69,133.69,133.51,133.59,201,157,133.584
20210311  15:10:00,133.59,133.6,133.41,133.49,227,178,133.499
20210311  15:15:00,133.5,133.52,133.41,133.42,222,160,133.47
20210311  15:20:00,133.42,133.47,133.39,133.45,190,155,133.433
20210311  15:25:00,133.46,133.55,133.39,133.5,214,183,133.477
20210311  15:30:00,133.49,133.49,133.27,133.31,361,295,133.344
20210311  15:35:00,133.32,133.32,133.21,133.24,308,217,133.254
20210311  15:40:00,133.25,133.36,133.23,133.36,328,180,133.316
20210311  15:45:00,133.36,133.45,133.3,133.3,379,283,133.382
20210311  15:50:00,133.3,133.33,133.12,133.25,1244,946,133.206
20210311  15:55:00,133.22,133.32,133.1,133.26,2158,1469,133.217
