date,open,high,low,close,volume,barCount,average
20210326  09:30:00,133.22,133.58,133.04,133.49,1942,597,133.167
20210326  09:35:00,133.5,133.67,133.15,133.16,631,565,133.486
20210326  09:40:00,133.15,133.46,133.12,133.32,509,380,133.269
20210326  09:45:00,133.34,133.43,132.88,132.94,442,360,133.158
20210326  09:50:00,132.92,133.02,132.7,132.83,740,633,132.868
20210326  09:55:00,132.84,133.03,132.65,132.98,580,499,132.812
20210326  10:00:00,132.98,132.98,132.67,132.87,731,611,132.8
20210326  10:05:00,132.88,133.02,132.73,132.91,957,764,132.881
20210326  10:10:00,132.9,133.19,132.88,132.95,629,506,133.041
20210326  10:15:00,132.95,133.04,132.77,132.91,621,521,132.949
20210326  10:20:00,132.92,133.01,132.84,132.99,515,426,132.928
20210326  10:25:00,132.98,133.11,132.8,132.95,628,528,132.936
20210326  10:30:00,132.94,132.97,132.63,132.63,658,562,132.875
20210326  10:35:00,132.64,132.72,132.49,132.67,583,448,132.633
20210326  10:40:00,132.68,132.7,132.48,132.58,602,410,132.567
20210326  10:45:00,132.57,133.22,132.57,133.22,419,340,132.966
20210326  10:50:00,133.2,133.3,133.11,133.12,611,518,133.209
20210326  10:55:00,133.14,133.23,133.13,133.14,387,336,133.181
20210326  11:00:00,133.13,133.38,133.12,133.2,435,362,133.261
20210326  11:05:00,133.21,133.28,133.07,133.23,432,326,133.201
20210326  11:10:00,133.22,133.35,133.04,133.05,468,360,133.193
20210326  11:15:00,133.03,133.18,133.03,133.15,517,402,133.121
20210326  11:20:00,133.15,133.22,133.09,133.21,506,432,133.15
20210326  11:25:00,133.21,133.27,132.88,133.06,678,514,133.006
20210326  11:30:00,133.09,133.16,132.83,132.84,586,501,132.986
20210326  11:35:00,132.84,133.17,132.8,133.06,832,656,133.024
20210326  11:40:00,133.06,133.15,132.97,133.04,411,334,133.068
20210326  11:45:00,133.06,133.26,133.04,133.25,468,396,133.139
20210326  11:50:00,133.26,133.26,133.08,133.26,422,340,133.187
20210326  11:55:00,133.28,133.46,133.14,133.18,568,475,133.309
20210326  12:00:00,133.16,133.45,133.16,133.43,569,453,133.273
20210326  12:05:00,133.42,133.43,133.32,133.34,476,373,133.385
20210326  12:10:00,133.33,133.43,133.29,133.34,443,382,133.36
20210326  12:15:00,133.34,133.46,133.33,133.34,546,443,133.393
20210326  12:20:00,133.34,133.44,133.26,133.42,319,262,133.328
20210326  12:25:00,133.43,133.57,133.39,133.52,565,455,133.506
20210326  12:30:00,133.52,133.65,133.44,133.64,333,259,133.532
20210326  12:35:00,133.64,133.7,133.54,133.67,447,290,133.63
20210326  12:40:00,133.68,133.76,133.61,133.69,452,367,133.696
20210326  12:45:00,133.7,133.84,133.66,133.82,392,318,133.764
20210326  12:50:00,133.83,133.88,133.76,133.86,348,241,133.83
20210326  12:55:00,133.87,133.97,133.85,133.87,451,296,133.912
20210326  13:00:00,133.87,133.87,133.7,133.8,653,503,133.769
20210326  13:05:00,133.8,133.92,133.8,133.82,401,275,133.857
20210326  13:10:00,133.82,133.85,133.7,133.74,296,259,133.792
20210326  13:15:00,133.73,133.75,133.67,133.72,428,382,133.709
20210326  13:20:00,133.73,133.87,133.69,133.87,431,357,133.766
20210326  13:25:00,133.85,133.88,133.8,133.86,320,268,133.852
20210326  13:30:00,133.86,133.91,133.72,133.76,423,326,133.798
20210326  13:35:00,133.77,133.89,133.71,133.75,592,471,133.802
20210326  13:40:00,133.75,133.77,133.64,133.75,535,396,133.708
20210326  13:45:00,133.77,133.93,133.77,133.88,569,442,133.842
20210326  13:50:00,133.89,134.14,133.88,134.1,767,499,134.011
20210326  13:55:00,134.11,134.3,134.11,134.21,740,530,134.211
20210326  14:00:00,134.21,134.29,134.13,134.19,752,579,134.2
20210326  14:05:00,134.19,134.37,134.15,134.37,607,463,134.26
20210326  14:10:00,134.39,134.51,134.31,134.31,886,558,134.44
20210326  14:15:00,134.31,134.63,134.3,134.63,754,553,134.492
20210326  14:20:00,134.63,134.83,134.62,134.78,1133,882,134.707
20210326  14:25:00,134.78,134.88,134.77,134.86,1079,839,134.828
20210326  14:30:00,134.85,134.97,134.84,134.94,1317,914,134.909
20210326  14:35:00,134.94,134.97,134.76,134.87,826,713,134.871
20210326  14:40:00,134.87,134.93,134.64,134.83,842,681,134.798
20210326  14:45:00,134.83,134.89,134.71,134.72,674,505,134.801
20210326  14:50:00,134.73,134.84,134.57,134.73,687,596,134.674
20210326  14:55:00,134.73,134.79,134.49,134.53,858,650,134.669
20210326  15:00:00,134.53,134.65,134.49,134.51,815,577,134.582
20210326  15:05:00,134.51,134.57,134.42,134.56,704,522,134.516
20210326  15:10:00,134.54,134.66,134.38,134.4,723,507,134.534
20210326  15:15:00,134.38,134.51,134.38,134.48,463,371,134.433
20210326  15:20:00,134.48,134.5,134.29,134.31,414,306,134.391
20210326  15:25:00,134.31,134.38,134.21,134.21,545,453,134.31
20210326  15:30:00,134.22,134.54,134.15,134.53,1044,814,134.291
20210326  15:35:00,134.53,134.59,134.42,134.47,695,514,134.52
20210326  15:40:00,134.48,134.66,134.44,134.5,877,655,134.555
20210326  15:45:00,134.5,134.55,134.39,134.55,1040,779,134.469
20210326  15:50:00,134.56,134.99,134.5,134.89,3005,2313,134.694
20210326  15:55:00,134.87,135.61,134.78,135.56,11019,5484,135.218
