date,open,high,low,close,volume,barCount,average
20210407  09:30:00,114.3,114.3,112.11,112.45,2130,998,113.117
20210407  09:35:00,112.47,112.98,111.68,111.8,1805,826,112.278
20210407  09:40:00,111.79,113.0,111.62,112.65,1415,639,112.394
20210407  09:45:00,112.76,113.7,112.71,113.4,787,504,113.343
20210407  09:50:00,113.44,114.03,113.32,113.54,803,427,113.716
20210407  09:55:00,113.5,114.2,113.09,114.04,569,347,113.681
20210407  10:00:00,114.08,115.15,113.65,114.78,1148,536,114.788
20210407  10:05:00,114.71,115.18,114.39,114.48,681,338,114.791
20210407  10:10:00,114.49,115.84,114.45,115.47,900,477,115.365
20210407  10:15:00,115.4,116.07,114.89,116.05,872,495,115.478
20210407  10:20:00,116.03,116.05,115.5,115.86,958,622,115.781
20210407  10:25:00,115.86,116.03,115.5,115.75,599,344,115.765
20210407  10:30:00,115.75,115.88,115.21,115.64,585,321,115.617
20210407  10:35:00,115.71,116.2,115.46,115.77,894,447,115.858
20210407  10:40:00,115.75,115.85,115.0,115.24,889,442,115.305
20210407  10:45:00,115.3,115.56,114.96,115.26,647,415,115.227
20210407  10:50:00,115.27,115.32,114.67,114.72,832,462,115.037
20210407  10:55:00,114.74,114.88,114.46,114.52,651,336,114.722
20210407  11:00:00,114.53,114.88,114.41,114.71,432,274,114.72
20210407  11:05:00,114.78,115.55,114.78,115.42,620,374,115.338
20210407  11:10:00,115.45,115.67,115.09,115.1,610,345,115.377
20210407  11:15:00,115.09,115.12,114.65,114.91,342,194,114.825
20210407  11:20:00,114.98,115.06,114.43,114.55,309,168,114.716
20210407  11:25:00,114.47,114.65,114.13,114.25,430,270,114.367
20210407  11:30:00,114.24,114.48,113.86,113.94,1269,409,114.118
20210407  11:35:00,113.88,114.16,113.8,114.04,395,238,113.979
20210407  11:40:00,114.08,114.37,113.68,114.29,387,178,114.078
20210407  11:45:00,114.25,114.51,114.05,114.19,252,153,114.276
20210407  11:50:00,114.22,114.45,114.1,114.14,196,103,114.272
20210407  11:55:00,114.01,114.31,113.91,114.31,143,92,114.092
20210407  12:00:00,114.25,114.49,114.13,114.15,246,153,114.372
20210407  12:05:00,114.11,114.43,114.03,114.42,132,109,114.258
20210407  12:10:00,114.44,114.44,113.96,113.98,204,123,114.188
20210407  12:15:00,114.0,114.75,113.48,113.5,786,155,114.349
20210407  12:20:00,113.47,113.89,113.38,113.79,204,123,113.628
20210407  12:25:00,113.85,113.85,113.38,113.71,223,110,113.651
20210407  12:30:00,113.6,113.75,113.47,113.68,176,129,113.64
20210407  12:35:00,113.74,113.98,113.59,113.77,222,105,113.824
20210407  12:40:00,113.72,113.85,113.5,113.64,188,97,113.613
20210407  12:45:00,113.66,113.78,113.59,113.7,91,66,113.705
20210407  12:50:00,113.69,113.72,113.38,113.46,132,89,113.564
20210407  12:55:00,113.4,113.54,113.34,113.4,116,80,113.448
20210407  13:00:00,113.37,113.47,113.23,113.4,153,110,113.352
20210407  13:05:00,113.4,113.71,113.14,113.22,316,181,113.389
20210407  13:10:00,113.21,113.22,112.77,112.93,838,281,112.984
20210407  13:15:00,112.95,113.46,112.95,113.27,245,127,113.271
20210407  13:20:00,113.23,113.46,113.19,113.32,239,168,113.344
20210407  13:25:00,113.37,113.42,112.97,113.29,185,119,113.121
20210407  13:30:00,113.31,113.76,113.11,113.76,221,119,113.41
20210407  13:35:00,113.69,113.93,113.64,113.86,246,160,113.791
20210407  13:40:00,113.9,113.9,113.71,113.76,127,100,113.799
20210407  13:45:00,113.77,114.2,113.77,114.17,360,220,114.038
20210407  13:50:00,114.2,114.29,113.91,114.19,348,238,114.116
20210407  13:55:00,114.2,114.62,114.2,114.44,541,301,114.441
20210407  14:00:00,114.47,115.12,114.39,115.06,557,357,114.805
20210407  14:05:00,115.02,115.45,114.96,115.31,647,423,115.239
20210407  14:10:00,115.33,116.06,115.33,115.7,1336,676,115.773
20210407  14:15:00,115.77,116.03,115.74,115.79,510,283,115.878
20210407  14:20:00,115.79,115.79,115.23,115.5,510,330,115.483
20210407  14:25:00,115.49,115.65,115.11,115.62,588,333,115.327
20210407  14:30:00,115.58,115.71,114.99,115.19,444,297,115.238
20210407  14:35:00,115.19,115.19,114.93,115.1,346,240,115.053
20210407  14:40:00,115.11,115.59,115.1,115.58,467,251,115.394
20210407  14:45:00,115.6,115.99,115.55,115.93,805,493,115.792
20210407  14:50:00,115.92,116.0,115.73,115.85,454,304,115.89
20210407  14:55:00,115.83,115.85,115.22,115.78,739,390,115.495
20210407  15:00:00,115.75,116.09,115.6,116.0,1460,450,115.972
20210407  15:05:00,116.0,116.2,115.59,115.72,834,399,115.909
20210407  15:10:00,115.72,115.75,115.33,115.65,588,288,115.556
20210407  15:15:00,115.65,115.83,115.55,115.75,493,235,115.686
20210407  15:20:00,115.73,115.74,115.38,115.52,398,233,115.584
20210407  15:25:00,115.5,115.7,115.42,115.5,589,268,115.542
20210407  15:30:00,115.5,115.59,115.01,115.05,524,325,115.276
20210407  15:35:00,115.02,115.31,114.94,115.2,832,449,115.105
20210407  15:40:00,115.14,115.33,115.05,115.31,475,323,115.155
20210407  15:45:00,115.31,115.68,115.3,115.47,765,461,115.514
20210407  15:50:00,115.5,115.53,115.21,115.21,901,584,115.368
20210407  15:55:00,115.21,115.4,115.03,115.27,1267,867,115.205
