date,open,high,low,close,volume,barCount,average
20210301  09:30:00,268.7,269.84,267.49,269.5,4855,2210,268.656
20210301  09:35:00,269.4,270.33,266.43,266.5,2856,1667,268.352
20210301  09:40:00,266.4,267.85,266.11,266.31,1733,1094,266.883
20210301  09:45:00,266.27,268.0,265.96,266.16,2143,1490,267.197
20210301  09:50:00,266.24,268.56,265.72,267.75,1010,738,267.297
20210301  09:55:00,267.85,268.75,267.54,268.11,1125,795,268.189
20210301  10:00:00,268.24,268.76,266.94,267.83,1116,901,267.913
20210301  10:05:00,267.99,268.4,266.4,268.09,1660,945,267.649
20210301  10:10:00,268.14,269.13,267.81,268.38,1284,918,268.593
20210301  10:15:00,268.49,269.95,268.14,269.71,1197,816,269.183
20210301  10:20:00,269.72,270.68,269.56,270.21,1365,952,270.187
20210301  10:25:00,270.21,270.52,269.9,270.03,889,666,270.167
20210301  10:30:00,270.1,271.28,269.6,271.1,1549,1063,270.515
20210301  10:35:00,271.1,271.89,270.89,271.54,1243,820,271.509
20210301  10:40:00,271.51,271.89,271.16,271.61,754,513,271.599
20210301  10:45:00,271.66,272.14,271.22,271.58,867,624,271.607
20210301  10:50:00,271.57,272.37,271.42,272.04,647,505,271.961
20210301  10:55:00,272.0,272.27,271.05,271.48,956,721,271.723
20210301  11:00:00,271.58,272.35,271.45,272.16,920,673,271.928
20210301  11:05:00,272.16,273.38,272.12,273.14,1061,797,272.827
20210301  11:10:00,273.14,273.76,273.03,273.27,1102,849,273.474
20210301  11:15:00,273.33,274.13,273.29,274.03,995,690,273.689
20210301  11:20:00,274.06,274.19,272.78,272.85,1076,633,273.402
20210301  11:25:00,272.96,273.0,271.85,271.94,807,550,272.472
20210301  11:30:00,272.01,272.6,271.91,272.17,608,418,272.183
20210301  11:35:00,272.16,272.96,272.01,272.37,831,571,272.415
20210301  11:40:00,272.34,273.21,272.31,273.2,645,398,272.941
20210301  11:45:00,273.2,273.78,273.19,273.53,507,377,273.469
20210301  11:50:00,273.6,273.84,273.06,273.28,735,509,273.526
20210301  11:55:00,273.31,273.38,272.57,272.59,457,368,273.059
20210301  12:00:00,272.54,272.77,272.01,272.28,502,376,272.471
20210301  12:05:00,272.21,272.75,272.21,272.34,431,314,272.482
20210301  12:10:00,272.3,272.56,271.93,272.19,524,389,272.218
20210301  12:15:00,272.14,272.14,271.01,271.21,547,382,271.443
20210301  12:20:00,271.26,272.0,271.26,271.96,340,292,271.707
20210301  12:25:00,271.91,272.06,271.54,271.73,596,384,271.815
20210301  12:30:00,271.7,272.2,271.7,271.96,350,277,271.987
20210301  12:35:00,272.04,272.19,271.7,271.95,395,306,271.975
20210301  12:40:00,271.97,272.1,271.63,272.07,328,269,271.821
20210301  12:45:00,272.12,272.52,271.88,272.49,418,266,272.213
20210301  12:50:00,272.52,272.62,271.75,271.8,417,294,272.237
20210301  12:55:00,271.81,272.01,271.36,271.86,595,420,271.623
20210301  13:00:00,271.99,272.3,271.8,272.18,292,198,271.991
20210301  13:05:00,272.14,272.43,271.87,271.92,477,354,272.167
20210301  13:10:00,271.99,272.11,271.61,271.72,344,298,271.901
20210301  13:15:00,271.68,272.15,271.49,272.13,382,325,271.853
20210301  13:20:00,272.17,272.35,272.02,272.29,316,242,272.225
20210301  13:25:00,272.21,272.37,271.73,271.99,549,344,272.067
20210301  13:30:00,272.07,272.3,271.69,271.69,382,296,271.916
20210301  13:35:00,271.66,271.88,271.4,271.45,572,408,271.684
20210301  13:40:00,271.48,271.92,271.45,271.78,439,347,271.766
20210301  13:45:00,271.81,271.93,271.23,271.73,409,207,271.491
20210301  13:50:00,271.71,272.22,271.5,271.85,376,230,271.803
20210301  13:55:00,271.87,271.88,271.03,271.11,400,295,271.408
20210301  14:00:00,271.18,271.62,270.8,271.45,671,470,271.291
20210301  14:05:00,271.48,272.14,271.33,271.93,417,363,271.747
20210301  14:10:00,271.86,272.44,271.69,272.27,351,265,272.068
20210301  14:15:00,272.23,272.79,272.16,272.47,446,265,272.451
20210301  14:20:00,272.47,272.92,272.35,272.43,369,266,272.661
20210301  14:25:00,272.49,272.89,272.49,272.78,205,139,272.666
20210301  14:30:00,272.85,272.87,272.32,272.56,204,175,272.603
20210301  14:35:00,272.54,272.68,272.4,272.56,254,197,272.549
20210301  14:40:00,272.56,273.29,272.48,273.22,436,298,272.947
20210301  14:45:00,273.21,273.21,272.7,273.06,458,246,273.032
20210301  14:50:00,273.03,273.71,273.03,273.61,678,321,273.374
20210301  14:55:00,273.62,273.8,273.45,273.48,343,275,273.605
20210301  15:00:00,273.56,273.96,273.31,273.82,476,393,273.631
20210301  15:05:00,273.85,274.04,273.57,273.87,897,526,273.798
20210301  15:10:00,273.88,274.5,273.83,274.25,764,505,274.273
20210301  15:15:00,274.27,274.37,273.44,273.53,565,368,273.964
20210301  15:20:00,273.58,273.64,272.83,272.95,496,405,273.156
20210301  15:25:00,272.89,273.03,272.52,272.9,483,300,272.746
20210301  15:30:00,272.89,273.02,272.41,272.78,624,401,272.707
20210301  15:35:00,272.83,272.96,272.47,272.91,540,420,272.722
20210301  15:40:00,272.85,273.26,272.82,273.0,607,395,273.067
20210301  15:45:00,273.0,273.61,273.0,273.5,1048,666,273.385
20210301  15:50:00,273.47,274.54,273.33,274.17,1915,1374,273.911
20210301  15:55:00,274.08,274.08,273.18,273.65,2245,1544,273.631
