date,open,high,low,close,volume,barCount,average
20210414  09:30:00,136.9,137.19,136.6,136.91,1623,440,136.992
20210414  09:35:00,136.89,137.23,136.74,136.88,1776,775,136.992
20210414  09:40:00,136.91,137.54,136.74,137.54,981,528,137.088
20210414  09:45:00,137.5,137.78,137.31,137.48,672,412,137.637
20210414  09:50:00,137.5,137.78,137.25,137.72,375,260,137.511
20210414  09:55:00,137.71,137.79,137.26,137.69,772,541,137.568
20210414  10:00:00,137.7,137.84,137.45,137.6,562,396,137.659
20210414  10:05:00,137.61,137.65,137.02,137.21,558,380,137.298
20210414  10:10:00,137.23,137.23,136.92,136.94,390,253,137.081
20210414  10:15:00,136.98,137.23,136.95,136.99,523,330,137.068
20210414  10:20:00,137.0,137.28,136.96,137.13,355,222,137.131
20210414  10:25:00,137.12,137.15,136.8,136.87,521,279,136.949
20210414  10:30:00,136.81,137.44,136.81,137.32,317,215,137.198
20210414  10:35:00,137.3,137.31,137.0,137.01,228,167,137.187
20210414  10:40:00,137.02,137.04,136.72,136.75,436,304,136.906
20210414  10:45:00,136.75,137.28,136.75,137.16,271,159,137.052
20210414  10:50:00,137.15,137.19,136.77,136.79,288,185,136.94
20210414  10:55:00,136.8,136.88,136.58,136.66,434,298,136.728
20210414  11:00:00,136.71,136.92,136.6,136.66,564,397,136.731
20210414  11:05:00,136.68,136.96,136.6,136.84,293,195,136.794
20210414  11:10:00,136.83,136.87,136.58,136.65,478,348,136.691
20210414  11:15:00,136.66,136.84,136.6,136.67,306,205,136.694
20210414  11:20:00,136.63,136.71,136.42,136.51,296,215,136.559
20210414  11:25:00,136.53,136.64,136.24,136.62,880,535,136.415
20210414  11:30:00,136.62,136.63,136.37,136.45,211,155,136.497
20210414  11:35:00,136.47,136.65,136.41,136.55,497,279,136.519
20210414  11:40:00,136.56,136.68,136.47,136.65,236,158,136.565
20210414  11:45:00,136.68,136.93,136.65,136.76,326,179,136.82
20210414  11:50:00,136.77,136.85,136.71,136.79,179,145,136.776
20210414  11:55:00,136.8,136.85,136.73,136.8,164,127,136.794
20210414  12:00:00,136.83,136.86,136.3,136.31,454,276,136.484
20210414  12:05:00,136.3,136.64,136.17,136.52,315,204,136.379
20210414  12:10:00,136.5,136.64,136.42,136.44,217,118,136.538
20210414  12:15:00,136.43,136.65,136.39,136.6,330,177,136.546
20210414  12:20:00,136.66,136.73,136.6,136.63,244,128,136.69
20210414  12:25:00,136.62,136.65,136.31,136.31,366,237,136.494
20210414  12:30:00,136.31,136.45,136.23,136.29,1104,482,136.322
20210414  12:35:00,136.26,136.44,136.18,136.35,773,345,136.291
20210414  12:40:00,136.37,136.37,136.2,136.26,1000,380,136.3
20210414  12:45:00,136.25,136.3,136.18,136.24,231,175,136.244
20210414  12:50:00,136.25,136.32,136.15,136.24,341,226,136.257
20210414  12:55:00,136.22,136.27,136.19,136.24,259,193,136.234
20210414  13:00:00,136.24,136.24,135.88,135.89,1019,626,136.023
20210414  13:05:00,135.89,136.12,135.89,136.02,626,322,136.017
20210414  13:10:00,136.01,136.05,135.84,135.86,458,305,135.946
20210414  13:15:00,135.84,136.0,135.83,135.9,304,227,135.948
20210414  13:20:00,135.9,135.93,135.81,135.84,850,607,135.884
20210414  13:25:00,135.85,135.86,135.34,135.65,1580,849,135.569
20210414  13:30:00,135.65,135.65,135.2,135.22,482,303,135.436
20210414  13:35:00,135.22,135.23,135.02,135.11,959,607,135.11
20210414  13:40:00,135.12,135.24,135.03,135.21,532,370,135.103
20210414  13:45:00,135.22,135.35,135.05,135.06,758,448,135.214
20210414  13:50:00,135.07,135.17,135.06,135.17,311,220,135.118
20210414  13:55:00,135.18,135.2,134.31,134.46,1676,909,134.832
20210414  14:00:00,134.44,134.52,134.23,134.41,820,516,134.358
20210414  14:05:00,134.42,134.45,133.91,134.11,1204,706,134.198
20210414  14:10:00,134.1,134.45,134.0,134.45,779,456,134.192
20210414  14:15:00,134.47,134.49,134.18,134.44,906,480,134.317
20210414  14:20:00,134.47,134.68,134.43,134.61,759,419,134.551
20210414  14:25:00,134.63,134.86,134.51,134.6,804,535,134.683
20210414  14:30:00,134.65,134.71,134.5,134.52,536,364,134.59
20210414  14:35:00,134.53,134.72,134.52,134.56,293,207,134.605
20210414  14:40:00,134.59,134.9,134.59,134.83,320,195,134.774
20210414  14:45:00,134.83,134.87,134.53,134.59,398,221,134.764
20210414  14:50:00,134.6,134.6,134.41,134.45,518,331,134.482
20210414  14:55:00,134.45,134.57,134.25,134.31,575,384,134.394
20210414  15:00:00,134.32,134.61,134.23,134.58,585,401,134.337
20210414  15:05:00,134.57,134.59,134.12,134.19,456,248,134.322
20210414  15:10:00,134.19,134.57,134.09,134.57,623,312,134.257
20210414  15:15:00,134.6,134.84,134.54,134.7,690,387,134.704
20210414  15:20:00,134.7,134.81,134.51,134.78,532,359,134.655
20210414  15:25:00,134.77,134.86,134.64,134.66,1603,690,134.713
20210414  15:30:00,134.65,134.79,134.58,134.68,1002,741,134.682
20210414  15:35:00,134.69,134.83,134.52,134.71,822,576,134.669
20210414  15:40:00,134.72,134.79,134.43,134.5,836,567,134.577
20210414  15:45:00,134.51,134.59,134.24,134.26,1124,631,134.349
20210414  15:50:00,134.26,134.77,134.19,134.6,2109,1422,134.437
20210414  15:55:00,134.57,134.82,134.45,134.75,2721,1809,134.712
