date,open,high,low,close,volume,barCount,average
20210602  09:30:00,10.44,10.56,10.31,10.55,1909,430,10.446
20210602  09:35:00,10.57,10.72,10.55,10.72,1440,462,10.645
20210602  09:40:00,10.73,10.94,10.67,10.93,2155,661,10.811
20210602  09:45:00,10.92,10.94,10.77,10.79,1425,483,10.854
20210602  09:50:00,10.8,10.82,10.69,10.75,1688,432,10.731
20210602  09:55:00,10.75,10.78,10.56,10.6,1695,428,10.672
20210602  10:00:00,10.6,10.66,10.56,10.66,509,202,10.597
20210602  10:05:00,10.65,10.71,10.6,10.66,813,283,10.667
20210602  10:10:00,10.66,10.67,10.51,10.55,1036,355,10.572
20210602  10:15:00,10.56,10.67,10.51,10.64,574,184,10.61
20210602  10:20:00,10.64,10.64,10.56,10.57,269,105,10.602
20210602  10:25:00,10.57,10.65,10.56,10.64,409,192,10.618
20210602  10:30:00,10.65,10.75,10.62,10.63,1180,347,10.704
20210602  10:35:00,10.64,10.64,10.53,10.55,746,272,10.583
20210602  10:40:00,10.54,10.57,10.53,10.54,587,150,10.551
20210602  10:45:00,10.54,10.57,10.52,10.55,497,171,10.542
20210602  10:50:00,10.56,10.56,10.47,10.52,604,196,10.51
20210602  10:55:00,10.52,10.52,10.43,10.47,577,228,10.475
20210602  11:00:00,10.48,10.52,10.46,10.52,561,169,10.493
20210602  11:05:00,10.52,10.59,10.5,10.59,465,145,10.548
20210602  11:10:00,10.59,10.59,10.52,10.57,261,68,10.548
20210602  11:15:00,10.58,10.66,10.57,10.65,613,122,10.618
20210602  11:20:00,10.66,10.69,10.63,10.69,496,156,10.653
20210602  11:25:00,10.69,10.81,10.69,10.78,1142,277,10.755
20210602  11:30:00,10.79,10.85,10.77,10.82,695,206,10.813
20210602  11:35:00,10.81,10.99,10.81,10.99,1307,355,10.907
20210602  11:40:00,10.99,11.27,10.98,11.12,4627,1259,11.137
20210602  11:45:00,11.13,11.19,11.05,11.16,1768,601,11.122
20210602  11:50:00,11.14,11.21,11.11,11.14,1756,520,11.162
20210602  11:55:00,11.14,11.17,11.07,11.09,1118,420,11.124
20210602  12:00:00,11.1,11.14,11.07,11.13,755,300,11.111
20210602  12:05:00,11.13,11.24,11.11,11.16,2225,705,11.196
20210602  12:10:00,11.17,11.28,11.13,11.27,1286,352,11.217
20210602  12:15:00,11.28,11.43,11.27,11.39,2405,709,11.364
20210602  12:20:00,11.4,11.44,11.34,11.44,1911,545,11.392
20210602  12:25:00,11.43,11.58,11.41,11.57,3974,982,11.49
20210602  12:30:00,11.58,11.65,11.46,11.51,1864,711,11.559
20210602  12:35:00,11.51,11.52,11.28,11.39,2982,1061,11.4
20210602  12:40:00,11.4,11.53,11.38,11.5,1128,490,11.472
20210602  12:45:00,11.51,11.65,11.48,11.63,1707,613,11.569
20210602  12:50:00,11.63,11.72,11.61,11.67,2218,693,11.676
20210602  12:55:00,11.67,11.93,11.56,11.88,4163,1303,11.8
20210602  13:00:00,11.87,11.99,11.85,11.9,2971,883,11.92
20210602  13:05:00,11.91,12.0,11.89,11.96,2746,932,11.943
20210602  13:10:00,11.95,11.99,11.84,11.88,2146,641,11.936
20210602  13:15:00,11.9,11.97,11.88,11.93,1927,549,11.931
20210602  13:20:00,11.93,11.98,11.84,11.85,2401,697,11.902
20210602  13:25:00,11.84,11.93,11.79,11.86,2087,652,11.849
20210602  13:30:00,11.87,12.15,11.86,12.12,3604,1076,12.028
20210602  13:35:00,12.13,12.23,12.11,12.16,2766,764,12.18
20210602  13:40:00,12.15,12.15,12.01,12.07,2140,689,12.064
20210602  13:45:00,12.05,12.1,11.94,12.01,2375,800,12.029
20210602  13:50:00,12.02,12.22,12.01,12.21,1859,653,12.13
20210602  13:55:00,12.21,12.22,12.09,12.1,1538,566,12.14
20210602  14:00:00,12.1,12.19,12.09,12.15,1228,389,12.151
20210602  14:05:00,12.16,12.2,12.15,12.17,1260,439,12.167
20210602  14:10:00,12.17,12.17,12.04,12.06,1604,511,12.104
20210602  14:15:00,12.07,12.13,12.04,12.04,1423,548,12.096
20210602  14:20:00,12.04,12.07,11.94,11.96,1742,655,11.984
20210602  14:25:00,11.96,11.97,11.83,11.93,1087,531,11.902
20210602  14:30:00,11.93,12.04,11.91,12.01,614,270,11.984
20210602  14:35:00,12.0,12.04,11.98,12.04,424,227,12.01
20210602  14:40:00,12.02,12.08,11.99,12.0,1048,378,12.026
20210602  14:45:00,12.0,12.06,11.97,12.01,559,309,12.028
20210602  14:50:00,12.01,12.06,11.99,12.04,627,315,12.037
20210602  14:55:00,12.04,12.07,12.02,12.03,953,330,12.035
20210602  15:00:00,12.04,12.09,12.02,12.09,814,409,12.051
20210602  15:05:00,12.09,12.16,12.08,12.14,890,343,12.132
20210602  15:10:00,12.15,12.2,12.13,12.19,858,339,12.169
20210602  15:15:00,12.18,12.19,12.15,12.18,1102,312,12.175
20210602  15:20:00,12.18,12.33,12.18,12.23,3633,1268,12.26
20210602  15:25:00,12.23,12.24,12.14,12.16,1540,445,12.199
20210602  15:30:00,12.16,12.18,12.13,12.15,865,472,12.157
20210602  15:35:00,12.16,12.25,12.16,12.21,1488,538,12.201
20210602  15:40:00,12.22,12.23,12.14,12.2,1786,784,12.186
20210602  15:45:00,12.19,12.28,12.18,12.26,1898,899,12.228
20210602  15:50:00,12.26,12.3,12.18,12.29,2487,1087,12.244
20210602  15:55:00,12.29,12.37,12.26,12.37,5342,2346,12.321
