date,open,high,low,close,volume,barCount,average
20210317  09:30:00,111.31,111.46,110.61,110.67,1915,597,111.142
20210317  09:35:00,110.64,110.92,110.34,110.83,2124,983,110.654
20210317  09:40:00,110.89,111.03,110.72,110.95,1714,850,110.864
20210317  09:45:00,110.97,111.05,110.71,110.82,905,534,110.923
20210317  09:50:00,110.8,110.83,110.44,110.79,507,327,110.637
20210317  09:55:00,110.79,110.9,110.75,110.81,446,308,110.823
20210317  10:00:00,110.85,110.95,110.42,110.42,684,383,110.757
20210317  10:05:00,110.42,110.65,110.37,110.64,723,262,110.513
20210317  10:10:00,110.64,110.64,110.22,110.34,495,280,110.418
20210317  10:15:00,110.32,110.4,110.26,110.35,943,232,110.354
20210317  10:20:00,110.36,110.44,110.14,110.18,344,228,110.332
20210317  10:25:00,110.17,110.42,110.16,110.37,359,238,110.3
20210317  10:30:00,110.34,110.45,110.23,110.4,830,357,110.357
20210317  10:35:00,110.4,110.56,110.23,110.23,632,375,110.405
20210317  10:40:00,110.24,110.26,110.12,110.12,295,192,110.197
20210317  10:45:00,110.12,110.14,110.03,110.07,304,197,110.075
20210317  10:50:00,110.05,110.15,110.02,110.08,696,364,110.075
20210317  10:55:00,110.08,110.2,110.05,110.13,567,327,110.13
20210317  11:00:00,110.14,110.34,110.06,110.22,1262,614,110.217
20210317  11:05:00,110.22,110.26,110.08,110.12,593,357,110.184
20210317  11:10:00,110.13,110.33,110.11,110.27,1213,601,110.245
20210317  11:15:00,110.27,110.55,110.23,110.55,1894,654,110.381
20210317  11:20:00,110.54,110.65,110.5,110.54,892,443,110.57
20210317  11:25:00,110.54,110.65,110.41,110.59,898,270,110.589
20210317  11:30:00,110.58,110.58,110.27,110.3,369,235,110.424
20210317  11:35:00,110.29,110.3,109.76,109.83,1340,675,109.991
20210317  11:40:00,109.83,109.83,109.44,109.61,760,481,109.588
20210317  11:45:00,109.64,109.75,109.36,109.69,1094,486,109.586
20210317  11:50:00,109.68,109.83,109.65,109.74,389,260,109.735
20210317  11:55:00,109.72,109.73,109.6,109.71,484,314,109.674
20210317  12:00:00,109.7,109.71,109.32,109.38,821,424,109.494
20210317  12:05:00,109.37,109.57,109.37,109.56,396,226,109.477
20210317  12:10:00,109.59,109.82,109.58,109.66,526,283,109.701
20210317  12:15:00,109.65,109.94,109.65,109.93,2179,852,109.813
20210317  12:20:00,109.9,109.99,109.75,109.97,4497,1819,109.918
20210317  12:25:00,109.96,109.98,109.51,109.54,3172,1098,109.84
20210317  12:30:00,109.53,109.58,109.25,109.34,2249,966,109.387
20210317  12:35:00,109.36,109.4,109.19,109.33,1169,490,109.293
20210317  12:40:00,109.35,109.38,109.01,109.23,665,349,109.214
20210317  12:45:00,109.22,109.28,109.16,109.22,614,291,109.225
20210317  12:50:00,109.22,109.28,109.13,109.14,333,190,109.209
20210317  12:55:00,109.14,109.14,108.93,109.08,508,256,109.035
20210317  13:00:00,109.06,109.23,108.98,109.22,391,237,109.09
20210317  13:05:00,109.22,109.35,109.16,109.18,496,244,109.261
20210317  13:10:00,109.2,109.34,109.15,109.3,262,145,109.253
20210317  13:15:00,109.28,109.4,109.2,109.36,449,221,109.32
20210317  13:20:00,109.37,109.55,109.33,109.51,353,195,109.48
20210317  13:25:00,109.54,109.58,109.45,109.47,295,156,109.527
20210317  13:30:00,109.45,109.52,109.38,109.47,285,138,109.443
20210317  13:35:00,109.48,109.52,109.43,109.49,184,126,109.466
20210317  13:40:00,109.48,109.6,109.45,109.59,553,299,109.53
20210317  13:45:00,109.57,109.83,109.54,109.77,769,367,109.703
20210317  13:50:00,109.74,109.74,109.47,109.51,898,472,109.602
20210317  13:55:00,109.51,109.6,109.45,109.56,605,311,109.502
20210317  14:00:00,109.63,110.4,109.5,109.67,2426,1210,109.984
20210317  14:05:00,109.66,109.78,109.44,109.55,712,373,109.619
20210317  14:10:00,109.6,109.93,109.56,109.85,637,352,109.787
20210317  14:15:00,109.89,109.98,109.71,109.93,1288,478,109.851
20210317  14:20:00,109.96,110.15,109.94,109.99,402,256,110.008
20210317  14:25:00,109.97,110.1,109.85,109.86,625,314,109.998
20210317  14:30:00,109.85,109.89,109.72,109.84,503,343,109.834
20210317  14:35:00,109.82,110.19,109.82,110.15,1488,718,110.0
20210317  14:40:00,110.15,110.57,110.14,110.55,1350,722,110.288
20210317  14:45:00,110.52,110.55,110.2,110.25,1113,614,110.375
20210317  14:50:00,110.22,110.42,110.08,110.42,360,285,110.24
20210317  14:55:00,110.4,110.51,110.34,110.46,1334,716,110.427
20210317  15:00:00,110.46,110.54,110.37,110.48,1347,685,110.45
20210317  15:05:00,110.48,110.56,110.44,110.54,1554,740,110.486
20210317  15:10:00,110.54,110.63,110.38,110.4,1219,671,110.484
20210317  15:15:00,110.41,110.49,110.35,110.38,459,305,110.422
20210317  15:20:00,110.37,110.39,110.28,110.33,430,302,110.323
20210317  15:25:00,110.32,110.46,110.29,110.39,1489,752,110.37
20210317  15:30:00,110.4,110.45,110.31,110.33,1094,619,110.367
20210317  15:35:00,110.33,110.38,110.18,110.21,1001,590,110.317
20210317  15:40:00,110.2,110.36,109.95,109.98,1028,558,110.189
20210317  15:45:00,110.01,110.22,109.99,110.18,1897,831,110.138
20210317  15:50:00,110.17,110.33,110.06,110.31,2876,1429,110.174
20210317  15:55:00,110.29,110.5,110.24,110.47,3308,1825,110.425
