date,open,high,low,close,volume,barCount,average
20210520  09:30:00,202.95,204.85,202.2,203.28,3268,1081,203.934
20210520  09:35:00,203.34,204.5,202.45,204.23,1743,942,203.463
20210520  09:40:00,204.13,205.99,203.74,205.08,1806,918,205.04
20210520  09:45:00,205.23,206.39,204.29,205.32,2082,1012,205.624
20210520  09:50:00,205.32,205.85,203.51,203.77,1559,850,204.772
20210520  09:55:00,203.67,205.49,203.55,204.42,1191,544,204.498
20210520  10:00:00,204.5,205.37,204.2,204.64,923,485,204.896
20210520  10:05:00,204.58,205.41,203.79,203.85,1046,456,204.632
20210520  10:10:00,203.94,205.04,203.94,204.8,643,331,204.63
20210520  10:15:00,204.9,205.54,204.19,205.25,960,404,204.89
20210520  10:20:00,205.32,205.54,204.5,204.72,662,330,205.067
20210520  10:25:00,204.58,204.78,204.1,204.7,792,378,204.344
20210520  10:30:00,204.77,204.9,203.94,204.16,751,363,204.245
20210520  10:35:00,204.27,204.27,203.26,203.33,894,365,203.547
20210520  10:40:00,203.26,203.95,203.26,203.84,560,281,203.615
20210520  10:45:00,203.87,204.4,203.64,204.01,815,275,204.081
20210520  10:50:00,204.01,204.9,203.39,204.67,910,340,204.158
20210520  10:55:00,204.74,205.07,204.14,204.29,915,365,204.731
20210520  11:00:00,204.3,204.85,204.17,204.31,402,250,204.438
20210520  11:05:00,204.39,204.4,203.35,203.53,1159,388,203.843
20210520  11:10:00,203.57,204.56,203.29,204.28,727,317,203.88
20210520  11:15:00,204.28,205.48,204.11,205.12,1349,467,204.897
20210520  11:20:00,205.12,205.34,204.74,205.16,542,269,205.049
20210520  11:25:00,205.2,205.59,205.0,205.35,704,352,205.361
20210520  11:30:00,205.43,206.69,205.34,206.45,1360,746,206.083
20210520  11:35:00,206.46,206.46,205.62,205.88,716,369,206.039
20210520  11:40:00,205.89,206.15,205.23,205.3,589,298,205.655
20210520  11:45:00,205.3,205.89,205.3,205.5,409,255,205.552
20210520  11:50:00,205.62,205.79,204.91,205.1,616,236,205.281
20210520  11:55:00,205.04,205.31,204.89,205.2,459,158,205.095
20210520  12:00:00,205.19,205.21,204.07,204.44,751,376,204.48
20210520  12:05:00,204.42,204.43,203.94,203.94,638,350,204.095
20210520  12:10:00,203.93,204.11,203.65,203.76,912,447,203.894
20210520  12:15:00,203.76,204.76,203.7,204.4,611,346,204.259
20210520  12:20:00,204.4,204.41,203.68,203.92,467,260,203.964
20210520  12:25:00,203.88,204.07,203.46,204.02,469,228,203.769
20210520  12:30:00,204.05,204.23,203.65,203.7,452,170,203.927
20210520  12:35:00,203.6,203.73,202.66,202.77,1187,468,203.047
20210520  12:40:00,202.75,203.48,202.63,203.19,1179,353,202.983
20210520  12:45:00,203.28,203.63,203.25,203.53,588,216,203.42
20210520  12:50:00,203.48,204.43,203.42,203.81,1478,447,204.002
20210520  12:55:00,203.87,204.27,203.76,204.17,513,192,203.983
20210520  13:00:00,204.13,204.53,203.91,204.0,369,167,204.198
20210520  13:05:00,204.05,204.49,204.04,204.42,347,149,204.267
20210520  13:10:00,204.48,204.7,204.2,204.33,884,176,204.501
20210520  13:15:00,204.41,204.42,204.03,204.29,183,99,204.253
20210520  13:20:00,204.35,204.75,204.33,204.61,313,127,204.559
20210520  13:25:00,204.56,204.66,204.06,204.27,440,220,204.363
20210520  13:30:00,204.33,205.04,204.25,204.76,589,272,204.719
20210520  13:35:00,204.72,204.87,204.5,204.64,371,170,204.661
20210520  13:40:00,204.55,204.62,204.31,204.55,228,126,204.456
20210520  13:45:00,204.5,204.91,204.45,204.73,335,169,204.75
20210520  13:50:00,204.67,204.99,203.57,203.8,511,237,204.142
20210520  13:55:00,203.74,204.18,203.61,204.03,334,170,203.963
20210520  14:00:00,204.09,204.42,203.86,203.99,469,226,204.152
20210520  14:05:00,204.06,204.4,204.06,204.27,230,145,204.258
20210520  14:10:00,204.24,204.34,203.78,204.08,379,195,204.019
20210520  14:15:00,204.11,204.29,203.84,204.05,268,145,204.08
20210520  14:20:00,204.05,204.27,203.71,203.85,279,176,203.959
20210520  14:25:00,203.84,204.15,203.6,204.01,345,206,203.886
20210520  14:30:00,204.02,204.16,203.54,203.67,394,241,203.83
20210520  14:35:00,203.6,203.99,203.6,203.85,245,160,203.829
20210520  14:40:00,203.77,203.99,203.69,203.81,343,191,203.859
20210520  14:45:00,203.88,204.3,203.73,204.25,487,225,204.019
20210520  14:50:00,204.21,204.67,203.81,204.64,429,203,204.24
20210520  14:55:00,204.58,204.98,204.56,204.89,586,260,204.783
20210520  15:00:00,204.92,205.53,204.6,205.38,1120,490,205.114
20210520  15:05:00,205.39,205.46,204.86,205.19,431,256,205.159
20210520  15:10:00,205.21,205.63,205.1,205.6,492,250,205.403
20210520  15:15:00,205.62,205.74,205.29,205.29,541,330,205.566
20210520  15:20:00,205.33,205.56,205.16,205.42,330,209,205.35
20210520  15:25:00,205.42,205.85,205.35,205.85,490,268,205.594
20210520  15:30:00,205.83,206.15,205.76,206.15,735,373,205.99
20210520  15:35:00,206.1,206.18,205.68,205.87,626,377,205.851
20210520  15:40:00,205.87,206.22,205.68,206.11,914,517,205.934
20210520  15:45:00,206.12,206.15,205.47,205.53,666,452,205.768
20210520  15:50:00,205.66,205.83,204.94,205.83,1400,723,205.265
20210520  15:55:00,205.74,205.78,204.76,205.0,1705,861,205.07
