date,open,high,low,close,volume,barCount,average
20200702  09:30:00,7.16,7.19,7.12,7.18,1183,133,7.155
20200702  09:35:00,7.15,7.18,7.1,7.14,834,189,7.129
20200702  09:40:00,7.17,7.17,7.12,7.13,719,136,7.151
20200702  09:45:00,7.15,7.28,7.13,7.25,1706,306,7.211
20200702  09:50:00,7.26,7.28,7.19,7.2,755,196,7.23
20200702  09:55:00,7.2,7.23,7.14,7.16,846,229,7.174
20200702  10:00:00,7.15,7.17,7.13,7.15,443,125,7.161
20200702  10:05:00,7.14,7.17,7.13,7.15,385,85,7.155
20200702  10:10:00,7.15,7.15,7.04,7.1,1380,305,7.092
20200702  10:15:00,7.09,7.09,7.02,7.03,1440,312,7.037
20200702  10:20:00,7.04,7.08,7.02,7.06,654,183,7.042
20200702  10:25:00,7.06,7.07,7.04,7.06,288,70,7.063
20200702  10:30:00,7.07,7.07,7.04,7.06,200,60,7.051
20200702  10:35:00,7.06,7.11,7.05,7.1,471,111,7.083
20200702  10:40:00,7.11,7.11,7.08,7.11,397,84,7.098
20200702  10:45:00,7.09,7.13,7.06,7.08,1172,143,7.105
20200702  10:50:00,7.07,7.11,7.03,7.04,554,127,7.06
20200702  10:55:00,7.04,7.06,7.02,7.04,639,121,7.027
20200702  11:00:00,7.04,7.06,7.02,7.03,220,57,7.034
20200702  11:05:00,7.03,7.09,7.02,7.08,292,103,7.05
20200702  11:10:00,7.07,7.09,7.05,7.07,164,47,7.082
20200702  11:15:00,7.06,7.11,7.04,7.05,482,82,7.078
20200702  11:20:00,7.07,7.11,7.04,7.1,347,86,7.103
20200702  11:25:00,7.11,7.11,7.08,7.08,194,24,7.095
20200702  11:30:00,7.08,7.11,7.07,7.11,397,81,7.106
20200702  11:35:00,7.1,7.11,7.09,7.1,204,80,7.103
20200702  11:40:00,7.11,7.12,7.1,7.12,1312,158,7.11
20200702  11:45:00,7.12,7.16,7.11,7.15,213,98,7.139
20200702  11:50:00,7.15,7.15,7.11,7.14,312,120,7.135
20200702  11:55:00,7.13,7.14,7.11,7.13,149,93,7.125
20200702  12:00:00,7.12,7.13,7.09,7.1,461,165,7.102
20200702  12:05:00,7.1,7.11,7.09,7.11,394,86,7.108
20200702  12:10:00,7.11,7.11,7.08,7.09,283,65,7.1
20200702  12:15:00,7.09,7.11,7.07,7.09,323,65,7.089
20200702  12:20:00,7.09,7.1,7.08,7.08,147,58,7.088
20200702  12:25:00,7.07,7.1,7.06,7.1,160,66,7.075
20200702  12:30:00,7.1,7.11,7.08,7.08,77,38,7.096
20200702  12:35:00,7.11,7.11,7.06,7.08,234,46,7.084
20200702  12:40:00,7.08,7.1,7.07,7.08,142,54,7.076
20200702  12:45:00,7.07,7.1,7.07,7.09,149,50,7.08
20200702  12:50:00,7.09,7.1,7.08,7.1,132,28,7.088
20200702  12:55:00,7.1,7.11,7.09,7.11,126,42,7.103
20200702  13:00:00,7.1,7.1,7.08,7.09,101,44,7.09
20200702  13:05:00,7.08,7.09,7.04,7.06,351,94,7.062
20200702  13:10:00,7.07,7.08,7.05,7.05,60,34,7.059
20200702  13:15:00,7.06,7.09,7.06,7.07,111,40,7.075
20200702  13:20:00,7.09,7.1,7.07,7.07,328,93,7.09
20200702  13:25:00,7.06,7.09,7.05,7.07,150,73,7.066
20200702  13:30:00,7.08,7.08,7.07,7.07,138,35,7.072
20200702  13:35:00,7.08,7.08,7.06,7.07,350,46,7.069
20200702  13:40:00,7.08,7.1,7.07,7.1,192,55,7.088
20200702  13:45:00,7.09,7.09,7.05,7.09,142,55,7.076
20200702  13:50:00,7.08,7.08,7.0,7.04,863,222,7.027
20200702  13:55:00,7.05,7.06,7.02,7.05,413,72,7.027
20200702  14:00:00,7.04,7.07,7.03,7.05,248,63,7.045
20200702  14:05:00,7.06,7.06,7.02,7.04,94,37,7.033
20200702  14:10:00,7.04,7.05,6.89,6.92,3108,845,6.968
20200702  14:15:00,6.92,7.0,6.91,6.98,715,170,6.957
20200702  14:20:00,6.99,7.0,6.97,6.99,423,89,6.981
20200702  14:25:00,6.99,7.04,6.99,7.0,390,104,7.005
20200702  14:30:00,7.02,7.04,7.0,7.03,85,51,7.021
20200702  14:35:00,7.03,7.04,7.01,7.01,126,54,7.024
20200702  14:40:00,7.01,7.01,6.98,6.98,308,100,6.995
20200702  14:45:00,6.99,7.0,6.97,6.97,272,67,6.98
20200702  14:50:00,6.98,6.98,6.97,6.98,382,73,6.976
20200702  14:55:00,6.98,7.0,6.97,6.98,393,101,6.98
20200702  15:00:00,7.0,7.02,6.97,6.98,198,82,6.988
20200702  15:05:00,6.98,6.98,6.95,6.97,198,90,6.966
20200702  15:10:00,6.97,6.99,6.95,6.97,286,63,6.959
20200702  15:15:00,6.97,7.0,6.95,6.96,224,40,6.963
20200702  15:20:00,6.97,7.0,6.97,7.0,550,206,6.994
20200702  15:25:00,7.0,7.0,6.96,6.97,972,396,6.987
20200702  15:30:00,6.97,6.97,6.92,6.94,1479,353,6.944
20200702  15:35:00,6.94,6.99,6.93,6.96,836,214,6.955
20200702  15:40:00,6.98,6.98,6.94,6.98,224,92,6.96
20200702  15:45:00,6.98,6.98,6.94,6.96,490,143,6.957
20200702  15:50:00,6.95,6.97,6.93,6.95,616,181,6.951
20200702  15:55:00,6.94,6.97,6.93,6.96,918,376,6.949
