date,open,high,low,close,volume,barCount,average
20210506  09:30:00,680.75,681.03,673.71,673.79,6192,2588,678.128
20210506  09:35:00,673.91,680.66,673.31,680.3,4879,2282,677.153
20210506  09:40:00,680.34,680.87,674.28,675.93,3298,1710,676.934
20210506  09:45:00,675.77,678.3,672.77,673.57,2695,1270,675.34
20210506  09:50:00,673.44,677.0,671.45,672.57,2869,1326,674.435
20210506  09:55:00,671.84,671.99,667.64,668.21,3914,1799,669.736
20210506  10:00:00,668.1,669.9,666.37,668.45,3220,1508,668.315
20210506  10:05:00,668.42,669.08,664.53,664.75,3094,1360,666.21
20210506  10:10:00,664.74,666.21,663.79,664.57,2883,1528,665.301
20210506  10:15:00,664.7,664.78,658.0,658.78,7062,2905,660.973
20210506  10:20:00,658.64,659.4,656.2,658.76,5968,2774,658.095
20210506  10:25:00,658.75,660.69,656.16,659.04,3714,1781,659.105
20210506  10:30:00,659.04,661.7,658.17,660.88,3511,1553,660.225
20210506  10:35:00,660.64,663.08,659.53,662.6,3407,1554,661.758
20210506  10:40:00,662.54,663.83,659.51,660.17,2772,1374,661.971
20210506  10:45:00,660.06,663.38,659.59,660.32,2119,950,661.477
20210506  10:50:00,660.31,661.68,659.59,660.85,1362,623,660.445
20210506  10:55:00,660.84,661.0,657.36,659.8,2612,1073,659.014
20210506  11:00:00,660.03,660.1,655.32,656.5,2784,1226,656.963
20210506  11:05:00,656.3,657.13,651.11,653.22,4198,1907,653.189
20210506  11:10:00,653.02,654.3,650.0,651.4,3101,1527,651.652
20210506  11:15:00,651.47,654.89,651.02,653.93,2984,1441,653.392
20210506  11:20:00,653.62,657.0,653.1,656.86,2348,1258,655.191
20210506  11:25:00,656.85,659.21,656.5,658.87,2771,1399,657.977
20210506  11:30:00,658.75,661.0,657.23,660.44,2696,1337,658.927
20210506  11:35:00,660.48,662.18,659.89,660.64,2517,1285,660.87
20210506  11:40:00,660.68,665.39,660.68,665.39,2603,1282,663.373
20210506  11:45:00,665.38,665.76,663.4,664.62,3003,1473,664.624
20210506  11:50:00,664.66,666.85,664.66,665.27,3347,1457,665.6
20210506  11:55:00,665.36,666.33,663.13,663.25,2372,1115,665.045
20210506  12:00:00,663.24,663.93,661.25,662.98,2306,1089,662.525
20210506  12:05:00,663.09,663.9,661.7,662.54,890,435,662.741
20210506  12:10:00,662.32,663.01,661.39,662.11,1042,433,662.164
20210506  12:15:00,662.12,666.17,662.04,665.53,1864,811,664.416
20210506  12:20:00,665.52,666.73,665.05,666.23,1175,604,665.795
20210506  12:25:00,666.11,669.6,666.11,669.33,2713,1402,668.602
20210506  12:30:00,669.4,669.77,666.5,666.75,2157,1000,668.289
20210506  12:35:00,666.88,667.46,665.11,665.65,1383,727,665.907
20210506  12:40:00,665.71,668.87,665.55,667.88,1666,739,667.323
20210506  12:45:00,667.8,668.0,665.11,665.98,1181,577,666.207
20210506  12:50:00,666.1,667.64,666.1,667.37,1105,436,667.164
20210506  12:55:00,667.24,667.44,666.0,666.72,910,413,666.659
20210506  13:00:00,666.55,668.83,666.17,667.84,1278,584,667.804
20210506  13:05:00,667.82,667.95,666.0,666.2,1243,497,666.519
20210506  13:10:00,666.15,666.23,664.6,664.6,1238,534,665.603
20210506  13:15:00,664.82,665.54,662.56,663.1,1362,651,663.976
20210506  13:20:00,663.29,664.31,662.3,663.0,1341,612,663.137
20210506  13:25:00,662.83,664.69,662.83,663.99,804,349,664.054
20210506  13:30:00,663.76,665.1,663.54,664.75,687,321,664.422
20210506  13:35:00,664.77,665.44,663.9,664.13,563,288,664.581
20210506  13:40:00,664.19,664.31,661.0,661.16,1278,686,661.983
20210506  13:45:00,661.44,661.64,658.82,659.46,1673,853,659.777
20210506  13:50:00,659.34,660.19,658.12,658.41,893,526,659.15
20210506  13:55:00,658.46,658.84,657.2,658.27,1419,693,658.004
20210506  14:00:00,658.22,659.49,658.0,659.05,1045,503,658.714
20210506  14:05:00,659.17,660.95,658.74,660.73,1180,623,660.123
20210506  14:10:00,660.62,661.5,657.98,659.86,1467,708,659.834
20210506  14:15:00,659.94,660.49,658.22,659.13,1220,587,659.267
20210506  14:20:00,659.25,659.86,657.16,659.53,1521,701,658.387
20210506  14:25:00,659.52,660.27,655.59,656.03,1934,981,657.999
20210506  14:30:00,656.0,656.39,654.09,654.2,1579,858,655.311
20210506  14:35:00,654.11,655.38,653.31,654.36,1921,967,654.488
20210506  14:40:00,654.26,656.1,652.73,653.12,2122,1107,654.266
20210506  14:45:00,653.47,656.08,653.04,655.45,1827,904,654.851
20210506  14:50:00,655.51,657.91,655.03,656.89,1608,873,656.736
20210506  14:55:00,656.9,658.19,654.56,654.58,1509,799,656.479
20210506  15:00:00,654.67,655.63,653.26,654.47,1529,681,654.557
20210506  15:05:00,654.51,657.18,653.95,656.98,1206,666,655.29
20210506  15:10:00,656.93,659.83,656.13,659.49,2171,1126,658.068
20210506  15:15:00,659.5,659.66,657.5,657.68,1448,732,658.456
20210506  15:20:00,657.7,658.3,656.32,658.17,1141,591,657.221
20210506  15:25:00,658.21,660.29,657.52,658.82,1529,856,658.82
20210506  15:30:00,658.95,659.49,657.63,657.98,1291,667,658.766
20210506  15:35:00,658.22,660.92,658.15,660.29,1631,836,659.797
20210506  15:40:00,660.38,661.77,660.2,661.18,1813,970,660.922
20210506  15:45:00,661.14,661.18,659.77,660.9,1450,830,660.319
20210506  15:50:00,661.0,663.29,660.6,663.19,2451,1468,661.814
20210506  15:55:00,663.35,664.5,661.81,663.7,3739,2307,663.189
