date,open,high,low,close,volume,barCount,average
20210304  09:30:00,215.97,216.9,215.34,216.9,3042,1467,216.098
20210304  09:35:00,216.84,217.02,215.8,216.02,1217,1005,216.33
20210304  09:40:00,215.99,216.28,214.9,215.03,856,674,215.463
20210304  09:45:00,215.01,215.15,214.24,214.41,969,746,214.826
20210304  09:50:00,214.39,214.73,213.95,214.55,783,571,214.402
20210304  09:55:00,214.5,214.64,213.83,214.63,743,580,214.329
20210304  10:00:00,214.58,214.65,213.84,214.04,886,716,214.265
20210304  10:05:00,214.04,214.42,213.84,213.84,1004,803,214.031
20210304  10:10:00,213.94,213.94,213.02,213.53,1329,967,213.389
20210304  10:15:00,213.51,214.0,213.48,213.6,699,584,213.711
20210304  10:20:00,213.57,214.27,213.49,214.05,1190,792,213.793
20210304  10:25:00,214.11,214.75,213.95,214.49,468,364,214.238
20210304  10:30:00,214.39,214.65,214.23,214.31,393,296,214.428
20210304  10:35:00,214.34,215.08,214.09,215.07,413,337,214.624
20210304  10:40:00,215.12,215.25,214.89,215.08,532,395,215.084
20210304  10:45:00,215.09,215.54,215.02,215.43,893,381,215.352
20210304  10:50:00,215.43,215.52,214.41,214.59,710,392,214.99
20210304  10:55:00,214.56,215.25,214.38,214.87,623,362,214.833
20210304  11:00:00,214.9,215.61,214.9,215.52,396,310,215.29
20210304  11:05:00,215.58,215.81,215.22,215.8,696,486,215.634
20210304  11:10:00,215.81,216.15,214.97,215.75,841,601,215.875
20210304  11:15:00,215.78,216.02,215.57,215.92,500,275,215.778
20210304  11:20:00,215.94,216.2,215.83,216.11,494,329,216.013
20210304  11:25:00,216.05,216.09,215.78,216.08,500,379,215.906
20210304  11:30:00,216.04,216.5,215.81,215.81,513,331,216.179
20210304  11:35:00,215.85,216.38,215.85,216.24,490,300,216.175
20210304  11:40:00,216.22,216.57,216.06,216.52,1027,577,216.349
20210304  11:45:00,216.5,216.83,216.45,216.7,805,485,216.673
20210304  11:50:00,216.68,216.98,216.5,216.91,847,464,216.791
20210304  11:55:00,216.86,216.87,216.05,216.08,309,237,216.464
20210304  12:00:00,216.12,216.56,216.09,216.48,358,264,216.377
20210304  12:05:00,216.47,216.48,216.18,216.41,189,164,216.371
20210304  12:10:00,216.45,216.5,215.21,215.37,511,379,215.687
20210304  12:15:00,215.33,216.23,215.3,215.68,360,247,215.934
20210304  12:20:00,215.75,216.02,214.8,214.89,471,404,215.171
20210304  12:25:00,214.78,214.88,213.96,214.29,543,388,214.43
20210304  12:30:00,214.39,214.41,213.67,213.9,511,317,214.005
20210304  12:35:00,213.88,214.26,213.69,214.26,463,331,213.877
20210304  12:40:00,214.27,214.54,213.93,213.94,255,213,214.285
20210304  12:45:00,213.91,214.04,213.5,213.61,333,250,213.756
20210304  12:50:00,213.7,213.94,213.08,213.33,426,329,213.467
20210304  12:55:00,213.26,213.27,212.45,212.81,730,526,212.801
20210304  13:00:00,212.74,212.99,212.49,212.74,515,359,212.67
20210304  13:05:00,212.73,212.73,212.2,212.44,1098,515,212.408
20210304  13:10:00,212.39,212.47,211.62,211.67,1166,653,212.025
20210304  13:15:00,211.66,212.14,211.48,211.69,778,537,211.848
20210304  13:20:00,211.66,211.71,210.81,211.13,992,750,211.076
20210304  13:25:00,211.1,211.6,210.68,211.6,1073,766,211.09
20210304  13:30:00,211.56,211.57,210.6,210.84,415,307,211.009
20210304  13:35:00,210.88,211.4,210.81,211.05,584,419,211.097
20210304  13:40:00,210.99,211.03,210.33,210.4,475,344,210.693
20210304  13:45:00,210.41,210.46,209.68,209.76,1253,763,210.002
20210304  13:50:00,209.76,209.88,208.7,209.13,875,550,209.276
20210304  13:55:00,209.08,209.46,208.76,208.87,752,558,209.176
20210304  14:00:00,208.85,209.51,208.67,209.0,912,663,208.963
20210304  14:05:00,209.0,210.18,208.77,210.07,615,458,209.563
20210304  14:10:00,210.04,210.66,209.89,210.45,694,470,210.278
20210304  14:15:00,210.48,210.48,209.72,210.18,490,368,210.028
20210304  14:20:00,210.24,210.74,210.2,210.7,480,332,210.523
20210304  14:25:00,210.68,211.18,210.64,211.14,699,550,210.901
20210304  14:30:00,211.11,211.19,210.58,210.83,513,399,210.788
20210304  14:35:00,210.86,211.0,210.35,210.78,441,352,210.652
20210304  14:40:00,210.75,211.47,210.69,211.45,483,367,210.993
20210304  14:45:00,211.46,211.93,211.29,211.92,513,375,211.641
20210304  14:50:00,211.93,211.96,211.49,211.91,432,273,211.767
20210304  14:55:00,211.92,212.29,211.76,212.04,460,307,211.997
20210304  15:00:00,212.03,212.1,211.03,211.12,383,302,211.458
20210304  15:05:00,211.18,211.43,210.85,210.88,703,382,211.222
20210304  15:10:00,210.87,211.05,210.55,210.77,508,366,210.735
20210304  15:15:00,210.7,210.87,210.38,210.55,435,304,210.658
20210304  15:20:00,210.53,210.66,210.25,210.53,668,430,210.443
20210304  15:25:00,210.53,211.32,210.5,211.21,628,379,210.817
20210304  15:30:00,211.17,211.81,211.05,211.6,632,445,211.571
20210304  15:35:00,211.58,211.92,211.13,211.39,997,703,211.52
20210304  15:40:00,211.36,211.91,211.28,211.73,1167,773,211.662
20210304  15:45:00,211.7,212.07,211.51,211.67,1972,1018,211.75
20210304  15:50:00,211.63,212.21,211.18,211.23,2697,1456,211.912
20210304  15:55:00,211.17,211.67,210.88,211.64,3434,2128,211.28
