date,open,high,low,close,volume,barCount,average
20190712  09:30:00,3.33,3.34,3.26,3.3079,1529,117,3.31898
20190712  09:35:00,3.3095,3.32,3.23,3.2474,1043,103,3.26294
20190712  09:40:00,3.23,3.25,3.22,3.25,753,75,3.23611
20190712  09:45:00,3.2441,3.33,3.2406,3.32,878,103,3.28542
20190712  09:50:00,3.31,3.31,3.25,3.284,472,67,3.27337
20190712  09:55:00,3.29,3.3,3.27,3.29,111,34,3.28294
20190712  10:00:00,3.3,3.3,3.26,3.26,590,115,3.28456
20190712  10:05:00,3.26,3.28,3.23,3.2693,448,69,3.25566
20190712  10:10:00,3.2682,3.28,3.25,3.27,234,48,3.26868
20190712  10:15:00,3.2768,3.2831,3.26,3.27,123,20,3.27451
20190712  10:20:00,3.273,3.2852,3.26,3.26,88,15,3.26977
20190712  10:25:00,3.27,3.3,3.26,3.28,590,58,3.27356
20190712  10:30:00,3.28,3.28,3.27,3.27,63,19,3.27266
20190712  10:35:00,3.2744,3.28,3.27,3.28,129,23,3.2745
20190712  10:40:00,3.28,3.28,3.2768,3.2768,53,17,3.27934
20190712  10:45:00,3.28,3.29,3.27,3.2884,97,19,3.28448
20190712  10:50:00,3.29,3.3168,3.2801,3.3154,248,37,3.29976
20190712  10:55:00,3.32,3.32,3.29,3.29,472,68,3.30551
20190712  11:00:00,3.2969,3.2969,3.24,3.24,714,132,3.26482
20190712  11:05:00,3.2343,3.24,3.22,3.2316,514,96,3.2313
20190712  11:10:00,3.23,3.26,3.2215,3.26,235,39,3.23734
20190712  11:15:00,3.2686,3.27,3.23,3.24,337,54,3.24879
20190712  11:20:00,3.2431,3.2462,3.23,3.2301,176,24,3.2338
20190712  11:25:00,3.23,3.2399,3.22,3.23,177,42,3.23
20190712  11:30:00,3.22,3.23,3.18,3.1815,829,158,3.20591
20190712  11:35:00,3.184,3.21,3.18,3.2,236,43,3.19336
20190712  11:40:00,3.2027,3.2185,3.2,3.2185,116,25,3.20778
20190712  11:45:00,3.22,3.225,3.2136,3.22,75,28,3.21932
20190712  11:50:00,3.225,3.225,3.2,3.21,235,43,3.21292
20190712  11:55:00,3.2001,3.21,3.2,3.2022,99,19,3.2051
20190712  12:00:00,3.21,3.21,3.16,3.1734,603,102,3.18496
20190712  12:05:00,3.1715,3.189,3.17,3.189,110,19,3.1829
20190712  12:10:00,3.18,3.2,3.18,3.1999,206,37,3.19313
20190712  12:15:00,3.19,3.2,3.18,3.2,50,8,3.19754
20190712  12:20:00,3.2,3.21,3.19,3.2043,86,20,3.20101
20190712  12:25:00,3.21,3.24,3.21,3.22,294,40,3.23277
20190712  12:30:00,3.2166,3.23,3.2,3.2285,159,36,3.21731
20190712  12:35:00,3.2277,3.23,3.22,3.2234,38,11,3.22436
20190712  12:40:00,3.2248,3.23,3.21,3.2101,104,8,3.21385
20190712  12:45:00,3.2195,3.22,3.2,3.21,158,46,3.20997
20190712  12:50:00,3.2166,3.23,3.2116,3.2203,60,22,3.21895
