date,open,high,low,close,volume,barCount,average
20210505  09:30:00,140.71,141.08,140.5,140.99,2055,505,140.939
20210505  09:35:00,140.99,141.1,140.7,141.02,1176,774,140.898
20210505  09:40:00,141.01,141.14,140.73,140.78,793,417,140.909
20210505  09:45:00,140.8,141.05,140.73,141.0,2304,725,140.928
20210505  09:50:00,140.98,141.18,140.94,141.05,817,445,141.042
20210505  09:55:00,141.06,141.2,141.06,141.14,695,478,141.116
20210505  10:00:00,141.12,141.13,140.9,140.95,686,507,141.003
20210505  10:05:00,140.97,141.0,140.86,140.92,691,460,140.958
20210505  10:10:00,140.92,140.97,140.81,140.91,522,369,140.89
20210505  10:15:00,140.92,140.99,140.84,140.85,971,678,140.914
20210505  10:20:00,140.86,140.87,140.64,140.74,901,510,140.743
20210505  10:25:00,140.75,140.98,140.73,140.94,938,477,140.92
20210505  10:30:00,140.93,140.97,140.81,140.97,893,564,140.898
20210505  10:35:00,140.96,140.97,140.72,140.75,574,327,140.862
20210505  10:40:00,140.75,140.81,140.56,140.58,345,241,140.672
20210505  10:45:00,140.57,140.72,140.56,140.59,344,214,140.631
20210505  10:50:00,140.58,140.64,140.54,140.6,257,170,140.599
20210505  10:55:00,140.61,140.69,140.58,140.62,379,233,140.634
20210505  11:00:00,140.61,140.63,140.25,140.26,586,389,140.418
20210505  11:05:00,140.27,140.37,140.25,140.31,331,218,140.315
20210505  11:10:00,140.3,140.5,140.27,140.47,330,198,140.39
20210505  11:15:00,140.45,140.62,140.44,140.6,514,354,140.561
20210505  11:20:00,140.61,140.63,140.58,140.61,186,126,140.606
20210505  11:25:00,140.62,140.63,140.59,140.62,170,112,140.615
20210505  11:30:00,140.49,140.57,140.45,140.46,184,136,140.511
20210505  11:35:00,140.46,140.54,140.44,140.51,337,204,140.514
20210505  11:40:00,140.52,140.64,140.52,140.63,346,200,140.59
20210505  11:45:00,140.63,140.65,140.53,140.63,926,532,140.611
20210505  11:50:00,140.61,140.73,140.5,140.51,1104,664,140.625
20210505  11:55:00,140.5,140.57,140.47,140.49,386,230,140.508
20210505  12:00:00,140.5,140.53,140.41,140.47,858,434,140.467
20210505  12:05:00,140.46,140.46,140.36,140.37,408,261,140.39
20210505  12:10:00,140.36,140.41,140.3,140.32,624,423,140.355
20210505  12:15:00,140.34,140.42,140.34,140.4,597,337,140.38
20210505  12:20:00,140.39,140.45,140.37,140.41,983,444,140.401
20210505  12:25:00,140.42,140.51,140.39,140.41,1303,484,140.458
20210505  12:30:00,140.42,140.46,140.4,140.44,337,216,140.432
20210505  12:35:00,140.43,140.45,140.4,140.42,591,298,140.42
20210505  12:40:00,140.42,140.5,140.38,140.42,676,429,140.449
20210505  12:45:00,140.41,140.55,140.4,140.55,227,177,140.493
20210505  12:50:00,140.55,140.73,140.51,140.72,270,172,140.632
20210505  12:55:00,140.72,140.8,140.63,140.65,580,377,140.727
20210505  13:00:00,140.66,140.66,140.5,140.58,476,335,140.581
20210505  13:05:00,140.58,140.73,140.58,140.67,251,175,140.666
20210505  13:10:00,140.66,140.79,140.58,140.73,462,291,140.674
20210505  13:15:00,140.74,140.8,140.71,140.78,181,117,140.759
20210505  13:20:00,140.77,140.8,140.77,140.79,181,124,140.789
20210505  13:25:00,140.8,140.81,140.7,140.76,197,149,140.749
20210505  13:30:00,140.76,140.83,140.72,140.79,188,151,140.77
20210505  13:35:00,140.78,140.79,140.67,140.69,210,160,140.724
20210505  13:40:00,140.69,140.73,140.65,140.69,159,124,140.695
20210505  13:45:00,140.71,140.79,140.7,140.75,250,138,140.746
20210505  13:50:00,140.75,140.89,140.75,140.87,351,247,140.844
20210505  13:55:00,140.87,140.9,140.78,140.85,345,224,140.833
20210505  14:00:00,140.85,140.88,140.8,140.81,304,231,140.846
20210505  14:05:00,140.82,140.82,140.74,140.79,355,230,140.784
20210505  14:10:00,140.79,140.88,140.77,140.86,186,146,140.825
20210505  14:15:00,140.85,140.91,140.82,140.86,374,280,140.873
20210505  14:20:00,140.87,140.91,140.81,140.91,281,206,140.858
20210505  14:25:00,140.9,140.91,140.86,140.89,253,202,140.887
20210505  14:30:00,140.9,140.91,140.83,140.89,485,354,140.876
20210505  14:35:00,140.9,140.9,140.86,140.89,219,169,140.879
20210505  14:40:00,140.89,140.95,140.82,140.83,302,235,140.9
20210505  14:45:00,140.83,140.97,140.82,140.96,236,179,140.902
20210505  14:50:00,140.96,141.0,140.92,140.96,361,215,140.978
20210505  14:55:00,140.97,140.97,140.88,140.91,199,163,140.931
20210505  15:00:00,140.9,140.94,140.81,140.86,562,407,140.863
20210505  15:05:00,140.85,140.89,140.76,140.8,478,301,140.828
20210505  15:10:00,140.81,140.9,140.78,140.79,244,192,140.84
20210505  15:15:00,140.78,140.81,140.73,140.8,307,236,140.774
20210505  15:20:00,140.79,140.8,140.66,140.67,260,212,140.721
20210505  15:25:00,140.67,140.72,140.64,140.69,322,256,140.682
20210505  15:30:00,140.69,140.7,140.52,140.7,1433,1073,140.618
20210505  15:35:00,140.71,140.74,140.66,140.7,395,304,140.701
20210505  15:40:00,140.69,140.7,140.64,140.68,507,334,140.668
20210505  15:45:00,140.69,140.71,140.59,140.6,531,351,140.666
20210505  15:50:00,140.59,140.6,140.48,140.55,980,688,140.541
20210505  15:55:00,140.54,140.62,140.49,140.62,1854,1080,140.562
