date,open,high,low,close,volume,barCount,average
19800317,27.5,28.25,27.5,27.5,125,1,27.504
19800318,27.0,27.76,27.0,27.0,129,1,27.0
19800319,27.5,28.25,27.5,27.5,70,1,27.504
19800320,28.01,28.75,28.01,28.01,127,1,28.008
19800321,29.01,29.75,29.01,29.01,105,1,29.007
19800324,27.5,28.25,27.5,27.5,92,1,27.504
19800325,26.76,27.5,26.76,26.76,150,1,26.757
19800326,24.0,24.75,24.0,24.0,115,1,24.003
19800327,22.0,23.0,22.0,22.0,347,1,22.005
19800328,24.51,25.51,24.51,24.51,213,1,24.507
19800331,27.25,28.25,27.25,27.25,213,1,27.252
19800401,27.0,28.01,27.0,27.0,123,1,27.0
19800402,17.0,17.75,17.0,17.0,216,1,17.004
19800403,17.5,18.25,17.5,17.5,242,1,17.502
19800407,16.25,17.0,16.25,16.25,49,1,16.254
19800408,17.0,17.75,17.0,17.0,60,1,17.004
19800409,16.75,17.5,16.75,16.75,125,1,16.752
19800410,16.75,17.5,16.75,16.75,60,1,16.752
19800411,16.75,17.5,16.75,16.75,55,1,16.752
19800414,16.75,17.5,16.75,16.75,17,1,16.752
19800415,16.5,17.25,16.5,16.5,57,1,16.5
19800416,16.5,17.25,16.5,16.5,50,1,16.5
19800417,16.5,17.25,16.5,16.5,51,1,16.5
19800418,16.75,17.5,16.75,16.75,30,1,16.752
19800421,16.25,17.0,16.25,16.25,182,1,16.254
19800422,18.0,18.75,18.0,18.0,211,1,18.0
19800423,18.25,19.0,18.25,18.25,91,1,18.252
19800424,18.75,19.5,18.75,18.75,55,1,18.75
19800425,18.5,19.25,18.5,18.5,108,1,18.504
19800428,18.5,19.25,18.5,18.5,56,1,18.504
19800429,18.75,19.5,18.75,18.75,47,1,18.75
19800430,18.75,19.5,18.75,18.75,5,1,18.75
19800501,18.5,19.25,18.5,18.5,44,1,18.504
19800502,18.5,19.25,18.5,18.5,61,1,18.504
19800505,18.5,19.25,18.5,18.5,33,1,18.504
19800506,18.5,19.25,18.5,18.5,10,1,18.504
19800507,18.5,19.25,18.5,18.5,535,1,18.504
19800508,18.0,18.75,18.0,18.0,680,1,18.0
19800509,18.0,18.75,18.0,18.0,293,1,18.0
19800512,18.25,19.0,18.25,18.25,148,1,18.252
19800513,18.5,19.25,18.5,18.5,85,1,18.504
19800514,18.75,19.5,18.75,18.75,177,1,18.75
19800515,19.0,19.75,19.0,19.0,174,1,19.002
19800516,19.0,19.75,19.0,19.0,150,1,19.002
19800519,18.5,19.25,18.5,18.5,128,1,18.504
19800520,18.25,19.0,18.25,18.25,83,1,18.252
19800521,18.0,18.75,18.0,18.0,82,1,18.0
19800522,19.0,19.75,19.0,19.0,148,1,19.002
19800523,19.75,20.5,19.75,19.75,212,1,19.752
19800527,20.25,21.0,20.25,20.25,260,1,20.25
19800528,20.5,21.25,20.5,20.5,165,1,20.502
19800529,21.0,21.75,21.0,21.0,271,1,21.0
19800530,21.0,21.75,21.0,21.0,121,1,21.0
19800602,20.5,21.25,20.5,20.5,79,1,20.502
19800603,19.75,20.5,19.75,19.75,127,1,19.752
19800604,20.5,21.25,20.5,20.5,135,1,20.502
19800605,21.0,21.75,21.0,21.0,164,1,21.0
19800606,20.5,21.25,20.5,20.5,141,1,20.502
19800609,20.75,21.5,20.75,20.75,154,1,20.754
19800610,20.5,21.25,20.5,20.5,46,1,20.502
19800611,20.75,21.5,20.75,20.75,214,1,20.754
19800612,21.0,21.75,21.0,21.0,141,1,21.0
19800613,21.25,22.0,21.25,21.25,72,1,21.252
19800616,21.0,21.75,21.0,21.0,128,1,21.0
19800617,21.0,21.75,21.0,21.0,121,1,21.0
19800618,20.5,21.25,20.5,20.5,178,1,20.502
19800619,20.0,20.75,20.0,20.0,109,1,20.004
19800620,19.75,20.5,19.75,19.75,112,1,19.752
19800623,19.25,20.0,19.25,19.25,63,1,19.254
19800624,19.5,20.25,19.5,19.5,127,1,19.5
19800625,19.75,20.5,19.75,19.75,193,1,19.752
19800626,20.5,21.25,20.5,20.5,374,1,20.502
19800627,20.25,21.0,20.25,20.25,69,1,20.25
19800630,19.75,20.5,19.75,19.75,93,1,19.752
19800701,19.5,20.25,19.5,19.5,423,1,19.5
19800702,19.5,20.25,19.5,19.5,169,1,19.5
19800703,19.5,20.25,19.5,19.5,178,1,19.5
19800707,20.25,20.5,20.25,20.25,500,1,20.25
19800708,20.75,21.25,20.75,20.75,272,1,20.754
19800709,21.5,22.0,21.5,21.5,407,1,21.504
19800710,22.25,22.5,22.25,22.25,314,1,22.254
19800711,22.75,23.25,22.75,22.75,243,1,22.752
19800714,24.5,25.0,24.5,24.5,424,1,24.504
19800715,24.75,25.0,24.75,24.75,502,1,24.75
19800716,24.5,24.75,24.5,24.5,166,1,24.504
19800717,25.5,26.0,25.5,25.5,179,1,25.5
19800718,25.75,26.0,25.75,25.75,295,1,25.752
19800721,26.0,26.25,26.0,26.0,186,1,26.004
19800722,26.0,26.25,26.0,26.0,190,1,26.004
19800723,25.75,26.0,25.75,25.75,224,1,25.752
