date,open,high,low,close,volume,barCount,average
19800317,55.37,58.38,55.25,55.37,1936,1,55.374
19800318,56.62,56.62,54.87,56.62,5169,1,56.624
19800319,57.63,58.0,56.37,57.63,1814,1,57.626
19800320,56.62,58.0,56.5,56.62,1846,1,56.624
19800321,56.25,56.75,56.13,56.25,1240,1,56.249
19800324,52.5,56.25,52.5,52.5,1839,1,52.498
19800325,56.13,56.75,51.75,56.13,4730,1,56.128
19800326,51.0,56.25,51.0,51.0,6874,1,51.0
19800327,54.5,55.0,47.25,54.5,8132,1,54.498
19800328,54.0,54.87,52.25,54.0,4565,1,54.002
19800331,53.25,53.75,52.38,53.25,2554,1,53.252
19800401,53.5,53.5,52.75,53.5,1747,1,53.501
19800402,54.62,55.5,53.63,54.62,2261,1,54.624
19800403,55.5,55.62,55.0,55.5,1946,1,55.5
19800407,54.25,55.37,53.75,54.25,1824,1,54.25
19800408,55.62,56.13,54.12,55.62,2110,1,55.622
19800409,57.5,57.5,55.75,57.5,3005,1,57.5
19800410,58.25,59.25,56.88,58.25,2671,1,58.249
19800411,58.12,58.62,57.88,58.12,1036,1,58.123
19800414,57.13,58.0,56.75,57.13,1340,1,57.125
19800415,36.5,37.63,36.38,36.5,2074,1,36.501
19800416,35.12,37.5,34.75,35.12,2580,1,35.124
19800417,35.12,35.75,34.75,35.12,2737,1,35.124
19800418,34.0,35.75,33.88,34.0,2927,1,34.0
19800421,33.63,34.25,33.0,33.63,2256,1,33.625
19800422,36.75,37.25,34.75,36.75,5909,1,36.75
19800423,36.38,37.0,35.88,36.38,4457,1,36.376
19800424,36.75,37.0,36.38,36.75,3067,1,36.75
19800425,37.5,37.63,36.38,37.5,3263,1,37.5
19800428,37.63,38.37,37.5,37.63,2591,1,37.625
19800429,37.5,37.87,37.38,37.5,1786,1,37.5
19800430,36.5,37.5,35.88,36.5,2291,1,36.501
19800501,35.5,36.5,34.37,35.5,2948,1,35.502
19800502,34.0,35.0,33.0,34.0,7685,1,34.0
19800505,36.0,36.0,34.25,36.0,3665,1,36.001
19800506,34.25,35.75,34.13,34.25,3289,1,34.25
19800507,33.63,34.62,33.13,33.63,3662,1,33.625
19800508,32.88,34.13,32.63,32.88,5286,1,32.876
19800509,32.5,32.88,32.0,32.5,2706,1,32.501
19800512,33.88,34.0,32.75,33.88,2367,1,33.875
19800513,34.25,34.25,33.38,34.25,2314,1,34.25
19800514,34.25,34.75,34.0,34.25,2868,1,34.25
19800515,33.75,34.5,33.63,33.75,1367,1,33.75
19800516,33.5,34.0,33.38,33.5,1650,1,33.5
19800519,33.63,33.75,32.88,33.63,1300,1,33.625
19800520,32.63,33.63,32.5,32.63,2469,1,32.626
19800521,33.38,33.38,32.0,33.38,2380,1,33.375
19800522,34.0,34.5,32.88,34.0,2112,1,34.0
19800523,34.25,34.75,34.0,34.25,4166,1,34.25
19800527,33.63,34.5,33.63,33.63,1938,1,33.625
19800528,33.63,33.88,32.88,33.63,5009,1,33.625
19800529,33.0,33.63,32.88,33.0,3076,1,33.001
19800530,34.37,34.62,32.75,34.37,1934,1,34.374
19800602,34.75,35.5,34.13,34.75,2247,1,34.752
19800603,34.75,35.12,34.5,34.75,2255,1,34.752
19800604,35.62,35.88,34.62,35.62,3407,1,35.623
19800605,34.87,35.62,34.62,34.87,1933,1,34.874
19800606,34.13,34.87,33.88,34.13,2333,1,34.125
19800609,34.25,34.37,33.75,34.25,2372,1,34.25
19800610,35.0,35.0,33.88,35.0,2815,1,34.999
19800611,36.88,36.88,35.0,36.88,5304,1,36.875
19800612,36.25,37.38,35.75,36.25,5161,1,36.251
19800613,36.88,36.88,36.12,36.88,1999,1,36.875
19800616,36.75,36.88,36.12,36.75,1596,1,36.75
19800617,36.25,36.75,36.12,36.25,1357,1,36.251
19800618,36.38,36.5,35.62,36.38,1413,1,36.376
19800619,35.0,36.12,34.87,35.0,2023,1,34.999
19800620,35.25,35.5,34.87,35.25,1665,1,35.252
19800623,35.75,35.88,35.12,35.75,1828,1,35.751
19800624,36.5,36.88,35.88,36.5,3761,1,36.501
19800625,36.88,37.25,36.5,36.88,4650,1,36.875
19800626,35.88,36.75,35.5,35.88,2668,1,35.876
19800627,35.88,36.12,35.5,35.88,1180,1,35.876
19800630,35.0,35.62,34.62,35.0,1532,1,34.999
19800701,35.37,35.37,34.62,35.37,1685,1,35.373
19800702,35.88,36.5,35.12,35.88,1756,1,35.876
19800703,36.75,36.88,35.75,36.75,3917,1,36.75
19800707,37.0,37.0,36.25,37.0,2859,1,37.0
19800708,38.0,38.0,36.63,38.0,4016,1,37.999
19800709,38.25,38.88,37.87,38.25,6592,1,38.249
19800710,37.63,38.13,37.25,37.63,3417,1,37.625
19800711,37.63,37.87,37.25,37.63,2238,1,37.625
19800714,38.63,38.63,37.5,38.63,3335,1,38.627
19800715,38.37,39.38,38.25,38.37,4746,1,38.374
19800716,39.0,39.38,38.5,39.0,4249,1,38.998
19800717,39.5,39.75,39.0,39.5,4360,1,39.498
19800718,39.75,40.25,39.5,39.75,4201,1,39.751
19800721,40.75,40.75,39.25,40.75,3471,1,40.75
19800722,39.75,40.75,39.5,39.75,4927,1,39.751
19800723,39.0,40.13,38.63,39.0,3795,1,38.998
19800724,38.88,39.25,38.13,38.88,2734,1,38.877
19800725,38.37,38.75,38.0,38.37,2669,1,38.374
19800728,38.63,38.75,37.87,38.63,2671,1,38.627
19800729,39.0,39.13,38.5,39.0,3010,1,38.998
19800730,38.37,39.13,38.25,38.37,3197,1,38.374
19800731,38.25,38.37,37.75,38.25,2237,1,38.249
19800801,37.87,38.37,37.0,37.87,2204,1,37.874
19800804,38.75,39.0,37.5,38.75,2084,1,38.748
19800805,37.0,38.37,36.75,37.0,8202,1,37.0
19800806,37.38,37.38,36.63,37.38,3416,1,37.375
19800807,37.25,37.63,37.0,37.25,5693,1,37.25
19800808,37.63,38.13,37.13,37.63,8268,1,37.625
19800811,38.37,38.5,37.5,38.37,3636,1,38.374
19800812,37.63,38.63,37.5,37.63,2909,1,37.625
19800813,37.38,38.0,37.38,37.38,2451,1,37.375
19800814,37.5,37.75,37.0,37.5,3838,1,37.5
19800815,37.13,37.75,37.13,37.13,3986,1,37.125
19800818,37.75,38.13,36.63,37.75,3707,1,37.749
19800819,37.63,38.37,37.38,37.63,5032,1,37.625
19800820,39.25,39.25,37.87,39.25,3440,1,39.251
19800821,39.13,39.38,38.88,39.13,3024,1,39.126
19800822,39.13,39.75,39.13,39.13,3048,1,39.126
19800825,39.0,39.25,38.63,39.0,1587,1,38.998
19800826,39.38,40.0,38.88,39.38,2834,1,39.376
19800827,38.88,39.5,38.75,38.88,2175,1,38.877
19800828,38.13,38.75,38.0,38.13,2205,1,38.127
19800829,38.0,38.13,37.63,38.0,1828,1,37.999
19800902,38.25,38.25,37.5,38.25,1367,1,38.249
19800903,39.0,39.13,36.38,39.0,1907,1,38.998
