date,open,high,low,close,volume,barCount,average
19800317,70.88,72.75,70.0,70.88,1414,1,70.876
19800318,72.75,73.0,69.25,72.75,2423,1,72.75
19800319,72.5,73.88,72.25,72.5,1704,1,72.5
19800320,70.88,73.0,70.75,70.88,1626,1,70.876
19800321,69.63,70.63,69.25,69.63,2133,1,69.626
19800324,66.38,69.0,66.13,66.38,1788,1,66.376
19800325,67.75,68.0,66.25,67.75,2692,1,67.75
19800326,66.88,69.25,66.75,66.88,1383,1,66.876
19800327,64.25,65.75,61.25,64.25,3145,1,64.25
19800328,65.13,65.75,64.25,65.13,2129,1,65.126
19800331,65.5,65.88,64.0,65.5,1582,1,65.5
19800401,65.0,66.25,64.75,65.0,946,1,65.0
19800402,66.75,67.25,65.38,66.75,1175,1,66.75
19800403,65.5,66.75,65.25,65.5,655,1,65.5
19800407,62.38,65.13,62.25,62.38,884,1,62.376
19800408,63.5,63.88,62.0,63.5,1234,1,63.5
19800409,67.0,67.5,63.63,67.0,1815,1,67.0
19800410,68.0,68.0,66.5,68.0,1638,1,68.0
19800411,68.13,68.38,67.75,68.13,1105,1,68.126
19800414,68.5,68.5,67.38,68.5,1015,1,68.5
19800415,68.88,69.63,68.25,68.88,790,1,68.876
19800416,66.75,70.0,66.75,66.75,1740,1,66.75
19800417,66.75,67.5,66.13,66.75,602,1,66.75
19800418,65.63,67.0,65.63,65.63,1137,1,65.626
19800421,65.38,66.25,64.63,65.38,839,1,65.376
19800422,69.5,69.88,67.5,69.5,1834,1,69.5
19800423,69.0,70.38,68.75,69.0,1448,1,69.0
19800424,67.63,69.0,67.63,67.63,1917,1,67.626
19800425,68.75,68.75,67.38,68.75,1010,1,68.75
19800428,69.25,70.38,68.75,69.25,1880,1,69.25
19800429,69.5,69.63,68.75,69.5,681,1,69.5
19800430,70.75,70.75,69.0,70.75,771,1,70.75
19800501,69.75,70.63,69.0,69.75,1374,1,69.75
19800502,69.63,70.0,69.25,69.63,1704,1,69.626
19800505,68.13,68.38,67.75,68.13,1173,1,68.126
19800506,67.75,70.0,67.38,67.75,1646,1,67.75
19800507,69.0,69.75,67.75,69.0,1604,1,69.0
19800508,67.63,69.0,67.5,67.63,2434,1,67.626
19800509,66.13,67.63,65.25,66.13,1845,1,66.126
19800512,65.63,65.75,65.0,65.63,1836,1,65.626
19800513,66.25,66.5,64.5,66.25,2208,1,66.25
19800514,66.0,66.75,65.75,66.0,2348,1,66.0
19800515,66.0,66.5,65.5,66.0,1121,1,66.0
19800516,67.5,67.75,65.88,67.5,895,1,67.5
19800519,68.38,69.25,67.13,68.38,696,1,68.376
19800520,68.88,69.0,68.25,68.88,1118,1,68.876
19800521,69.0,69.5,68.0,69.0,621,1,69.0
19800522,71.0,71.5,69.25,71.0,1207,1,71.0
19800523,71.5,72.0,71.0,71.5,1483,1,71.5
19800527,73.0,73.25,71.5,73.0,1568,1,73.0
19800528,75.5,75.75,72.5,75.5,2454,1,75.5
19800529,72.75,75.75,72.38,72.75,2665,1,72.75
19800530,73.13,74.0,71.0,73.13,1237,1,73.126
19800602,73.13,74.5,72.75,73.13,1778,1,73.126
19800603,72.25,73.38,72.25,72.25,1142,1,72.25
19800604,74.38,74.5,72.63,74.38,2748,1,74.376
19800605,73.5,75.13,73.5,73.5,1718,1,73.5
19800606,74.38,75.0,73.5,74.38,1332,1,74.376
19800609,75.25,75.38,74.63,75.25,706,1,75.25
19800610,76.38,77.5,75.25,76.38,1344,1,76.376
19800611,78.88,78.88,76.25,78.88,2283,1,78.876
19800612,78.0,79.75,77.25,78.0,1992,1,78.0
19800613,76.0,78.25,75.75,76.0,1380,1,76.0
19800616,76.5,77.25,75.88,76.5,778,1,76.5
19800617,77.38,78.0,76.13,77.38,1138,1,77.376
19800618,78.88,79.0,77.0,78.88,1257,1,78.876
19800619,77.5,79.75,77.5,77.5,1681,1,77.5
19800620,77.25,77.88,76.88,77.25,1450,1,77.25
19800623,77.75,78.63,76.88,77.75,1212,1,77.75
19800624,78.88,79.38,77.5,78.88,1480,1,78.876
19800625,80.0,80.5,79.0,80.0,2072,1,80.0
19800626,79.25,81.0,79.0,79.25,2147,1,79.25
19800627,79.75,81.0,78.38,79.75,1125,1,79.75
19800630,76.5,79.75,76.5,76.5,1422,1,76.5
