date,open,high,low,close,volume,barCount,average
19800317,41.935,42.675,41.935,41.935,1582,1,41.93475
19800318,42.805,42.805,41.56,42.805,1137,1,42.7990992
19800319,42.43,43.17,42.31,42.43,274,1,42.4281
19800320,41.56,42.545,41.56,41.56,313,1,41.5637508
19800321,41.935,41.935,41.69,41.935,1517,1,41.93475
19800324,40.575,41.935,40.335,40.575,1120,1,40.5770508
19800325,41.44,41.44,40.335,41.44,360,1,41.4414
19800326,41.56,42.055,41.44,41.56,526,1,41.5637508
19800327,41.44,41.44,39.96,41.44,697,1,41.4414
19800328,43.295,43.79,41.44,43.295,611,1,43.2924492
19800331,43.91,43.91,42.92,43.91,1158,1,43.90815
19800401,44.285,44.65,43.415,44.285,1006,1,44.2791492
19800402,44.4,44.65,44.155,44.4,581,1,44.4015
19800403,43.04,44.4,43.04,43.04,702,1,43.0438008
19800407,41.195,43.04,41.195,41.195,608,1,41.1966984
19800408,42.31,42.43,40.7,42.31,594,1,42.3057492
19800409,44.025,44.285,42.675,44.025,919,1,44.0305008
19800410,44.895,45.27,44.65,44.895,780,1,44.89485
19800411,43.91,44.895,43.66,43.91,331,1,43.90815
19800414,44.4,44.4,43.415,44.4,510,1,44.4015
19800415,43.79,44.4,43.535,43.79,639,1,43.7857992
19800416,42.545,44.155,42.545,42.545,572,1,42.5504508
19800417,42.18,42.545,42.055,42.18,287,1,42.1833984
19800418,41.935,42.675,41.815,41.935,226,1,41.93475
19800421,41.935,42.43,41.56,41.935,422,1,41.93475
19800422,44.155,44.285,43.17,44.155,1451,1,44.1567984
19800423,44.4,45.14,42.18,44.4,922,1,44.4015
19800424,44.155,44.895,44.025,44.155,498,1,44.1567984
19800425,45.015,45.14,43.91,45.015,261,1,45.0172008
19800428,46.375,46.375,44.775,46.375,695,1,46.3749
19800429,46.62,46.87,46.13,46.62,563,1,46.6235484
19800430,46.375,46.375,45.39,46.375,657,1,46.3749
19800501,45.14,46.255,45.14,45.14,155,1,45.1434984
19800502,44.895,45.39,44.775,44.895,430,1,44.89485
19800505,45.14,45.635,44.895,45.14,726,1,45.1434984
19800506,45.27,46.13,45.14,45.27,1288,1,45.2658492
19800507,45.635,45.88,45.14,45.635,1212,1,45.6368484
