date,open,high,low,close,volume,barCount,average
20120518,42.05,45.0,38.0,38.18,5369670,1466450,40.0265
20120521,36.53,36.66,33.0,34.03,1530853,539726,34.3265
20120522,32.66,33.59,30.94,31.0,948098,360774,32.008
20120523,31.37,32.5,31.36,32.0,668446,270472,31.935
20120524,32.98,33.21,31.77,33.03,440800,159761,32.4335
20120525,32.9,32.95,31.11,31.91,348918,134649,31.8805
20120529,31.46,31.69,28.65,28.84,735885,277786,29.6525
20120530,28.73,29.55,27.86,28.19,543458,205812,28.629
20120531,28.56,29.64,26.83,29.6,818216,314560,27.8935
20120601,28.92,29.15,27.39,27.72,384829,151026,28.062
20120604,27.22,27.65,26.44,26.9,332634,131526,27.0415
20120605,26.7,27.76,25.75,25.87,408819,148232,26.49
20120606,26.12,27.17,25.52,26.81,593519,218894,26.2755
20120607,27.0,27.35,26.15,26.31,251108,90573,26.6815
20120608,26.57,27.76,26.44,27.1,362995,134311,27.179
20120611,27.18,28.07,26.84,27.005,269441,108134,27.502
20120612,27.45,27.77,26.96,27.4,147418,62284,27.3535
20120613,27.66,28.1,27.1,27.27,165942,69458,27.487
20120614,27.65,28.32,27.38,28.29,160754,61561,27.7935
20120615,28.52,30.1,28.35,30.015,302694,102360,29.146
20120618,29.94,32.08,29.41,31.41,413865,146915,31.137
20120619,31.54,32.18,30.7,31.91,286171,102041,31.602
20120620,31.92,31.93,31.15,31.6,148535,55644,31.5735
20120621,31.67,32.5,31.51,31.84,209316,74928,31.942
20120622,32.41,33.45,32.06,33.05,471420,152111,32.942
20120625,32.88,33.02,31.55,32.06,229018,77999,32.251
20120626,32.69,33.44,32.5,33.1,237940,82275,33.002
20120627,32.46,32.9,31.9,32.23,262474,82665,32.3295
20120628,31.96,32.19,30.9,31.36,165492,62236,31.4375
20120629,31.92,31.99,30.76,31.095,182205,64454,31.2065
20120702,31.23,31.73,30.55,30.77,134009,48791,30.997
20120703,30.92,31.44,30.8,31.2,84277,26509,31.179
20120705,31.32,31.63,31.02,31.47,92920,35599,31.28
20120706,31.44,31.9,31.26,31.73,101952,41331,31.562
