date,open,high,low,close,volume,barCount,average
19800317,43.0,43.5,43.0,43.0,1169,1,43.0
19800318,42.5,42.5,42.13,42.5,485,1,42.5
19800319,42.38,42.5,42.25,42.38,463,1,42.376
19800320,41.25,42.38,41.25,41.25,792,1,41.252
19800321,40.25,40.88,40.13,40.25,341,1,40.252
19800324,40.5,40.63,40.25,40.5,496,1,40.5
19800325,40.13,40.5,39.75,40.13,494,1,40.128
19800326,40.88,41.75,40.25,40.88,482,1,40.876
19800327,41.5,41.5,40.5,41.5,863,1,41.5
19800328,42.25,42.25,41.5,42.25,625,1,42.252
19800331,42.5,42.5,42.0,42.5,503,1,42.5
19800401,37.13,37.63,36.25,37.13,617,1,37.126
19800402,38.38,38.5,37.13,38.38,559,1,38.376
19800403,38.5,39.0,38.5,38.5,682,1,38.5
19800407,38.38,38.75,38.13,38.38,1128,1,38.376
19800408,38.13,38.25,37.38,38.13,476,1,38.126
19800409,38.5,38.75,38.0,38.5,268,1,38.5
19800410,39.88,40.38,39.25,39.88,668,1,39.876
19800411,40.25,40.5,40.13,40.25,646,1,40.25
19800414,39.75,40.5,39.63,39.75,798,1,39.75
19800415,39.5,39.88,39.5,39.5,558,1,39.5
19800416,39.63,40.63,39.25,39.63,1309,1,39.626
19800417,39.25,39.5,38.75,39.25,348,1,39.25
19800418,38.63,39.25,38.63,38.63,475,1,38.626
19800421,38.13,38.63,38.0,38.13,313,1,38.126
19800422,38.75,39.0,38.38,38.75,299,1,38.75
19800423,39.0,39.75,39.0,39.0,1700,1,39.0
19800424,39.13,39.5,38.63,39.13,873,1,39.126
19800425,39.0,39.25,38.75,39.0,715,1,39.0
19800428,38.38,38.5,38.0,38.38,350,1,38.376
19800429,38.5,38.63,38.25,38.5,124,1,38.5
19800430,39.25,39.25,38.25,39.25,172,1,39.25
19800501,38.63,39.25,38.5,38.63,234,1,38.626
19800502,38.38,38.5,38.25,38.38,263,1,38.376
19800505,40.25,40.25,38.5,40.25,1513,1,40.25
19800506,41.0,41.38,40.75,41.0,1836,1,41.0
19800507,42.5,42.88,41.13,42.5,1925,1,42.5
19800508,42.13,43.25,42.0,42.13,975,1,42.126
19800509,41.25,42.0,41.25,41.25,293,1,41.25
19800512,41.0,41.25,40.75,41.0,528,1,41.0
19800513,41.88,41.88,41.13,41.88,574,1,41.876
19800514,42.38,42.63,42.0,42.38,729,1,42.376
19800515,42.38,43.0,42.38,42.38,531,1,42.376
19800516,42.38,42.75,42.38,42.38,321,1,42.376
19800519,42.13,42.38,42.13,42.13,554,1,42.126
19800520,41.88,42.38,41.63,41.88,461,1,41.876
19800521,41.88,41.88,41.38,41.88,899,1,41.876
19800522,42.25,42.38,41.88,42.25,727,1,42.25
19800523,42.63,42.88,42.38,42.63,960,1,42.626
19800527,42.5,42.75,42.25,42.5,265,1,42.5
19800528,42.88,43.0,42.25,42.88,623,1,42.876
19800529,42.13,42.88,42.13,42.13,198,1,42.126
19800530,42.5,42.5,42.0,42.5,583,1,42.5
19800602,42.25,42.5,42.25,42.25,505,1,42.25
19800603,42.25,42.5,42.13,42.25,366,1,42.25
19800604,43.0,43.13,42.13,43.0,1013,1,43.0
19800605,43.5,43.63,42.88,43.5,1575,1,43.5
