date,open,high,low,close,volume,barCount,average
19801202,1.44,1.47,1.44,1.44,125888,1,1.4375
19801203,1.405,1.42,1.405,1.405,31472,1,1.40625
19801204,1.455,1.47,1.455,1.455,28368,1,1.45325
19801205,1.375,1.405,1.375,1.375,9488,1,1.375
19801208,1.295,1.315,1.295,1.295,6768,1,1.297
19801209,1.265,1.295,1.265,1.265,7280,1,1.26575
19801210,1.19,1.235,1.19,1.19,7344,1,1.1875
19801211,1.125,1.155,1.125,1.125,6800,1,1.125
19801212,1.17,1.19,1.17,1.17,10192,1,1.172
19801215,1.22,1.235,1.22,1.22,8304,1,1.21875
19801216,1.19,1.22,1.19,1.19,8288,1,1.1875
19801217,1.14,1.17,1.14,1.14,5840,1,1.14075
19801218,1.17,1.205,1.17,1.17,14064,1,1.172
19801219,1.22,1.235,1.22,1.22,12544,1,1.21875
19801222,1.22,1.25,1.22,1.22,2320,1,1.21875
19801223,1.25,1.28,1.25,1.25,7120,1,1.25
19801224,1.295,1.33,1.295,1.295,3056,1,1.297
19801226,1.315,1.345,1.315,1.315,1824,1,1.3125
19801229,1.295,1.33,1.295,1.295,2176,1,1.297
19801230,1.33,1.345,1.33,1.33,5456,1,1.32825
19801231,1.315,1.345,1.315,1.315,3648,1,1.3125
19810102,1.345,1.375,1.345,1.345,1968,1,1.34375
19810105,1.4,1.42,1.4,1.4,7280,1,1.3985
19810106,1.405,1.42,1.405,1.405,8688,1,1.40625
19810107,1.33,1.345,1.33,1.33,11008,1,1.32825
19810108,1.295,1.315,1.295,1.295,4128,1,1.297
19810109,1.28,1.315,1.28,1.28,3088,1,1.28125
19810112,1.295,1.33,1.295,1.295,4192,1,1.297
19810113,1.33,1.36,1.33,1.33,5584,1,1.32825
19810114,1.375,1.405,1.375,1.375,9904,1,1.375
19810115,1.375,1.39,1.375,1.375,3152,1,1.375
19810116,1.375,1.405,1.375,1.375,4160,1,1.375
19810119,1.375,1.39,1.375,1.375,5040,1,1.375
19810120,1.33,1.36,1.33,1.33,4384,1,1.32825
19810121,1.315,1.345,1.315,1.315,1232,1,1.3125
19810122,1.25,1.295,1.25,1.25,1648,1,1.25
19810123,1.28,1.315,1.28,1.28,1728,1,1.28125
19810126,1.25,1.28,1.25,1.25,1408,1,1.25
19810127,1.25,1.265,1.25,1.25,1072,1,1.25
19810128,1.25,1.265,1.25,1.25,1456,1,1.25
19810129,1.25,1.28,1.25,1.25,3152,1,1.25
