date,open,high,low,close,volume,barCount,average
19990122,7.0,7.815,6.21,6.565,169668,1,6.5625
19990125,7.085,7.335,6.565,7.25,31905,1,7.25
19990126,7.335,7.48,6.585,6.685,21450,1,6.6875
19990127,6.71,6.875,6.335,6.665,15273,1,6.66666667
19990128,6.665,6.71,6.605,6.645,14220,1,6.64583333
19990129,6.645,6.665,6.335,6.335,15252,1,6.33333333
19990201,6.335,6.5,6.335,6.46,9669,1,6.45833333
19990202,6.335,6.5,5.77,5.96,16506,1,5.95833333
19990203,5.875,6.165,5.835,6.085,4695,1,6.08333333
19990204,6.165,6.585,6.085,6.415,11370,1,6.41666667
19990205,6.52,6.665,6.355,6.605,8553,1,6.60416667
19990208,6.645,6.665,6.375,6.375,9630,1,6.375
19990209,6.5,6.545,6.045,6.125,5436,1,6.125
19990210,6.125,6.295,5.96,6.065,9264,1,6.0625
19990211,6.085,6.835,6.085,6.585,8265,1,6.58333333
19990212,6.665,7.0,6.665,6.96,6858,1,6.95833333
19990216,7.085,7.375,6.295,7.0,13188,1,7.0
19990217,6.835,6.915,6.5,6.625,4233,1,6.625
19990218,6.835,6.915,6.545,6.73,4419,1,6.72916667
19990219,6.665,7.085,6.585,6.96,4710,1,6.95833333
19990222,7.085,7.165,6.625,7.0,12828,1,7.0
19990223,7.165,7.48,6.75,7.335,8631,1,7.33333333
19990224,8.415,8.75,7.73,7.915,38298,1,7.91666667
19990225,8.25,8.5,7.545,7.665,9321,1,7.66666667
19990226,7.75,8.0,7.25,7.315,10788,1,7.3125
19990301,7.5,7.665,7.0,7.355,5760,1,7.35416667
19990302,7.335,7.375,7.165,7.295,3453,1,7.29166667
19990303,7.335,7.335,6.75,6.795,3837,1,6.79166667
19990304,7.125,7.165,6.585,6.645,3585,1,6.64583333
19990305,6.71,7.045,6.71,7.02,4923,1,7.02083333
19990308,6.835,7.335,6.71,7.125,4743,1,7.125
19990309,7.105,7.46,7.105,7.355,8949,1,7.35416667
19990310,7.46,7.46,7.125,7.23,14709,1,7.22916667
19990311,7.105,7.23,6.915,6.915,3393,1,6.91666667
19990312,6.96,6.96,6.665,6.795,5673,1,6.79166667
19990315,6.96,7.165,6.915,7.085,6801,1,7.08333333
19990316,7.125,7.21,6.795,6.855,4947,1,6.85416667
19990317,6.915,7.045,6.73,6.895,3210,1,6.89583333
19990318,6.915,7.085,6.75,6.98,2895,1,6.97916667
19990319,6.96,7.21,6.96,7.0,6582,1,7.0
19990322,7.145,7.165,6.795,6.795,2292,1,6.79166667
19990323,6.835,6.835,6.25,6.375,10248,1,6.375
19990324,6.335,6.375,6.085,6.335,3804,1,6.33333333
19990325,6.315,6.665,6.295,6.415,2520,1,6.41666667
19990326,6.5,7.0,6.5,6.98,5517,1,6.97916667
19990329,7.185,7.355,7.065,7.185,4122,1,7.1875
19990330,7.21,7.27,6.545,6.585,4344,1,6.58333333
19990331,6.795,7.125,6.48,7.045,9600,1,7.04166667
19990401,7.045,7.085,6.71,6.835,1902,1,6.83333333
19990405,6.75,6.915,6.585,6.625,6165,1,6.625
19990406,6.685,6.71,6.335,6.46,4356,1,6.45833333
19990407,6.5,7.045,6.46,7.0,5580,1,7.0
19990408,7.045,7.335,6.96,7.125,8133,1,7.125
19990409,7.165,7.165,6.96,7.0,3039,1,7.0
19990412,6.915,6.915,6.585,6.71,2082,1,6.70833333
19990413,6.835,6.835,6.335,6.435,2259,1,6.4375
19990414,6.415,6.565,6.25,6.25,3018,1,6.25
19990415,6.415,6.415,6.25,6.415,2241,1,6.41666667
19990416,6.375,6.73,6.375,6.625,2433,1,6.625
19990419,6.71,6.71,6.25,6.335,1956,1,6.33333333
19990420,6.335,6.585,6.145,6.21,4230,1,6.20833333
19990421,6.21,6.335,6.165,6.315,2343,1,6.3125
19990422,6.335,6.335,5.98,6.045,14199,1,6.04166667
19990423,6.02,6.045,5.71,5.75,7878,1,5.75
19990426,5.75,5.835,5.335,5.46,7719,1,5.45833333
19990427,5.585,6.085,5.5,6.045,14184,1,6.04166667
19990428,6.085,6.085,5.815,6.0,7506,1,6.0
19990429,6.02,6.045,5.875,6.0,3009,1,6.0
19990430,6.065,6.335,6.02,6.085,6207,1,6.08333333
19990503,6.145,6.145,5.96,6.125,2115,1,6.125
19990504,6.125,6.125,5.665,5.795,6003,1,5.79166667
19990505,5.835,5.915,5.5,5.915,9036,1,5.91666667
19990506,5.875,6.0,5.625,5.805,2226,1,5.802
19990507,5.625,5.875,5.625,5.835,1563,1,5.83333333
19990510,5.795,5.96,5.795,5.835,1230,1,5.83333333
19990511,6.085,6.335,5.96,6.145,10734,1,6.14583333
19990512,6.21,6.355,6.125,6.335,10530,1,6.33333333
19990513,6.335,6.5,6.315,6.335,4371,1,6.33333333
19990514,6.335,6.335,5.915,6.0,1779,1,6.0
19990517,5.915,6.295,5.895,6.295,2235,1,6.29166667
