date,open,high,low,close,volume,barCount,average
19800317,63.0,65.13,63.0,63.0,1297,1,63.0
19800318,63.88,64.25,63.13,63.88,853,1,63.876
19800319,64.63,64.88,63.75,64.63,467,1,64.628
19800320,64.63,65.13,64.5,64.63,335,1,64.628
19800321,64.75,65.25,64.5,64.75,266,1,64.752
19800324,63.63,65.38,63.5,63.63,566,1,63.628
19800325,64.13,65.0,63.75,64.13,680,1,64.128
19800326,63.63,64.25,63.63,63.63,598,1,63.628
19800327,63.13,63.88,62.75,63.13,594,1,63.128
19800328,65.75,66.25,63.75,65.75,656,1,65.752
19800331,67.75,67.75,66.5,67.75,336,1,67.752
19800401,67.75,67.88,66.75,67.75,353,1,67.752
19800402,68.5,69.25,67.5,68.5,1237,1,68.5
19800403,68.5,68.88,68.25,68.5,504,1,68.5
19800407,67.75,68.63,67.63,67.75,471,1,67.752
19800408,68.0,68.38,67.38,68.0,619,1,68.0
19800409,69.13,69.25,68.5,69.13,442,1,69.128
19800410,69.75,70.13,69.13,69.75,702,1,69.752
19800411,70.5,70.5,69.88,70.5,526,1,70.5
19800414,69.88,70.13,69.5,69.88,880,1,69.876
19800415,69.75,70.25,69.63,69.75,735,1,69.752
19800416,68.63,70.13,68.38,68.63,948,1,68.628
19800417,67.63,68.25,67.25,67.63,392,1,67.628
19800418,67.5,68.25,67.5,67.5,147,1,67.5
19800421,67.25,68.25,66.5,67.25,378,1,67.252
19800422,69.0,69.0,67.38,69.0,362,1,69.0
19800423,68.25,69.63,68.0,68.25,569,1,68.252
19800424,69.38,69.75,67.75,69.38,375,1,69.376
19800425,69.0,69.5,67.88,69.0,506,1,69.0
19800428,69.5,69.88,69.38,69.5,205,1,69.5
19800429,69.5,70.5,69.5,69.5,578,1,69.5
19800430,71.5,71.5,69.5,71.5,742,1,71.5
19800501,71.88,72.63,71.5,71.88,1496,1,71.876
19800502,72.38,72.75,71.63,72.38,324,1,72.376
19800505,73.25,73.38,72.5,73.25,746,1,73.252
19800506,75.13,75.38,73.5,75.13,791,1,75.128
19800507,75.75,76.25,74.75,75.75,643,1,75.752
19800508,76.0,76.13,75.75,76.0,649,1,76.0
19800509,76.0,76.25,75.88,76.0,504,1,76.0
