date,open,high,low,close,volume,barCount,average
20150706,38.0,39.75,36.0,36.71,47848,17276,36.859
20150707,37.72,37.81,36.0,36.62,70116,28405,36.6665
20150708,36.34,36.36,34.53,34.7,47333,20330,35.181
20150709,35.1,35.52,33.99,34.5,37156,13480,34.5545
20150710,34.66,35.19,33.98,34.69,44298,17422,34.5935
20150713,35.59,37.5,35.5,36.78,68581,39182,36.778
20150714,36.57,37.74,36.57,36.93,42644,20202,37.063
20150715,37.98,38.2,37.03,37.51,116173,53353,37.483
20150716,38.82,39.97,38.08,38.63,187213,99097,38.7775
20150717,39.42,40.2,38.18,38.39,180430,89893,38.8915
20150720,41.46,42.55,39.8,40.47,464298,195898,40.7865
20150721,41.08,41.11,39.12,39.35,268527,114824,40.32
20150722,39.35,39.72,38.1,38.39,230895,95808,38.9175
20150723,38.74,38.75,36.93,37.01,179359,76544,37.673
20150724,37.72,38.0,36.91,37.0,120987,53630,37.358
20150727,36.78,37.38,36.22,36.39,142497,63567,36.689
20150728,37.19,38.0,36.82,37.6,175940,70955,37.4395
20150729,38.03,38.1,37.62,37.95,110207,44387,37.926
20150730,38.04,39.01,37.71,38.45,130271,54726,38.5405
20150731,39.14,39.2,38.21,38.7,110626,51807,38.6545
20150803,39.25,39.88,38.9,39.39,142367,62155,39.4425
20150804,39.91,39.91,38.43,38.95,96826,41439,38.9895
20150805,39.7,39.88,39.17,39.27,77217,36716,39.447
20150806,39.63,39.74,38.55,38.85,66144,32119,38.9385
20150807,39.04,39.23,38.6,39.13,77463,44701,38.8725
20150810,39.43,39.69,38.77,39.05,74169,36390,39.146
20150811,38.93,39.28,38.72,38.85,69389,33328,39.0345
20150812,38.55,38.58,37.01,38.19,201004,67401,37.903
20150813,38.4,38.49,37.44,37.62,73129,35145,37.8505
20150814,37.49,38.18,37.38,38.14,57480,25215,37.897
20150817,38.3,38.75,37.7,38.73,42951,21917,38.3555
20150818,39.0,39.0,37.87,37.99,41143,19015,38.238
20150819,37.85,38.1,37.03,37.19,62267,30124,37.412
20150820,36.85,37.34,35.88,35.98,95375,48402,36.402
20150821,35.6,36.11,33.83,34.25,138609,67374,34.8755
20150824,31.17,34.85,30.0,33.75,180585,88475,33.363
20150825,35.44,35.46,32.7,32.7,136646,72219,33.812
20150826,33.7,33.84,31.71,33.17,238145,114702,32.558
20150827,33.87,34.77,33.16,34.62,170236,76664,33.939
20150828,34.51,35.26,34.37,35.04,70540,39115,34.8915
20150831,35.42,35.51,34.77,35.0,100550,52066,35.1005
20150901,34.15,34.68,33.41,33.77,119563,62652,33.884
20150902,34.6,35.08,33.83,35.07,65458,36430,34.5155
20150903,35.01,35.46,34.77,35.31,56501,32229,35.192
20150904,34.71,34.72,33.78,34.29,66171,36012,34.301
20150908,34.81,34.89,34.25,34.7,49441,26026,34.4945
20150909,34.92,34.95,33.88,34.37,96625,53623,34.367
20150910,34.23,34.29,32.95,33.46,109070,52416,33.358
20150911,33.27,33.59,32.61,33.55,78649,41065,33.046
20150914,33.7,33.95,33.2,33.77,64246,40434,33.6065
20150915,33.72,33.95,32.67,33.8,107552,56739,33.4295
20150916,33.46,34.06,33.36,33.77,65914,38675,33.727
20150917,33.72,33.99,33.08,33.32,71768,37975,33.4775
20150918,32.9,33.78,32.55,32.92,90845,45492,33.12
20150921,33.66,34.62,33.43,34.25,114107,54228,34.1275
20150922,33.94,34.1,33.18,33.35,77787,38166,33.5045
20150923,33.49,34.34,33.26,34.16,48954,28697,33.945
20150924,34.0,34.07,33.38,33.91,56938,34375,33.786
20150925,34.6,34.69,33.5,33.77,59723,34505,34.0335
20150928,33.68,33.68,32.15,32.25,61101,32925,32.6275
20150929,32.27,32.67,30.3,30.63,110252,57813,31.104
20150930,31.2,31.28,30.64,31.04,119251,58544,30.929
20151001,30.82,31.59,30.75,31.48,85199,47408,31.157
20151002,30.82,32.86,30.75,32.83,66437,36061,32.1815
20151005,32.95,33.02,32.38,32.67,52692,28487,32.6155
20151006,32.91,32.91,31.78,31.86,65399,36464,32.113
20151007,32.31,32.48,31.52,32.38,59108,33349,32.084
20151008,32.44,32.45,31.09,31.67,84536,40503,31.5645
20151009,31.69,32.45,31.41,32.06,52293,28388,31.9845
20151012,32.19,32.67,32.1,32.63,34868,19879,32.479
20151013,32.6,33.48,32.33,33.22,75102,35187,33.1415
20151014,33.4,34.46,33.4,34.05,71464,38227,34.029
20151015,34.45,34.72,34.16,34.62,73715,33571,34.474
20151016,34.75,35.05,33.95,34.29,46711,26762,34.3085
20151019,34.43,34.91,33.79,34.84,50728,30524,34.5885
20151020,34.8,34.99,34.59,34.87,52428,33067,34.797
20151021,34.75,34.8,32.88,33.83,83284,43764,33.638
20151022,34.43,35.25,34.26,34.79,77424,44883,34.8945
20151023,35.73,35.75,34.8,34.99,78765,45270,35.2135
20151026,36.06,36.59,35.51,36.44,101735,54990,36.063
20151027,36.31,36.4,35.31,35.94,74549,41126,35.7965
20151028,36.21,36.65,35.81,36.52,90832,48727,36.3265
20151029,34.84,36.5,34.5,35.91,238673,98471,35.81
20151030,35.64,36.49,35.24,36.01,121705,67073,35.8445
20151102,35.58,37.41,35.45,36.99,101085,52849,36.588
20151103,37.05,38.44,37.0,37.9,105223,57348,37.962
20151104,38.46,38.52,37.33,37.6,104562,63141,37.857
20151105,37.82,37.98,36.66,36.71,71838,40674,37.0455
20151106,36.59,36.7,35.8,36.24,91050,49003,36.208
20151109,36.11,36.74,35.65,36.6,96604,51008,36.2535
20151110,36.58,37.2,36.5,37.0,124192,51777,36.8815
20151111,37.19,37.32,35.75,36.33,118356,56869,36.693
20151112,35.95,36.05,34.83,35.57,106489,52023,35.497
20151113,35.18,35.5,34.5,34.53,63765,36813,34.8455
20151116,34.55,35.66,34.53,35.61,58135,36090,35.2455
20151117,35.89,36.45,35.71,36.21,63926,34872,36.155
20151118,36.32,36.95,35.78,36.22,73210,40108,36.1755
20151119,36.45,36.5,35.91,36.19,40592,19391,36.167
20151120,36.45,36.45,35.92,36.36,39109,20567,36.336
20151123,36.5,36.65,35.41,35.56,54565,28883,35.753
20151124,35.25,35.3,34.88,35.12,76940,34503,35.0875
20151125,35.2,35.86,35.13,35.36,32500,19640,35.4345
20151127,35.52,35.7,35.06,35.18,22445,12139,35.2345
20151130,35.38,35.44,34.69,35.26,63346,32906,35.062
20151201,35.41,35.41,33.85,35.17,106214,52156,34.7135
