date,open,high,low,close,volume,barCount,average
19911213,16.63,18.585,16.385,17.605,45901,1,17.6058
19911216,17.605,18.095,16.87,17.36,7216,1,17.361275
19911217,17.85,18.095,17.115,17.36,5168,1,17.361275
19911218,17.85,17.85,17.36,17.85,3482,1,17.850325
19911219,17.85,17.85,17.115,17.115,2332,1,17.11675
19911220,17.85,17.85,17.115,17.605,1672,1,17.6058
19911223,17.85,17.85,17.115,17.49,2522,1,17.4835375
19911224,17.245,18.83,17.115,18.83,2277,1,18.828425
19911226,18.34,21.52,18.34,21.52,2770,1,21.5182
19911227,21.765,21.765,20.295,20.785,2043,1,20.784625
19911230,20.785,21.275,20.295,21.275,2117,1,21.273675
19911231,21.275,24.455,21.03,24.21,4016,1,24.207975
19920102,24.21,27.14,23.965,27.025,7067,1,27.0200125
19920103,27.14,27.875,26.41,27.385,1946,1,27.3868
19920106,28.12,28.12,23.72,25.675,5107,1,25.675125
19920107,25.43,26.165,24.695,24.94,1578,1,24.94155
19920108,25.185,25.185,21.275,22.005,11766,1,22.00725
19920109,22.74,24.21,22.495,24.21,6648,1,24.207975
19920110,24.455,24.695,22.74,23.475,2543,1,23.4744
19920113,23.965,26.165,23.23,25.43,2715,1,25.4306
19920114,26.165,26.165,25.185,25.675,1159,1,25.675125
19920115,26.165,26.655,25.43,25.92,1888,1,25.91965
19920116,26.165,26.41,24.21,25.185,1167,1,25.186075
19920117,24.695,25.43,24.695,24.695,503,1,24.697025
19920120,24.455,24.94,23.23,24.455,1070,1,24.4525
19920121,24.94,24.94,22.985,23.475,1190,1,23.4744
19920122,23.475,24.455,22.985,24.455,1639,1,24.4525
19920123,24.94,24.94,22.985,22.985,1037,1,22.98535
19920124,22.985,23.72,22.985,23.23,113,1,23.229875
19920127,23.72,23.72,22.25,22.74,854,1,22.740825
19920128,22.74,22.74,21.52,22.005,1173,1,22.00725
19920129,22.25,22.985,21.52,22.495,543,1,22.4963
19920130,22.25,23.965,22.25,23.23,800,1,23.229875
19920131,23.23,23.475,22.985,23.475,543,1,23.4744
19920203,23.475,25.185,23.23,24.09,834,1,24.0857125
19920204,24.21,25.185,23.72,24.455,1352,1,24.4525
19920205,24.21,24.695,24.21,24.21,1047,1,24.207975
19920206,24.94,24.94,23.72,23.72,2310,1,23.718925
19920207,24.455,24.455,21.275,22.985,2868,1,22.98535
19920210,22.25,22.985,21.52,22.005,1578,1,22.00725
19920211,22.25,22.985,21.765,22.25,532,1,22.251775
19920212,22.25,24.21,21.765,23.475,1151,1,23.4744
19920213,23.965,23.965,22.25,22.25,446,1,22.251775
19920214,22.74,22.74,22.005,22.74,902,1,22.740825
19920218,22.74,22.74,21.765,22.25,344,1,22.251775
19920219,21.52,22.25,21.275,21.52,449,1,21.5182
19920220,21.52,22.74,21.52,22.74,1822,1,22.740825
19920221,22.005,22.74,20.54,20.54,1225,1,20.5401
19920224,20.54,21.275,18.095,19.2,3956,1,19.1952125
19920225,19.805,20.295,18.83,19.56,1122,1,19.562
19920226,20.54,20.54,19.56,20.295,1022,1,20.295575
19920227,20.295,20.295,19.075,19.805,386,1,19.806525
19920228,20.05,20.295,19.315,20.05,962,1,20.05105
19920302,20.05,20.295,19.315,20.05,401,1,20.05105
19920303,20.295,20.785,19.315,19.315,1285,1,19.317475
19920304,19.56,19.56,19.075,19.075,1783,1,19.07295
19920305,19.315,19.315,18.34,18.585,613,1,18.5839
19920306,19.075,19.075,17.115,18.095,2022,1,18.09485
19920309,18.34,18.34,17.115,18.095,897,1,18.09485
19920310,18.34,19.315,18.095,19.315,607,1,19.317475
19920311,19.315,19.56,17.85,18.095,1782,1,18.09485
19920312,18.34,19.315,17.85,18.83,525,1,18.828425
19920313,18.585,19.56,18.34,18.83,1589,1,18.828425
19920316,18.83,18.83,18.095,18.095,236,1,18.09485
19920317,18.34,19.075,18.34,18.34,596,1,18.339375
19920318,19.315,20.295,19.075,19.935,1199,1,19.9287875
19920319,20.05,21.275,19.56,21.275,1951,1,21.273675
19920320,21.52,22.74,21.52,21.765,1722,1,21.762725
19920323,22.25,22.495,20.785,21.03,1667,1,21.02915
19920324,21.765,22.005,20.785,21.03,1840,1,21.02915
19920325,21.52,21.765,21.03,21.52,1188,1,21.5182
19920326,22.005,22.005,21.275,21.765,667,1,21.762725
19920327,21.275,21.765,21.03,21.03,465,1,21.02915
19920330,21.03,21.765,20.295,21.03,747,1,21.02915
19920331,20.295,22.74,19.315,22.495,1710,1,22.4963
19920401,21.03,22.495,21.03,21.4,1236,1,21.3959375
19920402,21.765,21.765,19.075,20.295,941,1,20.295575
19920403,19.805,21.52,19.805,20.295,1090,1,20.295575
19920406,20.54,20.785,19.805,20.665,876,1,20.6623625
19920407,21.275,21.52,20.54,20.785,824,1,20.784625
19920408,20.295,21.52,20.295,20.785,997,1,20.784625
19920409,20.785,21.03,20.18,20.54,1378,1,20.5401
19920410,21.03,21.03,20.54,21.03,189,1,21.02915
19920413,21.03,21.765,20.54,21.52,675,1,21.5182
19920414,21.765,22.74,21.52,22.005,624,1,22.00725
19920415,22.985,23.23,21.765,22.74,1952,1,22.740825
19920416,23.23,23.475,22.38,22.38,845,1,22.3740375
19920420,22.005,23.965,22.005,22.495,1060,1,22.4963
19920421,23.475,23.475,22.495,22.74,623,1,22.740825
19920422,23.23,23.475,22.495,23.475,702,1,23.4744
19920423,22.985,23.475,22.005,22.74,496,1,22.740825
19920424,22.38,22.74,22.25,22.25,674,1,22.251775
19920427,22.74,22.74,22.005,22.005,633,1,22.00725
19920428,22.74,22.74,20.785,20.785,614,1,20.784625
19920429,21.275,21.275,20.785,21.275,179,1,21.273675
19920430,21.275,21.275,20.05,20.54,1097,1,20.5401
19920501,20.785,20.785,20.295,20.785,357,1,20.784625
19920504,20.785,21.275,20.295,20.785,963,1,20.784625
19920505,21.275,21.52,20.785,21.03,96,1,21.02915
19920506,21.4,21.52,20.785,21.03,568,1,21.02915
19920507,21.52,21.52,20.785,20.785,131,1,20.784625
19920508,20.785,21.52,20.785,20.785,57,1,20.784625
19920511,21.52,21.52,20.295,20.785,421,1,20.784625
19920512,20.785,20.785,19.56,19.56,528,1,19.562
19920513,20.05,20.05,18.585,18.83,1064,1,18.828425
19920514,19.315,19.315,18.34,18.83,1949,1,18.828425
19920515,18.585,18.83,18.095,18.34,515,1,18.339375
19920518,18.83,18.83,18.095,18.22,726,1,18.2171125
19920519,18.585,18.585,18.095,18.095,479,1,18.09485
19920520,18.585,18.585,17.115,17.36,2451,1,17.361275
19920521,17.605,18.095,16.87,17.605,1424,1,17.6058
19920522,17.605,18.095,17.115,17.85,589,1,17.850325
19920526,18.095,18.465,17.36,18.465,1040,1,18.4616375
19920527,18.585,18.585,17.605,17.735,1303,1,17.7280625
19920528,17.605,18.095,17.605,17.605,201,1,17.6058
19920529,18.095,18.095,17.605,17.975,480,1,17.9725875
19920601,18.095,18.83,17.85,18.585,846,1,18.5839
19920602,18.83,19.315,18.095,18.095,705,1,18.09485
19920603,18.83,19.075,18.34,19.075,1066,1,19.07295
19920604,19.56,20.295,18.83,19.805,2805,1,19.806525
19920605,19.805,20.05,19.315,19.805,514,1,19.806525
19920608,19.315,19.805,18.34,18.585,658,1,18.5839
19920609,18.585,18.585,17.605,17.85,952,1,17.850325
19920610,17.605,18.585,17.115,17.36,1830,1,17.361275
19920611,18.095,18.585,17.36,18.34,3548,1,18.339375
19920612,18.83,20.05,18.22,20.05,1431,1,20.05105
19920615,19.315,20.295,19.2,20.05,1079,1,20.05105
19920616,19.805,19.805,19.075,19.075,274,1,19.07295
19920617,19.075,19.075,17.36,17.85,686,1,17.850325
19920618,17.85,18.34,17.36,17.49,1298,1,17.4835375
19920619,17.85,18.095,17.36,17.605,420,1,17.6058
19920622,17.36,18.095,16.63,17.245,852,1,17.2390125
19920623,17.36,17.605,16.87,17.605,655,1,17.6058
19920624,17.605,17.85,17.36,17.36,158,1,17.361275
19920625,17.85,18.095,17.605,17.605,422,1,17.6058
19920626,18.095,18.095,17.605,17.605,144,1,17.6058
19920629,18.34,18.585,18.095,18.585,601,1,18.5839
