date,open,high,low,close,volume,barCount,average
19920626,10.5,11.125,10.25,10.75,70112,1,10.75
19920629,10.875,11.75,10.625,11.5,18354,1,11.5
19920630,11.75,11.875,11.0,11.125,10868,1,11.125
19920701,11.25,11.5,10.875,11.375,5724,1,11.375
19920702,11.5,11.5,11.125,11.375,4374,1,11.375
19920706,11.25,11.375,11.125,11.375,1798,1,11.375
19920707,11.375,11.375,11.125,11.375,3332,1,11.375
19920708,11.375,11.375,11.0,11.125,4844,1,11.125
19920709,11.25,11.5,11.125,11.5,1226,1,11.5
19920710,11.5,11.75,11.25,11.625,3510,1,11.625
19920713,11.625,11.875,11.5,11.875,1874,1,11.875
19920714,11.875,12.25,11.75,11.875,5332,1,11.875
19920715,12.0,12.25,11.875,12.25,1560,1,12.25
19920716,12.25,13.25,12.125,13.065,5332,1,13.0625
19920717,13.125,14.0,12.75,13.75,4896,1,13.75
19920720,13.69,14.0,13.375,13.875,6170,1,13.875
19920721,14.0,14.25,13.75,14.0,2432,1,14.0
19920722,13.875,14.0,13.5,13.875,3404,1,13.875
19920723,13.875,14.125,13.625,14.125,3250,1,14.125
19920724,13.875,14.375,13.75,14.25,2204,1,14.25
19920727,14.375,14.875,14.25,14.565,3572,1,14.5625
19920728,14.75,14.875,13.75,14.0,5628,1,14.0
19920729,14.0,14.0,13.0,13.315,9640,1,13.3125
19920730,13.125,13.375,12.875,13.25,3668,1,13.25
19920731,13.25,13.375,13.0,13.315,2152,1,13.3125
19920803,13.125,13.625,13.125,13.44,1510,1,13.4375
19920804,13.5,13.75,13.19,13.69,2132,1,13.6875
19920805,13.625,13.625,12.875,13.125,2974,1,13.125
19920806,13.0,13.125,12.75,13.125,1148,1,13.125
19920807,13.125,13.625,12.75,13.625,2758,1,13.625
19920810,13.375,13.875,13.25,13.625,1840,1,13.625
19920811,13.875,13.875,13.5,13.75,1296,1,13.75
19920812,13.5,13.625,12.875,13.125,3976,1,13.125
19920813,13.125,13.315,12.875,13.125,15100,1,13.125
19920814,13.0,13.25,12.25,12.375,5578,1,12.375
19920817,12.5,12.625,12.25,12.625,838,1,12.625
19920818,12.25,12.5,12.25,12.5,894,1,12.5
19920819,12.25,12.5,12.25,12.5,744,1,12.5
19920820,12.5,12.815,12.125,12.375,778,1,12.375
19920821,12.375,12.375,12.125,12.125,640,1,12.125
19920824,12.25,12.375,12.0,12.25,2158,1,12.25
19920825,12.0,12.25,12.0,12.125,1290,1,12.125
19920826,12.0,12.25,11.5,12.0,6058,1,12.0
19920827,12.125,12.375,12.0,12.25,1928,1,12.25
19920828,12.25,12.5,12.125,12.5,1068,1,12.5
19920831,12.5,12.625,12.25,12.44,1388,1,12.4375
19920901,12.5,12.875,12.375,12.625,746,1,12.625
19920902,12.875,13.875,12.625,13.815,3654,1,13.8125
19920903,13.75,14.5,13.75,14.25,5150,1,14.25
19920904,14.25,14.5,14.125,14.375,1328,1,14.375
19920908,14.5,15.875,14.25,15.565,5356,1,15.5625
19920909,14.875,15.625,14.5,15.375,7904,1,15.375
19920910,15.125,15.375,14.875,15.25,2778,1,15.25
19920911,15.125,16.0,15.125,15.625,4074,1,15.625
19920914,15.875,16.5,15.75,16.375,4084,1,16.375
19920915,16.125,16.44,15.375,15.375,5656,1,15.375
19920916,14.75,15.25,14.625,14.875,4676,1,14.875
19920917,15.0,15.125,14.0,14.25,4206,1,14.25
19920918,14.0,14.25,13.375,13.625,5394,1,13.625
19920921,13.75,15.0,13.375,14.75,7504,1,14.75
