date,open,high,low,close,volume,barCount,average
20100629,3.8,5.0,3.51,4.78,925065,74008,3.9086
20100630,5.015,6.085,4.66,4.765,843465,93539,5.404
20100701,4.99,5.185,4.055,4.39,404870,41469,4.5421
20100702,4.41,4.65,3.74,3.84,252905,27025,4.0204
20100706,3.86,4.0,3.165,3.22,338880,34311,3.5429
20100707,3.28,3.325,2.995,3.16,342150,34318,3.1434
20100708,3.17,3.54,3.115,3.49,381755,38759,3.3155
20100709,3.54,3.58,3.31,3.48,200205,18962,3.4541
20100712,3.59,3.615,3.4,3.41,103920,11120,3.4971
20100713,3.46,3.73,3.38,3.63,131465,13285,3.5616
20100714,3.62,4.03,3.55,3.97,206990,20965,3.8639
20100715,3.96,4.3,3.8,3.98,184075,17730,4.0503
20100716,3.98,4.26,3.98,4.13,126465,13061,4.1266
20100719,4.275,4.45,4.185,4.38,116680,9858,4.3553
20100720,4.4,4.455,3.985,4.06,87430,8401,4.1772
20100721,4.08,4.23,3.9,4.045,60715,5286,4.0377
20100722,4.05,4.25,4.05,4.2,46415,3768,4.1886
20100723,4.25,4.31,4.205,4.26,32010,3011,4.2632
20100726,4.3,4.3,4.06,4.19,43890,4359,4.1882
20100727,4.19,4.235,4.05,4.11,28860,2870,4.1287
20100728,4.1,4.18,4.1,4.145,22670,2254,4.1433
20100729,4.155,4.175,4.0,4.07,29115,2364,4.0407
20100730,4.07,4.09,3.91,3.99,20860,2085,3.987
20100802,4.1,4.195,4.065,4.185,34045,3347,4.1413
20100803,4.15,4.39,4.08,4.39,59425,5911,4.3016
20100804,4.46,4.46,4.02,4.25,45315,3890,4.2685
20100805,4.19,4.325,4.01,4.09,39075,3734,4.1042
20100806,4.01,4.05,3.905,3.92,35140,2985,3.9498
20100809,3.98,3.995,3.89,3.92,34800,3106,3.9277
20100810,3.92,3.93,3.765,3.805,58355,4299,3.8243
20100811,3.735,3.78,3.55,3.58,37800,3839,3.6428
20100812,3.58,3.64,3.48,3.52,33895,3250,3.5049
20100813,3.555,3.72,3.53,3.665,31285,2566,3.6196
20100816,3.69,3.76,3.65,3.755,23780,1932,3.7142
20100817,3.75,3.88,3.75,3.83,21990,2048,3.8279
20100818,3.84,3.92,3.7,3.755,29685,2791,3.7796
20100819,3.71,3.85,3.665,3.76,27635,2683,3.7485
20100820,3.7,3.835,3.7,3.82,14605,1348,3.784
20100823,3.82,4.08,3.8,4.025,53260,4346,3.9497
20100824,3.98,3.98,3.79,3.84,33245,2956,3.8564
20100825,3.8,3.995,3.71,3.98,24575,2336,3.8486
20100826,3.95,4.055,3.92,3.95,20630,1700,3.9588
20100827,4.0,4.0,3.9,3.94,18760,2060,3.9403
20100830,3.94,4.04,3.92,3.975,35495,3177,3.9842
20100831,3.875,3.96,3.865,3.895,9855,1138,3.909
20100901,3.925,4.14,3.92,4.09,24355,2413,4.0263
20100902,4.09,4.25,4.06,4.21,23865,2824,4.1663
20100903,4.22,4.3,4.13,4.21,21340,2389,4.2126
20100907,4.165,4.2,4.1,4.11,12040,1573,4.1358
20100908,4.115,4.19,4.115,4.18,14270,1179,4.1569
20100909,4.185,4.21,4.005,4.14,18620,1555,4.1617
20100910,4.15,4.185,3.95,4.035,19020,2064,4.0609
20100913,4.18,4.18,4.1,4.145,17465,1875,4.1454
20100914,4.11,4.32,4.105,4.225,31880,3357,4.2381
20100915,4.195,4.4,4.16,4.395,33300,3665,4.3307
20100916,4.46,4.63,4.16,4.19,127825,13350,4.3997
20100917,4.265,4.27,3.96,4.045,58260,5800,4.04
20100920,4.13,4.27,4.03,4.21,46310,5353,4.1783
20100921,4.26,4.31,4.135,4.155,39165,4479,4.2314
20100922,4.175,4.19,3.96,3.975,44090,4780,4.0447
20100923,3.96,4.03,3.9,3.91,32855,3596,3.9441
20100924,3.99,4.04,3.93,4.02,28635,2862,4.0029
20100927,4.08,4.16,4.01,4.105,20355,2261,4.0921
20100928,4.195,4.3,4.15,4.28,59685,6134,4.2287
20100929,4.1,4.42,4.1,4.395,93085,6996,4.3674
20100930,4.4,4.43,4.04,4.08,103955,7718,4.1532
20101001,4.16,4.25,4.04,4.12,25945,3060,4.1108
20101004,4.085,4.235,4.06,4.2,31170,3222,4.1614
20101005,4.23,4.255,4.2,4.225,16380,1552,4.2287
20101006,4.21,4.25,4.065,4.09,15390,1604,4.1166
20101007,4.115,4.13,4.06,4.085,6880,727,4.0858
20101008,4.085,4.16,4.07,4.085,13245,1484,4.12
20101011,4.09,4.14,4.015,4.05,8250,883,4.0701
20101012,4.04,4.055,4.005,4.05,11350,1327,4.0264
20101013,4.05,4.27,4.05,4.11,15760,1508,4.115
20101014,4.3,4.3,4.08,4.15,14380,1580,4.1335
20101015,4.18,4.18,4.05,4.11,13965,1706,4.097
20101018,4.105,4.13,4.045,4.045,7805,849,4.0788
20101019,4.04,4.08,4.0,4.01,12005,1063,4.0232
20101020,4.03,4.14,4.01,4.13,15360,1395,4.085
20101021,4.12,4.19,4.09,4.15,20555,1382,4.1412
20101022,4.135,4.185,4.11,4.145,7915,724,4.1476
20101025,4.19,4.195,4.145,4.17,5740,538,4.1743
20101026,4.16,4.375,4.1,4.27,32480,2781,4.2714
20101027,4.26,4.275,4.13,4.2,17575,1498,4.1999
20101028,4.28,4.3,4.19,4.24,11010,966,4.2363
20101029,4.28,4.37,4.21,4.37,13740,1487,4.2992
20101101,4.39,4.55,4.26,4.28,21550,2074,4.3769
20101102,4.31,4.395,4.21,4.25,15835,1395,4.2502
20101103,4.255,4.5,4.23,4.355,18440,1762,4.3272
20101104,4.48,5.08,4.41,4.98,90410,8353,4.8149
20101105,5.075,5.2,4.745,4.89,48945,4393,4.8654
20101108,4.9,5.0,4.805,4.995,24190,2779,4.9059
20101109,5.0,5.14,4.81,4.925,41880,4167,4.9645
20101110,4.78,5.995,4.78,5.87,149475,14781,5.5174
20101111,5.72,5.82,5.465,5.605,95235,11250,5.6705
20101112,5.57,6.1,5.545,5.97,134050,12674,5.9141
20101115,6.045,6.59,6.045,6.16,127710,13417,6.3134
20101116,6.2,6.28,5.685,5.935,65400,6517,5.9165
20101117,5.96,6.15,5.72,5.9,36415,3647,5.919
20101118,5.995,6.15,5.785,5.98,46720,4961,5.9604
20101119,5.93,6.275,5.93,6.2,56305,5536,6.1418
20101122,6.315,6.69,6.29,6.68,72040,7680,6.5435
20101123,6.6,7.135,6.44,6.915,77030,7621,6.9323
20101124,6.98,7.195,6.865,7.095,69660,6724,7.0347
20101126,7.11,7.2,6.95,7.065,16690,1837,7.067
20101129,7.105,7.19,6.665,6.865,55800,6419,6.8608
20101130,6.78,7.07,6.68,7.065,110290,5646,6.996
20101201,7.15,7.3,6.69,6.87,63625,6808,6.9867
20101202,6.8,6.86,6.24,6.47,88700,10052,6.4639
20101203,6.4,6.45,6.175,6.3,53855,6169,6.2992
20101206,6.27,6.29,5.91,6.06,59120,6282,6.0716
20101207,6.1,6.48,6.01,6.31,64030,6274,6.308
20101208,6.48,6.57,6.305,6.475,32240,3543,6.4416
20101209,6.5,6.545,6.33,6.41,18850,1875,6.4137
20101210,6.41,6.585,6.225,6.305,20520,2341,6.3123
20101213,6.33,6.355,6.08,6.11,19910,1977,6.1862
20101214,6.12,6.12,5.55,5.705,86145,8387,5.7172
20101215,5.695,5.995,5.69,5.92,36255,3440,5.8975
20101216,6.0,6.18,5.93,6.16,38140,4647,6.0847
20101217,6.27,6.31,6.14,6.27,32625,3804,6.2313
20101220,6.33,6.44,6.25,6.34,25155,2975,6.3414
20101221,6.26,6.54,6.215,6.45,37890,4838,6.4819
20101222,6.45,6.57,6.34,6.525,40890,5609,6.4288
20101223,6.25,6.495,5.985,6.02,71930,7514,6.1577
20101227,5.625,5.715,5.01,5.11,450950,45954,5.2385
20101228,5.15,5.35,5.0,5.28,200155,20741,5.2086
20101229,5.36,5.6,5.3,5.545,142130,13327,5.4943
20101230,5.6,5.6,5.275,5.3,89225,8679,5.3941
20101231,5.315,5.45,5.3,5.325,62140,4413,5.3316
20110103,5.37,5.4,5.18,5.325,58860,6742,5.2792
