date,open,high,low,close,volume,barCount,average
20121210,37.0,37.0,34.91,35.0,6992,2189,35.759
20121211,35.05,35.69,34.95,35.32,14529,3769,35.404
20121212,35.25,35.25,33.09,33.36,24139,6109,34.1095
20121213,33.5,34.24,32.61,33.8,42467,8827,33.419
20121214,33.9,34.08,32.65,33.0,44572,9025,33.3975
20121217,33.5,37.07,32.51,33.4,55029,7352,32.934
20121218,33.4,34.68,32.95,34.43,33305,10077,34.0595
20121219,34.8,34.82,33.73,34.25,14778,5099,34.197
20121220,34.5,34.5,33.85,34.32,9908,2703,34.202
20121221,34.29,35.35,34.2,35.35,13734,4819,34.7785
20121224,35.6,35.6,34.6,35.25,2854,1867,35.185
20121226,35.27,35.51,34.85,34.92,5576,3520,34.978
20121227,35.37,35.37,33.2,34.97,9122,5293,34.696
20121228,34.67,34.96,34.36,34.52,10651,5647,34.617
20121231,34.04,35.05,34.0,34.16,16541,8854,34.538
20130102,34.92,35.4,34.1,35.12,124037,37787,34.744
20130103,35.0,35.0,34.16,34.83,153953,61014,34.585
20130104,34.35,34.89,34.25,34.39,203886,46370,34.4125
20130107,34.15,35.45,34.15,34.46,164082,58246,34.711
20130108,34.29,34.64,33.36,33.71,166892,60933,33.97
20130109,33.61,33.95,33.61,33.9,181348,51059,33.8495
20130110,33.35,34.0,33.33,34.0,147391,46478,33.8285
20130111,33.59,33.9,33.35,33.85,103889,25625,33.6
20130114,34.01,34.25,33.8,34.09,107978,34106,34.02
20130115,33.71,34.72,33.71,34.6,125902,39536,34.274
20130116,34.47,35.54,34.45,35.54,155399,46750,35.306
20130117,35.75,36.7,35.75,36.42,125546,40689,36.399
20130118,36.43,37.32,36.04,37.32,106877,41237,36.784
20130122,37.1,37.25,35.93,36.42,138835,53940,36.3745
20130123,36.91,37.84,36.5,37.8,86122,33590,37.223
20130124,37.79,38.52,37.23,37.46,100390,39990,37.739
20130125,37.52,37.84,36.64,37.6,81511,35462,37.4345
20130128,37.95,37.95,36.71,36.89,56844,25132,37.1295
20130129,36.69,37.46,36.25,37.31,76292,39345,36.865
20130130,36.81,37.52,36.81,36.93,100154,34653,37.009
20130131,36.91,36.93,36.27,36.69,92343,36293,36.6925
20130201,36.84,37.2,36.52,37.18,87584,35324,37.004
20130204,36.64,37.3,36.55,37.28,56007,23239,37.123
20130205,37.43,37.73,37.18,37.2,60984,28829,37.4315
20130206,36.96,37.28,36.86,37.14,51282,24167,37.0855
20130207,37.57,37.57,35.8,36.42,93238,40513,36.424
20130208,36.37,36.42,35.83,36.25,130486,36666,36.0975
20130211,36.13,36.18,35.75,35.85,57255,25001,35.9115
20130212,35.77,35.9,35.2,35.42,70616,30210,35.565
20130213,35.42,35.57,35.15,35.27,45225,23045,35.2525
20130214,35.05,36.73,35.01,36.57,54000,24845,36.1185
20130215,37.28,37.81,36.93,37.58,120417,42069,37.518
20130219,37.54,38.33,37.11,38.19,72121,36109,37.823
20130220,38.16,39.13,37.61,38.61,73371,27093,38.654
20130221,38.49,39.02,38.19,38.78,65662,29642,38.7625
20130222,38.79,38.85,38.14,38.46,35939,18096,38.412
20130225,38.54,38.61,37.37,37.37,39786,20279,37.864
20130226,37.6,37.6,36.96,37.09,38099,21319,37.247
20130227,36.97,36.98,36.4,36.73,97037,43526,36.691
20130228,36.66,37.14,36.5,36.92,64883,27388,36.88
20130301,36.8,38.07,36.55,37.81,60489,30961,37.298
20130304,37.53,38.25,37.53,38.24,48186,25931,38.0175
20130305,38.45,38.57,37.29,37.51,53575,27733,37.686
20130306,37.56,37.86,37.37,37.74,50219,23076,37.668
20130307,37.65,38.01,37.44,37.49,37440,21311,37.7105
20130308,37.64,37.65,37.16,37.34,36620,15435,37.365
20130311,37.25,38.15,37.08,37.67,40868,22383,37.7915
20130312,37.7,38.3,37.05,37.17,60362,30879,37.656
20130313,37.2,37.59,37.04,37.17,33029,18224,37.2255
20130314,37.43,37.59,36.86,37.56,84342,26085,37.1145
20130315,37.35,38.54,37.28,38.5,99870,34447,37.951
20130318,38.05,38.49,37.99,38.16,45629,23377,38.2835
20130319,38.29,38.4,37.84,38.36,46117,23271,38.151
20130320,38.49,39.19,38.41,39.06,64155,30226,38.9005
20130321,38.82,38.97,38.48,38.49,41651,22556,38.7155
20130322,38.57,38.97,38.3,38.97,27204,14772,38.6765
20130325,39.12,39.52,38.93,39.32,49679,22960,39.2335
20130326,39.57,40.52,39.57,40.21,64377,30786,40.164
20130327,40.22,40.29,39.66,40.15,39002,22556,39.995
20130328,40.26,40.8,39.77,40.78,57488,27629,40.437
20130401,39.97,41.14,39.96,41.12,52014,26132,40.648
20130402,41.22,41.22,40.52,40.71,45177,19815,40.8565
20130403,40.75,41.45,40.35,40.57,35946,22536,40.598
20130404,40.77,41.78,40.62,41.6,69487,26133,41.527
20130405,41.31,41.5,41.09,41.31,32548,16567,41.258
20130408,41.27,41.87,41.07,41.77,45981,16065,41.6375
20130409,41.96,43.56,41.8,42.55,74357,34581,42.8255
20130410,42.65,43.77,42.5,43.62,70754,33009,43.171
20130411,43.42,43.71,43.11,43.2,57983,30099,43.3095
20130412,42.97,43.29,42.62,43.09,31983,16644,43.0135
20130415,42.87,43.03,41.41,41.44,56790,28352,42.1535
20130416,41.67,42.53,41.13,42.45,63528,32644,41.9435
20130417,42.14,42.43,41.42,42.24,44923,26268,41.957
20130418,42.37,42.64,41.89,42.32,39806,21856,42.3405
20130419,42.51,42.58,42.2,42.39,42666,20234,42.431
20130422,43.0,44.83,42.88,44.2,81147,34887,44.1085
20130423,44.61,46.32,44.4,45.14,88239,39501,45.2245
20130424,45.14,45.34,43.94,44.32,48969,24993,44.525
20130425,44.76,44.79,43.76,44.24,47511,25417,44.181
20130426,44.95,46.31,44.75,45.84,84891,38447,45.689
20130429,45.83,45.93,45.05,45.23,48806,25801,45.3455
20130430,45.05,46.23,45.01,46.05,55045,26694,45.868
20130501,45.74,46.09,45.55,45.55,59682,25925,45.79
20130502,45.68,45.68,43.86,43.99,83639,42240,44.277
20130503,44.31,44.77,43.83,44.68,39457,23282,44.4235
20130506,44.95,44.95,44.15,44.59,34851,20595,44.5795
20130507,44.5,45.0,44.42,44.91,33909,19369,44.736
20130508,45.01,45.05,43.39,43.49,61814,32086,43.8685
20130509,43.34,44.45,43.25,44.24,44478,24988,44.03
20130510,44.21,45.01,44.2,45.01,39092,20436,44.745
20130513,44.79,44.79,44.17,44.54,34300,20459,44.488
20130514,44.09,45.52,44.09,45.35,51588,26411,45.264
20130515,45.72,46.93,45.48,46.03,58830,28940,46.1245
20130516,46.06,46.9,46.01,46.21,41275,24551,46.467
20130517,46.03,47.34,45.85,47.17,47443,24389,46.6405
20130520,47.12,47.14,46.07,46.26,31522,19245,46.4945
20130521,46.19,46.96,46.17,46.54,43108,19402,46.6225
20130522,46.46,48.0,45.85,46.76,44490,27223,47.263
20130523,45.94,46.95,45.94,46.59,25875,17146,46.594
20130524,46.25,46.48,45.31,45.44,39440,21622,45.6895
20130528,45.89,46.04,44.7,45.39,55598,28628,45.3455
20130529,44.89,45.18,43.79,43.88,56483,34145,44.1655
20130530,44.1,45.12,44.05,44.55,38744,22274,44.612
20130531,44.27,44.69,42.69,42.69,53089,29725,43.6605
20130603,42.88,43.58,42.75,43.36,60771,34863,43.1645
20130604,43.42,44.47,43.38,43.63,38174,21393,43.798
20130605,43.49,43.9,42.69,43.04,43988,25650,43.1505
20130606,43.22,43.57,42.65,43.5,36321,23057,43.1665
20130607,43.72,44.27,43.5,44.0,48348,27993,43.872
20130610,44.33,44.33,43.22,43.92,40264,23827,43.5665
20130611,43.31,44.05,43.05,43.59,32066,22237,43.69
20130612,43.91,44.0,42.72,42.77,33975,22107,43.1095
20130613,42.42,43.2,40.1,43.15,54967,32636,42.2275
20130614,42.98,43.5,42.5,43.21,34283,21283,43.2205
20130617,43.4,43.5,42.68,43.01,29773,18741,43.031
20130618,42.97,43.56,42.63,43.54,31762,19397,43.2
20130619,43.56,43.83,43.01,43.04,31787,21247,43.382
20130620,42.65,42.78,40.91,41.06,64228,39947,41.5595
20130621,41.66,42.71,41.2,42.62,73417,32834,41.928
20130624,42.07,42.4,41.32,41.89,55562,35386,41.9355
20130625,42.15,42.77,41.61,42.63,40809,24644,42.3345
20130626,43.1,43.61,43.02,43.38,40530,24044,43.378
20130627,43.5,43.98,42.73,43.13,41674,21750,43.0765
20130628,42.5,42.97,41.34,41.34,71829,37129,42.0175
20130701,41.4,41.93,41.07,41.61,38520,23933,41.5705
20130702,41.58,42.57,41.58,42.21,37194,22681,42.155
20130703,41.88,42.31,41.61,42.23,18801,11002,42.024
20130705,42.45,42.83,42.31,42.72,23660,14333,42.531
20130708,42.9,43.69,42.82,43.68,34227,20654,43.4645
20130709,44.0,44.23,43.25,43.32,33082,19117,43.571
20130710,43.36,44.12,43.36,43.91,26849,16776,43.7815
20130711,43.94,44.11,43.33,43.78,36792,20557,43.734
20130712,43.93,45.11,43.8,45.05,50657,25189,44.6725
20130715,44.95,44.97,44.54,44.62,28581,16988,44.696
20130716,44.54,44.77,43.7,43.81,30900,17074,43.9945
20130717,43.97,44.15,43.74,43.96,31825,15593,43.911
20130718,43.96,44.56,43.81,44.32,27859,15972,44.2255
20130719,44.49,44.91,44.12,44.52,35569,16294,44.5525
20130722,44.3,45.1,43.8,44.97,29792,16518,44.829
20130723,44.92,45.09,44.23,44.31,33000,17598,44.5725
20130724,44.28,44.37,43.39,43.64,27399,16512,43.64
20130725,43.41,44.43,43.35,44.24,36773,22828,44.083
20130726,45.21,45.21,44.17,44.79,39404,23986,44.6815
20130729,44.72,45.45,44.47,45.06,38918,22421,44.9725
20130730,45.08,45.23,44.2,44.7,31585,19286,44.7435
20130731,44.84,45.91,44.81,45.48,50715,29655,45.6295
20130801,45.14,45.9,45.04,45.25,32181,19122,45.329
20130802,45.11,45.42,44.81,45.32,27381,16435,45.145
20130805,45.05,45.37,44.48,44.71,27446,15120,44.811
20130806,44.42,44.99,44.42,44.88,36926,20583,44.721
20130807,44.7,44.86,44.22,44.57,30086,19582,44.537
20130808,44.86,45.18,44.61,45.06,24916,14481,44.9365
20130809,44.9,45.0,44.47,44.71,30135,19485,44.708
20130812,44.71,45.2,44.39,45.04,32695,18985,45.03
20130813,45.12,45.18,44.68,44.93,25276,16979,44.9255
20130814,44.86,45.23,44.45,44.58,26309,16012,44.7725
20130815,44.6,44.62,43.13,43.21,39564,24534,43.663
20130816,42.94,43.14,42.42,43.0,53011,27889,42.8285
20130819,43.01,43.81,42.95,43.37,30835,20267,43.4695
20130820,43.29,43.48,42.85,42.97,25111,15920,43.1215
20130821,42.82,42.88,42.25,42.31,36178,23735,42.5915
20130822,42.43,43.1,42.29,42.92,29648,18460,42.715
