date,open,high,low,close,volume,barCount,average
19800317,17.105,17.465,16.985,17.105,2202,1,17.107332
19800318,17.225,17.465,16.87,17.225,1554,1,17.226
19800319,17.465,17.585,17.17,17.465,739,1,17.467164
19800320,17.05,17.525,17.05,17.05,1364,1,17.049912
19800321,17.225,17.29,17.05,17.225,390,1,17.226
19800324,16.69,16.87,16.51,16.69,1203,1,16.69008
19800325,16.63,17.05,16.51,16.63,2514,1,16.628832
19800326,16.63,16.93,16.63,16.63,1093,1,16.628832
19800327,16.745,16.745,16.33,16.745,1253,1,16.7475
19800328,17.29,17.35,16.745,17.29,775,1,17.287248
19800331,17.525,17.585,17.29,17.525,1189,1,17.528412
19800401,17.585,17.83,17.465,17.585,2223,1,17.585832
19800402,17.705,17.765,17.465,17.705,1446,1,17.7045
19800403,17.705,17.705,17.585,17.705,961,1,17.7045
19800407,17.705,17.705,17.41,17.705,792,1,17.7045
19800408,17.645,17.645,17.225,17.645,1467,1,17.64708
19800409,17.885,17.885,17.525,17.885,478,1,17.884416
19800410,18.66,18.66,18.125,18.66,902,1,18.6615
19800411,18.9,19.2,18.785,18.9,1237,1,18.902664
19800414,18.42,18.605,18.245,18.42,1347,1,18.424164
19800415,18.605,18.605,18.365,18.605,710,1,18.60408
19800416,18.305,18.9,18.305,18.305,1437,1,18.305496
19800417,18.125,18.245,18.065,18.125,775,1,18.12558
19800418,18.005,18.305,18.005,18.005,700,1,18.006912
19800421,18.305,18.305,18.065,18.305,741,1,18.305496
19800422,18.9,18.9,18.485,18.9,606,1,18.902664
19800423,18.785,18.965,18.605,18.785,1400,1,18.783996
19800424,19.02,19.2,18.725,19.02,758,1,19.021332
19800425,18.785,19.02,18.66,18.785,1895,1,18.783996
19800428,18.965,19.085,18.845,18.965,909,1,18.963912
19800429,19.02,19.085,18.785,19.02,447,1,19.021332
19800430,19.2,19.2,19.02,19.2,1260,1,19.201248
19800501,19.32,19.5,19.085,19.32,1565,1,19.319916
19800502,19.38,19.38,19.2,19.38,1015,1,19.381164
19800505,19.32,19.44,19.265,19.32,545,1,19.319916
19800506,19.5,19.62,19.2,19.5,950,1,19.499832
19800507,19.56,19.745,19.265,19.56,957,1,19.56108
19800508,19.14,19.8,19.14,19.14,1141,1,19.14
19800509,19.265,19.265,18.9,19.265,309,1,19.262496
19800512,19.32,19.5,19.02,19.32,309,1,19.319916
19800513,19.14,19.44,19.14,19.14,470,1,19.14
19800514,19.32,19.44,19.2,19.32,1040,1,19.319916
19800515,19.62,19.86,19.265,19.62,1287,1,19.6185
19800516,19.44,19.68,19.38,19.44,992,1,19.442412
19800519,19.32,19.44,19.265,19.32,794,1,19.319916
19800520,19.32,19.38,19.2,19.32,478,1,19.319916
19800521,19.38,19.38,19.265,19.38,702,1,19.381164
19800522,19.62,19.745,19.2,19.62,948,1,19.6185
19800523,20.28,20.4,19.745,20.28,1569,1,20.276916
19800527,20.335,20.455,20.22,20.335,562,1,20.338164
19800528,20.575,20.64,20.28,20.575,1063,1,20.5755
19800529,20.455,20.755,20.335,20.455,1036,1,20.456832
19800530,20.4,20.455,19.86,20.4,994,1,20.399412
19800602,20.28,20.52,20.28,20.28,369,1,20.276916
19800603,20.4,20.4,20.095,20.4,986,1,20.399412
19800604,20.52,20.575,20.335,20.52,1047,1,20.51808
19800605,20.335,20.575,20.22,20.335,2052,1,20.338164
19800606,20.7,20.755,20.22,20.7,1024,1,20.697996
19800609,20.7,20.7,20.52,20.7,484,1,20.697996
19800610,21.295,21.295,20.575,21.295,1531,1,21.295164
19800611,21.955,22.25,21.475,21.955,2417,1,21.95358
19800612,21.535,21.89,21.355,21.535,875,1,21.5325
19800613,21.535,21.715,21.415,21.535,735,1,21.5325
19800616,21.355,21.77,21.295,21.355,415,1,21.356412
19800617,21.655,21.77,21.355,21.655,307,1,21.654996
19800618,21.595,21.655,21.475,21.595,457,1,21.593748
19800619,21.535,21.715,21.475,21.535,775,1,21.5325
19800620,21.295,21.655,21.235,21.295,1983,1,21.295164
19800623,20.995,21.415,20.995,20.995,1210,1,20.99658
19800624,21.355,21.415,21.055,21.355,1425,1,21.356412
19800625,21.475,21.475,21.235,21.475,925,1,21.47508
19800626,21.18,21.595,21.18,21.18,403,1,21.176496
19800627,20.875,21.355,20.875,20.875,626,1,20.877912
19800630,20.16,20.7,19.975,20.16,1024,1,20.158248
19800701,20.4,20.455,19.975,20.4,1412,1,20.399412
19800702,21.115,21.235,20.455,21.115,1301,1,21.115248
19800703,21.055,21.235,20.815,21.055,4135,1,21.054
19800707,21.055,21.235,20.935,21.055,1099,1,21.054
19800708,20.875,21.055,20.755,20.875,528,1,20.877912
19800709,20.575,21.055,20.52,20.575,2037,1,20.5755
19800710,20.335,20.7,20.335,20.335,1496,1,20.338164
19800711,20.22,20.4,20.04,20.22,2058,1,20.219496
19800714,20.28,20.28,19.92,20.28,1793,1,20.276916
19800715,20.4,20.575,20.335,20.4,4568,1,20.399412
