date,open,high,low,close,volume,barCount,average
20130204,13.7,15.01,13.52,14.98,798363,217961,14.396
20130205,15.79,16.89,15.53,16.0,1224061,325453,16.153
20130206,15.52,16.54,15.28,16.05,976883,245801,16.0175
20130207,16.68,16.98,16.2,16.96,724810,184717,16.592
20130208,17.15,17.21,16.44,16.49,588057,149495,16.751
20130211,15.72,16.18,15.29,15.73,580699,150051,15.7665
20130212,15.47,16.07,15.15,15.2,430475,110131,15.522
20130213,15.1,15.39,13.81,13.99,753812,182878,14.433
20130214,13.2,15.16,12.94,15.07,1063969,259174,14.3105
20130215,15.3,15.49,13.96,14.16,904691,207794,14.5035
20130219,14.24,14.82,14.17,14.36,444597,108095,14.44
20130220,14.0,14.38,13.65,13.7,533238,129769,13.949
20130221,13.94,14.05,13.35,13.87,483808,131980,13.7345
20130222,13.81,13.98,13.04,13.2,411305,107759,13.4095
20130225,13.66,13.76,13.05,13.25,333939,90033,13.3995
20130226,13.34,13.45,12.56,13.04,505522,131508,12.9435
20130227,12.94,13.68,12.75,13.26,377425,98133,13.1855
20130228,13.12,13.79,12.94,13.35,418945,114464,13.4615
20130301,13.44,13.78,13.03,13.27,378879,108280,13.3965
20130304,13.27,13.28,12.76,12.81,258363,71384,13.0025
20130305,12.89,12.92,12.55,12.58,260861,78093,12.709
20130306,12.66,13.56,12.56,13.36,477785,118599,13.195
20130307,13.45,13.55,12.98,13.21,259270,74922,13.2495
20130308,13.53,13.53,13.02,13.04,208611,57243,13.1755
20130311,13.13,14.92,13.0,14.89,901680,226423,14.2795
20130312,15.21,15.39,14.04,14.46,810808,199396,14.455
20130313,14.17,15.7,14.11,15.65,772087,196583,14.902
20130314,15.8,16.01,15.04,15.06,910068,230528,15.469
20130315,15.14,15.27,14.8,15.0,367650,93597,14.9835
20130318,14.79,15.59,14.65,15.02,467178,111866,15.207
20130319,15.12,15.3,14.86,15.03,267747,75959,15.045
20130320,15.89,16.44,15.67,16.0,791270,188791,16.0495
20130321,15.97,16.48,15.95,16.17,429136,104948,16.2415
20130322,16.43,16.82,14.64,14.91,1213068,301650,15.7665
20130325,13.94,14.62,13.64,14.23,741186,214258,14.1765
20130326,14.57,14.73,14.26,14.45,330067,100500,14.445
20130327,14.58,14.92,14.3,14.57,485258,146630,14.5885
20130328,15.18,15.55,14.14,14.45,895020,268205,14.8505
20130401,14.72,15.36,14.29,15.11,559275,155291,14.9715
20130402,15.2,15.47,15.04,15.14,301556,84654,15.2255
20130403,15.0,15.25,14.61,15.02,375312,119726,14.953
20130404,15.09,15.31,14.92,14.98,266216,82691,15.085
