date,open,high,low,close,volume,barCount,average
19960509,22.2,24.4,22.2,23.2,4285,1,23.2
19960510,24.0,24.2,23.6,24.0,1060,1,24.0
19960513,24.0,24.1,23.3,23.9,700,1,23.9
19960514,24.0,24.1,23.1,23.6,310,1,23.6
19960515,23.6,23.7,23.0,23.2,540,1,23.2
19960516,23.1,23.1,22.3,22.6,355,1,22.6
19960517,22.6,23.0,22.6,22.8,325,1,22.8
19960520,22.9,23.0,22.4,22.5,235,1,22.5
19960521,22.7,22.8,22.3,22.6,230,1,22.6
19960522,22.7,22.7,21.8,22.0,250,1,22.0
19960523,22.0,22.2,21.7,22.1,200,1,22.1
19960524,22.1,22.1,21.4,21.6,150,1,21.6
19960528,21.9,22.1,21.2,21.2,205,1,21.2
19960529,21.0,21.3,20.7,20.8,105,1,20.8
19960530,20.7,20.8,20.0,20.5,320,1,20.5
19960531,20.2,20.4,19.8,20.4,225,1,20.4
19960603,20.4,20.5,20.0,20.1,75,1,20.1
19960604,20.1,21.4,20.1,21.4,110,1,21.4
19960605,21.4,22.0,21.3,21.86,165,1,21.86
19960606,21.86,22.0,21.7,21.7,90,1,21.7
19960607,21.5,21.8,21.2,21.6,80,1,21.6
19960610,21.7,21.9,21.1,21.2,75,1,21.2
19960611,21.2,21.7,21.2,21.4,65,1,21.4
19960612,21.6,22.0,21.4,22.0,105,1,22.0
19960613,22.0,22.2,21.9,22.06,60,1,22.06
19960614,22.2,22.2,21.7,22.0,40,1,22.0
19960617,22.0,22.06,21.7,21.82,40,1,21.82
19960618,21.86,21.86,21.5,21.66,45,1,21.66
19960619,21.6,21.7,21.24,21.3,35,1,21.3
19960620,21.4,21.46,20.5,20.7,50,1,20.7
19960621,20.5,20.7,20.48,20.7,70,1,20.7
19960624,20.66,20.8,20.5,20.6,75,1,20.6
19960625,20.6,20.7,20.1,20.4,115,1,20.4024
19960626,20.52,20.6,20.3,20.4,60,1,20.4
19960627,20.3,20.36,20.06,20.2,80,1,20.2
19960628,20.1,20.66,20.1,20.66,105,1,20.66
19960701,20.66,21.5,20.6,21.5,130,1,21.5
19960702,21.66,21.8,21.46,21.7,75,1,21.7
19960703,21.76,21.76,21.1,21.3,40,1,21.3
19960705,21.0,21.1,20.6,20.7,75,1,20.7
19960708,20.8,21.5,20.6,20.96,75,1,20.96
19960709,21.0,21.4,20.66,21.2,165,1,21.2
19960710,21.3,21.36,20.7,20.98,65,1,20.98
19960711,21.06,21.06,20.6,20.8,115,1,20.8
19960712,20.6,21.06,20.6,20.84,90,1,20.84
19960715,20.8,20.9,20.44,20.66,100,1,20.66
