date,open,high,low,close,volume,barCount,average
20040623,3.75,4.325,3.69,4.3,435876,1,4.3
20040624,4.39,4.425,4.125,4.19,88872,1,4.19
20040625,4.13,4.19,3.95,3.95,67100,1,3.95
20040628,4.0,4.055,3.86,4.0,22708,1,4.0
20040629,4.0,4.175,3.96,4.1,21120,1,4.1
20040630,4.1,4.235,4.01,4.02,20876,1,4.0175
20040701,4.02,4.05,3.975,4.01,17548,1,4.0075
20040702,4.025,4.245,4.015,4.245,9932,1,4.245
20040706,4.235,4.25,4.12,4.25,12168,1,4.25
20040707,4.225,4.225,4.015,4.075,17876,1,4.0775
20040708,4.075,4.075,3.915,3.935,21792,1,3.935
20040709,3.985,4.145,3.975,4.1,5968,1,4.1
20040712,4.15,4.21,4.04,4.19,7808,1,4.1875
20040713,4.185,4.185,4.02,4.02,16740,1,4.02
20040714,4.015,4.015,3.895,3.915,23660,1,3.9125
20040715,3.94,3.95,3.735,3.835,18060,1,3.835
20040716,3.85,4.1,3.74,4.0,32788,1,4.0
20040719,4.015,4.045,3.96,4.005,9548,1,4.0025
20040720,4.005,4.045,3.885,4.015,22452,1,4.015
20040721,4.025,4.025,2.765,2.925,254584,1,2.925
20040722,2.89,3.295,2.825,3.245,98248,1,3.245
20040723,3.24,3.375,3.19,3.26,16744,1,3.26
20040726,3.39,3.39,3.22,3.32,12860,1,3.32
20040727,3.345,3.36,3.275,3.285,7512,1,3.285
20040728,3.265,3.305,3.15,3.25,15348,1,3.2475
20040729,3.25,3.34,3.24,3.24,9080,1,3.24
20040730,3.24,3.3,3.14,3.255,8152,1,3.2525
20040802,3.245,3.27,3.145,3.205,12976,1,3.2025
20040803,3.2,3.275,3.0,3.035,29444,1,3.0325
20040804,3.035,3.04,2.99,2.995,27468,1,2.995
20040805,3.0,3.0,2.67,2.725,30304,1,2.725
20040806,2.725,2.75,2.68,2.695,17972,1,2.6925
20040809,2.74,2.765,2.715,2.75,11216,1,2.7475
20040810,2.75,2.76,2.72,2.75,7332,1,2.75
20040811,2.74,2.74,2.65,2.655,6244,1,2.655
20040812,2.68,2.685,2.48,2.5,15780,1,2.4975
20040813,2.5,2.515,2.37,2.4,24960,1,2.3975
20040816,2.4,2.465,2.25,2.43,21712,1,2.43
20040817,2.47,2.75,2.47,2.745,29680,1,2.7425
20040818,2.725,3.04,2.67,2.99,16976,1,2.9875
20040819,2.99,3.065,2.925,3.045,13104,1,3.0425
20040820,3.125,3.3,2.975,3.15,40348,1,3.15
20040823,3.175,3.24,3.09,3.125,11276,1,3.125
20040824,3.15,3.195,3.105,3.195,10724,1,3.1925
20040825,3.2,3.265,3.125,3.24,12008,1,3.24
20040826,3.245,3.25,3.205,3.225,4712,1,3.225
20040827,3.25,3.305,3.225,3.29,4636,1,3.2875
20040830,3.305,3.315,3.265,3.295,6060,1,3.2925
20040831,3.3,3.315,3.175,3.25,8744,1,3.25
20040901,3.3,3.335,3.29,3.335,5128,1,3.3325
20040902,3.32,3.495,3.32,3.475,9988,1,3.4725
20040903,3.475,3.485,3.405,3.44,9240,1,3.4375
20040907,3.44,3.44,3.35,3.36,11932,1,3.3575
20040908,3.335,3.335,3.29,3.31,5500,1,3.31
20040909,3.31,3.325,3.245,3.295,25292,1,3.2925
20040910,3.29,3.575,3.29,3.565,27952,1,3.5625
20040913,3.6,3.875,3.6,3.8,43452,1,3.8
20040914,3.8,4.025,3.75,3.98,20520,1,3.9775
20040915,3.98,4.285,3.925,4.085,41472,1,4.085
20040916,4.09,4.12,4.015,4.065,25184,1,4.065
20040917,4.05,4.055,3.71,3.92,44876,1,3.9175
20040920,3.94,4.025,3.925,4.005,5972,1,4.0025
20040921,4.015,4.225,4.015,4.09,23272,1,4.09
20040922,4.075,4.075,3.955,4.02,20768,1,4.0175
20040923,4.02,4.02,3.915,3.93,11176,1,3.9275
20040924,3.99,4.215,3.95,4.01,27960,1,4.01
20040927,4.0,4.02,3.88,3.9,13800,1,3.8975
20040928,3.88,3.885,3.695,3.75,18628,1,3.75
20040929,3.765,3.965,3.765,3.94,17004,1,3.9375
20040930,3.94,3.98,3.905,3.91,45212,1,3.9075
20041001,3.91,4.195,3.88,4.165,26148,1,4.1625
20041004,4.29,4.46,4.14,4.22,31532,1,4.2175
20041005,4.22,4.28,4.15,4.225,13608,1,4.225
20041006,4.225,4.315,4.12,4.315,14336,1,4.3125
20041007,4.475,4.705,4.405,4.625,58872,1,4.625
20041008,4.615,4.615,4.37,4.405,25288,1,4.405
20041011,4.41,4.59,4.4,4.545,10648,1,4.545
20041012,4.5,4.595,4.42,4.595,8936,448,4.507125
20041013,4.65,4.81,4.605,4.65,16856,756,4.695375
20041014,4.625,4.69,4.465,4.5,10380,476,4.540875
20041015,4.515,4.56,4.4,4.495,9412,390,4.474
20041018,4.475,4.575,4.415,4.575,6888,385,4.519375
20041019,4.59,4.61,4.53,4.54,5980,377,4.56975
20041020,4.53,4.565,4.475,4.53,7328,444,4.519625
20041021,4.545,4.67,4.51,4.61,7188,478,4.60525
20041022,4.625,4.645,4.315,4.35,10660,603,4.4995
20041025,4.39,4.59,4.39,4.54,9100,567,4.495375
20041026,4.525,4.605,4.45,4.605,4652,261,4.549875
20041027,4.625,4.9,4.54,4.815,19128,817,4.72175
20041028,4.825,5.15,4.75,5.04,24436,998,4.98675
20041029,5.025,5.075,4.855,5.075,16292,558,4.953875
20041101,5.125,5.5,5.1,5.425,31244,1236,5.3545
20041102,5.625,5.625,5.44,5.485,30036,1120,5.53225
20041103,5.555,5.67,5.375,5.415,18760,897,5.482375
20041104,5.4,5.435,5.125,5.145,11832,743,5.265
20041105,5.21,5.34,5.14,5.225,15256,836,5.227
20041108,5.215,5.215,5.065,5.1,10064,643,5.111125
20041109,4.925,5.015,4.78,4.87,19108,1024,4.90275
20041110,4.915,4.915,4.815,4.885,7720,497,4.853125
20041111,4.885,5.035,4.86,5.005,10064,583,4.99525
20041112,5.05,5.065,4.875,4.995,4912,380,4.972125
20041115,5.02,5.2,5.0,5.195,20712,690,5.11025
20041116,5.2,5.3,5.075,5.15,24896,699,5.17175
20041117,5.2,5.235,5.065,5.21,14724,765,5.166625
20041118,4.75,4.75,4.325,4.45,92612,2553,4.477875
20041119,4.55,4.61,4.265,4.45,31356,1293,4.453
20041122,4.44,4.525,4.37,4.4,8560,489,4.41
20041123,4.405,4.505,4.385,4.495,10612,612,4.462625
20041124,4.5,4.56,4.45,4.5,8852,396,4.508
20041126,4.475,4.475,4.36,4.435,5140,280,4.433875
20041129,4.435,4.465,4.38,4.39,14548,509,4.42325
20041130,4.38,4.52,4.335,4.37,21012,807,4.395625
20041201,4.37,4.415,4.2,4.235,22960,881,4.2895
20041202,4.245,4.255,4.105,4.235,25544,932,4.1725
20041203,4.235,4.235,4.12,4.155,10424,616,4.150875
20041206,4.2,4.2,4.095,4.13,12392,619,4.148
20041207,4.135,4.14,3.965,3.965,28328,846,4.048125
20041208,4.015,4.035,3.965,3.98,20380,773,3.98575
20041209,3.975,4.13,3.945,4.065,23380,777,3.99975
20041210,4.04,4.12,3.98,3.98,18332,448,4.00525
20041213,4.02,4.075,3.965,4.025,11424,695,4.005
20041214,4.015,4.19,3.98,4.085,14516,856,4.071
20041215,4.1,4.115,4.015,4.08,13004,915,4.066
20041216,4.07,4.125,4.065,4.1,14572,577,4.0925
20041217,4.1,4.1,3.9,4.02,27636,896,3.979625
20041220,3.65,3.85,3.65,3.8,384508,2521,3.747125
20041221,3.815,4.05,3.815,4.02,149804,2336,3.954625
20041222,3.965,4.11,3.965,4.065,66520,1043,4.063875
20041223,4.065,4.19,4.065,4.155,55808,1430,4.145375
20041227,4.19,4.35,4.175,4.345,66012,1122,4.2665
20041228,4.36,4.42,4.25,4.295,33120,852,4.313625
20041229,4.25,4.3,4.205,4.285,20496,636,4.241125
20041230,4.255,4.275,4.18,4.19,24284,646,4.2065
20041231,4.165,4.275,4.165,4.22,13944,660,4.228625
20050103,4.105,4.245,4.105,4.13,35912,1007,4.171375
20050104,4.14,4.175,4.03,4.09,27824,896,4.08375
20050105,4.195,4.495,4.18,4.485,112960,2376,4.313375
20050106,4.485,4.55,4.375,4.435,63828,1798,4.4835
20050107,4.485,4.495,4.35,4.385,39752,1130,4.432375
20050110,4.25,4.395,4.235,4.25,32860,1080,4.308875
20050111,4.245,4.25,4.095,4.105,26888,1079,4.153125
20050112,3.75,3.865,3.68,3.755,179808,2516,3.748875
20050113,3.815,3.92,3.765,3.81,43196,1404,3.843125
20050114,3.815,3.825,3.68,3.755,37576,1201,3.73575
20050118,3.725,3.79,3.665,3.765,24892,1043,3.742125
20050119,3.765,3.8,3.715,3.75,18052,818,3.73525
20050120,3.75,3.75,3.65,3.66,39108,1228,3.683875
20050121,3.66,3.685,3.525,3.615,71224,1141,3.589375
20050124,3.615,3.645,3.45,3.475,43996,1094,3.516625
20050125,3.45,3.515,3.425,3.435,34512,1200,3.455875
20050126,3.435,3.475,3.395,3.45,27276,644,3.425875
20050127,3.455,3.5,3.34,3.39,18500,760,3.40825
20050128,3.415,3.45,3.34,3.365,17612,747,3.371375
20050131,3.365,3.43,3.34,3.405,14876,715,3.38675
20050201,3.38,3.485,3.34,3.415,11052,618,3.407
20050202,3.425,3.44,3.32,3.325,35616,1034,3.354
20050203,3.325,3.35,3.315,3.34,27508,1058,3.332
20050204,3.34,3.52,3.325,3.515,33340,926,3.42175
20050207,3.515,3.535,3.395,3.405,8648,621,3.445125
20050208,3.445,3.535,3.44,3.5,14040,668,3.4995
20050209,3.505,3.515,3.28,3.32,12360,703,3.378
20050210,3.35,3.35,3.24,3.265,11848,727,3.27275
