date,open,high,low,close,volume,barCount,average
20130920,40.3,44.89,35.25,35.65,165212,60891,40.3675
20130923,35.25,38.48,35.25,37.45,23433,10935,36.827
20130924,37.55,38.4,36.24,37.01,11617,5482,37.325
20130925,37.5,40.0,37.25,38.8,9572,4925,38.7025
20130926,39.45,41.78,39.0,41.63,10662,5627,40.805
20130927,41.68,43.0,40.02,41.11,12316,6681,41.982
20130930,41.08,42.72,40.18,41.53,9024,4856,41.408
20131001,42.33,42.9,39.57,40.38,5973,3637,40.8165
20131002,39.51,40.9,39.5,40.7,3116,1636,40.157
20131003,41.53,41.53,40.0,40.47,2044,1106,40.5995
20131004,41.0,43.84,40.45,42.69,9269,4948,42.3365
20131007,43.93,43.93,41.59,42.655,4717,3100,42.6955
20131008,42.5,42.65,39.68,39.89,6482,3979,40.6045
20131009,40.1,40.75,38.61,38.81,5301,3248,39.497
20131010,40.4,41.89,40.0,41.49,4110,2486,41.3805
20131011,42.39,42.5,40.9,42.07,3614,1841,41.412
20131014,42.07,42.49,41.25,41.55,1795,953,41.8945
20131015,41.99,42.0,39.87,40.77,7210,4786,40.845
20131016,40.69,41.25,39.21,39.87,4613,2305,40.474
20131017,40.01,42.25,40.01,42.2,3359,1972,41.4
20131018,42.6,44.55,41.05,42.37,6614,4222,43.1445
20131021,42.19,42.25,40.75,41.0,2870,1647,41.353
20131022,40.59,41.11,39.76,39.85,4903,2466,40.0775
20131023,39.85,39.99,38.4,39.75,2679,1630,39.1415
20131024,40.1,42.7,39.81,42.51,4063,2062,40.914
20131025,43.08,43.14,40.5,41.22,2342,1536,41.2775
20131028,41.15,41.15,39.52,39.99,2103,1347,40.1295
20131029,40.0,40.82,39.96,40.22,2159,1523,40.3215
20131030,40.0,40.0,38.17,38.69,2922,1720,38.9045
20131031,38.69,38.7,36.15,37.9,7325,4873,37.084
20131101,38.37,39.0,37.21,38.43,3886,2063,37.9165
20131104,38.15,38.38,37.47,37.83,3076,1461,37.89
20131105,38.29,38.29,36.32,37.36,4326,2534,37.008
20131106,38.18,39.97,37.28,39.89,6839,4063,38.693
20131107,39.8,39.91,37.52,38.03,10693,5836,38.257
20131108,41.5,41.5,35.5,37.73,22605,12306,38.1875
20131111,37.69,38.05,36.75,37.33,6914,4425,37.548
20131112,37.72,37.77,36.47,36.73,3959,3013,36.84
20131113,37.29,38.82,36.68,38.66,2869,1702,37.7895
20131114,39.08,39.08,37.6,38.67,2024,1215,38.427
20131115,39.17,39.25,38.28,38.86,1339,828,38.8025
20131118,39.0,39.0,36.97,37.27,2716,1798,38.078
20131119,37.19,37.5,35.93,36.01,3369,1867,36.545
20131120,36.2,37.0,33.3,33.6,5207,2969,34.624
20131121,33.61,35.11,33.6,34.22,3653,2477,34.3475
20131122,34.41,35.0,34.1,34.9,2652,1561,34.8105
20131125,35.27,35.27,33.6,33.71,4116,2601,34.356
20131126,34.99,37.8,33.9,37.37,11547,6744,36.202
20131127,37.7,38.74,36.01,38.24,4767,3215,38.074
20131129,38.74,38.95,38.17,38.37,1045,663,38.5325
20131202,37.9,38.4,36.92,37.09,2241,1571,37.523
20131203,36.63,37.25,36.57,37.01,2055,1331,36.9625
20131204,36.63,37.14,36.54,36.71,2852,1520,36.823
20131205,36.52,38.27,36.51,36.75,3162,2146,37.127
20131206,37.33,37.33,36.54,36.59,1853,1265,36.7885
20131209,37.26,37.26,36.15,36.93,3280,2245,36.7025
20131210,36.76,37.71,36.61,37.6,3455,2552,37.211
20131211,36.83,38.95,36.83,37.76,5088,4092,38.2285
20131212,37.25,37.93,36.61,37.46,3460,2586,37.542
20131213,38.21,39.42,37.84,38.33,4645,3319,38.424
20131216,38.5,39.25,37.49,38.94,4891,3941,38.5075
