date,open,high,low,close,volume,barCount,average
20020213,9.625,10.06,9.525,10.05,190540,1,10.05
20020214,10.175,10.195,9.925,10.0,28014,1,10.0
20020215,10.0,10.025,9.85,9.95,20974,1,9.95
20020219,9.9,9.9,9.375,9.55,18526,1,9.55
20020220,9.6,9.875,9.525,9.875,17232,1,9.875
20020221,9.84,9.925,9.75,9.85,17442,1,9.85
20020222,9.925,9.925,9.6,9.675,8814,1,9.675
20020225,9.65,9.825,9.54,9.75,8634,1,9.75
20020226,9.7,9.85,9.545,9.75,6904,1,9.75
20020227,9.675,9.68,9.5,9.575,10228,1,9.575
20020228,9.6,9.725,9.55,9.55,6878,1,9.55
20020301,9.525,9.775,9.49,9.685,4784,1,9.685
20020304,9.725,9.905,9.71,9.85,7952,1,9.85
20020305,9.8,9.825,9.58,9.625,8612,1,9.625
20020306,9.62,9.715,9.6,9.675,3292,1,9.675
20020307,9.675,10.3,9.675,10.21,6752,1,10.21
20020308,10.15,10.5,10.15,10.45,4002,1,10.45
20020311,10.4,10.7,10.375,10.585,13656,1,10.585
20020312,10.5,10.95,10.5,10.6,14548,1,10.6
20020313,10.6,10.75,10.325,10.51,12658,1,10.51
20020314,10.51,10.6,10.42,10.5,4242,1,10.5
20020315,10.5,10.55,9.95,10.175,4270,1,10.175
20020318,10.2,10.2,9.525,9.65,5518,1,9.65
20020319,9.725,9.75,9.3,9.35,8074,1,9.35
20020320,9.275,9.275,8.5,9.01,23090,1,9.01
20020321,9.01,9.625,9.01,9.375,11682,1,9.375
20020322,9.375,9.795,9.255,9.65,6236,1,9.65
20020325,9.75,9.905,9.59,9.86,18928,1,9.86
20020326,10.0,10.05,9.89,9.99,4542,1,9.99
20020327,9.99,10.5,9.95,10.3,3424,1,10.3
20020328,10.25,10.3,10.05,10.1,4286,1,10.1
20020401,10.025,10.025,9.5,9.525,4700,1,9.525
20020402,9.5,9.5,9.175,9.32,5246,1,9.32
20020403,9.325,9.4,9.22,9.3,1418,1,9.3
20020404,9.275,9.525,9.275,9.475,1908,1,9.475
20020405,9.475,9.7,9.245,9.245,2094,1,9.245
20020408,9.3,9.3,8.885,9.15,3896,1,9.15
20020409,9.1,9.6,9.1,9.475,8906,1,9.475
20020410,9.45,9.525,9.375,9.46,3256,1,9.46
20020411,9.455,9.455,9.25,9.25,3610,1,9.25
20020412,9.325,9.325,9.03,9.125,3090,1,9.125
20020415,9.1,9.285,9.095,9.28,3898,1,9.28
20020416,9.375,9.6,9.375,9.5,3064,1,9.5
20020417,9.625,10.125,9.625,9.905,8372,1,9.905
20020418,9.905,10.075,9.87,9.905,2462,1,9.905
20020419,9.905,10.175,9.905,10.135,1616,1,10.135
20020422,10.075,10.075,9.905,10.0,1932,1,10.0
20020423,9.975,10.125,9.75,9.775,2062,1,9.775
20020424,9.76,9.805,9.7,9.705,2662,1,9.705
20020425,9.705,9.705,9.585,9.7,4318,1,9.7
20020426,9.65,9.79,9.625,9.625,4134,1,9.625
20020429,9.575,9.575,9.4,9.45,6406,1,9.45
20020430,9.375,9.65,9.35,9.525,17236,1,9.525
20020501,9.65,10.25,9.65,10.25,4180,1,10.25
20020502,10.2,10.495,10.2,10.415,8290,1,10.415
20020503,10.4,10.405,10.28,10.4,1158,1,10.4
20020506,10.395,11.295,10.395,10.875,5366,1,10.875
20020507,10.825,11.0,10.725,10.75,1132,1,10.75
20020508,10.85,11.25,10.85,11.2,1646,1,11.2
20020509,11.25,11.6,11.25,11.425,2118,1,11.425
20020510,11.5,11.715,11.0,11.03,1740,1,11.03
20020513,11.035,11.035,10.425,10.75,4824,1,10.75
20020514,11.0,11.2,10.4,10.4,9896,1,10.4
20020515,10.35,10.5,9.925,9.925,14574,1,9.925
20020516,9.925,10.35,9.925,10.3,13216,1,10.3
20020517,10.375,10.75,10.375,10.615,10878,1,10.615
20020520,10.615,10.75,10.55,10.69,5840,1,10.69
20020521,11.3,11.325,10.225,10.25,9680,1,10.25
20020522,10.23,10.75,10.15,10.625,4618,1,10.625
20020523,10.625,11.35,10.625,11.205,5394,1,11.205
20020524,11.17,11.85,11.17,11.73,5530,1,11.73
20020528,11.775,12.145,11.65,12.105,5206,1,12.105
20020529,12.105,12.105,11.75,11.8,11820,1,11.8
20020530,11.8,11.8,11.575,11.63,9854,1,11.63
20020531,11.63,12.15,11.63,12.095,6770,1,12.095
20020603,12.095,12.095,11.57,11.625,4544,1,11.625
20020604,11.605,11.95,11.45,11.715,4834,1,11.715
20020605,11.75,11.84,11.555,11.625,4380,1,11.625
20020606,11.625,11.825,11.595,11.625,3508,1,11.625
20020607,11.5,11.62,11.28,11.475,4380,1,11.475
20020610,11.475,11.65,11.15,11.25,2136,1,11.25
20020611,11.31,11.375,11.26,11.375,808,1,11.375
20020612,11.255,11.26,10.91,11.2,1330,1,11.2
20020613,11.2,11.55,11.05,11.48,3244,1,11.48
20020614,11.47,11.47,10.675,11.255,1796,1,11.255
20020617,11.3,11.725,11.3,11.51,2342,1,11.51
20020618,11.51,11.575,11.15,11.26,650,1,11.26
20020619,11.25,11.575,11.25,11.5,2264,1,11.5
20020620,11.43,11.43,10.895,10.95,1274,1,10.95
20020621,10.875,10.875,10.45,10.5,2540,1,10.5
20020624,10.5,10.5,9.95,10.26,2732,1,10.26
20020625,10.26,10.395,9.99,9.99,2074,1,9.99
20020626,9.875,9.875,9.18,9.475,7206,1,9.475
20020627,9.55,10.0,9.455,10.0,4080,1,10.0
20020628,9.975,10.66,9.915,10.495,10454,1,10.495
20020701,10.45,10.495,9.825,9.87,2720,1,9.87
20020702,9.865,9.865,8.935,9.38,4094,1,9.38
20020703,9.35,9.55,8.625,9.25,5566,1,9.25
20020705,9.3,9.73,9.3,9.505,1138,1,9.505
20020708,9.55,10.175,9.49,9.905,3584,1,9.905
20020709,9.85,10.215,9.62,9.75,5406,1,9.75
20020710,9.75,10.05,9.475,9.6,5360,1,9.6
20020711,9.525,9.545,8.875,9.215,6108,1,9.215
20020712,9.215,9.215,8.785,8.845,2632,1,8.845
20020715,8.835,8.835,7.9,8.35,3250,1,8.35
20020716,8.225,8.435,8.045,8.095,3116,1,8.095
20020717,8.12,8.325,7.15,8.045,15996,1,8.045
20020718,8.045,8.2,7.98,8.02,3154,1,8.02
20020719,7.975,8.005,7.825,7.89,3384,1,7.89
20020722,7.86,8.235,7.8,7.9,2498,1,7.9
