date,open,high,low,close,volume,barCount,average
19800317,59.13,60.38,59.13,59.13,4147,1,59.125
19800318,59.63,60.25,58.63,59.63,4936,1,59.625
19800319,58.88,59.75,58.75,58.88,3685,1,58.875
19800320,58.25,59.25,58.0,58.25,4793,1,58.25
19800321,56.75,58.13,56.25,56.75,14800,1,56.75
19800324,54.13,56.38,54.0,54.13,7198,1,54.125
19800325,54.75,55.13,54.0,54.75,7502,1,54.75
19800326,53.0,55.88,52.5,53.0,7806,1,53.0
19800327,57.5,57.5,51.38,57.5,8553,1,57.5
19800328,55.88,56.38,54.13,55.88,6784,1,55.875
19800331,55.75,55.88,54.63,55.75,3890,1,55.75
19800401,54.88,55.75,54.5,54.88,5395,1,54.875
19800402,55.5,56.0,54.63,55.5,3735,1,55.5
19800403,54.88,55.88,54.63,54.88,3388,1,54.875
19800407,53.38,54.88,53.38,53.38,5483,1,53.375
19800408,53.5,55.75,53.0,53.5,5220,1,53.5
19800409,54.63,54.75,53.38,54.63,5129,1,54.625
19800410,54.25,55.25,54.0,54.25,5049,1,54.25
19800411,53.5,55.0,53.5,53.5,6517,1,53.5
19800414,53.0,53.75,52.75,53.0,3341,1,53.0
19800415,52.0,53.5,51.88,52.0,5799,1,52.0
19800416,51.13,52.88,51.0,51.13,6723,1,51.125
19800417,51.25,51.63,50.38,51.25,4510,1,51.25
19800418,51.25,51.75,50.88,51.25,4119,1,51.25
19800421,51.25,51.63,50.5,51.25,6638,1,51.25
19800422,53.88,54.5,52.0,53.88,8218,1,53.875
19800423,53.5,54.38,53.25,53.5,7614,1,53.5
19800424,53.75,54.25,53.25,53.75,3720,1,53.75
19800425,55.38,55.38,52.88,55.38,4078,1,55.375
19800428,54.5,55.38,54.38,54.5,4640,1,54.5
19800429,54.88,55.13,54.13,54.88,2989,1,54.875
19800430,54.88,55.13,53.63,54.88,3508,1,54.875
19800501,54.38,54.88,53.75,54.38,2919,1,54.375
19800502,54.0,54.38,53.88,54.0,2438,1,54.0
19800505,55.38,55.75,53.75,55.38,3448,1,55.375
19800506,54.88,55.75,54.75,54.88,3546,1,54.875
19800507,55.13,55.75,54.75,55.13,4148,1,55.125
19800508,53.88,54.38,53.5,53.88,3883,1,53.875
19800509,52.13,53.75,52.0,52.13,10447,1,52.125
19800512,52.25,53.0,52.13,52.25,3104,1,52.25
19800513,53.25,53.25,52.38,53.25,4397,1,53.25
19800514,53.0,53.5,53.0,53.0,4293,1,53.0
19800515,52.5,53.25,52.5,52.5,4255,1,52.5
19800516,53.0,53.0,52.5,53.0,3050,1,53.0
19800519,53.38,53.75,52.88,53.38,4997,1,53.375
19800520,52.75,53.5,52.63,52.75,6177,1,52.75
19800521,52.88,52.88,52.13,52.88,3251,1,52.875
19800522,53.75,54.13,52.75,53.75,5708,1,53.75
19800523,54.75,55.0,53.88,54.75,8015,1,54.75
19800527,55.25,55.63,54.88,55.25,6558,1,55.25
19800528,56.38,56.63,55.13,56.38,6318,1,56.375
19800529,54.38,56.13,54.38,54.38,4623,1,54.375
19800530,55.38,55.5,54.13,55.38,4408,1,55.375
19800602,56.0,57.38,55.25,56.0,6819,1,56.0
19800603,56.38,57.13,56.0,56.38,6546,1,56.375
19800604,58.13,58.13,56.5,58.13,9059,1,58.125
19800605,57.0,58.38,56.88,57.0,6537,1,57.0
19800606,57.13,57.88,57.13,57.13,3234,1,57.125
19800609,56.75,57.5,56.63,56.75,3179,1,56.75
