date,open,high,low,close,volume,barCount,average
19800317,66.5,67.0,66.0,66.5,399,1,66.504
19800318,67.63,68.0,66.5,67.63,517,1,67.626
19800319,68.12,68.38,67.75,68.12,380,1,68.124
19800320,68.5,68.63,68.25,68.5,316,1,68.502
19800321,68.38,68.75,68.12,68.38,363,1,68.376
19800324,66.88,68.38,66.88,66.88,623,1,66.876
19800325,66.75,66.88,66.25,66.75,503,1,66.75
19800326,67.5,68.0,67.0,67.5,646,1,67.5
19800327,67.75,67.88,66.62,67.75,362,1,67.752
19800328,69.0,69.13,68.38,69.0,1295,1,69.0
19800331,71.0,71.12,69.0,71.0,1094,1,71.004
19800401,71.38,71.5,70.88,71.38,482,1,71.376
19800402,71.12,71.38,70.88,71.12,971,1,71.124
19800403,72.0,72.25,71.63,72.0,856,1,72.0
19800407,70.5,72.0,70.5,70.5,668,1,70.5
19800408,71.12,71.38,70.13,71.12,601,1,71.124
19800409,71.5,71.5,70.88,71.5,257,1,71.502
19800410,71.5,71.75,71.5,71.5,285,1,71.502
19800411,71.0,71.5,70.88,71.0,344,1,71.004
19800414,70.13,70.75,70.0,70.13,277,1,70.128
19800415,71.25,71.25,70.13,71.25,558,1,71.25
19800416,71.63,72.25,71.38,71.63,695,1,71.628
19800417,71.5,71.87,71.12,71.5,508,1,71.502
19800418,71.38,71.75,71.12,71.38,267,1,71.376
19800421,71.25,71.5,71.12,71.25,247,1,71.25
19800422,72.25,72.75,71.87,72.25,750,1,72.252
19800423,72.0,72.38,71.87,72.0,348,1,72.0
19800424,74.0,74.25,71.75,74.0,546,1,74.004
19800425,75.25,75.5,72.88,75.25,595,1,75.252
19800428,75.5,76.5,75.5,75.5,571,1,75.504
19800429,75.88,76.0,75.13,75.88,274,1,75.876
19800430,75.88,75.88,75.0,75.88,516,1,75.876
19800501,75.62,76.25,75.13,75.62,657,1,75.624
19800502,75.75,75.88,75.13,75.75,507,1,75.75
19800505,76.0,76.0,75.25,76.0,501,1,76.002
19800506,76.75,77.12,75.88,76.75,1056,1,76.752
19800507,76.5,77.12,76.0,76.5,729,1,76.5
19800508,76.88,77.5,76.37,76.88,565,1,76.878
19800509,76.88,77.12,76.75,76.88,125,1,76.878
19800512,77.25,77.5,76.63,77.25,368,1,77.25
19800513,77.25,77.25,76.75,77.25,307,1,77.25
19800514,77.87,78.0,77.38,77.87,469,1,77.874
19800515,79.37,79.63,77.63,79.37,1005,1,79.374
19800516,79.25,79.37,79.0,79.25,490,1,79.254
19800519,78.25,79.37,78.25,78.25,402,1,78.252
19800520,78.62,78.88,78.25,78.62,423,1,78.624
19800521,79.13,79.13,78.75,79.13,810,1,79.128
19800522,79.88,80.0,79.37,79.88,662,1,79.878
19800523,81.62,81.88,80.0,81.62,1396,1,81.624
19800527,80.75,81.62,80.25,80.75,761,1,80.754
19800528,80.63,80.87,80.12,80.63,439,1,80.628
19800529,80.12,80.87,79.5,80.12,174,1,80.124
19800530,80.0,80.0,79.25,80.0,347,1,80.004
19800602,79.25,79.88,79.25,79.25,326,1,79.254
19800603,78.88,79.13,78.5,78.88,691,1,78.876
19800604,79.13,79.5,78.25,79.13,358,1,79.128
19800605,79.88,80.25,79.75,79.88,443,1,79.878
19800606,80.87,81.0,79.75,80.87,709,1,80.874
19800609,81.62,82.25,80.63,81.62,708,1,81.624
19800610,82.0,82.25,81.75,82.0,703,1,82.002
19800611,81.75,82.5,81.62,81.75,706,1,81.75
19800612,81.75,82.0,81.25,81.75,633,1,81.75
19800613,81.0,81.75,80.5,81.0,512,1,81.0
19800616,81.25,81.25,80.63,81.25,318,1,81.252
19800617,81.75,82.0,81.0,81.75,356,1,81.75
19800618,81.5,81.5,80.5,81.5,317,1,81.504
19800619,80.0,81.38,80.0,80.0,275,1,80.004
19800620,79.75,79.88,79.0,79.75,384,1,79.752
19800623,80.0,80.38,79.5,80.0,387,1,80.004
19800624,79.37,79.75,79.0,79.37,282,1,79.374
19800625,79.88,80.38,79.0,79.88,215,1,79.878
19800626,79.63,80.38,79.37,79.63,524,1,79.626
19800627,79.5,80.0,79.25,79.5,248,1,79.5
19800630,78.5,79.88,78.5,78.5,363,1,78.504
19800701,78.75,78.75,78.13,78.75,357,1,78.75
19800702,78.62,79.0,78.5,78.62,345,1,78.624
19800703,79.13,79.13,78.62,79.13,782,1,79.128
19800707,80.75,80.87,80.0,80.75,333,1,80.754
19800708,81.13,81.5,81.0,81.13,524,1,81.126
19800709,80.75,81.25,80.25,80.75,455,1,80.754
19800710,79.5,80.75,79.37,79.5,330,1,79.5
19800711,79.5,79.5,79.0,79.5,514,1,79.5
19800714,79.88,80.12,79.5,79.88,401,1,79.878
19800715,80.12,80.75,80.12,80.12,485,1,80.124
19800716,79.63,80.25,79.63,79.63,467,1,79.626
19800717,79.37,80.12,79.25,79.37,307,1,79.374
19800718,79.37,79.5,78.88,79.37,1193,1,79.374
19800721,79.75,79.75,79.25,79.75,417,1,79.752
19800722,80.25,80.75,79.5,80.25,587,1,80.25
19800723,80.75,81.0,80.12,80.75,437,1,80.754
19800724,80.0,80.75,79.63,80.0,1084,1,80.004
19800725,79.37,79.75,79.13,79.37,255,1,79.374
19800728,80.12,80.38,79.37,80.12,326,1,80.124
19800729,80.5,80.5,79.88,80.5,514,1,80.502
19800730,81.25,81.38,80.75,81.25,866,1,81.252
19800731,81.0,81.13,79.0,81.0,829,1,81.0
19800801,80.87,81.25,80.25,80.87,370,1,80.874
19800804,81.0,81.13,80.5,81.0,272,1,81.0
19800805,81.38,81.88,80.75,81.38,330,1,81.378
19800806,83.25,83.25,81.62,83.25,550,1,83.25
19800807,84.38,84.38,83.5,84.38,1033,1,84.378
19800808,85.37,85.75,85.0,85.37,1111,1,85.374
19800811,84.88,85.5,84.62,84.88,485,1,84.876
19800812,84.0,85.5,84.0,84.0,618,1,84.0
19800813,83.5,84.38,83.5,83.5,458,1,83.502
19800814,83.0,83.5,82.75,83.0,449,1,83.004
19800815,82.75,83.25,82.5,82.75,582,1,82.752
19800818,80.25,81.88,80.12,80.25,498,1,80.25
19800819,79.37,80.5,79.37,79.37,441,1,79.374
19800820,80.38,80.5,79.37,80.38,648,1,80.376
19800821,81.0,81.38,80.5,81.0,296,1,81.0
19800822,81.88,82.75,81.0,81.88,736,1,81.876
19800825,82.0,82.88,81.38,82.0,530,1,82.002
19800826,80.75,82.0,80.38,80.75,263,1,80.754
19800827,79.0,80.12,79.0,79.0,554,1,79.002
19800828,79.25,79.88,79.0,79.25,339,1,79.254
19800829,79.37,79.88,79.13,79.37,278,1,79.374
19800902,79.88,80.0,79.13,79.88,336,1,79.878
19800903,80.0,80.75,79.75,80.0,422,1,80.004
19800904,78.88,80.25,78.13,78.88,1096,1,78.876
19800905,78.13,79.13,78.0,78.13,692,1,78.126
19800908,77.25,78.25,77.25,77.25,613,1,77.25
19800909,77.75,77.75,76.5,77.75,966,1,77.754
19800910,78.25,78.88,77.87,78.25,450,1,78.252
19800911,78.88,79.0,78.38,78.88,480,1,78.876
19800912,79.0,79.25,78.62,79.0,576,1,79.002
19800915,79.37,79.37,78.62,79.37,271,1,79.374
19800916,79.25,79.63,79.0,79.25,1321,1,79.254
19800917,80.75,80.87,79.25,80.75,788,1,80.754
19800918,80.25,81.5,79.63,80.25,1406,1,80.25
19800919,80.25,80.75,79.0,80.25,1409,1,80.25
19800922,82.63,83.0,80.0,82.63,1062,1,82.626
19800923,84.0,84.38,82.25,84.0,1101,1,84.0
19800924,83.38,83.38,82.63,83.38,340,1,83.376
19800925,82.75,83.5,82.63,82.75,453,1,82.752
19800926,81.62,82.5,81.5,81.62,385,1,81.624
19800929,80.12,80.75,80.12,80.12,511,1,80.124
19800930,81.0,81.0,80.12,81.0,692,1,81.0
19801001,81.38,82.0,80.63,81.38,503,1,81.378
19801002,81.13,81.88,80.87,81.13,516,1,81.126
19801003,82.13,82.37,81.0,82.13,502,1,82.128
19801006,83.5,83.75,83.0,83.5,469,1,83.502
19801007,83.63,84.13,83.5,83.63,798,1,83.628
19801008,84.25,85.0,83.38,84.25,842,1,84.252
19801009,83.0,83.75,83.0,83.0,318,1,83.004
19801010,82.5,83.25,82.5,82.5,248,1,82.5
19801013,81.88,82.13,81.38,81.88,642,1,81.876
19801014,80.75,81.62,80.38,80.75,815,1,80.754
19801015,80.38,80.5,79.37,80.38,1045,1,80.376
19801016,79.63,80.87,79.5,79.63,411,1,79.626
19801017,79.75,80.12,79.37,79.75,609,1,79.752
19801020,78.5,79.5,78.0,78.5,962,1,78.504
19801021,78.0,79.0,77.75,78.0,981,1,78.0
19801022,78.62,78.88,77.75,78.62,430,1,78.624
19801023,77.0,78.62,77.0,77.0,921,1,77.004
19801024,76.63,77.25,76.13,76.63,590,1,76.626
19801027,75.75,76.75,75.38,75.75,780,1,75.75
19801028,77.12,77.25,75.5,77.12,745,1,77.124
19801029,77.5,78.25,77.12,77.5,1080,1,77.502
19801030,81.38,82.0,78.75,81.38,2225,1,81.378
19801031,84.75,85.5,82.0,84.75,2396,1,84.75
19801103,86.12,86.25,85.5,86.12,1136,1,86.124
19801105,85.0,88.0,84.38,85.0,1374,1,85.002
19801106,82.75,84.25,82.25,82.75,975,1,82.752
19801107,81.62,82.75,81.38,81.62,792,1,81.624
19801110,81.88,81.88,81.0,81.88,486,1,81.876
19801111,82.5,82.75,81.5,82.5,1737,1,82.5
19801112,82.63,82.75,81.88,82.63,1012,1,82.626
19801113,85.5,85.88,83.12,85.5,2247,1,85.5
19801114,85.5,86.87,84.88,85.5,812,1,85.5
19801117,89.0,89.25,84.62,89.0,1571,1,89.004
19801118,92.25,92.5,89.87,92.25,2020,1,92.25
19801119,93.62,94.5,91.13,93.62,1452,1,93.624
19801120,93.5,94.5,92.87,93.5,826,1,93.504
19801121,91.0,93.5,91.0,91.0,541,1,91.002
19801124,89.38,90.0,89.0,89.38,1495,1,89.376
19801125,91.0,91.5,89.38,91.0,1647,1,91.002
19801126,90.38,91.37,90.0,90.38,698,1,90.378
19801128,90.75,91.0,90.25,90.75,630,1,90.75
19801201,89.75,91.0,89.25,89.75,366,1,89.754
19801202,89.38,89.87,88.5,89.38,1118,1,89.376
19801203,90.25,90.5,88.75,90.25,1383,1,90.252
19801204,91.13,91.5,89.63,91.13,888,1,91.128
19801205,91.5,92.5,90.75,91.5,631,1,91.5
19801208,89.0,91.0,89.0,89.0,754,1,89.004
19801209,89.0,89.87,88.37,89.0,606,1,89.004
19801210,87.75,89.87,87.75,87.75,686,1,87.75
19801211,85.88,86.75,85.13,85.88,899,1,85.878
19801212,90.13,90.13,86.75,90.13,1044,1,90.126
19801215,91.25,92.63,90.0,91.25,1236,1,91.254
19801216,94.88,95.25,91.0,94.88,1974,1,94.878
19801217,95.5,96.0,95.0,95.5,1417,1,95.502
19801218,95.12,96.38,94.75,95.12,959,1,95.124
19801219,95.75,96.38,94.0,95.75,692,1,95.754
19801222,97.25,98.0,96.13,97.25,935,1,97.254
19801223,96.75,97.75,96.0,96.75,627,1,96.75
19801224,97.88,97.88,96.38,97.88,534,1,97.878
19801226,100.0,100.0,97.63,100.0,270,1,100.002
19801229,99.25,101.38,99.25,99.25,898,1,99.252
19801230,99.88,101.12,99.5,99.88,567,1,99.876
19801231,99.75,100.13,99.13,99.75,356,1,99.75
19810102,99.88,100.25,99.0,99.88,421,1,99.876
19810105,101.0,102.13,100.0,101.0,995,1,101.004
19810106,101.75,101.75,100.63,101.75,1007,1,101.754
19810107,99.38,100.37,97.75,99.38,1884,1,99.378
19810108,97.37,99.62,96.62,97.37,875,1,97.374
19810109,97.0,98.87,96.25,97.0,596,1,97.002
19810112,98.0,98.5,97.75,98.0,640,1,98.004
19810113,96.62,98.0,96.62,96.62,459,1,96.624
19810114,96.0,97.0,96.0,96.0,645,1,96.0
19810115,96.62,96.75,95.87,96.62,492,1,96.624
19810116,96.88,96.88,96.0,96.88,355,1,96.876
19810119,95.75,97.13,95.75,95.75,331,1,95.754
19810120,94.88,96.13,94.75,94.88,493,1,94.878
19810121,93.13,94.13,92.63,93.13,778,1,93.126
19810122,93.62,93.75,92.75,93.62,366,1,93.624
19810123,95.0,95.5,93.38,95.0,1046,1,95.004
19810126,96.5,96.62,94.63,96.5,672,1,96.504
19810127,97.0,97.88,96.62,97.0,760,1,97.002
19810128,97.0,97.5,96.38,97.0,506,1,97.002
19810129,96.5,97.0,96.0,96.5,532,1,96.504
19810130,95.75,96.88,95.75,95.75,348,1,95.754
19810202,94.25,95.38,93.88,94.25,327,1,94.254
19810203,95.75,95.75,94.0,95.75,428,1,95.754
