date,open,high,low,close,volume,barCount,average
20181207,22.0,22.75,18.51,18.6,125364,53128,21.0455
20181210,18.9,19.44,18.0,18.8,40263,16779,18.6995
20181211,20.55,20.66,17.99,18.01,31441,12781,18.9705
20181212,18.55,19.48,18.02,18.68,24848,11738,18.571
20181213,19.25,19.29,18.68,18.76,15573,6552,18.961
20181214,18.75,18.89,18.25,18.32,6870,3599,18.4565
20181217,18.33,18.47,16.9,17.0,14218,5925,17.6835
20181218,17.1,17.25,16.25,17.0,14418,6050,16.6185
20181219,16.86,17.37,16.0,16.18,9069,3956,16.595
20181220,16.0,16.14,14.75,15.5,22912,9343,15.2425
20181221,15.4,15.5,13.95,14.47,19668,7644,14.516
20181224,14.32,14.32,13.75,14.03,6373,3030,13.9835
20181226,14.15,14.31,13.03,13.52,17670,7012,13.5435
20181227,13.49,14.95,13.27,14.65,17220,8003,14.243
20181228,14.72,14.85,13.81,14.15,8853,3856,14.2105
20181231,14.24,15.3,14.21,15.27,9369,4323,14.639
20190102,14.93,15.45,14.51,15.33,20378,8614,14.9155
20190103,15.49,16.08,15.2,15.5,15312,6939,15.6045
20190104,16.0,17.5,15.89,16.96,16044,7046,16.728
20190107,17.54,17.94,16.18,16.27,15043,7618,17.1515
20190108,17.35,17.47,16.05,16.95,17446,7146,16.694
20190109,17.2,17.25,16.15,16.33,11234,5215,16.575
20190110,16.36,16.51,16.0,16.48,4624,1642,16.332
20190111,16.6,17.06,16.53,17.0,5451,2014,16.9305
20190114,17.0,17.06,16.72,16.74,5915,2066,16.8905
20190115,17.0,17.0,16.41,16.59,4405,1653,16.6425
20190116,16.8,16.95,16.26,16.26,1936,901,16.54
20190117,16.05,16.53,16.05,16.31,2372,1253,16.396
20190118,16.46,16.8,16.25,16.69,4723,2702,16.5765
20190122,16.62,16.64,15.35,15.56,6006,2862,15.887
20190123,15.59,15.92,14.76,14.79,6070,2410,15.0585
20190124,14.9,15.2,14.64,14.64,4189,2157,14.8605
20190125,14.8,14.92,14.4,14.91,8917,3898,14.593
20190128,14.84,14.84,14.45,14.45,5114,2508,14.5545
20190129,14.46,14.88,14.45,14.63,5632,2495,14.616
20190130,14.72,15.55,14.65,15.13,6328,2528,15.1095
20190131,15.24,17.48,15.24,16.6,21824,6586,16.727
20190201,16.8,17.01,15.9,16.22,5606,2557,16.411
20190204,16.22,16.49,15.95,16.27,2646,1313,16.2075
20190205,16.29,17.49,16.2,17.18,6021,2710,17.0645
20190206,17.25,18.39,17.11,18.14,9556,4366,17.9635
20190207,17.95,18.07,17.04,17.05,4924,2342,17.4205
20190208,17.1,18.15,17.1,17.99,6623,2815,17.694
20190211,17.99,18.65,17.75,18.17,5389,2233,18.1735
20190212,18.21,18.76,17.6,18.69,6977,3603,18.368
20190213,18.99,19.22,18.3,18.53,12772,6392,18.6595
20190214,18.64,19.96,18.63,19.66,10278,5064,19.332
20190215,19.94,21.47,19.7,21.44,19207,9479,20.761
20190219,21.51,21.52,20.05,20.83,11320,5694,20.72
20190220,21.12,21.24,19.13,19.92,10578,4873,19.97
20190221,19.74,19.98,18.88,19.34,7676,3603,19.379
20190222,19.35,20.04,19.35,19.88,5302,2555,19.816
20190225,20.54,22.3,19.83,21.65,18243,8035,21.052
20190226,21.6,24.4,21.56,23.7,23858,11252,23.301
20190227,23.37,23.83,21.53,22.1,14616,7588,22.689
20190228,22.45,23.03,22.05,22.6,4700,2359,22.649
20190301,23.09,23.39,21.64,22.27,8014,4385,22.586
20190304,22.47,22.8,20.52,21.12,10390,5431,21.451
20190305,21.18,21.49,20.29,21.37,9807,5575,21.0315
20190306,21.4,22.05,20.06,20.65,9552,5351,20.6965
20190307,20.42,21.16,19.61,20.59,9134,4997,20.497
20190308,20.37,21.08,19.9,20.93,5698,3438,20.6385
20190311,20.99,20.99,19.97,20.43,6030,3169,20.4165
20190312,20.52,20.89,19.12,19.26,12408,6211,19.8265
20190313,19.3,20.26,19.23,19.97,6670,4109,19.8
20190314,19.92,21.0,19.92,20.82,7928,4793,20.531
20190315,20.99,22.19,20.89,21.82,10863,5897,21.711
20190318,21.74,22.22,21.22,22.18,8921,3800,21.6485
20190319,22.47,22.6,20.18,20.35,8992,4594,21.058
20190320,20.41,20.98,19.9,20.0,7581,3212,20.173
20190321,20.0,20.25,19.21,19.34,7742,3950,19.6665
20190322,19.38,19.7,18.75,19.0,4396,2451,19.132
20190325,19.0,19.59,18.21,19.4,5906,3129,18.976
20190326,19.61,19.94,19.24,19.9,3282,1991,19.557
20190327,20.08,20.08,18.89,19.27,5170,2503,19.3135
20190328,19.3,19.74,19.0,19.66,3716,2109,19.3705
20190329,19.87,20.8,19.47,20.35,5826,2907,20.264
20190401,20.54,20.92,20.04,20.59,4964,2348,20.394
20190402,20.68,20.68,19.54,19.7,4833,2144,20.06
20190403,19.92,21.67,19.81,21.33,8473,3007,20.8095
20190404,21.12,23.18,21.04,23.08,16121,6599,22.588
20190405,23.8,26.23,22.66,25.96,18734,7427,24.509
20190408,25.9,29.79,25.6,27.23,24825,8217,27.9855
20190409,27.3,28.4,26.31,26.82,9484,4677,27.168
20190410,26.9,27.74,26.5,26.8,5670,2674,27.1165
20190411,26.82,26.99,24.26,25.73,9185,4387,25.4115
20190412,26.0,26.06,24.27,24.61,6261,3115,24.9695
20190415,24.99,25.94,24.62,25.84,5082,2317,25.47
20190416,26.0,26.22,23.65,23.78,8519,3958,24.6015
20190417,24.0,24.12,22.31,23.5,8155,4525,23.128
20190418,23.47,23.55,22.43,22.51,6597,3195,22.666
20190422,22.7,23.99,22.51,23.63,4333,2175,23.5195
20190423,23.73,24.99,23.73,24.7,5354,3460,24.6115
20190424,24.8,25.76,24.29,25.76,5989,3503,25.1475
20190425,25.76,26.72,25.43,25.74,5363,2570,26.026
20190426,25.83,27.3,25.69,26.26,5556,2433,26.6335
20190429,26.28,27.2,24.97,25.14,9460,4020,26.158
20190430,25.28,26.03,25.0,26.03,4733,2804,25.5945
20190501,26.31,27.09,25.87,26.4,10356,3929,26.478
20190502,26.33,28.49,26.19,28.34,9846,5550,27.6375
20190503,28.89,28.95,26.85,27.2,7411,4488,27.6575
20190506,26.38,27.81,26.25,27.1,5913,3184,27.289
20190507,27.18,27.26,24.16,24.55,9309,5590,25.2725
20190508,23.7,26.0,23.53,23.54,8806,5070,24.3255
20190509,23.5,24.0,22.75,23.26,4635,2579,23.17
20190510,23.04,24.93,22.8,24.92,4671,2548,23.8525
20190513,24.46,24.77,23.22,24.43,4219,2579,24.146
20190514,24.5,24.89,23.57,23.59,4136,2415,24.0915
20190515,23.46,23.84,22.81,23.12,6786,3975,23.3495
20190516,23.5,24.05,23.15,23.46,4819,2611,23.5895
20190517,23.31,23.43,21.68,23.08,11750,5288,22.591
20190520,22.85,23.6,22.55,22.6,4989,3041,23.047
20190521,22.65,23.16,22.43,22.7,4267,2239,22.8215
20190522,22.65,22.77,21.93,22.0,4772,2224,22.182
20190523,21.75,21.94,21.01,21.38,5705,3355,21.4
20190524,21.56,22.0,21.41,21.83,4778,3160,21.71
20190528,22.3,22.46,21.44,21.54,4032,2055,21.7415
20190529,21.71,21.9,21.16,21.7,3219,1690,21.566
20190530,21.84,21.9,21.05,21.49,3274,1935,21.3985
20190531,21.16,21.38,20.74,20.78,3806,2393,20.9645
20190603,20.79,20.99,18.82,19.85,9170,5003,19.784
20190604,19.76,20.74,19.23,19.47,9700,4399,19.764
20190605,19.2,19.2,17.2,17.7,32398,14454,18.004
20190606,17.83,18.93,17.61,17.94,57818,13501,17.881
20190607,17.71,18.4,17.3,17.52,16802,9130,17.855
20190610,17.85,17.99,15.67,15.67,23120,11326,16.597
20190611,16.09,16.88,15.75,16.0,50285,12592,16.1395
20190612,16.11,16.36,15.62,16.3,18083,8793,15.987
20190613,16.42,17.59,16.05,16.16,13913,7867,16.559
20190614,16.25,16.68,15.32,15.4,18556,8232,15.7445
20190617,15.54,15.85,15.28,15.77,10478,5225,15.626
20190618,15.9,16.19,15.57,15.74,9587,4833,15.8135
20190619,15.75,16.31,15.37,15.5,26710,7607,15.847
20190620,15.85,15.94,14.86,15.18,14573,6744,15.219
20190621,15.2,15.32,14.5,14.7,16842,9187,14.7595
20190624,14.41,14.7,14.02,14.04,11961,6243,14.2445
20190625,14.11,14.25,13.65,13.77,17464,10338,13.9065
20190626,13.92,14.18,13.65,13.7,9873,5400,13.876
20190627,13.49,14.41,13.49,14.34,15586,5797,14.125
20190628,14.41,14.64,14.11,14.64,12325,6661,14.384
20190701,14.86,15.08,14.47,14.73,9289,5472,14.8
20190702,14.71,14.71,14.0,14.4,10763,5719,14.3205
20190703,14.5,15.33,14.4,15.31,8294,4881,14.9675
20190705,15.47,15.47,14.83,14.96,8394,5081,15.039
20190708,14.89,14.9,14.14,14.29,8169,4506,14.3435
20190709,14.31,14.85,14.15,14.85,6209,3875,14.5975
20190710,14.94,15.22,14.05,14.48,15683,8489,14.4615
20190711,14.56,14.7,14.12,14.44,10099,5900,14.2915
20190712,14.27,14.48,14.06,14.2,9574,4715,14.2885
20190715,14.28,14.46,14.0,14.32,6084,3281,14.206
20190716,14.32,14.48,14.0,14.14,9722,4967,14.103
20190717,14.17,14.59,14.0,14.03,9774,6144,14.1845
20190718,14.09,14.28,13.9,14.26,6405,3652,14.0755
20190719,14.29,14.4,14.01,14.11,8841,5479,14.1805
20190722,14.18,14.32,13.91,14.05,9055,4593,14.05
20190723,14.06,14.13,13.12,13.6,17426,8699,13.488
20190724,13.75,14.52,13.47,14.47,9955,5094,14.116
20190725,14.51,14.65,13.5,13.51,7793,4498,13.861
20190726,13.59,14.18,13.36,14.12,5796,3671,13.798
20190729,14.17,14.33,13.56,13.69,6056,3816,13.7085
20190730,13.61,13.76,13.29,13.4,7325,4752,13.394
20190731,13.42,13.51,13.04,13.1,8729,4801,13.2795
20190801,13.2,13.4,12.71,13.01,11911,7241,12.8895
20190802,13.0,13.04,12.4,12.73,9892,5611,12.6425
20190805,12.55,12.69,12.2,12.26,8352,4782,12.352
20190806,12.5,12.87,11.9,12.29,17714,8933,12.1525
20190807,12.26,14.5,11.54,12.85,25662,13152,13.3705
20190808,12.91,13.3,12.3,13.19,12106,7119,12.8665
20190809,13.14,13.55,12.97,13.33,5945,3553,13.226
20190812,13.42,13.68,12.98,13.02,6191,4010,13.258
20190813,13.0,13.4,12.76,13.3,4371,2799,13.205
20190814,13.08,13.22,12.5,12.74,11320,6372,12.83
20190815,12.72,12.95,12.47,12.67,9697,6110,12.729
20190816,12.85,13.24,12.79,13.16,9064,3916,13.0085
20190819,13.25,13.5,13.02,13.4,16043,6729,13.265
20190820,13.87,14.65,13.6,14.15,30137,12641,14.182
20190821,14.25,14.41,13.76,14.29,11983,6208,14.189
20190822,14.37,14.43,14.04,14.16,8653,4924,14.187
20190823,14.08,14.36,13.83,13.88,12862,6753,14.1125
20190826,14.01,15.38,14.0,14.97,26064,14067,14.9305
20190827,15.17,15.5,14.12,14.51,21727,12548,14.741
20190828,14.51,15.04,14.38,14.82,11980,7978,14.7755
20190829,14.91,15.2,14.61,15.18,14044,8447,14.987
20190830,15.3,15.75,15.2,15.73,13145,7791,15.5715
20190903,16.1,16.5,14.35,14.88,20915,11902,15.0615
20190904,15.11,15.59,14.8,15.42,13008,8327,15.241
20190905,15.65,16.13,15.02,15.53,11226,6988,15.607
20190906,15.56,16.18,15.14,15.88,17487,10009,15.8745
20190909,15.98,16.23,15.36,16.03,19715,12596,15.929
20190910,16.06,17.34,15.97,17.09,26898,15450,16.9575
20190911,17.34,17.59,15.89,15.92,29310,15881,16.392
20190912,16.18,18.46,16.18,16.4,75631,32701,17.4375
20190913,16.45,17.04,16.06,16.71,26694,15071,16.7115
20190916,16.73,17.31,16.69,17.05,25611,14735,17.145
20190917,17.32,17.95,17.19,17.66,42254,20947,17.61
20190918,17.77,18.0,17.35,17.78,28413,17612,17.6515
20190919,17.71,18.42,17.61,17.9,32961,17373,18.06
20190920,18.14,18.39,17.75,18.07,51271,21675,18.0225
20190923,18.24,18.48,17.56,17.83,23701,14313,17.931
20190924,17.83,17.99,17.25,17.82,27558,14129,17.7095
20190925,17.71,17.71,17.1,17.18,23264,13213,17.328
20190926,17.41,17.51,16.14,16.34,37939,18587,16.6185
20190927,16.29,16.54,15.67,15.9,19888,11078,16.058
20190930,15.79,16.27,15.67,15.92,11506,7669,15.925
20191001,15.87,16.06,14.8,14.81,13045,8226,15.2645
20191002,14.78,15.01,14.42,14.86,14837,7690,14.7875
20191003,15.24,15.24,14.41,15.07,12603,6934,14.818
20191004,15.05,15.57,14.89,15.51,7676,4848,15.251
20191007,15.45,15.63,15.07,15.47,11651,5248,15.406
20191008,15.36,15.48,15.01,15.31,10332,4937,15.236
20191009,15.33,15.55,14.18,14.2,20982,11572,14.612
20191010,14.13,14.41,13.87,14.16,11020,6481,14.1375
20191011,14.24,14.7,13.99,14.055,7828,4857,14.339
20191014,14.19,14.27,13.67,13.93,7633,5125,13.971
20191015,13.93,14.45,13.53,14.33,8503,5201,14.1745
20191016,14.27,14.32,14.02,14.15,7728,5188,14.1875
20191017,14.23,14.72,14.15,14.54,8749,4075,14.581
20191018,14.5,14.85,14.07,14.81,14111,6375,14.5935
20191021,14.9,15.59,14.66,15.5,7590,4387,15.3025
20191022,15.56,16.09,15.55,15.92,4739,2635,15.8545
20191023,16.16,17.01,16.09,16.9,12577,5980,16.7405
20191024,16.92,17.03,16.05,16.59,9542,4650,16.3995
20191025,16.73,17.1,16.43,17.01,5916,3728,16.903
