date,open,high,low,close,volume,barCount,average
19860313,28.0,29.25,25.5,28.0,35826,1,28.002
19860314,29.0,29.5,28.0,29.0,10700,1,28.998
19860317,29.5,29.75,29.0,29.5,4624,1,29.502
19860318,28.75,29.75,28.5,28.75,2308,1,28.752
19860319,28.25,29.0,28.0,28.25,1663,1,28.254
19860320,27.5,28.25,27.25,27.5,2029,1,27.498
19860321,26.75,28.0,26.25,26.75,2083,1,26.754
19860324,26.0,26.75,25.75,26.0,2267,1,25.998
19860325,26.5,26.5,25.75,26.5,1114,1,26.502
19860326,27.25,27.5,26.25,27.25,790,1,27.252
19860327,27.75,27.75,27.25,27.75,585,1,27.75
19860331,27.5,27.75,27.0,27.5,447,1,27.498
19860401,27.25,27.5,27.25,27.25,385,1,27.252
19860402,27.5,28.0,27.25,27.5,938,1,27.498
19860403,27.75,28.5,27.75,27.75,800,1,27.75
19860404,27.75,28.0,27.75,27.75,923,1,27.75
19860407,27.25,28.0,26.75,27.25,575,1,27.252
19860408,27.5,28.0,27.25,27.5,356,1,27.498
19860409,28.0,28.25,27.5,28.0,422,1,28.002
19860410,28.25,28.5,27.5,28.25,482,1,28.254
19860411,28.75,29.25,28.5,28.75,598,1,28.752
19860414,29.0,29.25,28.75,29.0,422,1,28.998
19860415,29.0,29.0,28.0,29.0,323,1,28.998
19860416,30.0,30.25,28.75,30.0,1108,1,30.0
19860417,30.25,30.25,30.0,30.25,764,1,30.252
19860418,29.25,30.25,29.0,29.25,751,1,29.25
19860421,29.25,29.5,28.5,29.25,796,1,29.25
19860422,28.75,29.25,28.75,28.75,540,1,28.752
19860423,28.88,29.0,28.5,28.88,542,1,28.878
19860424,31.75,32.25,28.75,31.75,2161,1,31.752
19860425,33.75,35.13,32.0,33.75,2967,1,33.75
19860428,34.0,34.25,33.5,34.0,1003,1,34.002
19860429,33.0,34.0,32.75,33.0,1053,1,33.0
19860430,32.25,33.25,31.5,32.25,1043,1,32.25
19860501,31.75,32.25,31.25,31.75,1887,1,31.752
19860502,31.75,32.25,31.5,31.75,703,1,31.752
19860505,31.5,31.75,31.5,31.5,113,1,31.5
19860506,31.75,32.25,31.75,31.75,338,1,31.752
19860507,31.75,32.0,31.25,31.75,179,1,31.752
