date,open,high,low,close,volume,barCount,average
19960827,49.04,49.04,38.0,42.0,700,1,42.0
19960828,43.04,43.04,38.0,42.0,727,1,42.0
19960829,41.52,43.52,40.0,43.04,603,1,43.0
19960830,44.0,46.0,42.0,45.04,299,1,45.0
19960903,45.04,51.04,43.04,50.0,358,1,50.0
19960904,52.0,53.04,45.04,47.04,321,1,47.0
19960905,47.04,47.04,43.04,44.48,103,1,44.49996
19960906,44.48,44.48,43.04,44.48,29,1,44.50016
19960909,44.48,45.04,43.04,43.04,103,1,43.00004
19960910,43.04,44.48,39.04,40.0,108,1,40.0
19960911,39.04,42.72,39.04,40.0,70,1,40.0
19960912,41.04,42.0,40.0,41.04,73,1,41.0
19960913,42.0,42.48,41.04,42.0,114,1,42.0
19960916,41.04,42.0,40.0,40.0,94,1,40.0
19960917,43.04,44.0,41.04,41.04,230,1,41.00004
19960918,42.48,44.0,42.0,43.52,129,1,43.5
19960919,43.52,48.0,43.04,47.04,226,1,47.00004
19960920,47.52,47.52,45.04,46.48,139,1,46.50004
19960923,47.04,47.04,45.04,45.52,33,1,45.49992
19960924,46.48,46.48,45.52,45.52,139,1,45.5
19960925,45.52,47.04,44.0,45.04,126,1,45.0
19960926,45.52,46.48,42.0,44.48,106,1,44.50004
19960927,44.48,44.48,41.04,42.0,76,1,42.0
19960930,44.48,45.52,43.52,44.48,92,1,44.50004
19961001,44.48,45.52,44.0,45.04,31,1,45.00016
19961002,45.52,48.0,44.48,46.48,148,1,46.50004
19961003,47.52,50.0,47.04,48.48,229,1,48.5
19961004,49.04,56.0,49.04,55.04,316,1,55.0
19961007,56.0,59.04,54.0,55.04,319,1,55.0
19961008,55.04,56.0,54.0,55.04,158,1,55.0
19961009,56.0,56.0,50.0,50.48,175,1,50.5
19961010,52.0,55.04,52.0,53.52,106,1,53.5
19961011,54.48,54.48,50.0,50.0,77,1,50.0
19961014,51.04,52.48,49.04,50.0,73,1,50.0
19961015,50.0,50.48,47.04,48.0,163,1,48.0
19961016,48.48,49.04,45.52,45.52,41,1,45.5
19961017,47.04,47.04,43.04,43.04,125,1,43.0
19961018,45.04,45.04,43.04,45.04,38,1,45.0
19961021,45.04,45.04,41.04,42.0,78,1,42.0
19961022,41.04,42.0,40.0,42.0,39,1,42.0
19961023,40.0,42.0,36.0,38.48,127,1,38.5
19961024,37.04,41.04,37.04,41.04,37,1,41.0
19961025,41.04,41.04,40.0,40.0,91,1,40.0
19961028,41.04,42.0,39.52,40.48,116,1,40.50004
19961029,41.52,41.52,40.0,40.0,28,1,40.0
19961030,40.0,41.04,38.48,39.04,39,1,39.00012
19961031,40.48,40.48,38.48,38.48,15,1,38.49984
19961101,40.0,40.0,38.0,39.04,25,1,39.0002
19961104,39.04,39.04,35.04,35.04,37,1,35.00012
19961105,36.0,36.0,32.0,34.0,93,1,34.0
19961106,33.04,34.0,32.48,34.0,97,1,34.0
19961107,34.0,36.0,33.04,34.0,132,1,34.0
19961108,36.0,37.04,35.04,37.04,27,1,37.0
19961111,36.48,38.0,36.48,38.0,33,1,38.0
19961112,38.0,39.04,37.04,38.0,39,1,38.0
19961113,38.0,40.0,38.0,38.48,100,1,38.5
19961114,38.0,40.0,34.0,36.0,86,1,36.0
19961115,36.0,36.0,33.04,34.0,41,1,34.0
19961118,35.04,37.04,33.04,36.0,58,1,36.0
19961119,37.04,37.04,34.0,34.0,81,1,34.0
19961120,36.0,36.0,31.04,32.48,167,1,32.50004
19961121,32.0,32.0,27.52,29.52,268,1,29.5
19961122,30.0,31.52,29.04,30.48,88,1,30.5
19961125,30.0,31.04,29.04,31.04,37,1,31.00012
19961126,31.04,33.52,31.04,31.04,58,1,31.00008
19961127,32.0,33.04,31.52,33.04,46,1,33.00012
19961129,33.04,33.04,31.52,31.76,5,1,31.75112
19961202,32.48,32.48,28.0,29.04,80,1,29.00008
19961203,29.04,30.0,27.52,29.04,64,1,29.00008
19961204,28.0,29.04,28.0,28.0,66,1,28.0
19961205,28.0,29.04,28.0,28.0,60,1,28.0
19961206,28.0,31.04,28.0,31.04,121,1,31.00004
19961209,31.52,34.0,30.48,34.0,110,1,34.0
19961210,35.04,35.52,30.0,32.48,224,1,32.5
19961211,33.52,33.52,30.48,30.48,115,1,30.5
19961212,32.0,32.0,29.04,29.04,57,1,29.0
19961213,30.48,31.04,29.52,29.52,65,1,29.50008
19961216,29.52,31.04,28.0,29.52,34,1,29.50008
19961217,29.52,29.52,27.52,27.52,36,1,27.50012
19961218,28.0,30.0,27.04,30.0,95,1,30.0
19961219,30.0,33.52,29.52,33.04,166,1,33.00004
19961220,33.52,34.0,32.48,33.04,62,1,33.0
19961223,34.0,35.04,33.04,34.48,45,1,34.49996
19961224,34.48,34.48,33.04,33.52,19,1,33.50012
19961226,34.0,34.0,32.0,32.0,25,1,32.0
19961227,32.0,32.0,30.0,32.0,47,1,32.0
19961230,31.04,33.04,30.0,32.0,78,1,32.0
19961231,33.04,33.04,31.52,32.0,66,1,32.0
19970102,32.0,34.0,32.0,32.0,111,1,32.0
19970103,32.0,33.04,30.0,30.16,70,1,30.12484
19970106,31.52,32.0,30.0,30.48,58,1,30.50004
19970107,30.48,32.0,30.48,30.48,12,1,30.5002
19970108,30.48,31.04,28.48,28.48,56,1,28.50008
19970109,28.48,29.52,28.48,29.52,28,1,29.50016
19970110,29.52,30.0,29.04,30.0,20,1,30.0
19970113,30.0,30.0,28.48,28.48,39,1,28.50012
19970114,30.0,33.04,28.0,32.0,254,1,32.0
19970115,31.76,33.52,31.04,32.0,98,1,32.0
19970116,33.04,33.04,31.52,31.52,73,1,31.5
19970117,32.0,33.04,31.52,33.04,113,1,33.00004
19970120,32.0,33.04,31.04,31.04,40,1,31.0
19970121,31.04,32.48,31.04,31.04,16,1,31.0
19970122,31.04,32.0,30.48,31.52,160,1,31.5
19970123,31.52,31.52,30.48,31.52,30,1,31.5
19970124,31.04,31.04,29.04,30.48,67,1,30.50004
19970127,31.04,32.0,30.0,30.0,84,1,30.0
19970128,30.0,31.52,29.52,30.48,140,1,30.5
19970129,30.48,33.04,30.48,31.04,124,1,31.0
19970130,31.52,39.52,30.48,39.04,695,1,39.0
19970131,40.0,45.04,39.52,41.04,846,1,41.0
19970203,41.84,43.52,38.48,39.52,199,1,39.5
19970204,40.48,45.04,39.52,44.0,280,1,44.0
19970205,44.48,47.04,40.48,41.04,277,1,41.0
19970206,42.0,42.0,39.04,40.0,102,1,40.0
19970207,40.0,43.52,38.0,42.48,251,1,42.5
19970210,41.04,43.04,35.52,37.52,262,1,37.5
19970211,36.48,41.04,36.0,40.0,120,1,40.0
19970212,41.52,42.0,40.0,41.76,57,1,41.75036
19970213,41.52,47.04,40.0,45.52,180,1,45.5
19970214,46.0,46.0,43.52,44.48,58,1,44.50004
19970218,43.04,44.48,41.04,41.52,68,1,41.49996
19970219,41.52,47.52,41.52,45.52,245,1,45.5
19970220,46.48,47.52,43.52,43.52,149,1,43.5
19970221,44.48,44.48,42.0,43.04,53,1,43.00008
19970224,43.04,45.52,42.48,45.04,88,1,45.0
19970225,46.0,46.0,44.0,45.04,94,1,45.00004
19970226,44.0,45.04,41.52,43.04,84,1,43.00004
19970227,43.04,43.04,41.04,41.04,17,1,41.0
19970228,42.48,42.48,41.04,41.04,8,1,41.0006
19970303,41.04,41.04,39.04,41.04,68,1,41.0
19970304,39.04,40.0,38.0,40.0,69,1,40.0
19970305,40.0,42.48,39.04,42.0,94,1,42.0
19970306,42.0,42.0,39.04,41.04,44,1,41.00012
19970307,41.04,41.52,39.52,39.52,40,1,39.50008
19970310,39.04,40.48,39.04,40.48,22,1,40.5
19970311,40.48,42.48,39.52,42.0,75,1,42.0
19970312,43.04,45.52,42.0,43.52,180,1,43.5
19970313,45.04,48.0,43.52,44.48,241,1,44.5
19970314,46.0,58.0,44.48,56.48,1222,1,56.5
19970317,57.04,59.04,52.0,53.04,405,1,53.0
19970318,55.04,61.52,53.52,58.0,582,1,58.0
19970319,58.48,58.48,51.04,53.52,300,1,53.5
19970320,54.48,56.48,51.52,56.48,101,1,56.50004
19970321,56.0,59.04,55.04,55.04,116,1,55.00004
19970324,56.0,56.0,52.0,53.04,109,1,53.0
19970325,54.0,56.0,52.0,55.04,93,1,55.0
19970326,56.0,56.0,51.04,53.04,96,1,53.0
19970327,52.0,52.0,48.0,49.04,137,1,49.0
19970331,50.48,50.48,44.0,44.48,94,1,44.5
19970401,44.0,46.0,44.0,45.04,51,1,45.0
19970402,45.04,48.0,45.04,48.0,63,1,48.0
19970403,48.0,48.0,45.04,46.0,76,1,46.0
19970404,47.04,53.04,47.04,53.04,132,1,53.0
19970407,53.04,53.04,52.0,52.0,25,1,52.0
19970408,53.04,55.04,52.48,55.04,54,1,55.0
19970409,55.04,55.04,50.48,53.04,36,1,53.0
19970410,53.04,54.0,51.04,53.04,59,1,53.0
19970411,53.04,53.04,49.04,49.52,65,1,49.5
19970414,50.48,50.48,48.0,50.0,105,1,50.0
19970415,52.0,53.04,51.04,51.04,95,1,51.00004
19970416,51.52,52.0,49.04,51.52,95,1,51.50004
19970417,51.52,51.52,49.52,51.04,36,1,51.0
19970418,51.52,51.52,49.04,49.04,34,1,49.00016
19970421,50.48,51.04,49.04,51.04,40,1,51.0
19970422,52.0,52.0,49.04,50.48,55,1,50.49996
19970423,51.52,51.52,47.04,47.52,102,1,47.50004
19970424,46.0,47.04,44.0,44.0,36,1,44.0
19970425,44.0,45.04,42.0,42.0,70,1,42.0
19970428,43.04,45.04,41.52,43.04,28,1,43.0
19970429,45.04,47.04,44.0,46.0,26,1,46.0
19970430,47.04,48.0,46.0,46.0,34,1,46.0
19970501,45.52,48.0,42.48,48.0,137,1,48.0
19970502,48.0,49.04,45.04,47.52,153,1,47.50004
19970505,47.52,53.04,47.52,51.52,210,1,51.5
19970506,50.48,54.0,49.52,54.0,200,1,54.0
19970507,53.04,54.0,46.0,48.0,128,1,48.0
19970508,47.52,52.0,47.52,50.0,62,1,50.0
19970509,51.04,51.04,49.04,49.04,19,1,49.0
19970512,49.52,52.0,49.52,51.04,25,1,51.0002
19970513,51.04,53.04,50.0,50.0,20,1,50.0
19970514,50.0,51.04,48.0,48.0,42,1,48.0
19970515,49.04,50.0,47.52,48.48,55,1,48.50008
19970516,47.04,48.48,46.0,47.04,19,1,47.0
19970519,49.04,50.0,48.0,49.52,41,1,49.49996
