date,open,high,low,close,volume,barCount,average
20171220,118.66,119.12,117.56,119.02,23992,13124,118.4625
20171221,119.45,119.57,117.84,118.26,15709,10907,118.6315
20171222,118.6,118.75,118.17,118.6,12411,8062,118.558
20171226,118.41,119.24,118.41,118.89,15039,7878,118.914
20171227,118.87,119.4,118.8,119.3,15555,9006,119.0585
20171228,119.42,119.53,119.05,119.35,14119,9218,119.3085
20171229,119.46,120.57,119.42,119.92,16468,10996,120.127
20180102,119.93,120.18,117.92,118.06,28883,18466,118.5575
20180103,117.91,118.47,117.64,117.75,30266,18387,117.999
20180104,117.73,119.11,117.6,118.33,20632,14253,118.5945
20180105,118.41,119.09,118.24,118.67,16356,11230,118.5945
20180108,118.21,118.74,117.67,117.99,34400,21826,118.1255
20180109,118.26,118.98,117.95,118.08,34855,20474,118.4325
20180110,118.13,118.36,116.7,117.48,20309,13750,117.3825
20180111,117.46,117.85,116.38,116.88,24991,16382,116.838
20180112,116.95,118.01,116.85,117.38,30078,21867,117.544
20180116,117.2,118.35,117.03,117.86,33424,24120,117.8905
20180117,118.33,120.17,118.21,119.18,31754,21529,119.484
20180118,119.06,119.62,118.65,119.05,20746,14820,119.1235
20180119,119.48,120.68,118.64,120.17,36436,20834,120.103
20180122,120.1,121.85,120.0,121.51,27326,19032,121.337
20180123,121.01,122.51,120.85,121.3,25399,17761,121.567
20180124,121.24,121.48,120.82,121.14,19915,15173,121.19
20180125,120.61,121.46,120.36,120.9,18338,13162,120.9945
20180126,120.61,121.84,120.61,121.76,20346,15090,121.303
20180129,121.38,122.16,119.65,119.67,24341,17856,120.544
20180130,119.68,121.2,119.5,119.89,28042,20896,120.216
20180131,119.84,120.75,119.51,120.3,20876,15711,120.14
20180201,119.92,121.01,119.28,120.3,21210,15706,120.3145
20180202,119.91,120.28,118.4,118.67,21907,14231,119.19
20180205,118.57,119.66,114.41,114.46,35268,22917,116.859
20180206,112.44,113.95,110.15,113.56,46589,33350,112.5045
20180207,113.25,115.77,112.75,113.5,33562,23911,114.509
20180208,113.65,113.72,110.09,110.15,30913,22390,112.0025
20180209,110.81,111.99,108.88,111.18,38012,27948,110.466
20180212,111.9,112.75,111.06,111.93,31385,24323,112.072
20180213,112.0,112.67,110.68,112.14,42158,25688,112.0165
20180214,111.67,111.9,108.76,109.11,58396,36450,109.541
20180215,109.53,111.04,108.72,110.97,40499,24813,110.148
20180216,111.06,111.7,109.76,111.06,34902,23659,110.896
20180220,110.96,110.96,109.34,109.48,24580,17731,109.9565
20180221,109.35,109.85,107.94,108.0,29523,20596,108.884
20180222,108.33,109.97,108.02,109.26,34036,23773,109.3535
20180223,109.36,110.05,108.57,109.68,31734,19815,109.3145
20180226,110.17,111.17,110.03,110.94,35983,24018,110.749
20180227,111.18,112.08,110.71,110.89,44601,30174,111.36
20180228,111.0,111.65,109.68,109.73,28257,20992,110.5785
20180301,109.21,109.88,107.24,108.12,41750,32929,108.3515
20180302,107.91,109.32,107.9,109.04,28928,21406,108.671
20180305,108.46,109.6,108.02,109.43,22207,16630,109.0225
20180306,109.36,109.62,108.44,109.58,21435,15670,109.02
20180307,108.89,110.06,108.61,109.84,24357,17854,109.536
20180308,110.03,112.13,109.58,112.08,36295,21655,111.4155
20180309,112.27,112.57,111.64,112.54,23928,17808,112.1495
20180312,112.5,113.09,112.07,112.75,32306,21260,112.6415
20180313,113.27,113.9,112.72,113.6,32456,21021,113.5805
20180314,113.57,113.77,112.23,112.61,32462,20285,112.6745
20180315,112.34,113.25,111.66,111.99,28372,17935,112.3875
20180316,112.33,113.2,111.58,111.64,33483,16215,112.1775
20180319,111.65,111.99,110.05,110.36,26604,20242,110.725
20180320,110.75,111.3,109.83,109.9,22164,16852,110.223
20180321,109.89,110.08,108.53,108.74,29449,20815,109.097
20180322,108.45,109.67,107.8,107.94,28809,21667,108.8715
20180323,108.15,108.74,105.93,106.15,30447,23501,107.3285
20180326,106.76,107.47,106.09,106.81,27518,19017,106.7315
20180327,107.23,108.54,106.51,107.64,32966,24228,107.67
20180328,108.14,110.11,108.0,109.18,35851,27605,109.463
20180329,110.12,110.66,108.97,109.15,24495,18973,109.633
20180402,108.62,109.22,106.44,107.05,29647,23831,107.4745
20180403,107.39,108.53,106.59,108.19,30532,22515,107.702
20180404,107.78,110.73,107.24,110.18,31248,23144,109.592
20180405,110.43,111.18,109.75,110.57,16348,12665,110.6995
