date,open,high,low,close,volume,barCount,average
20190926,27.0,27.98,24.75,25.76,447499,155836,26.4485
20190927,26.07,26.17,23.75,25.24,150140,66231,24.7385
20190930,25.26,25.85,25.0,25.1,42175,20536,25.247
20191001,25.0,25.17,22.51,22.51,80555,38758,23.781
20191002,22.25,23.18,21.76,22.6,77160,33067,22.3975
20191003,22.49,22.82,21.14,22.33,78861,33565,22.0495
20191004,22.35,23.42,22.3,23.01,29772,11420,23.007
20191007,23.07,24.33,22.49,23.51,25090,11973,23.5145
20191008,23.6,23.9,22.33,23.21,26795,11278,22.886
20191009,23.63,24.8,23.25,24.0,25400,12016,24.1235
20191010,24.1,24.2,22.8,23.14,32687,15466,23.2715
20191011,23.1,23.4,22.11,22.39,30822,13271,22.7545
20191014,22.17,22.28,21.4,21.47,23832,10541,21.7275
20191015,21.51,23.68,21.51,23.445,26080,14356,22.7755
20191016,23.54,23.54,22.46,23.03,21783,12116,22.9465
20191017,23.0,23.96,23.0,23.86,10522,6032,23.487
20191018,24.3,24.68,23.12,23.52,31135,15687,24.013
20191021,23.99,24.37,21.77,22.26,73452,33646,22.599
20191022,22.67,22.7,20.93,21.16,54334,20571,21.3845
20191023,21.13,21.74,20.46,21.08,46227,15854,20.9455
20191024,21.24,21.45,20.7,21.34,20760,9187,21.1415
20191025,21.13,23.09,21.0,22.4,23632,10344,22.3465
20191028,22.55,22.67,21.45,21.46,39470,16450,21.86
20191029,21.57,24.16,21.43,23.18,43604,18309,22.9665
20191030,23.32,23.74,22.66,23.72,22579,10740,23.275
20191031,23.49,23.94,22.91,23.87,14983,6962,23.4515
20191101,23.87,25.3,23.75,24.99,46443,19385,24.9245
20191104,25.3,26.5,23.54,24.61,54071,28446,24.9275
20191105,24.05,24.25,22.25,22.74,118788,45863,23.1685
20191106,22.93,23.2,22.29,23.02,35976,15072,22.919
20191107,23.02,23.31,22.41,22.63,26285,11090,22.667
20191108,22.45,23.55,22.25,23.52,27362,11522,22.876
