date,open,high,low,close,volume,barCount,average
19990310,51.125,51.155,50.28,51.065,52322,1,51.0625
19990311,51.44,51.735,50.315,51.315,96886,1,51.3125
19990312,51.125,51.155,49.655,50.065,87436,1,50.0625
19990315,50.44,51.565,49.905,51.5,63690,1,51.5
19990316,51.72,52.155,51.155,51.94,49058,1,51.9375
19990317,51.94,52.0,51.405,51.565,39650,1,51.5625
19990318,51.5,52.595,51.485,52.565,48484,1,52.5625
19990319,53.25,53.25,51.19,51.22,71604,1,51.219
19990322,51.44,51.565,50.5,50.595,50248,1,50.594
19990323,50.315,50.5,48.72,48.815,109624,1,48.8125
19990324,49.25,50.5,48.5,50.47,84470,1,50.469
19990325,51.25,52.315,50.915,52.315,81338,1,52.3125
19990326,51.875,52.47,51.53,51.75,82562,1,51.75
19990329,52.375,53.655,52.065,53.625,51138,1,53.625
19990330,53.565,54.0,53.03,53.25,49406,1,53.25
19990331,54.125,54.19,52.315,52.47,82566,1,52.469
19990401,54.0,54.065,52.69,53.565,87158,1,53.5625
19990405,54.43,55.58,54.095,55.5,56972,1,55.5
19990406,55.44,56.22,54.97,55.61,75224,1,55.6095
19990407,56.125,56.25,53.845,55.03,119236,1,55.031
19990408,54.94,55.735,53.815,55.47,79524,1,55.469
19990409,55.375,55.94,55.22,55.815,49468,1,55.8125
19990412,54.5,55.815,54.44,55.44,109340,1,55.4375
19990413,55.78,55.905,54.25,54.69,99622,1,54.6875
19990414,55.375,55.44,52.51,52.815,212538,1,52.8125
19990415,53.0,53.615,51.125,53.53,176506,1,53.531
19990416,53.405,53.405,51.69,51.97,172740,1,51.969
19990419,52.315,52.75,49.01,49.53,194606,1,49.53125
19990420,49.315,51.065,48.845,50.655,174136,1,50.656
19990421,51.125,53.19,50.44,53.155,109404,1,53.156
19990422,53.655,54.75,53.305,54.595,136306,1,54.594
19990423,54.315,55.72,53.75,55.315,70644,1,55.3125
19990426,55.69,57.0,55.51,56.585,54210,1,56.586
19990427,57.0,57.28,55.01,55.72,164828,1,55.719
19990428,55.25,55.44,53.57,53.815,76768,1,53.8125
19990429,53.565,53.875,52.25,53.375,191482,1,53.375
19990430,54.125,54.405,51.815,53.72,152952,1,53.719
19990503,53.565,53.78,52.54,53.44,111098,1,53.4375
19990504,53.53,54.375,52.28,52.595,154284,1,52.594
19990505,52.625,54.19,51.03,54.19,126426,1,54.1875
19990506,53.69,54.155,51.72,52.22,151734,1,52.219
19990507,52.69,53.125,51.565,52.97,164304,1,52.969
19990510,53.315,53.86,52.69,53.5,106042,1,53.5
19990511,53.94,54.625,53.625,54.345,88008,1,54.344
19990512,54.595,55.655,53.0,55.47,125074,1,55.469
19990513,55.905,56.0,54.19,54.44,98640,1,54.4375
19990514,53.375,54.0,53.0,53.405,122054,1,53.406
19990517,52.94,54.53,52.415,54.365,99068,1,54.367
19990518,54.315,54.625,53.5,54.125,92678,1,54.125
19990519,54.345,54.905,53.5,54.875,79856,1,54.875
19990520,54.99,54.99,53.28,53.365,59972,1,53.367
19990521,53.53,53.69,52.595,52.875,104716,1,52.875
19990524,52.97,53.065,51.19,51.53,95698,1,51.531
19990525,51.47,52.22,49.625,49.845,177712,1,49.84375
19990526,50.5,51.44,48.94,51.235,267720,1,51.2345
19990527,51.03,51.93,50.375,51.19,233348,1,51.1875
19990528,51.5,52.315,50.845,52.03,129698,1,52.031
19990601,51.94,52.19,50.595,50.875,69602,1,50.875
19990602,50.845,52.0,49.57,51.735,119966,1,51.7345
19990603,52.125,52.125,50.69,51.0,111478,1,51.0
19990604,51.375,52.74,51.375,52.565,129872,1,52.5625
19990607,52.93,53.99,52.815,53.655,114918,1,53.656
19990608,53.78,54.03,52.04,52.315,81348,1,52.3125
19990609,52.5,53.335,52.47,53.19,83844,1,53.1875
19990610,52.625,52.94,51.945,52.58,93924,1,52.578
19990611,52.94,52.99,51.315,51.78,165676,1,51.781
19990614,51.97,51.97,50.69,50.805,141368,1,50.8045
19990615,50.93,51.865,50.78,51.565,91478,1,51.5625
19990616,52.845,54.21,52.78,54.21,150602,1,54.211
19990617,53.5,55.065,53.5,54.815,162782,1,54.8125
19990618,54.315,55.22,54.22,55.065,53928,1,55.0625
19990621,55.44,56.74,55.345,56.71,105652,1,56.711
19990622,56.375,57.095,55.0,55.0,108628,1,55.0
19990623,55.01,56.0,54.655,55.865,96070,1,55.867
19990624,55.845,55.875,54.5,54.76,149888,1,54.758
19990625,55.125,55.565,54.19,54.69,86356,1,54.6875
19990628,55.155,56.065,54.705,55.985,76662,1,55.9845
19990629,55.94,56.97,55.655,56.75,90004,1,56.75
19990630,56.805,59.94,56.135,57.625,194676,1,57.625
19990701,57.815,58.345,56.815,58.015,68226,1,58.0155
19990702,58.0,58.815,58.0,58.75,33020,1,58.75
19990706,59.065,59.655,58.065,58.375,87948,1,58.375
19990707,58.345,58.72,57.94,58.47,105200,1,58.469
19990708,58.47,59.49,58.19,59.25,112250,1,59.25
19990709,59.47,59.905,59.03,59.845,41912,1,59.844
19990712,60.065,60.375,59.19,59.53,78162,1,59.531
19990713,59.25,59.47,58.78,59.25,62300,1,59.25
19990714,59.845,60.375,59.0,60.26,69094,1,60.258
19990715,60.47,60.815,60.135,60.815,65398,1,60.8125
19990716,60.845,61.72,60.82,61.375,49138,1,61.375
19990719,61.625,61.625,60.51,60.75,68330,1,60.75
19990720,60.01,60.095,58.25,58.405,148374,1,58.406
19990721,58.53,59.195,58.065,58.69,109804,1,58.6875
19990722,58.69,58.69,57.03,57.195,151484,1,57.1955
19990723,57.625,57.865,56.69,57.28,121150,1,57.281
19990726,56.5,57.125,55.78,55.875,107200,1,55.875
19990727,57.0,57.875,56.515,57.0,137328,1,57.0
19990728,57.69,58.44,56.945,58.115,101618,1,58.117
19990729,57.03,57.5,56.315,56.875,130338,1,56.875
19990730,57.125,57.75,56.51,56.595,109474,1,56.594
19990802,56.69,57.815,56.22,56.44,96424,1,56.4375
19990803,57.21,57.22,55.25,56.07,130050,1,56.0705
19990804,56.07,56.49,55.01,55.055,132276,1,55.0545
19990805,55.065,55.93,53.75,55.93,186952,1,55.9295
19990806,55.53,56.565,54.94,55.33,123922,1,55.328
19990809,55.53,55.69,54.51,54.615,79834,1,54.617
19990810,54.47,54.865,52.94,54.125,167672,1,54.125
19990811,55.095,56.0,54.265,55.905,131014,1,55.906
19990812,56.125,56.5,55.125,55.25,127150,1,55.25
19990813,56.405,57.72,56.315,57.655,143426,1,57.656
19990816,57.625,58.315,57.25,58.115,114706,1,58.117
19990817,58.625,58.69,57.345,58.405,114084,1,58.406
19990818,58.125,58.845,57.53,57.75,70352,1,57.75
19990819,57.22,57.625,56.695,57.065,101578,1,57.0625
19990820,57.125,57.97,56.815,57.97,69208,1,57.969
19990823,58.5,59.815,58.365,59.815,96520,1,59.8125
19990824,59.375,60.875,59.26,60.22,138914,1,60.219
19990825,60.595,61.75,59.94,61.5,113520,1,61.5
19990826,61.5,61.72,60.385,60.475,97530,1,60.4765
19990827,60.93,60.94,59.72,59.875,96354,1,59.875
19990830,60.125,60.315,58.875,59.03,101416,1,59.031
19990831,59.44,60.065,58.125,59.69,145904,1,59.6875
19990901,60.065,60.625,59.69,60.115,107520,1,60.117
19990902,59.0,60.22,58.875,59.905,145832,1,59.906
19990903,61.625,62.68,61.405,62.655,141954,1,62.656
19990907,62.53,63.155,62.28,62.375,90090,1,62.375
19990908,62.0,62.625,61.03,61.53,143034,1,61.531
19990909,61.565,62.565,61.25,62.405,126776,1,62.406
19990910,63.25,63.74,62.53,63.125,102510,1,63.125
19990913,63.065,63.19,62.03,62.365,72408,1,62.367
19990914,62.125,63.15,62.0,62.71,100226,1,62.711
19990915,63.49,63.49,61.44,61.5,160960,1,61.5
19990916,61.47,62.03,60.195,61.47,153710,1,61.469
19990917,62.03,63.44,61.94,63.315,145064,1,63.3125
19990920,63.5,63.75,63.03,63.46,61872,1,63.461
19990921,62.905,63.03,61.76,61.94,122658,1,61.9375
19990922,62.03,62.92,61.28,62.595,124418,1,62.594
19990923,63.25,63.375,59.635,60.0,197660,1,60.0
19990924,59.625,60.315,58.625,60.08,235708,1,60.078
19990927,60.94,61.375,60.315,60.5,126088,1,60.5
19990928,60.195,61.0,58.905,60.78,206220,1,60.781
19990929,60.78,61.22,59.565,59.565,155570,1,59.5625
19990930,60.125,60.815,59.375,60.19,176042,1,60.1875
19991001,59.375,60.21,58.75,60.21,196074,1,60.211
19991004,60.53,61.78,60.19,61.565,124342,1,61.5625
19991005,61.78,62.75,60.69,62.0,195264,1,62.0
19991006,62.375,63.335,61.43,63.24,190982,1,63.242
19991007,63.595,63.9,62.625,63.095,220136,1,63.094
19991008,62.845,63.94,62.0,63.76,225232,1,63.758
19991011,63.94,64.69,63.78,64.655,130160,1,64.656
19991012,64.44,64.955,63.0,63.19,201828,1,63.1875
19991013,62.47,63.22,61.065,61.315,225706,1,61.3125
19991014,61.53,62.125,60.53,61.695,221304,1,61.6955
19991015,60.125,61.0,59.51,59.875,337030,1,59.875
19991018,59.94,60.155,57.415,59.115,247148,1,59.117
19991019,59.76,60.065,58.44,59.44,266572,1,59.4375
19991020,60.345,61.74,59.75,61.25,224864,1,61.25
19991021,60.25,62.25,59.815,62.25,224548,1,62.25
19991022,62.615,63.25,61.75,61.97,165894,1,61.969
19991025,61.69,62.68,61.44,62.0,138554,1,62.0
19991026,62.75,63.095,61.375,61.5,135424,1,61.5
19991027,61.345,61.625,60.445,61.405,152252,1,61.406
19991028,62.375,63.75,61.815,63.53,141038,1,63.531
19991029,65.0,66.25,64.78,65.75,190000,1,65.75
19991101,65.75,66.53,65.32,65.405,96818,1,65.406
19991102,65.75,66.565,65.195,65.445,128348,1,65.4455
19991103,66.375,67.125,66.19,66.75,187526,1,66.75
19991104,67.68,67.815,66.78,67.5,200486,1,67.5
19991105,68.875,69.22,68.19,68.19,151346,1,68.1875
19991108,68.44,69.805,68.22,69.565,108908,1,69.5625
19991109,70.125,70.25,68.5,69.095,146298,1,69.094
19991110,69.125,70.595,68.815,70.0,165610,1,70.0
19991111,70.75,71.345,70.125,71.25,185014,1,71.25
19991112,71.625,72.25,69.375,72.19,286466,1,72.1875
19991115,72.25,72.5,71.69,72.045,109094,1,72.047
19991116,72.315,74.22,72.0,73.875,191264,1,73.875
19991117,73.875,74.195,72.5,72.875,216836,1,72.875
19991118,73.375,75.11,72.94,75.11,177384,1,75.1095
19991119,74.78,75.905,74.5,75.78,179398,1,75.781
19991122,75.94,77.5,75.125,77.5,188418,1,77.5
19991123,76.44,76.5,74.25,74.97,240476,1,74.969
19991124,75.19,77.74,74.405,77.44,186178,1,77.4375
19991126,78.405,78.78,77.375,77.69,80452,1,77.6875
19991129,77.53,78.19,76.315,76.405,204852,1,76.406
19991130,76.565,76.69,73.5,73.5,237024,1,73.5
19991201,74.315,75.47,73.75,75.095,232058,1,75.094
19991202,75.375,77.625,75.33,77.475,172292,1,77.4765
19991203,79.315,80.19,78.905,79.125,214446,1,79.125
19991206,79.43,80.5,78.69,79.845,160184,1,79.844
19991207,80.095,80.405,78.835,79.845,233970,1,79.844
19991208,79.865,80.49,78.69,78.875,195630,1,78.875
19991209,80.0,80.44,77.25,79.25,284454,1,79.25
19991210,79.905,80.19,78.125,79.905,204284,1,79.906
19991213,79.635,81.335,79.28,80.99,162092,1,80.992
19991214,80.75,81.22,79.0,79.53,277602,1,79.531
19991215,78.625,81.065,77.94,81.065,317972,1,81.0625
19991216,82.125,83.25,81.75,83.065,272196,1,83.0625
19991217,84.5,84.875,83.43,83.78,238924,1,83.781
19991220,84.405,85.25,83.69,84.875,153920,1,84.875
19991221,85.125,89.44,84.64,89.44,260038,1,89.4375
19991222,89.19,89.315,87.44,89.155,223136,1,89.156
19991223,89.865,90.75,89.0,90.22,175436,1,90.219
19991227,90.315,90.345,87.905,89.69,192828,1,89.6875
19991228,89.75,90.5,88.565,89.125,153464,1,89.125
19991229,90.0,92.5,89.875,92.5,165126,1,92.5
19991230,93.625,93.75,91.5,91.5,218870,1,91.5
19991231,92.625,93.19,91.375,91.375,144644,1,91.375
20000103,96.19,96.19,90.75,94.75,364312,1,94.75
20000104,92.0,93.5,87.94,88.25,337870,1,88.25
20000105,87.5,89.625,84.25,86.0,424986,1,86.0
20000106,86.875,88.0,79.75,80.095,371350,1,80.094
20000107,82.94,90.0,82.5,90.0,281382,1,90.0
20000110,91.0,93.94,89.94,92.5,296756,1,92.5
20000111,91.75,92.875,87.0,88.0,325466,1,88.0
20000112,89.0,89.24,86.0,86.065,290500,1,86.0625
20000113,88.5,91.5,87.08,91.25,251652,1,91.25
20000114,93.0,93.625,92.0,93.375,218986,1,93.375
20000118,92.065,94.44,91.44,93.875,167524,1,93.875
20000119,93.49,96.0,92.43,96.0,190060,1,96.0
20000120,95.5,96.875,94.01,95.065,259580,1,95.0625
20000121,96.5,96.565,95.065,96.25,186982,1,96.25
20000124,97.44,97.625,90.97,91.625,283406,1,91.625
20000125,91.875,94.115,89.405,93.0,332762,1,93.0
20000126,93.25,93.315,89.0,89.25,230956,1,89.25
20000127,91.75,92.5,87.625,90.5,307364,1,90.5
20000128,90.0,90.47,84.75,86.0,353138,1,86.0
20000131,85.875,90.0,83.5,89.69,360146,1,89.6875
20000201,89.53,92.5,88.44,92.095,264176,1,92.094
20000202,92.25,94.72,92.095,92.875,261692,1,92.875
20000203,94.315,96.625,92.28,96.5,305798,1,96.5
20000204,97.0,98.24,96.22,97.155,266400,1,97.156
20000207,97.25,98.625,96.25,98.5,177610,1,98.5
20000208,99.375,102.875,99.375,102.625,220002,1,102.625
20000209,102.065,102.195,98.75,99.0,272944,1,99.0
20000210,99.815,102.25,98.555,102.25,263416,1,102.25
20000211,102.065,102.065,98.0,99.875,248760,1,99.875
20000214,99.99,100.0,97.75,99.75,228146,1,99.75
20000215,98.94,100.625,95.875,100.47,305728,1,100.469
20000216,99.905,101.69,99.315,100.0,253106,1,100.0
20000217,101.19,103.25,99.625,102.125,300802,1,102.125
20000218,102.625,103.0,98.44,98.44,252712,1,98.4375
20000222,99.0,99.94,96.25,98.75,372262,1,98.75
20000223,99.68,105.0,99.155,104.25,321708,1,104.25
20000224,104.875,106.805,102.0,106.5,488682,1,106.5
20000225,106.19,107.5,103.875,104.065,326176,1,104.0625
20000228,103.25,105.69,100.5,104.0,382162,1,104.0
20000229,105.75,107.095,104.94,106.75,239786,1,106.75
20000301,107.25,108.565,106.5,107.625,244684,1,107.625
20000302,108.065,108.19,104.75,105.135,327392,1,105.133
20000303,108.0,111.125,107.0,111.065,320172,1,111.0625
20000306,111.75,113.22,110.25,111.94,232694,1,111.9375
20000307,113.815,113.875,108.75,110.25,394710,1,110.25
20000308,111.0,112.0,106.28,111.25,435126,1,111.25
20000309,111.22,115.5,109.095,115.0,301014,1,115.0
20000310,114.875,116.44,113.51,114.5,297506,1,114.5
20000313,110.0,114.125,109.53,111.5,375442,1,111.5
20000314,112.75,113.375,105.0,107.375,391068,1,107.375
20000315,106.5,107.0,101.875,102.875,512026,1,102.875
20000316,105.375,109.25,101.0,108.75,552822,1,108.75
20000317,108.0,111.065,107.94,110.815,314224,1,110.8125
20000320,111.0,111.5,106.25,107.69,211672,1,107.688
20000321,106.13,111.94,103.56,111.75,334351,1,111.75
20000322,113.5,115.97,111.13,114.0,243702,1,114.0
20000323,114.48,117.75,113.56,116.0,192274,1,116.0
20000324,117.48,120.5,115.02,117.56,220630,1,117.562
20000327,118.0,119.5,117.13,117.75,117526,1,117.75
20000328,116.98,117.81,113.13,114.75,183363,1,114.75
20000329,115.38,115.44,110.0,110.0,271909,1,110.0
20000330,107.25,112.75,103.5,107.25,423287,1,107.25
20000331,108.14,110.63,104.0,109.5,313499,1,109.5
20000403,107.77,109.13,100.75,103.0,315371,1,103.0
20000404,103.63,103.94,88.31,101.94,662142,1,101.938
20000405,97.5,103.94,96.25,100.13,370098,1,100.125
20000406,102.38,103.88,99.75,102.44,304981,1,102.438
20000407,104.13,107.38,102.63,106.63,206455,1,106.625
20000410,107.63,107.69,99.25,100.13,269882,1,100.125
20000411,97.13,101.5,95.75,97.75,344972,1,97.75
20000412,97.63,98.75,90.25,92.38,348317,1,92.375
20000413,92.81,96.0,88.0,88.0,463305,1,88.0
20000414,86.06,88.5,78.0,80.38,608513,1,80.375
20000417,78.02,90.0,78.0,89.63,553986,1,89.625
20000418,89.48,93.0,87.38,92.0,362619,1,92.0
20000419,92.5,93.63,89.06,89.19,280825,1,89.1875
20000420,90.38,90.97,86.06,87.25,212556,1,87.25
20000424,83.44,85.25,79.88,84.75,312469,1,84.75
20000425,86.5,90.5,86.0,90.47,286632,1,90.469
20000426,90.63,92.42,87.13,87.38,256883,1,87.375
20000427,83.5,92.48,83.5,91.25,370363,1,91.25
20000428,93.56,94.75,92.13,94.75,248284,1,94.75
20000501,95.75,96.88,94.25,95.63,232057,1,95.625
20000502,94.88,95.63,89.75,90.13,203079,1,90.125
20000503,89.5,90.25,85.52,89.13,265897,1,89.125
20000504,89.0,90.75,87.63,89.31,177507,1,89.3125
20000505,88.13,92.31,88.03,91.44,205712,1,91.4375
20000508,90.5,90.75,87.75,87.88,139030,1,87.875
20000509,88.5,89.13,84.31,86.0,198052,1,86.0
20000510,84.38,84.98,79.5,79.75,348476,1,79.75
20000511,82.75,85.25,80.88,84.63,247097,1,84.625
20000512,85.38,87.56,84.0,84.63,178320,1,84.625
20000515,84.81,88.63,82.63,88.31,179508,1,88.3125
20000516,90.0,91.5,88.06,90.81,238289,1,90.8125
20000517,89.25,90.5,87.75,88.94,203394,1,88.9375
20000518,89.0,89.36,85.38,85.75,190630,1,85.75
20000519,83.75,85.0,81.31,81.69,281781,1,81.6875
20000522,81.63,82.25,75.58,81.63,438820,1,81.625
20000523,81.38,82.63,74.25,74.81,319205,1,74.8125
20000524,75.0,79.88,72.25,79.5,494760,1,79.5
20000525,80.25,82.25,76.5,77.75,296327,1,77.75
20000526,77.75,79.25,75.75,77.75,182032,1,77.75
20000530,80.0,85.94,80.0,85.56,308875,1,85.5625
20000531,84.47,86.67,82.75,83.13,296754,1,83.125
20000601,85.19,88.38,84.0,87.38,289935,1,87.375
20000602,92.63,94.11,91.88,93.63,322441,1,93.625
20000605,92.25,95.31,91.88,93.86,237843,1,93.8595
20000606,93.19,95.0,90.88,91.25,232005,1,91.25
20000607,91.56,94.0,89.56,93.69,225244,1,93.6875
20000608,94.63,94.88,91.63,93.25,193138,1,93.25
20000609,94.75,94.75,93.0,93.75,170146,1,93.75
20000612,94.31,94.31,90.0,90.75,164847,1,90.75
20000613,90.5,94.63,89.36,94.25,251879,1,94.25
20000614,94.88,94.88,91.5,92.13,202745,1,92.125
20000615,91.88,93.88,90.88,93.75,188078,1,93.75
20000616,94.75,95.31,93.06,94.25,212034,1,94.25
20000619,94.02,98.25,92.69,98.0,200425,1,98.0
20000620,98.25,99.69,97.19,97.63,209883,1,97.625
20000621,96.81,99.72,96.69,98.88,208806,1,98.875
20000622,98.63,99.0,94.5,95.25,215267,1,95.25
20000623,95.0,95.5,91.38,91.5,248881,1,91.5
20000626,93.06,94.42,92.0,94.0,221692,1,94.0
20000627,93.77,95.06,92.38,92.88,147860,1,92.875
20000628,92.98,95.5,92.5,94.0,192598,1,94.0
20000629,92.94,93.38,90.63,91.64,213558,1,91.6405
20000630,91.81,93.95,91.31,93.44,151531,1,93.4375
20000703,93.5,95.25,93.25,95.25,52120,1,95.25
20000705,93.63,93.97,90.88,91.56,164890,1,91.5625
20000706,91.56,94.75,90.06,94.0,235948,1,94.0
20000707,95.0,97.0,94.44,95.94,166032,1,95.9375
