date,open,high,low,close,volume,barCount,average
20151119,11.2,14.78,11.05,13.07,460144,152837,12.7675
20151120,13.92,14.05,12.5,12.85,154500,42279,13.325
20151123,13.0,13.15,12.1,12.12,48585,12299,12.3845
20151124,12.0,12.23,11.52,12.02,44626,11748,11.8155
20151125,12.12,12.4,11.85,11.9,30656,6049,12.111
20151127,12.05,12.31,11.9,12.05,8863,2285,12.0615
20151130,12.28,12.35,11.9,12.04,18426,6702,12.1395
20151201,12.12,12.18,11.89,11.91,11690,4111,11.9785
20151202,11.97,12.16,11.9,11.93,16391,4470,11.9805
20151203,12.04,12.25,11.91,11.92,13622,4450,12.024
20151204,11.95,12.04,11.8,12.04,12672,3514,11.96
20151207,12.14,12.6,12.1,12.36,25833,8752,12.3585
20151208,12.36,12.44,12.03,12.12,10027,3252,12.1475
20151209,12.0,12.24,11.9,11.99,10331,4033,12.03
20151210,12.0,12.13,11.91,12.05,6569,2783,11.999
20151211,12.0,12.02,11.9,11.95,8443,3472,11.9605
20151214,12.2,12.4,11.87,12.33,20646,6875,12.1675
20151215,12.5,12.7,12.3,12.47,12048,4009,12.4945
20151216,12.55,12.8,12.13,12.27,13032,4138,12.601
20151217,12.3,12.5,12.26,12.32,5910,2364,12.363
20151218,12.4,12.58,12.1,12.34,7188,2913,12.362
20151221,12.37,12.48,12.02,12.24,6615,2942,12.2515
20151222,12.32,12.46,12.12,12.46,4282,2032,12.3025
20151223,12.41,12.66,12.31,12.5,4751,1763,12.5105
20151224,12.59,12.6,12.45,12.6,2648,1331,12.5215
20151228,12.6,12.84,12.49,12.83,12041,4473,12.748
20151229,12.83,12.83,12.5,12.74,7879,3232,12.69
20151230,12.66,12.83,12.53,12.78,8609,3436,12.6915
20151231,12.7,13.5,12.65,13.09,20532,5496,13.126
20160104,12.75,12.9,12.05,12.16,24671,8841,12.2975
20160105,12.2,12.34,11.5,11.51,19855,7697,11.8015
20160106,11.5,11.64,11.01,11.52,17760,7277,11.3475
20160107,11.13,11.37,11.0,11.16,15718,4696,11.1265
20160108,11.25,11.54,11.2,11.31,5448,1961,11.3075
20160111,11.43,11.87,11.4,11.84,16342,6168,11.6395
20160112,11.94,12.23,11.71,12.09,20498,5445,12.021
20160113,12.06,12.17,11.08,11.61,19089,6053,11.5975
20160114,11.51,11.65,10.79,10.82,15153,4880,11.071
20160115,10.62,10.8,10.1,10.27,11232,3956,10.423
20160119,10.33,10.47,9.05,9.47,26595,7736,9.4255
20160120,9.19,9.57,8.26,9.49,36096,15435,8.89
20160121,9.57,10.18,9.43,10.02,13165,4594,9.906
20160122,10.35,10.65,9.75,9.85,10758,4380,10.0085
20160125,9.87,10.08,9.7,9.81,7099,2884,9.835
20160126,9.78,9.9,9.54,9.54,7192,2575,9.6885
20160127,9.41,9.5,8.88,9.05,12911,5067,9.0855
20160128,9.13,9.26,8.65,8.74,11562,4787,8.882
20160129,8.7,9.01,8.58,8.77,17548,5532,8.7915
20160201,8.79,8.86,8.6,8.76,8317,3901,8.731
20160202,8.67,8.73,8.45,8.47,6181,2499,8.579
20160203,8.4,8.6,8.06,8.43,11803,5039,8.338
20160204,8.43,8.98,8.33,8.9,10005,4396,8.694
20160205,8.95,9.0,8.56,8.63,17340,7144,8.6285
20160208,8.5,8.61,8.33,8.37,10996,3823,8.418
20160209,8.27,8.72,8.22,8.62,16930,6232,8.44
20160210,8.76,9.06,8.63,8.88,10011,3814,8.823
20160211,8.4,8.81,8.32,8.62,9421,5010,8.621
20160212,9.7,9.84,8.71,9.3,76125,23713,9.2735
20160216,9.75,10.25,9.52,9.93,33915,9977,9.9235
20160217,10.05,10.14,9.69,9.84,19098,8313,9.984
20160218,9.81,10.1,9.81,9.98,9171,3846,9.958
20160219,10.11,10.11,9.75,9.97,9863,4460,9.91
20160222,10.15,10.5,10.07,10.38,11245,4352,10.316
20160223,10.39,10.41,9.46,9.71,9461,3825,9.8895
20160224,9.58,9.94,9.32,9.89,5817,2196,9.5725
20160225,9.85,10.3,9.63,10.26,8045,2623,10.087
20160226,10.25,10.55,10.15,10.32,10326,4010,10.377
20160229,10.36,10.88,10.31,10.44,9628,3453,10.608
20160301,10.6,10.85,10.24,10.72,8580,3820,10.634
20160302,10.82,12.0,10.8,11.97,24848,7806,11.458
20160303,12.03,12.65,11.87,12.25,25893,9113,12.2975
20160304,12.25,12.47,11.91,12.01,16441,7050,12.149
20160307,12.0,12.65,11.99,12.26,19837,8977,12.355
20160308,12.16,12.22,11.23,11.48,17313,8128,11.7985
20160309,11.78,12.2,11.23,12.03,44144,16614,11.711
20160310,12.37,12.43,10.9,11.3,89291,29411,11.423
20160311,11.39,11.48,11.01,11.1,21204,8562,11.166
20160314,11.14,11.83,11.01,11.61,34773,12502,11.462
20160315,11.63,12.0,11.25,11.95,16861,7526,11.7495
20160316,11.95,12.06,11.72,11.87,9229,4389,11.8875
20160317,11.83,12.05,11.75,11.95,12430,5218,11.952
