date,open,high,low,close,volume,barCount,average
19800317,39.5,39.88,39.25,39.5,369,1,39.5
19800318,39.63,39.88,39.38,39.63,48,1,39.628
19800319,39.63,40.0,39.63,39.63,76,1,39.628
19800320,39.63,39.88,39.5,39.63,309,1,39.628
19800321,39.88,39.88,39.5,39.88,454,1,39.876
19800324,39.38,39.75,38.88,39.38,447,1,39.376
19800325,38.5,39.25,38.5,38.5,100,1,38.5
19800326,38.63,38.75,38.5,38.63,24,1,38.628
19800327,38.5,38.75,38.5,38.5,125,1,38.5
19800328,39.5,39.75,39.13,39.5,203,1,39.5
19800331,40.0,40.0,39.5,40.0,302,1,40.0
19800401,40.0,40.0,39.63,40.0,485,1,40.0
19800402,39.63,39.75,39.63,39.63,75,1,39.628
19800403,39.75,39.88,39.38,39.75,261,1,39.752
19800407,38.75,39.5,38.75,38.75,180,1,38.752
19800408,39.25,39.25,38.75,39.25,274,1,39.252
19800409,38.88,39.5,38.63,38.88,397,1,38.876
19800410,38.75,39.0,38.63,38.75,53,1,38.752
19800411,39.25,39.25,38.75,39.25,160,1,39.252
19800414,38.75,39.0,38.75,38.75,26,1,38.752
19800415,38.75,39.0,38.5,38.75,243,1,38.752
19800416,38.75,39.0,38.75,38.75,221,1,38.752
19800417,38.63,38.75,38.5,38.63,105,1,38.628
19800418,38.5,38.88,38.5,38.5,28,1,38.5
19800421,38.13,38.88,38.0,38.13,117,1,38.128
19800422,37.75,38.25,37.75,37.75,73,1,37.752
19800423,36.5,37.88,36.5,36.5,141,1,36.5
19800424,37.38,37.38,36.5,37.38,99,1,37.376
19800425,36.88,37.0,36.5,36.88,161,1,36.876
19800428,37.25,37.5,37.13,37.25,29,1,37.252
19800429,37.13,37.5,37.13,37.13,63,1,37.128
19800430,38.38,38.63,37.25,38.38,190,1,38.376
19800501,38.5,38.63,37.88,38.5,100,1,38.5
19800502,39.0,39.25,38.13,39.0,52,1,39.0
19800505,39.25,39.25,39.0,39.25,147,1,39.252
19800506,40.13,40.38,39.5,40.13,100,1,40.128
19800507,40.75,40.75,40.25,40.75,2125,1,40.752
19800508,42.5,42.75,41.5,42.5,144,1,42.5
19800509,42.25,42.38,41.5,42.25,260,1,42.252
19800512,42.25,42.25,41.5,42.25,183,1,42.252
19800513,42.5,43.0,42.13,42.5,248,1,42.5
19800514,42.75,42.88,42.25,42.75,232,1,42.752
19800515,42.5,42.75,42.5,42.5,415,1,42.5
19800516,42.75,42.75,42.25,42.75,158,1,42.752
19800519,42.38,42.75,42.38,42.38,48,1,42.376
19800520,43.38,43.38,42.25,43.38,187,1,43.376
19800521,43.75,43.88,43.25,43.75,115,1,43.752
19800522,42.88,44.0,42.5,42.88,363,1,42.876
19800523,43.5,44.0,43.0,43.5,137,1,43.5
19800527,43.63,44.0,43.63,43.63,135,1,43.628
19800528,44.0,44.0,43.25,44.0,249,1,44.0
19800529,43.63,43.88,43.63,43.63,44,1,43.628
19800530,43.88,44.0,43.5,43.88,167,1,43.876
19800602,43.63,43.88,43.5,43.63,178,1,43.628
19800603,43.88,44.0,43.63,43.88,287,1,43.876
19800604,44.13,44.38,43.88,44.13,458,1,44.128
19800605,44.75,44.75,43.63,44.75,94,1,44.752
19800606,44.75,45.0,44.5,44.75,77,1,44.752
19800609,44.75,44.88,44.63,44.75,30,1,44.752
19800610,45.25,45.25,44.75,45.25,64,1,45.252
19800611,46.25,46.25,45.25,46.25,55,1,46.252
19800612,46.63,47.0,46.25,46.63,189,1,46.628
19800613,46.5,47.0,46.25,46.5,60,1,46.5
19800616,45.75,46.38,45.75,45.75,25,1,45.752
19800617,45.5,45.88,45.38,45.5,157,1,45.5
19800618,45.5,45.88,45.5,45.5,50,1,45.5
19800619,45.5,45.63,45.38,45.5,1053,1,45.5
19800620,44.38,44.63,44.25,44.38,48,1,44.376
19800623,44.63,45.0,44.38,44.63,37,1,44.628
19800624,44.88,44.88,44.0,44.88,178,1,44.876
19800625,44.63,44.88,44.63,44.63,16,1,44.628
19800626,44.63,45.0,44.38,44.63,29,1,44.628
19800627,44.75,44.75,44.25,44.75,19,1,44.752
19800630,44.25,44.75,44.0,44.25,25,1,44.252
19800701,44.13,44.25,43.88,44.13,175,1,44.128
19800702,44.0,44.25,43.75,44.0,83,1,44.0
19800703,45.0,45.0,44.75,45.0,190,1,45.0
19800707,45.0,45.25,45.0,45.0,498,1,45.0
19800708,45.38,45.38,45.0,45.38,270,1,45.376
19800709,46.0,46.25,45.25,46.0,235,1,46.0
19800710,45.25,46.25,45.25,45.25,97,1,45.252
19800711,46.25,46.38,45.38,46.25,64,1,46.252
19800714,46.25,46.5,46.0,46.25,254,1,46.252
19800715,47.25,47.75,46.38,47.25,304,1,47.252
19800716,47.5,47.63,47.13,47.5,159,1,47.5
19800717,48.0,48.0,47.13,48.0,225,1,48.0
19800718,49.75,50.0,48.0,49.75,237,1,49.752
19800721,48.5,50.0,48.13,48.5,151,1,48.5
19800722,48.63,48.88,48.25,48.63,43,1,48.628
19800723,47.75,48.25,47.5,47.75,143,1,47.752
19800724,47.5,48.13,47.25,47.5,91,1,47.5
19800725,47.63,47.75,47.38,47.63,109,1,47.628
19800728,48.13,48.13,47.63,48.13,173,1,48.128
19800729,48.5,48.5,48.0,48.5,89,1,48.5
19800730,49.5,49.5,48.63,49.5,75,1,49.5
19800731,49.13,49.5,48.88,49.13,65,1,49.128
19800801,49.25,49.63,49.25,49.25,96,1,49.252
19800804,49.25,49.5,49.0,49.25,91,1,49.252
19800805,49.5,49.5,48.88,49.5,34,1,49.5
19800806,50.0,50.0,49.5,50.0,203,1,50.0
19800807,49.5,50.5,49.5,49.5,144,1,49.5
19800808,49.0,50.0,49.0,49.0,154,1,49.0
19800811,49.13,49.5,49.13,49.13,28,1,49.128
19800812,49.5,50.0,49.25,49.5,371,1,49.5
19800813,49.5,49.5,49.38,49.5,178,1,49.5
19800814,48.5,48.75,48.25,48.5,286,1,48.5
19800815,48.38,48.88,48.25,48.38,163,1,48.376
19800818,48.63,48.88,48.38,48.63,64,1,48.628
19800819,48.38,48.38,48.38,48.38,15,1,48.376
19800820,48.88,48.88,48.25,48.88,128,1,48.876
19800821,50.5,50.75,49.25,50.5,594,1,50.5
19800822,50.5,50.63,50.0,50.5,1329,1,50.5
19800825,50.88,50.88,50.5,50.88,154,1,50.876
19800826,51.25,51.38,50.75,51.25,268,1,51.252
19800827,50.5,51.5,50.5,50.5,418,1,50.5
19800828,50.0,50.5,50.0,50.0,444,1,50.0
19800829,50.0,50.25,50.0,50.0,27,1,50.0
19800902,49.13,49.75,49.0,49.13,134,1,49.128
19800903,48.88,49.0,48.75,48.88,210,1,48.876
19800904,48.88,48.88,48.5,48.88,451,1,48.876
19800905,47.75,48.5,47.75,47.75,473,1,47.752
19800908,47.88,48.0,47.5,47.88,387,1,47.876
19800909,47.13,47.63,47.0,47.13,457,1,47.128
19800910,48.38,48.38,47.25,48.38,122,1,48.376
19800911,49.75,50.0,48.5,49.75,492,1,49.752
19800912,50.13,50.13,50.0,50.13,820,1,50.128
19800915,50.0,50.25,49.75,50.0,155,1,50.0
19800916,51.75,51.75,50.0,51.75,115,1,51.752
19800917,52.5,53.25,52.0,52.5,156,1,52.5
19800918,52.38,52.75,52.0,52.38,187,1,52.376
19800919,53.0,54.25,52.75,53.0,172,1,53.0
19800922,53.0,53.0,52.25,53.0,1611,1,53.0
19800923,51.0,53.0,51.0,51.0,1926,1,51.0
19800924,50.5,50.75,50.25,50.5,382,1,50.5
19800925,50.13,50.25,50.0,50.13,989,1,50.128
19800926,49.5,49.88,49.25,49.5,40,1,49.5
19800929,49.0,49.5,49.0,49.0,33,1,49.0
19800930,49.5,49.5,49.0,49.5,280,1,49.5
19801001,48.75,49.25,48.63,48.75,194,1,48.752
19801002,48.5,48.75,48.5,48.5,283,1,48.5
19801003,49.0,49.0,48.25,49.0,193,1,49.0
19801006,48.75,48.75,48.5,48.75,268,1,48.752
19801007,48.63,48.88,48.63,48.63,11,1,48.628
19801008,49.13,49.38,49.0,49.13,130,1,49.128
19801009,48.5,48.75,48.25,48.5,80,1,48.5
19801010,47.5,48.38,47.5,47.5,39,1,47.5
19801013,47.0,47.0,46.75,47.0,214,1,47.0
19801014,46.75,47.38,46.75,46.75,192,1,46.752
19801015,47.0,47.38,46.75,47.0,31,1,47.0
19801016,47.0,47.25,46.75,47.0,176,1,47.0
19801017,47.25,47.5,47.0,47.25,168,1,47.252
19801020,47.25,47.5,47.25,47.25,44,1,47.252
19801021,46.0,47.25,46.0,46.0,100,1,46.0
19801022,46.0,46.0,45.5,46.0,59,1,46.0
19801023,45.63,46.38,45.5,45.63,155,1,45.628
19801024,44.0,45.5,43.5,44.0,585,1,44.0
19801027,43.0,44.13,43.0,43.0,94,1,43.0
