date,open,high,low,close,volume,barCount,average
20180719,23.05,24.0,20.1,22.39,111022,53965,21.9475
20180720,24.25,31.8,23.5,29.77,127375,53181,28.07
20180723,33.48,34.1,29.31,29.45,89514,34928,32.1295
20180724,28.8,29.43,25.25,25.36,50808,18805,26.8445
20180725,25.31,27.15,24.2,26.49,35499,12689,25.6395
20180726,26.6,27.67,26.2,26.4,13760,4271,26.763
20180727,27.74,27.74,24.12,24.3,13835,5353,25.523
20180730,24.95,25.25,22.5,22.84,10090,3596,24.0165
20180731,22.5,22.9,22.0,22.1,15597,5384,22.287
20180801,23.58,23.6,21.5,22.93,14431,5289,22.616
20180802,23.13,23.99,22.56,23.87,10777,4314,23.36
20180803,24.16,24.37,23.45,24.15,5622,1976,24.0205
20180806,24.29,26.0,24.29,24.84,10151,2970,25.3305
20180807,25.75,26.0,24.37,24.68,10958,4020,25.181
20180808,24.66,25.41,24.66,24.74,3124,916,24.9555
20180809,24.99,25.83,24.99,25.6,4659,1580,25.459
20180810,25.5,25.9,24.56,25.82,4158,1510,25.3705
20180813,26.88,28.44,26.27,26.665,19500,6373,27.1475
20180814,27.35,27.35,24.0,24.25,12632,5278,25.57
20180815,26.78,30.0,26.11,29.1,56532,19438,28.2245
20180816,29.4,31.23,27.65,29.27,29185,10674,29.3505
20180817,29.47,31.0,28.88,30.69,16497,5106,30.2035
20180820,31.45,37.46,31.45,35.9,55969,22591,34.5605
20180821,39.3,41.75,37.95,39.94,91754,37203,39.4315
20180822,39.36,40.09,36.6,39.0,50060,19951,38.6735
20180823,39.74,39.84,37.65,38.25,30031,9243,38.6385
20180824,40.06,44.37,39.35,43.86,81975,25839,42.2175
20180827,52.4,58.68,50.0,53.44,126806,45219,53.748
20180828,53.0,54.74,49.5,51.5,73047,28576,51.9035
20180829,61.56,62.9,56.25,62.13,155247,62289,60.1295
20180830,59.11,60.8,55.55,59.07,81265,31280,58.4785
20180831,59.75,66.74,59.0,65.2,75466,27456,63.9925
20180904,69.65,78.0,69.03,77.01,145444,64139,73.9615
20180905,86.27,97.36,73.54,89.86,175656,82342,86.9935
20180906,85.0,88.68,76.35,80.1,112549,47777,82.293
20180907,75.01,84.7,72.5,77.89,77027,30022,80.1525
20180910,82.99,90.75,82.2,84.5,111064,38041,86.963
20180911,89.16,97.88,87.5,95.79,134232,53260,93.303
20180912,104.56,108.27,97.61,104.95,153145,60291,104.071
20180913,113.53,127.27,109.0,119.76,177142,71093,116.518
20180914,100.6,116.4,97.0,109.05,133893,65185,108.916
20180917,117.14,126.1,114.0,120.19,96466,44598,119.084
20180918,134.65,155.1,132.0,154.98,160353,70172,144.786
20180919,233.58,300.0,151.4,214.06,229052,112830,224.8015
20180920,214.11,244.0,158.0,176.35,136680,68835,190.7675
20180921,148.87,148.88,121.51,123.0,111066,57445,132.116
20180924,100.98,121.79,97.12,99.5,91313,35503,108.4655
20180925,119.0,119.4,105.09,107.88,64972,26017,114.085
20180926,114.0,118.98,108.77,114.5,50663,19583,113.769
20180927,116.09,137.69,115.32,131.3,99465,39615,127.35
20180928,142.0,144.65,134.0,143.62,75611,33690,140.1485
20181001,159.19,173.46,152.25,164.98,103515,43493,163.23
20181002,158.96,165.87,131.5,138.17,61775,25542,151.8675
20181003,146.51,156.97,143.0,156.83,51580,21466,150.1875
20181004,148.99,154.07,141.11,145.57,43045,15864,147.527
20181005,152.16,153.6,134.0,146.91,44506,21773,144.224
20181008,137.96,145.8,136.88,140.0,27283,10240,140.8245
20181009,143.0,143.0,127.0,128.96,36174,15269,131.3355
20181010,132.95,139.44,122.13,136.8,36883,15822,133.284
20181011,132.0,136.55,130.2,131.95,14186,6363,133.072
20181012,140.0,148.52,136.0,148.3,31424,14586,143.998
20181015,155.0,167.35,151.0,165.64,44230,20154,160.2885
20181016,177.01,178.86,151.26,158.38,54272,26162,162.457
20181017,148.0,153.26,142.65,148.25,28498,13479,148.1175
20181018,145.0,155.95,143.54,152.53,24696,12042,150.9435
20181019,155.58,159.28,141.0,145.3,23186,11056,150.4925
20181022,143.3,144.06,115.5,122.6,42541,21033,127.026
20181023,103.72,123.9,101.1,120.79,34204,16289,113.706
20181024,125.44,127.8,108.65,109.29,18676,9142,116.2105
20181025,112.0,114.0,106.1,106.75,15058,7585,109.459
20181026,103.97,115.25,103.25,108.08,18743,9414,109.961
20181029,113.81,114.0,88.08,90.68,27984,13202,97.5555
20181030,84.66,95.4,84.28,90.1,19875,11078,90.5295
20181031,94.25,101.78,92.15,94.79,18449,9159,97.115
20181101,99.75,99.97,93.08,98.98,11351,5732,96.869
20181102,99.29,101.34,94.1,99.49,9711,5016,97.2675
20181105,97.76,102.47,94.55,100.98,11364,5676,98.7085
20181106,102.5,107.75,98.5,106.86,17672,8858,104.574
20181107,116.0,142.84,109.18,139.6,74015,39247,124.814
20181108,134.7,134.94,115.0,118.7,42368,20685,125.0155
20181109,114.72,119.59,105.28,108.99,23014,11855,112.36
20181112,114.0,116.44,105.55,113.44,22621,12293,112.3005
20181113,113.75,115.86,109.0,111.55,14902,8381,112.1065
20181114,105.6,109.0,99.0,102.34,22083,11319,102.526
20181115,101.02,113.85,100.5,107.27,18681,9299,108.587
20181116,110.0,112.9,108.32,110.48,11781,7315,110.6025
20181119,110.46,110.95,102.27,106.77,13011,8045,105.301
20181120,100.0,111.69,99.35,104.0,13181,6929,106.775
20181121,107.22,110.19,105.26,109.31,10375,5504,108.445
20181123,110.52,117.77,110.52,116.03,15357,8984,114.768
20181126,120.0,120.4,112.6,114.14,14556,8092,115.3165
20181127,112.9,117.56,112.05,114.0,12232,7603,114.829
20181128,115.5,116.01,109.0,110.88,13501,7183,111.412
20181129,111.57,111.57,105.05,107.2,8636,4541,108.474
20181130,106.42,107.19,100.57,102.45,12996,7499,103.3235
20181203,105.49,109.35,98.43,102.94,26493,13661,104.052
20181204,102.77,104.0,100.02,100.26,6315,3153,101.416
20181206,95.0,99.27,94.13,99.0,8734,4372,96.3755
20181207,103.0,104.44,97.64,100.25,11935,6361,101.3635
20181210,101.0,102.47,96.04,97.14,7700,3780,98.1255
20181211,98.51,98.88,93.0,94.07,10560,5364,95.503
20181212,93.09,94.5,84.25,84.48,18248,8059,88.7445
20181213,85.85,86.4,71.39,75.52,28610,13439,76.874
20181214,70.89,79.97,70.89,75.13,14854,6809,76.1475
20181217,74.4,75.31,64.06,65.89,18229,9301,68.3675
20181218,72.4,80.3,69.0,76.5,46592,19323,75.0655
20181219,82.39,82.39,69.25,71.0,29304,12423,75.3735
20181220,80.52,80.68,74.11,78.3,34358,16118,77.2685
20181221,79.9,80.04,71.25,74.87,17181,7939,74.19
20181224,71.0,73.86,68.19,71.38,8105,3729,71.0185
20181226,73.49,73.72,67.66,71.5,11560,5401,70.079
20181227,71.0,73.18,69.12,71.08,8386,4208,71.3065
20181228,72.51,77.27,70.57,75.15,11450,5355,73.927
20181231,76.6,76.99,70.3,70.54,11495,5380,72.152
20190102,70.0,72.18,67.77,70.46,8749,4531,70.0525
20190103,69.1,72.0,69.1,70.0,6981,3543,70.5955
20190104,70.96,71.9,68.6,69.95,8143,4292,70.2005
20190107,70.03,71.94,68.1,71.9,10305,4949,70.196
20190108,73.39,83.34,73.25,83.26,30760,15039,79.1485
20190109,82.0,87.5,77.1,79.7,31445,18577,82.7785
20190110,80.75,86.12,79.07,80.4,33963,17166,82.893
20190111,92.48,103.69,89.16,96.0,83178,43968,98.034
20190114,96.0,106.0,95.5,100.15,44741,24072,101.7575
20190115,98.8,99.75,82.0,82.88,123800,58964,88.6865
20190116,86.0,87.63,81.9,85.61,41008,19323,84.578
20190117,84.25,86.31,82.56,83.45,22229,12503,83.995
